UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-01-29T20:52:36.000Z,Yeah! #ChadMan,"Alan Shields
@AlanShields12
 · Jan 29
Wakanda Forever 
GIF",❤,,,1,['https://pbs.twimg.com/profile_images/1416114045829197833/AT8dSuvq_mini.jpg'],https://twitter.com/Mo_Solo78/status/1355257559100354560
Dirty WWE,@naughtywwe,2021-01-29T21:49:01.000Z,I could watch Mella's tits bounce around all day,,,11,35,393,['https://pbs.twimg.com/ext_tw_video_thumb/1355271735839518724/pu/img/kRBu6EimbgfOPipr.jpg'],https://twitter.com/naughtywwe/status/1355271759835131904
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-01-29T21:53:10.000Z,"It barely moved, bruv.",,,,,4,[],https://twitter.com/Mo_Solo78/status/1355272803306663943
Fake Celebrity,@TemiTheStar,2021-01-30T08:21:12.000Z,"Replying to 
@Real_jaeflex
 and 
@Tegadeyforyou","Nick is still Nick

They've got some newly introduced dope ass shows now.",,2,,10,[],https://twitter.com/TemiTheStar/status/1355430853455863808
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-01-30T08:25:40.000Z,Like?,,,1,,5,[],https://twitter.com/Mo_Solo78/status/1355431975520260096
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-02-27T22:40:52.000Z,"Just tweaked Kim Kardashian a bit... . 

#ArtistOnTwitter #ArtificialIntelligence #RemyGirlNengi",,🙃,,,,['https://pbs.twimg.com/media/EvRGcinWYAI5Vbs?format=jpg&name=small'],https://twitter.com/Mo_Solo78/status/1365794053086937091
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-02-26T17:45:26.000Z,"@Donny_beek6
 @Google
 Snapseed 
@Mo_Solo78
 #DripByGambo #ArtistOnTwitter",,,,,,['https://pbs.twimg.com/media/EvK5PH2XAAAPha_?format=jpg&name=small'],https://twitter.com/Mo_Solo78/status/1365357318821580804
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-02-27T21:11:02.000Z,"Doctor: Your son, Kevin will have to undergo a Hart transplant. 

Parents: [crying]. 

Doctor: You have to look for money, so you can see him laugh again.

#lagosfather #cryptocurrency",,,,,,[],https://twitter.com/Mo_Solo78/status/1365771448464379904
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-03-01T14:22:26.000Z,Wow. Just wow.,"Piers Morgan
@piersmorgan
 · Mar 1
*NEW COLUMN*
It takes a staggering degree of narcissism to play hard-done-by victims from your Californian mansion as the world reels from a pandemic & Prince Philip lies seriously ill in hospital. The only service Meghan and Harry know is self-service.
https://dailymail.co.uk/news/article-9312509/PIERS-MORGAN-service-Meghan-Harry-know-self-service.html…",,,,,"['https://pbs.twimg.com/profile_images/1377917571069063169/yaOlvfak_mini.jpg', 'https://pbs.twimg.com/media/EvZmawwWQAE6dkU?format=jpg&name=small']",https://twitter.com/Mo_Solo78/status/1366393393996328962
Piers Morgan,@piersmorgan,2021-03-01T14:17:53.000Z,"*NEW COLUMN*
It takes a staggering degree of narcissism to play hard-done-by victims from your Californian mansion as the world reels from a pandemic & Prince Philip lies seriously ill in hospital. The only service Meghan and Harry know is self-service.
https://dailymail.co.uk/news/article-9312509/PIERS-MORGAN-service-Meghan-Harry-know-self-service.html…",,,2.2K,1.4K,9.1K,['https://pbs.twimg.com/media/EvZmawwWQAE6dkU?format=jpg&name=small'],https://twitter.com/piersmorgan/status/1366392250477985792
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-02-22T13:18:47.000Z,"Replying to 
@neiltyson",,,,,,['https://pbs.twimg.com/media/Eu1V2rgXEAEGytM?format=jpg&name=small'],https://twitter.com/Mo_Solo78/status/1363840662534242305
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-02-25T13:54:12.000Z,"@lewy_official
.",,,,,,['https://pbs.twimg.com/media/EvE6umAXUAMCtNy?format=jpg&name=small'],https://twitter.com/Mo_Solo78/status/1364936737156460550
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-02-25T13:55:28.000Z,"@CalvertLewin14
.",,,,,,['https://pbs.twimg.com/media/EvE7A-JWgAI3cwp?format=jpg&name=small'],https://twitter.com/Mo_Solo78/status/1364937058419159042
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-02-25T22:15:09.000Z,"@masongreenwood
.",,,,,,['https://pbs.twimg.com/media/EvGtYjkWYAogodN?format=jpg&name=small'],https://twitter.com/Mo_Solo78/status/1365062806702346240
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-03-01T14:16:39.000Z,"@Madders10
 @PUMA
 .",,💧,,,,['https://pbs.twimg.com/media/EvZmOGqXUAInFzo?format=jpg&name=900x900'],https://twitter.com/Mo_Solo78/status/1366391939541655554
Kim Kardashian West,@KimKardashian,2021-02-27T21:03:00.000Z,The best things in life aren’t things,,,2.9K,10.5K,175.4K,"['https://pbs.twimg.com/media/EvQwDiBVEAA6aQv?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EvQwDiBVgAUp6OS?format=jpg&name=360x360']",https://twitter.com/KimKardashian/status/1365769426864234499
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-02-27T22:38:04.000Z,Kim Kardashian? . Just tweaked her a bit.,,🙃,,,2,['https://pbs.twimg.com/media/EvRFzoUXUAMHi_e?format=jpg&name=small'],https://twitter.com/Mo_Solo78/status/1365793349735710722
Portrait Paul,@pickupapainting,2021-03-16T18:04:46.000Z,"Replying to 
@Tesla","Just wanted to share my painting of 
@elonmusk",🖌 🎨,7,14,179,['https://pbs.twimg.com/media/EwnqRwKXAAA7lZV?format=jpg&name=900x900'],https://twitter.com/pickupapainting/status/1371885164431876096
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-03-16T18:16:44.000Z,Everyone retweet... This is amazing.,,,,2,8,[],https://twitter.com/Mo_Solo78/status/1371888176621613059
CJ,@redutddevil,2021-03-11T20:45:31.000Z,"Replying to 
@Amaddiallo_19",Top performance Amad bro,,10,50,260,['https://pbs.twimg.com/amplify_video_thumb/1370102225872113665/img/KZ7Fc-ffQUPq9QOU.jpg'],https://twitter.com/redutddevil/status/1370113679459504140
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-03-11T20:52:35.000Z,"Good player. Good video... Credit to the creator. Please, what's the song title?",,,,,6,[],https://twitter.com/Mo_Solo78/status/1370115458733633538
Larry Bear,@LarriyBear,2021-03-06T01:58:49.000Z,Larry is back,,,396,736,13.5K,[],https://twitter.com/LarriyBear/status/1368018196121456642
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-03-06T22:23:27.000Z,Okay? .,,👀,,,,[],https://twitter.com/Mo_Solo78/status/1368326385941553153
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-03-06T22:19:00.000Z,"Replying to 
@iamcardib","You look really different here, though. Kinda looking like 
@KMbappe
 .",😅,,,,[],https://twitter.com/Mo_Solo78/status/1368325267299635202
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-03-09T08:30:25.000Z,"Replying to 
@BigMan_Xander
 and 
@BiyiThePlug",,,,,1,['https://pbs.twimg.com/media/EwBjsZ-XEAAyTC0?format=jpg&name=small'],https://twitter.com/Mo_Solo78/status/1369203911626788864
no context tottenham,@nocontextspurs,2020-09-14T05:58:29.000Z,,,,551,4.8K,21.2K,['https://pbs.twimg.com/ext_tw_video_thumb/1305385377243566080/pu/img/Bj0XJJu7_b1vVj-4.jpg'],https://twitter.com/nocontextspurs/status/1305385410814783488
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-03-05T00:55:43.000Z,@DownloaderBot,,,,,,[],https://twitter.com/Mo_Solo78/status/1367639930080530433
The Washington Post,@washingtonpost,2021-03-18T17:38:57.000Z,Opinion: America is incredibly divided. Superheroes can teach us how to come together again.,"Opinion | America is incredibly divided. Superheroes can teach us how to come together again.
For all they have incredible powers, superheroes still have to work together to overcome differences in ideology and worldview.
washingtonpost.com",,321,651,225,['https://pbs.twimg.com/card_img/1430016834229649410/u6oHDgej?format=jpg&name=small'],https://twitter.com/washingtonpost/status/1372603443735592964
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-03-18T17:59:02.000Z,Nice write-up.,GIF,,,,,['https://pbs.twimg.com/tweet_video_thumb/Ewx8JI1XIAki4tx.jpg'],https://twitter.com/Mo_Solo78/status/1372608496768794624
United Zone,@ManUnitedZone_,2021-04-11T18:35:20.000Z,"Replying to 
@ManUnitedZone_","- 
@footballdaily",🎥,130,313,991,[],https://twitter.com/ManUnitedZone_/status/1381314944050868229
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-11T23:59:02.000Z,@DownloaderBot,,,,,,[],https://twitter.com/Mo_Solo78/status/1381396405042970624
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-15T23:34:06.000Z,"Replying to 
@FootyAccums
 and 
@ChampionsLeague",@DownloaderBot,,,,,[],https://twitter.com/Mo_Solo78/status/1382839680425672705
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-15T09:28:22.000Z,"Replying to 
@g_o_a_ts",@DownloaderBot,,,,,[],https://twitter.com/Mo_Solo78/status/1382626845150089217
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T13:22:04.000Z,"When you achieved a small milestone but you still want to celebrate it.

#TheExtraSpecialBand","0:12
25 views",,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1385947073502224389/pu/img/vQW1ZjItGfZ0c2Yn.jpg'],https://twitter.com/Mo_Solo78/status/1385947146927624192
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T13:14:15.000Z,"The bromance .

#friends #France #USA",,😅 ♥,,,,"['https://pbs.twimg.com/media/EzvdyTgWUAAt1RD?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EzvdyzHWQAEisUz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ezvdyd_XMAEh8TN?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EzvdzCkXsAQiT93?format=jpg&name=360x360']",https://twitter.com/Mo_Solo78/status/1385945182504423426
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-29T21:21:02.000Z,No way .,"Connor
@connordixonn8
 · Apr 29
Replying to @brfootball
Rome was built in a day and destroyed in 90 minutes",😂 💀,,,,['https://pbs.twimg.com/profile_images/1407032392402022406/kXI2H64x_mini.jpg'],https://twitter.com/Mo_Solo78/status/1387879625213321223
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T12:34:35.000Z,"Sold your souls to the ESL, now you can't leave .","Sky Sports News
@SkySportsNews
 · Apr 24
Florentino Perez says the 12 clubs who were to found the Super League cannot abandon it due to binding contracts, and promised the project would return.",😂,,,,['https://pbs.twimg.com/profile_images/1346184104346267648/DMeDS04X_mini.jpg'],https://twitter.com/Mo_Solo78/status/1385935198634790912
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T19:34:52.000Z,Freedom. Feels good.,"Reuters
@Reuters
 · Apr 24
Cows at a farm seem to jump for joy at Sweden's traditional 'cow release' when they are let out for the first time after winter ",🐮,,,,"['https://pbs.twimg.com/profile_images/1194751949821939712/3VBu4_Sa_mini.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1385956094195822595/img/xbI7VxI9lzYunSPV.jpg']",https://twitter.com/Mo_Solo78/status/1386040967946547208
Baby,@fadererah_,2021-04-24T18:50:36.000Z,Call me baby,,❤ 🌶 🌶 🌶 🥵 ❤,120,121,977,['https://pbs.twimg.com/media/EzwqxMYWYAAUNTu?format=jpg&name=medium'],https://twitter.com/fadererah_/status/1386029824930615301
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T19:27:42.000Z,Nice chain.,,,,,1,[],https://twitter.com/Mo_Solo78/status/1386039161438806019
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T13:07:19.000Z,Follow back? .,,🧐,,,2,[],https://twitter.com/Mo_Solo78/status/1385943435429941253
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T12:15:55.000Z,"When you go, multitudes will cry. Not me, but it'll be sad to see you go. I'll miss you and Ronaldo . I'll want to see if people will still continue the Messi-Ronaldo Arguments™ .","Nwdstmcd Lnqzcdwn.
@Mo_Solo78
 · Apr 24
Replying to @brfootball",😂 😅,,,,"['https://pbs.twimg.com/profile_images/1390083932759203846/mnNyxiLz_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1385897744104136705/pu/img/K-0K9u08DLijBidq.jpg']",https://twitter.com/Mo_Solo78/status/1385930501656039427
THE DRACULÂ,@Blackdraculaa,2021-04-24T13:14:40.000Z,"Replying to 
@Mo_Solo78
 and 
@ESooo49",Follow back @Reebosome,💀,1,,2,[],https://twitter.com/Blackdraculaa/status/1385945287756238848
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T13:15:17.000Z,Okay. Awaiting yours...,,,,,,[],https://twitter.com/Mo_Solo78/status/1385945442219921408
Temisan™,@_itsbolaji,2021-04-24T13:12:47.000Z,Im following the first 30 that follows me .. Let's gain instantly  ,,♥ 🍒 💬,1,,3,[],https://twitter.com/_itsbolaji/status/1385944812260667397
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T13:14:41.000Z,"Done, a while ago .",,🧐,,,,[],https://twitter.com/Mo_Solo78/status/1385945290310627329
Brian,@Galaxysseus,2021-04-25T22:15:18.000Z,"Replying to 
@MLS
 and 
@CH14_",How to find on GIPHY? Help a G out.,,1,,,[],https://twitter.com/Galaxysseus/status/1386443727636353025
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-25T22:16:00.000Z,"Just download it with 
@DownloaderBot
. That should help.",,,,,,[],https://twitter.com/Mo_Solo78/status/1386443905743433732
Mary,@Marydeyforyou,2021-04-24T13:03:10.000Z,"It's been long, I'm following back the fastest 62 handles to follow me now ",,🔱 🙏 🙏,29,30,93,[],https://twitter.com/Marydeyforyou/status/1385942393086615557
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T13:08:08.000Z,I follow back with the speed of light. Thanks for the follow .,,🤲,,,1,[],https://twitter.com/Mo_Solo78/status/1385943641022160899
kakashi Hatake ,@NaijaArsenal,2021-04-24T11:09:54.000Z,"Replying to 
@Mo_Solo78
 and 
@brfootball","Messi FC, he's finished by the way.",,2,,,[],https://twitter.com/NaijaArsenal/status/1385913889527902209
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T12:12:17.000Z,Well... The harsh reality is that anything that is good doesn't last forever.,,,,,,[],https://twitter.com/Mo_Solo78/status/1385929586861543424
,@SylverSylveste1,2021-04-24T19:07:24.000Z,"The K and M Twitter niggas 
Make una pity me nah
Nah 1 follow since last year oh
This life no balance",,👻,2,1,1,[],https://twitter.com/SylverSylveste1/status/1386034052466192387
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T19:16:59.000Z,Life is hard on Twitter's streets .,,😂,1,,1,[],https://twitter.com/Mo_Solo78/status/1386036464786550785
,@SylverSylveste1,2021-04-24T19:32:08.000Z,"Replying to 
@Mo_Solo78","To just follow oh
I can't take it oh
I say make I cry out
Money no dey
Followers too no dey
Ahah",👻,1,,,[],https://twitter.com/SylverSylveste1/status/1386040278528757763
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T19:36:10.000Z,"Don't worry. Just enjoy the tweets and when you have the dough, you can upgrade but try to engage those tweets on ""follow for a follow"".",,,1,,1,[],https://twitter.com/Mo_Solo78/status/1386041291750969345
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T19:31:27.000Z,"Replying to 
@duke_cbe
 and 
@Spend0Gustav0","And in his mind he surely thinks he's a very handsome chap but writes ""I'm ugly"". Okay, man . 

You look good, by the way.",😂,,,,[],https://twitter.com/Mo_Solo78/status/1386040105555701761
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T19:20:05.000Z,"Replying to 
@meet__richie
 @Bella_d_pearl
 and 9 others",,,1,,1,['https://pbs.twimg.com/media/EzwxgyJWUAEyWV2?format=jpg&name=small'],https://twitter.com/Mo_Solo78/status/1386037246739075076
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-25T22:12:58.000Z,"Replying to 
@brfootball
 and 
@MLS",,,,,,['https://pbs.twimg.com/media/Ez2irO5WEAILmVe?format=jpg&name=900x900'],https://twitter.com/Mo_Solo78/status/1386443140702289922
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T19:10:03.000Z,"Replying to 
@Phenomenalguy_
 and 
@Spend0Gustav0",Wow.,,,,,['https://pbs.twimg.com/media/EzwvOm2WQAM1_0k?format=jpg&name=small'],https://twitter.com/Mo_Solo78/status/1386034720295825410
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T19:26:43.000Z,"Replying to 
@Bella_d_pearl
 and 
@gziiie","Aye aye, captain .",😅,,,1,[],https://twitter.com/Mo_Solo78/status/1386038914440388610
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T19:34:59.000Z,"Replying to 
@Reuters",@DownloaderBot,,,,,[],https://twitter.com/Mo_Solo78/status/1386040995507228676
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T12:40:29.000Z,"Replying to 
@thesmiyo",I follow back with the speed of light .,⚡,,,,[],https://twitter.com/Mo_Solo78/status/1385936681870766084
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-29T23:18:36.000Z,"Replying to 
@ManUtd
 and 
@B_Fernandes8",@DownloaderBot,,1,,,[],https://twitter.com/Mo_Solo78/status/1387909209493225475
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-29T23:28:42.000Z,"Replying to 
@DaRockSayz
 and 
@tobyswurld",@DownloaderBot,,1,,,[],https://twitter.com/Mo_Solo78/status/1387911752235499526
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T19:12:58.000Z,"Replying to 
@brfootball
 and 
@NYCFC",,,,1,15,['https://pbs.twimg.com/ext_tw_video_thumb/1386035389270462468/pu/img/FWMevFaWR9_yNfs4.jpg'],https://twitter.com/Mo_Solo78/status/1386035457138511877
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-25T22:01:03.000Z,"Replying to 
@meenart___
 and 
@ogennakyle",@DownloaderBot,,1,,,[],https://twitter.com/Mo_Solo78/status/1386440141678465035
Major League Soccer,@MLS,2021-04-25T22:14:26.000Z," @CH14_
 ",GIF,📞 📞,8,71,474,['https://pbs.twimg.com/tweet_video_thumb/Ez2hwNyXoAIGrTW.jpg'],https://twitter.com/MLS/status/1386443510216282112
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-25T22:15:34.000Z,@DownloaderBot,,,1,,,[],https://twitter.com/Mo_Solo78/status/1386443794632036353
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-04-24T10:06:03.000Z,"Replying to 
@brfootball",,,1,1,3,[],https://twitter.com/Mo_Solo78/status/1385897821124038657
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-05-07T13:59:53.000Z,"https://vm.tiktok.com/ZMeqqD7yX/

Smash a like if you enjoyed it. Thanks. And share too...","Mo Solo on TikTok
Made this for the adorable @s2p33d . #cutegirl #adorable #s2p33d #aesthetic
tiktok.com",😊,,,,[],https://twitter.com/Mo_Solo78/status/1390667707402555392
REMA,@heisrema,2021-05-01T11:31:05.000Z,"I will repeat my clothes, I don’t care if I’ve worn it before, laugh at me all you want I bought it with my hard earned money, I’m rich you’re not and you’re judging me? Lol some of your favs are owing they stylist and that’s FACTS!",,,1.9K,16.7K,70.5K,[],https://twitter.com/heisrema/status/1388455933303562241
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-05-01T12:51:34.000Z,"Mayday, mayday! We just lost April. It seems we just lost another one.",,,,,1,['https://pbs.twimg.com/media/E0Tbu99WQAUalIS?format=jpg&name=small'],https://twitter.com/Mo_Solo78/status/1388476187652108290
B/R Football,@brfootball,2021-05-01T12:55:00.000Z,"May 1, 2005: Goal 1 of 668 for Lionel Messi at Barcelona.

(: 
@FCBarcelona
)","From 
FC Barcelona",🎥,67,1.4K,9.7K,['https://pbs.twimg.com/media/D5et9J9W4AAqrHO.jpg'],https://twitter.com/brfootball/status/1388477052647510016
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-05-01T12:58:30.000Z,Nice.,,,,,,['https://pbs.twimg.com/media/E0TdUjNXsAIqJFv?format=jpg&name=small'],https://twitter.com/Mo_Solo78/status/1388477932616695808
UEFA Champions League,@ChampionsLeague,2021-05-05T23:13:51.000Z," Mason Mount: ""I can't put it into words, really. I haven't won anything yet, and hopefully we can win. It's going to be a stunning game [against Manchester City].""

#UCL",,🗣,84,1.1K,12.8K,"['https://pbs.twimg.com/media/E0qPsv5WYAM7q3w?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E0qPuc7WUAE910E?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E0qPswrWEAYmDjO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E0qPudiXsAAlyQ_?format=jpg&name=360x360']",https://twitter.com/ChampionsLeague/status/1390082343298379778
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-05-05T23:15:43.000Z,"Me, a Manchester United fan:",,,1,,4,['https://pbs.twimg.com/media/E0qQ80gWYAM0qv3?format=jpg&name=small'],https://twitter.com/Mo_Solo78/status/1390082812846514179
Frags,@CFCFrags,2021-05-05T23:17:11.000Z,"Replying to 
@Mo_Solo78
 @ChampionsLeague
 and 
@ChelseaFC",Well the best greenwood can do is win the UEL...,,1,,4,[],https://twitter.com/CFCFrags/status/1390083179789406208
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-05-05T23:18:27.000Z,"At least, it's still something man .",,🤲,,,2,[],https://twitter.com/Mo_Solo78/status/1390083498158051328
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-05-01T12:45:32.000Z,"Replying to 
@spydermanne_
 and 
@heisrema",@DownloaderBot,,,,1,[],https://twitter.com/Mo_Solo78/status/1388474667619454979
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-05-01T12:56:57.000Z,"Replying to 
@brfootball
 and 
@FCBarcelona",@DownloaderBot,,,,,[],https://twitter.com/Mo_Solo78/status/1388477543343349762
Nwdstmcd Lnqzcdwn.,@Mo_Solo78,2021-05-01T12:59:12.000Z,"Replying to 
@iamkingmonye
 and 
@Spend0Gustav0",@DownloaderBot,,,,,[],https://twitter.com/Mo_Solo78/status/1388478109096333319
