UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Modesto Delarosa,@ModestoDelaros4,2021-07-18T02:43:15.000Z,"Replying to 
@JenBretty",Wow love it,,,,,[],https://twitter.com/ModestoDelaros4/status/1416589354504491010
Modesto Delarosa,@ModestoDelaros4,2021-07-23T21:28:01.000Z,"Replying to 
@therealchela
 and 
@BAEvolving",,😍 😍 😍 😘 😘 😋,,,2,[],https://twitter.com/ModestoDelaros4/status/1418684349008994305
Modesto Delarosa,@ModestoDelaros4,2021-08-07T22:40:57.000Z,"Replying to 
@yonceir",Wow,,,,,[],https://twitter.com/ModestoDelaros4/status/1424138521896439815
Fenty Cop,@FentyCop,2021-08-20T00:12:55.000Z,something about Rihanna,,,45,1K,9.6K,['https://pbs.twimg.com/media/E9MWjlJWEAE10pE?format=jpg&name=900x900'],https://twitter.com/FentyCop/status/1428510319589085189
Modesto Delarosa,@ModestoDelaros4,2021-08-20T06:44:37.000Z,Wow Rihanna,,,,,,[],https://twitter.com/ModestoDelaros4/status/1428608896969678848
a,@rihgem,2021-08-21T15:24:40.000Z,"Rihanna in Versace, 2017",,,2,6,60,"['https://pbs.twimg.com/media/E9Uw1DdWYAgwI-z?format=jpg&name=small', 'https://pbs.twimg.com/media/E9Uw1DmXIAAmL89?format=jpg&name=360x360']",https://twitter.com/rihgem/status/1429102156808925184
Modesto Delarosa,@ModestoDelaros4,2021-08-23T06:37:33.000Z,Wow Rihanna ,,😍 😘,,,,[],https://twitter.com/ModestoDelaros4/status/1429694279002296326
Modesto Delarosa,@ModestoDelaros4,2021-08-24T06:45:16.000Z,"Replying to 
@OnlyTheBest4You
 and 
@sexhorrorrock",Wow Hillary,,,,1,[],https://twitter.com/ModestoDelaros4/status/1430058608298012686
Modesto Delarosa,@ModestoDelaros4,2021-08-19T04:59:07.000Z,"Replying to 
@JanetJackson",Wow beautiful Janet fan of you since 1986,😍,,,,[],https://twitter.com/ModestoDelaros4/status/1428219958178295808
Modesto Delarosa,@ModestoDelaros4,2021-08-24T06:08:31.000Z,"Replying to 
@maddymargaritaa",Wow beautiful Maddy,,,,,[],https://twitter.com/ModestoDelaros4/status/1430049359945773086
ᴀʀᴛʜ,@arthfobic,2021-08-19T14:42:16.000Z,Beyoncé for #IVYPARKRODEO,,,15,270,2.4K,['https://pbs.twimg.com/media/E9KT8TLUcAMFvXc?format=jpg&name=small'],https://twitter.com/arthfobic/status/1428366710583685120
Modesto Delarosa,@ModestoDelaros4,2021-08-21T06:42:24.000Z,Wow that ass is amazing,,,,,1,[],https://twitter.com/ModestoDelaros4/status/1428970725399011329
Modesto Delarosa,@ModestoDelaros4,2021-08-27T06:46:17.000Z,"Replying to 
@aniistonn",,😍 😍 😍 😘 😘,,,,[],https://twitter.com/ModestoDelaros4/status/1431146030620418049
ॐCarolina Sandovalॐ,@VenenoSandoval,2021-08-19T23:38:55.000Z,"Esta también soy yo La Ansiedad y yo https://youtu.be/lEuvX-P9LfY via 
@YouTube",,,3,3,34,['https://pbs.twimg.com/media/E9MOyDCX0AUhugl?format=jpg&name=small'],https://twitter.com/VenenoSandoval/status/1428501765486485509
Modesto Delarosa,@ModestoDelaros4,2021-08-20T06:31:46.000Z,Wow bella Mi Carolina lo malo que no esta soltera,,,,,,[],https://twitter.com/ModestoDelaros4/status/1428605662041366530
