UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-07-29T19:01:15.000Z,You want to earn cash come join in the fun here at webull,"COLLECT ALL 4 SLICES AND GET A SHARE OF $PZZA!
act.webull.com",,,,,['https://pbs.twimg.com/card_img/1430461527811837959/aPtPuweW?format=png&name=small'],https://twitter.com/MrRogerLStewar2/status/1420821741191012358
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-08-06T01:36:18.000Z,That’s what’s happens,,,,,,[],https://twitter.com/MrRogerLStewar2/status/1423457874852950019
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-08-06T01:44:33.000Z,AVAILABLE RIGHT NOW FOR THE LOW LOW GET IT BEFORE ItS TAKEN The whole package is yours for only…..,,,,,,['https://pbs.twimg.com/media/E8ElRnyWQAA4zOO?format=jpg&name=900x900'],https://twitter.com/MrRogerLStewar2/status/1423459952002224134
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-08-27T14:40:17.000Z,"USD, Please contact 
@coinstats
 to join #coinstatsupdates",,,,,,[],https://twitter.com/MrRogerLStewar2/status/1431265313597890563
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-08-11T20:18:12.000Z,Look at this... ,"Found this on Pinterest
Discover even more ideas for you
pinterest.com",👀,,,,[],https://twitter.com/MrRogerLStewar2/status/1425552150579589130
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-08-04T04:32:49.000Z,Come get a slice,"COLLECT ALL 4 SLICES AND GET A SHARE OF $PZZA!
act.webull.com",,,,,['https://pbs.twimg.com/card_img/1430461527811837959/aPtPuweW?format=png&name=small'],https://twitter.com/MrRogerLStewar2/status/1422777518923395073
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-08-17T14:34:42.000Z,Unless you're for the good in this world we don't negotiate with terrorists.,,,,,,[],https://twitter.com/MrRogerLStewar2/status/1427640033507516418
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-08-04T19:46:53.000Z,All I’m saying about the pull back in the AMC Deal is that I let my money work for me not because I like what I buy but because it makes me money facts,,,,,,[],https://twitter.com/MrRogerLStewar2/status/1423007554045685767
LilMoonLambo,@LilMoonLambo,2021-08-17T07:32:27.000Z,crypto traders with their egirls,,,410,1K,9.7K,['https://pbs.twimg.com/media/E8-VMgzXsBoC9Sr?format=jpg&name=small'],https://twitter.com/LilMoonLambo/status/1427533768441618432
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-08-18T17:41:25.000Z,"@Expedia
 I love New York because it is a tru reparation of Freedom here where the heart of Capitalism is back!!!",,,,,,[],https://twitter.com/MrRogerLStewar2/status/1428049409993056263
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-08-18T17:50:34.000Z,"Replying to 
@CarmellaWWE",You can smack me down,,,,,[],https://twitter.com/MrRogerLStewar2/status/1428051710287785986
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-08-25T12:44:52.000Z,"@ElrondNetwork
 is this the future?",,,,,,[],https://twitter.com/MrRogerLStewar2/status/1430511494140239878
bratttyyy,@bratttyyy1,2021-08-17T01:07:46.000Z,All ima say is Asian been having money  BEENNNN.,,🧸 🎀 🧸 😂,4,23,358,[],https://twitter.com/bratttyyy1/status/1427436958993764358
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-08-18T17:56:44.000Z,Glad that we could pay them what we owed dem,,,,,,[],https://twitter.com/MrRogerLStewar2/status/1428053262922571777
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-07-31T03:14:48.000Z,"Replying to 
@JLPDAOfficial
 and 
@YaOnlyLivvOnce",I don’t understand,,,,,[],https://twitter.com/MrRogerLStewar2/status/1421308337581404161
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-08-20T03:43:56.000Z,History of SNDL get ready it's gonna be one hell of a ride starting tomorrowladies and gentlemen https://webullapp.com/ticker/NASDAQ-SNDL/predictionHistory?theme=0&color=2&hl=en&showTrade=1…,,,,,,[],https://twitter.com/MrRogerLStewar2/status/1428563426645794819
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-08-11T05:43:42.000Z,"Get Delta Investment Tracker. Your ultimate portfolio tracker with crypto, stocks, mutual funds, ETFs, indices and much more. Get alerts so you don’t miss out. It’s free!","Get Delta! Investment Tracker for Crypto, Stocks & Investments
Get Delta Investment Tracker. Your ultimate portfolio tracker with crypto, stocks, mutual funds, ETFs, indices and much more. Get alerts so you don’t miss out. It’s free!
delta.app",,,,,['https://pbs.twimg.com/card_img/1433331507570089985/QW1NNPHu?format=jpg&name=small'],https://twitter.com/MrRogerLStewar2/status/1425332072026152962
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-08-03T07:58:17.000Z,"Replying to 
@salgrisafi_02
 @WWE
 and 
@YaOnlyLivvOnce",Love it!!!,,,,,[],https://twitter.com/MrRogerLStewar2/status/1422466840488521743
BlizWiz55,@TheBlizWiz55,2020-12-31T06:39:26.000Z,"I'm sorry but who ever you are, just know you are a complete scumbag. 
@KEEMSTAR
  #apollolegend",,,3,1,10,['https://pbs.twimg.com/media/Eqi-L7vXcAErnlH?format=jpg&name=small'],https://twitter.com/TheBlizWiz55/status/1344533604110651393
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-08-18T17:46:25.000Z,Thank you I love and will pray for you to discover all good things in life God Bless You,,,,,,[],https://twitter.com/MrRogerLStewar2/status/1428050666589728780
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-08-06T01:37:03.000Z,Kryp2Kid@get_delta,,,,,,[],https://twitter.com/MrRogerLStewar2/status/1423458063458181125
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-08-17T11:55:49.000Z,https://instagram.com/p/CSpuyC2MdMh/?utm_medium=share_sheet…,,,,,,[],https://twitter.com/MrRogerLStewar2/status/1427600047194136581
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-08-06T02:39:53.000Z,@get_delta,,,1,,,['https://pbs.twimg.com/media/E8Ex8a_WEAUT3MU?format=jpg&name=900x900'],https://twitter.com/MrRogerLStewar2/status/1423473874595950594
Mr Roger L Stewart Sr,@MrRogerLStewar2,2021-08-18T18:20:20.000Z,"Replying to 
@EllaRose_WWE",Na na na,,,,,[],https://twitter.com/MrRogerLStewar2/status/1428059203768307716
