UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Prettyboyfredo,@Prettyboyfredo,2021-01-29T23:49:10.000Z,Drop your cash app ,,🎸 💕 🦋 ☺ 💕,5.2K,465,3.7K,[],https://twitter.com/Prettyboyfredo/status/1355301994647478279
Desirae Ingle,@MuffinxMadness,2021-01-30T00:27:45.000Z,$CupcakesBabygirl,,,,,,[],https://twitter.com/MuffinxMadness/status/1355311705518125056
JAYE CANE,@Jayecane,2021-01-23T03:42:19.000Z,Post your cashapp PayPal now !!! Post it 5 times each !,,,257,30,82,[],https://twitter.com/Jayecane/status/1352823952075354119
Desirae Ingle,@MuffinxMadness,2021-01-23T03:43:20.000Z,.... $CupcakesBabygirl,,,,,,[],https://twitter.com/MuffinxMadness/status/1352824211228786690
Desirae Ingle,@MuffinxMadness,2021-01-23T03:43:06.000Z,"Replying to 
@Jayecane",..  $CupcakesBabygirl,,,,,[],https://twitter.com/MuffinxMadness/status/1352824152462397441
Desirae Ingle,@MuffinxMadness,2021-01-23T03:43:59.000Z,"Replying to 
@Jayecane","......,.    $CupcakesBabygirl",,,,,[],https://twitter.com/MuffinxMadness/status/1352824373879693318
Desirae Ingle,@MuffinxMadness,2021-01-23T03:43:45.000Z,"Replying to 
@Jayecane",$CupcakesBabygirl   ...,,,,,[],https://twitter.com/MuffinxMadness/status/1352824312940670979
Carl Pei,@getpeid,2021-01-28T01:58:43.000Z,What music streaming service do you use?,"Spotify
52.5%
Apple Music
7.3%
YouTube Music
16.9%
Other
23.3%
25,325 votes
·
Final results",,330,124,1.7K,[],https://twitter.com/getpeid/status/1354609821660549121
Desirae Ingle,@MuffinxMadness,2021-01-28T02:04:45.000Z,I use YouTube Music 95% of the time and Pandora or iHeartRadio for the rest.,,,,,,[],https://twitter.com/MuffinxMadness/status/1354611341244444673
JAYE CANE,@Jayecane,2021-01-22T21:03:47.000Z,Who else needs $40.00 ?? Comment FASSSSTTTT 5 times ! and retweet,,,348,74,121,[],https://twitter.com/Jayecane/status/1352723657706139650
Desirae Ingle,@MuffinxMadness,2021-01-22T21:09:33.000Z,I need a new phone this one is to damn slow :( It won't let me be fasssst,,,1,,,[],https://twitter.com/MuffinxMadness/status/1352725110122311686
JAYE CANE,@Jayecane,2021-01-23T01:09:00.000Z,I want to send you $200 right now for food,,,176,78,185,[],https://twitter.com/Jayecane/status/1352785371155849219
Desirae Ingle,@MuffinxMadness,2021-01-23T01:36:51.000Z,I'm hungry! I don't need that much $25 would be good. $CupcakesBabygirl,"Pay Desirae Ingle using PayPal.Me
Go to paypal.me/CupcakesBabygirl and type in the amount. Since it’s PayPal, it's easy and secure. Don’t have a PayPal account? No worries.
paypal.com",,,,,['https://pbs.twimg.com/card_img/1430717858812735490/ANxg8Asn?format=png&name=240x240'],https://twitter.com/MuffinxMadness/status/1352792379439378432
Desirae Ingle,@MuffinxMadness,2021-01-22T20:56:50.000Z,"Replying to 
@Jayecane
 @JoinClubhouse
 and 
@therealjamore",Hey hey hey,,1,,,[],https://twitter.com/MuffinxMadness/status/1352721912263278592
Desirae Ingle,@MuffinxMadness,2021-01-29T04:33:15.000Z,"Replying to 
@marcuslemonis","I like that! I hope one day I will have a lot of money so that way I can make other peoples lives a little bit better, I already try to do anything and everything others want but I'm not wanted around unless I have money to give.",,,,,[],https://twitter.com/MuffinxMadness/status/1355011097519124480
