UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Mymy,@MylanLassagne,2021-01-10T21:59:06.000Z,"Replying to 
@dahnah_",885 Mylan,🤯,1,,,[],https://twitter.com/MylanLassagne/status/1348388926000668675
Mymy,@MylanLassagne,2021-01-10T22:22:17.000Z,"Replying to 
@batouraaa",Freeze coroleone,,,,,[],https://twitter.com/MylanLassagne/status/1348394761607127042
Mymy,@MylanLassagne,2021-01-13T07:14:28.000Z,"Replying to 
@LS_Skyreeth",Bon anniversaire,,1,,1,[],https://twitter.com/MylanLassagne/status/1349253465625812992
Mymy,@MylanLassagne,2021-01-06T19:19:22.000Z,Ma nouvelle passion les mêmes,GIF,,,,,['https://pbs.twimg.com/tweet_video_thumb/ErElp7xXEAMYwDd.jpg'],https://twitter.com/MylanLassagne/status/1346899174500032514
Mymy,@MylanLassagne,2021-01-13T21:08:35.000Z,"Replying to 
@yoooo_pdr",,,,,1,['https://pbs.twimg.com/media/ErpByhkWMAELkuP?format=jpg&name=small'],https://twitter.com/MylanLassagne/status/1349463378000044033
Mymy,@MylanLassagne,2021-01-06T19:13:57.000Z,"Replying to 
@AdzTV",,,,,1,['https://pbs.twimg.com/tweet_video_thumb/ErEkZdJXcAIAV1S.jpg'],https://twitter.com/MylanLassagne/status/1346897811703558145
Mymy,@MylanLassagne,2021-01-15T23:08:48.000Z,"Replying to 
@stefkstc",Fait pas le choqué,,1,,1,['https://pbs.twimg.com/tweet_video_thumb/ErzweLkWMAEZ1rA.jpg'],https://twitter.com/MylanLassagne/status/1350218407334060034
Mymy,@MylanLassagne,2021-01-06T19:22:24.000Z,"Replying to 
@Omiigo_
 and 
@oh4zr",,,,,1,['https://pbs.twimg.com/tweet_video_thumb/ErEmWYjXUAcLxaU.jpg'],https://twitter.com/MylanLassagne/status/1346899938135961603
Mymy,@MylanLassagne,2021-01-13T07:17:33.000Z,"Replying to 
@KLS_Clelie",Sah ouais,,,,,[],https://twitter.com/MylanLassagne/status/1349254242352189442
Mymy,@MylanLassagne,2021-01-11T21:29:39.000Z,"Replying to 
@Omiigo_",V pour les ,👀,,,,[],https://twitter.com/MylanLassagne/status/1348743902745006085
Mymy,@MylanLassagne,2021-01-10T22:25:53.000Z,"Replying to 
@batouraaa",P-N-L,,,,,[],https://twitter.com/MylanLassagne/status/1348395667446779905
RedanZz,@LS_Redan,2021-01-11T21:27:04.000Z,Imaginez il se fait ban pour copyright,,,2,,1,[],https://twitter.com/LS_Redan/status/1348743253298991119
Mymy,@MylanLassagne,2021-01-11T21:28:39.000Z,Eh ben le dernier stream de sa vie i' l'aura marqué ,,😂,,,,[],https://twitter.com/MylanLassagne/status/1348743650881245193
Mymy,@MylanLassagne,2021-01-07T17:34:29.000Z,"Replying to 
@Stann_LS",La M-O-U-L-A,,,,,[],https://twitter.com/MylanLassagne/status/1347235167803375616
Mymy,@MylanLassagne,2021-01-06T23:08:49.000Z,Okkkk,,,,,,[],https://twitter.com/MylanLassagne/status/1346956918498144256
