UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Joy 99.7 FM,@Joy997FM,2021-01-16T17:04:06.000Z,All the songs Shatta Wale gave out to me were just noise. - Blakk Rasta #ShowbizAtoZ,,,108,239,1.3K,[],https://twitter.com/Joy997FM/status/1350489013807935492
rhati,@Nana72198764,2021-01-17T11:22:54.000Z,WHO IS TALKING..... HAAA,,,,,,[],https://twitter.com/Nana72198764/status/1350765536016289795
Edem Agbana,@edemagbana,2021-01-15T08:19:46.000Z,LET IT BE KNOWN TO ALL - Any journalist who believes Hon A.S.K BAGBIN was selected & not elected is DUMB !!! The whole country kept vigil watching the election ONLY for some cheap journalists to buy into the NPP propaganda that OCQUAYE withdrew from the race... Such Nonsense,,,32,94,455,[],https://twitter.com/edemagbana/status/1349994673054638080
rhati,@Nana72198764,2021-01-15T20:19:57.000Z,Media concert..... lol,,,,,,[],https://twitter.com/Nana72198764/status/1350175912046845952
Joy Prime,@JoyPrimeTV,2021-01-13T06:40:59.000Z,"Some concerned Youth of Tema West constituency have petitioned for the removal of their MP, Carlos Ahenkorah. #PrimeMorning",,,2,6,18,[],https://twitter.com/JoyPrimeTV/status/1349245038052716544
rhati,@Nana72198764,2021-01-13T10:15:45.000Z,3y3 UK anka wa resign.... Good the descerning youth don't want to be led by such a dishonorable person utter disgrace to the whole constituency.....,,,,,,[],https://twitter.com/Nana72198764/status/1349299085950464001
Joy 99.7 FM,@Joy997FM,2021-01-13T08:50:12.000Z,"Rate the Finance Minister.

Tweet at us with the hashtag #JoySMS",,,128,22,230,['https://pbs.twimg.com/media/ErmYxkwXcAEdGbx?format=png&name=small'],https://twitter.com/Joy997FM/status/1349277558244827137
rhati,@Nana72198764,2021-01-13T09:56:57.000Z,"Corruption Master Mind.,.....A Smart Thief",,,,,1,[],https://twitter.com/Nana72198764/status/1349294356080041984
Memphis Depay,@Memphis,2021-01-15T19:07:34.000Z,"Wish I could’ve brought more to the table in the time i played together with this legend.

Today you retire as a football player but the journey continues.
Coach WR10 it is now.
Wish you all the best Wazza! 

LEGENDARY PLAYER!!! ",,⚽,103,2K,21.4K,"['https://pbs.twimg.com/media/Ery5Q8yXUAY3wSG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ery5Q86XUAAwKmS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ery5Q83W8AgwimL?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ery5Q8-XEAATMiF?format=jpg&name=360x360']",https://twitter.com/Memphis/status/1350157699737137152
rhati,@Nana72198764,2021-01-15T19:47:22.000Z,Our doors are widely open for a few specially u bro..... #untd4ever,,,,,,[],https://twitter.com/Nana72198764/status/1350167712425766917
Mr. Arthur,@PaaChicharito,2021-01-01T11:39:31.000Z,"Replying to 
@AccraGtOlympics",Wey club sef this,✌,2,,,[],https://twitter.com/PaaChicharito/status/1344971511296385024
rhati,@Nana72198764,2021-01-01T16:11:56.000Z,Respect urself........,,,,,,[],https://twitter.com/Nana72198764/status/1345040070030618626
