UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Nicholas Conner,@Nconner2k19,2021-08-26T08:01:04.000Z,"I’ve got #TheKingandAD, who’d you pick?","0:04
Tweet #TheKingandAD
Tweet #TheBeardandWestbrook",,,,,[],https://twitter.com/Nconner2k19/status/1430802460516442119
Nicholas Conner,@Nconner2k19,2021-08-23T11:06:22.000Z,Add me on snapchat:nickdrummer2017,,,,,,[],https://twitter.com/Nconner2k19/status/1429761930043002882
S I M P L I C I T Y,@kraveleigh,2021-08-18T03:54:09.000Z,#pvamu what’s yall snapchats ,,✨ 👀,165,8,91,[],https://twitter.com/kraveleigh/status/1427841219162513422
Nicholas Conner,@Nconner2k19,2021-08-18T20:44:06.000Z,nickdrummer2017,,,,,,[],https://twitter.com/Nconner2k19/status/1428095382974836747
nalle,@nallet01,2021-08-15T17:25:21.000Z,I wanna go to six flags,,,1,5,6,[],https://twitter.com/nallet01/status/1426958201631789058
Nicholas Conner,@Nconner2k19,2021-08-16T03:58:35.000Z,Me too,,,,,,[],https://twitter.com/Nconner2k19/status/1427117561494315008
lilmaari,@ahmariaaaa,2021-08-22T05:01:14.000Z,Happy Birthday to me ,,🦋 🤍,6,1,3,[],https://twitter.com/ahmariaaaa/status/1429307652245446657
Nicholas Conner,@Nconner2k19,2021-08-22T05:10:24.000Z,Happy birthday ,,❤ ❤ ❤ ❤,,,,[],https://twitter.com/Nconner2k19/status/1429309959297241090
Nicholas Conner,@Nconner2k19,2021-08-27T11:52:26.000Z,Happy national dog day,,,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1431223051320971264/pu/img/ej-wPfh75Acutcaf.jpg'],https://twitter.com/Nconner2k19/status/1431223074817511426
N’ Boston AREA currently,@TiaraTheDon2,2021-08-23T06:42:32.000Z,Talk to me nice  #TheGirlInThePic,,✈ 😋 😝 🤑 🤑 🥶,3,,8,[],https://twitter.com/TiaraTheDon2/status/1429695535225655296
Nicholas Conner,@Nconner2k19,2021-08-23T11:02:53.000Z,Can I add you on Snapchat?,,,,,,[],https://twitter.com/Nconner2k19/status/1429761053144109056
CARMEN,@carmendatako_,2021-08-15T06:12:16.000Z,,,,5,11,101,['https://pbs.twimg.com/media/E8z42_qXMAEG2zv?format=jpg&name=small'],https://twitter.com/carmendatako_/status/1426788814480084992
Nicholas Conner,@Nconner2k19,2021-08-15T12:08:06.000Z,,,❤ ❤ ❤ ❤,,,,[],https://twitter.com/Nconner2k19/status/1426878361314398219
Nicholas Conner,@Nconner2k19,2021-08-16T03:01:44.000Z,"Replying to 
@kaisimonehall",,❤ ❤ ❤ ❤ ❤,,,,[],https://twitter.com/Nconner2k19/status/1427103254886879238
Nicholas Conner,@Nconner2k19,2021-08-16T03:19:48.000Z,"Replying to 
@rednosebulldozn",Why?,,,,,[],https://twitter.com/Nconner2k19/status/1427107798354173953
Nicholas Conner,@Nconner2k19,2021-08-25T11:57:46.000Z,"Replying to 
@Maridabody",Happy birthday,,1,,,[],https://twitter.com/Nconner2k19/status/1430499641334829057
Nicholas Conner,@Nconner2k19,2021-08-26T03:33:53.000Z,"Replying to 
@phfame627",,❤ ❤ ❤ ❤,,,1,[],https://twitter.com/Nconner2k19/status/1430735223931785216
