UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Nina,@Nina90663444,2021-01-01T20:57:28.000Z,my mood...form now on,,🛡 💡,,1,1,['https://pbs.twimg.com/media/EqrMJz5XUAAgPK6?format=jpg&name=small'],https://twitter.com/Nina90663444/status/1345111926653788162
Nina,@Nina90663444,2021-01-01T20:56:37.000Z,happy New year fam...with love,,🛡 💡,,1,1,['https://pbs.twimg.com/ext_tw_video_thumb/1345111595505098752/pu/img/YcaNZ78jp3izKJhi.jpg'],https://twitter.com/Nina90663444/status/1345111710500270083
Mike_Westan,@Mike_Westaan,2021-01-01T14:40:16.000Z,"Does it look like Unique motors gave it out on hire purchase? 

This isn't ""give us to cover shame, we pay later"" this isn't audio to pose for the gram, this is Fvcking real. 

Clean clean, customized plate number, donated by her fans...keep investigating.",,,55,276,795,['https://pbs.twimg.com/media/Eqp1xqTXMAAHeWa?format=jpg&name=small'],https://twitter.com/Mike_Westaan/status/1345017000456818688
Nina,@Nina90663444,2021-01-01T14:43:34.000Z,no  mind them...mouth must talk,,🛡 💡,,,3,[],https://twitter.com/Nina90663444/status/1345017830736076801
Maya Didi Eke,@mayadidi31,2021-01-10T00:26:43.000Z,"What a wonderful day! What a wonderful life! It is the best day for me, and it is my favourite holiday. I congratulate myself and get myself ready for new happiness. Happy birthday pretty me.",,🛡 💡 😩 🍾 🎉,541,298,2.5K,['https://pbs.twimg.com/media/ErVIxgyXEAkGwiD?format=jpg&name=small'],https://twitter.com/mayadidi31/status/1348063687484067844
Nina,@Nina90663444,2021-01-10T13:07:31.000Z,happy birthday dear,,🛡 💡,,,,[],https://twitter.com/Nina90663444/status/1348255149635022849
Naya Benjamin13%Geng,@MercifulNaya,2021-01-01T14:39:17.000Z,"Replying to 
@real_mercyeke",We thank God everyday ,🧚 💋 🦋 ❤,1,,1,[],https://twitter.com/MercifulNaya/status/1345016751046729729
Nina,@Nina90663444,2021-01-01T14:45:11.000Z,proud  of u guys,,🛡 💡,1,,1,[],https://twitter.com/Nina90663444/status/1345018237763911682
Nina,@Nina90663444,2021-01-12T12:39:27.000Z,"Replying to 
@RealSnowlove
 @NiffygoldM
 and 4 others",lol,🛡 💡,,,1,[],https://twitter.com/Nina90663444/status/1348972862493880325
Ollyolly,@Ollyoll60303152,2021-01-23T22:48:29.000Z,"When u turn pple to enemies, u don't expect love from them.
Life is simple, show love and receive love........",,❤ 💡 🐺 🐺 ❤ 💡,3,24,114,[],https://twitter.com/Ollyoll60303152/status/1353112398115319810
Nina,@Nina90663444,2021-01-23T23:04:43.000Z,sure,,🛡 💡,,,1,[],https://twitter.com/Nina90663444/status/1353116482855694336
Nina,@Nina90663444,2021-01-16T15:48:29.000Z,"Replying to 
@britikopleaseee",,🛡 💡 👌 👌 👌 👌,,,,[],https://twitter.com/Nina90663444/status/1350469982828851200
Nina,@Nina90663444,2021-01-16T15:54:29.000Z,"Replying to 
@202Bisola",hiiiiiii,🛡 💡,,,,[],https://twitter.com/Nina90663444/status/1350471494216916992
Nina,@Nina90663444,2021-01-23T09:12:56.000Z,"Replying to 
@Shinystar4eva
 and 
@ChinonyeIwu800",,🛡 💡 😍 😍 😍,,,1,[],https://twitter.com/Nina90663444/status/1352907158132842501
Nina,@Nina90663444,2021-01-22T10:48:17.000Z,"Replying to 
@alakeoflagos
 and 
@lambo_banks",yes,🛡 💡,,,,[],https://twitter.com/Nina90663444/status/1352568763682607104
Laycon,@itsLaycon,2021-02-10T14:50:29.000Z,"My prayer is that this show puts my music in places where they've never heard of me before. Laycon to the . 
+",,💡 🐺 🌏 ♥ 💡,996,3.2K,22.4K,[],https://twitter.com/itsLaycon/status/1359515085832650752
Nina,@Nina90663444,2021-02-10T15:41:35.000Z,Amen,,🛡 💡,,,,[],https://twitter.com/Nina90663444/status/1359527943664521218
Onyi Epiphany,@grace_personife,2021-02-23T14:01:21.000Z,"God knows that I don't have strength to defend again, Dstv Why",,,5,,12,['https://pbs.twimg.com/media/Eu6pL7uWgAE3h0F?format=jpg&name=small'],https://twitter.com/grace_personife/status/1364213762299985929
Nina,@Nina90663444,2021-02-23T14:04:47.000Z,sis what happened am lost,,🛡 💡,,,,[],https://twitter.com/Nina90663444/status/1364214625332563969
Nina,@Nina90663444,2021-02-17T11:55:07.000Z,"Replying to 
@RitaEke5",,🛡 💡 😎 😎 😎 😎,,,,[],https://twitter.com/Nina90663444/status/1362007666663575562
Nina,@Nina90663444,2021-03-12T14:05:49.000Z,mood..as my birthday is at The conner..,"0:29
9 views",🛡 💡 💃,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1370374946908729349/pu/img/bYilowT5tPopqSnG.jpg'],https://twitter.com/Nina90663444/status/1370375478247358468
Nina,@Nina90663444,2021-03-12T14:05:49.000Z,mood..as my birthday is at The conner..,"0:27
9 views",🛡 💡 💃,,,,[],https://twitter.com/Nina90663444/status/1370375478247358468
Nina,@Nina90663444,2021-04-06T16:34:05.000Z,"Replying to 
@ITSODILIA
 and 
@LayconPromo",Fb,🛡 💡,1,,,[],https://twitter.com/Nina90663444/status/1379472488648880131
Nina,@Nina90663444,2021-04-29T15:14:11.000Z,"Replying to 
@itsLaycon",,🛡 💡 ❤ ❤ ❤ ❤,,,,[],https://twitter.com/Nina90663444/status/1387787303255486467
Ollyolly,@Ollyoll60303152,2021-06-05T07:31:09.000Z,"123456789..........
I’m counting the numbers of iCONs I’m seeing to make sure we didn’t leave anyone behind ",,❤ 💡 🐺 🐺 😩 😥,53,28,182,[],https://twitter.com/Ollyoll60303152/status/1401079126681870336
Nina,@Nina90663444,2021-06-05T09:41:26.000Z,Am here,,🛡 💡,,,1,[],https://twitter.com/Nina90663444/status/1401111912826482690
Uncle Peejaay,@dj_peejaay,2021-06-08T08:30:03.000Z,"Just type "" I love you "" if nobody replies you, I’ll credit you 10k..",,👇 😂,6.1K,956,7.4K,[],https://twitter.com/dj_peejaay/status/1402181111971827713
Nina,@Nina90663444,2021-06-08T16:03:04.000Z,I love u,,🛡 💡,,,,[],https://twitter.com/Nina90663444/status/1402295118556807168
#OurFavOnlineDoc,@DrOlufunmilayo,2021-06-04T23:44:33.000Z,Many Nigerians have now confirmed that Twitter is no longer working without VPN.,,🩺 💎,2.4K,6.4K,26.5K,[],https://twitter.com/DrOlufunmilayo/status/1400961703974744067
Nina,@Nina90663444,2021-06-05T09:37:59.000Z,My is working,,🛡 💡,,,,[],https://twitter.com/Nina90663444/status/1401111044542681094
Nina,@Nina90663444,2021-06-05T14:30:27.000Z,"Replying to 
@niffyblizz",Hi,🛡 💡,,,,[],https://twitter.com/Nina90663444/status/1401184647174836224
T.D. Jakes,@BishopJakes,2021-06-23T16:01:04.000Z,I pray you win.,,,1.7K,15.3K,54.3K,[],https://twitter.com/BishopJakes/status/1407730434591559681
Nina,@Nina90663444,2021-06-24T15:04:40.000Z,Amen,,🛡 💡,,,,[],https://twitter.com/Nina90663444/status/1408078627024084994
Nina,@Nina90663444,2021-06-19T16:19:11.000Z,"Replying to 
@Havilasauce
 and 
@Thebrighto",,🛡 💡 😃 😃 😃 😃 😃 😃 😃,,,,[],https://twitter.com/Nina90663444/status/1406285439921754112
