UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Dr. Darwin P. Spiller,@PLCTrailblazer,2021-01-12T20:12:25.000Z,"I Go RED for Men 40 years and up. Who will you Go RED for? 
@American_Heart
 #risdWEvegotthis","0:08
570 views",,,1,36,['https://pbs.twimg.com/ext_tw_video_thumb/1349086629995159554/pu/img/Z8Ev3KE-Fi9BaAIH.jpg'],https://twitter.com/PLCTrailblazer/status/1349086855699062784
Dr. Darwin P. Spiller,@PLCTrailblazer,2021-01-06T16:06:48.000Z,"Richardson ISD Board members...Thanks for caring SOOOO much about RISD...ALL the time. 
@karenclardy
 @Eronlinn_risdD2
 @DRenteria92
 @ReginaAHarris
 @KimCaston
 @eric_eager
 @jkbmeanjean
 #risdWEvegotthis",,,,1,15,['https://pbs.twimg.com/ext_tw_video_thumb/1346850442295324672/pu/img/KhgaSOnh0FwtvbPt.jpg'],https://twitter.com/PLCTrailblazer/status/1346850715713609731
Yolanda Jackson,@yolandajacktx,2021-01-05T11:06:41.000Z,"Replying to 
@PLinRISD",Intentional,,1,,3,[],https://twitter.com/yolandajacktx/status/1346412802479693824
Dr. Darwin P. Spiller,@PLCTrailblazer,2021-01-05T12:01:38.000Z,Care,,,,,3,[],https://twitter.com/PLCTrailblazer/status/1346426628403048448
Ta-Tanisha Jefferson,@TaTanishaJeffe3,2021-01-13T17:34:38.000Z,"Replying to 
@AskJewitt
 and 
@XULA1925", my HBCU,❤,2,,7,['https://pbs.twimg.com/media/EroQweoXYAErhD1?format=jpg&name=small'],https://twitter.com/TaTanishaJeffe3/status/1349409535610523648
Dr. Darwin P. Spiller,@PLCTrailblazer,2021-01-30T19:24:48.000Z,"BHS Senior 
@davjpeg
 represented his family, RAABSE and RISD well as he shared his experiences.  Powerful words from David “before you plan make sure students are at the planning table and go back to students and ask for feedback” 
@RichardsonISD
 @RAABSE_Texas
 @poshmisty3",,,2,7,29,['https://pbs.twimg.com/ext_tw_video_thumb/1355597350371266565/pu/img/y3Sjmu1kZ7u9lTxZ.jpg'],https://twitter.com/PLCTrailblazer/status/1355597853440303111
Desiree AZC,@desyalarcon03,2021-01-14T21:27:19.000Z,"Replying to 
@RichardsonISD
 and 
@PLCTrailblazer",Got my T shirt ordered ,❤,1,,8,['https://pbs.twimg.com/media/EruPqeqXEAM4bqP?format=jpg&name=small'],https://twitter.com/desyalarcon03/status/1349830480896684033
Dr. Darwin P. Spiller,@PLCTrailblazer,2021-01-14T21:28:49.000Z,Love you Desi!   Let go Annex Building!!’n,,,,,,[],https://twitter.com/PLCTrailblazer/status/1349830858623115264
Dr. Marcia Tate,@drmarciatate,2021-01-08T03:44:10.000Z,"Whether it’s our friends, family, students, or coworkers—this is an important reminder for all of us.  #edchat",,,2,14,60,['https://pbs.twimg.com/media/ErLiyrTXYAAdqFJ?format=jpg&name=small'],https://twitter.com/drmarciatate/status/1347388602469265412
Dr. Darwin P. Spiller,@PLCTrailblazer,2021-01-09T17:09:56.000Z,High Yield Teacher Retention Strategy,,,,,,[],https://twitter.com/PLCTrailblazer/status/1347953768609021953
davy.,@davjpeg,2021-01-30T19:30:35.000Z,"Replying to 
@PLCTrailblazer
 @RichardsonISD
 and 2 others",Thank you for allowing me to share with you all!,💫 🌹,1,2,5,[],https://twitter.com/davjpeg/status/1355599307378978820
Dr. Darwin P. Spiller,@PLCTrailblazer,2021-01-30T19:32:51.000Z,No thank you.  We benefited from your GREATNESS!!!,,,,,5,[],https://twitter.com/PLCTrailblazer/status/1355599878974550022
Dr. Darwin P. Spiller,@PLCTrailblazer,2021-01-31T16:40:12.000Z,Importance of Self-Care.  Finally found my workout groove. Mon-Fri 5:00 am. Weekends 9:00 am. LA F. check-in app  #wellnessbudget.  BP: 120/79,,,6,,46,['https://pbs.twimg.com/media/EtEw9tYXAAALNi9?format=jpg&name=900x900'],https://twitter.com/PLCTrailblazer/status/1355918819127160839
Dr. Darwin P. Spiller,@PLCTrailblazer,2021-02-09T12:25:28.000Z,Whoa—I just meditated and I’m feeling fantastic! Sharing some of these good vibes with all of you.,"Breethe: Meditation & Sleep
Rather than making meditation and wellness more items on your to-do list, Breethe makes it easily fit into your everyday life — and we try to do it with a sense of humor. We want to be the best...
apps.apple.com",,1,,17,['https://pbs.twimg.com/card_img/1431739354729570304/c_K7D2dw?format=png&name=small'],https://twitter.com/PLCTrailblazer/status/1359116202182926338
Dr. Darwin P. Spiller,@PLCTrailblazer,2021-02-24T22:56:36.000Z, When was the last time you thanked you for always being there for you? Self appreciation soothes an aching soul. ,,❤ ❤,2,5,55,[],https://twitter.com/PLCTrailblazer/status/1364710848414035968
becky stevens,@beckylstevens,2021-02-10T02:24:40.000Z,I simply will never get over this...,"Lawyer Gets Stuck In Cat Filter Mode During Zoom Trial: 'I'm Not A Cat!'
Attorney Rod Ponton's technical snafu led to an exchange with the judge that can only be described as ""kitty funny.""
apple.news",,8,,20,['https://pbs.twimg.com/card_img/1433275089962016769/JzdebxtE?format=jpg&name=small'],https://twitter.com/beckylstevens/status/1359327392167247872
Dr. Darwin P. Spiller,@PLCTrailblazer,2021-02-10T02:55:24.000Z,"@beckylstevens
 I can’t .  Simply can’t ",,,,,2,[],https://twitter.com/PLCTrailblazer/status/1359335127306878981
Ta-Tanisha Jefferson,@TaTanishaJeffe3,2021-02-28T20:51:11.000Z,"Day 28 celebrating #BlackHistoryMonth,  and I celebrate my HBCU, 
@LangstonU
 ! Thank you, dear Langston, for pushing me to see the me that I could be.#fromLangstontotheworld #RISDHonorsHeritage 
@AngeliaSharone
 @PLCTrailblazer
 @CharmaineCurt18",,❤,1,1,14,['https://pbs.twimg.com/media/EvV28Q6XAAEwK3n?format=jpg&name=small'],https://twitter.com/TaTanishaJeffe3/status/1366128841429823488
Dr. Darwin P. Spiller,@PLCTrailblazer,2021-03-01T19:42:02.000Z,I appreciate my years at Langston University and how LU has prepared me for the world.  One of my most memorable experiences is winning the 1997 Mr LU Title (centennial year honor).  The scholarship helped to pay for my last year at LU!!!,,,2,1,19,['https://pbs.twimg.com/media/EvawsgZXAAYgPrn?format=jpg&name=small'],https://twitter.com/PLCTrailblazer/status/1366473823751725060
