UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Pam Wilson,@PamWils29624466,2021-01-15T18:11:58.000Z,Check out this sweepstakes contest!,"New Year, New Adventure Sweepstakes
Win $4,000 for a fresh start in 2021!
wmalfm.clubviprewards.com",,,,,[],https://twitter.com/PamWils29624466/status/1350143707052314624
Pam Wilson,@PamWils29624466,2021-01-14T17:26:29.000Z,Enter the G.O.A.T. giveaway today https://wn.nr/w79Tt4,,,,,,[],https://twitter.com/PamWils29624466/status/1349769870611677185
See's Candies,@seescandies,2021-01-08T19:00:04.000Z,"It's GIVEAWAY time  Join the #CandyConversation right now through 11:30am (PST) and we will select 2 lucky winners! Tell us: What is one New Year's Resolution you made for 2021? 

Make sure to use #CandyConversation and #100YearsOfSees in your reply! ",,🎉 🎉 🤗,91,11,75,[],https://twitter.com/seescandies/status/1347619097148747776
Pam Wilson,@PamWils29624466,2021-01-08T19:09:11.000Z,To enjoy more See's this year!,,,,,1,[],https://twitter.com/PamWils29624466/status/1347621388203347969
Pam Wilson,@PamWils29624466,2021-01-15T16:58:18.000Z,"Just got this offer - Hats Off To 2021 and New Beginnings!
 https://woobox.com/8zaew8 from 
@RealSaltLife
 /","Hats Off To 2021 and New Beginnings!
I just entered the Salt Life Hats Off To 2021 and New Beginnings Promotion! Enter Now for a Chance to Win!
woobox.com",,,,,['https://pbs.twimg.com/card_img/1428919680341889027/--Qgfhok?format=jpg&name=small'],https://twitter.com/PamWils29624466/status/1350125165544316928
Pam Wilson,@PamWils29624466,2021-01-14T16:44:05.000Z,https://woobox.com/7majzb/naf6rv,,,,,,[],https://twitter.com/PamWils29624466/status/1349759199299858433
Pam Wilson,@PamWils29624466,2021-01-08T19:10:06.000Z,"Replying to 
@seescandies",To eat more See's this year #CandyConversation #100YearsOfSees,,1,,1,[],https://twitter.com/PamWils29624466/status/1347621622094589953
Pam Wilson,@PamWils29624466,2021-01-26T17:10:55.000Z,Saturday Morning Pancakes Sweepstakes https://wn.nr/3dKYZF,,,,,,[],https://twitter.com/PamWils29624466/status/1354114608622051328
Pam Wilson,@PamWils29624466,2021-01-26T17:12:19.000Z,Check out this sweepstakes contest! https://wmal.listenernetwork.com/Contest/7UJFMR?origin=afterSweepsEntry&rft=02E0ABB1AEed2a4dc3a8#.YBBNbAuru6M.twitter…,,,,,,[],https://twitter.com/PamWils29624466/status/1354114961862053888
Pam Wilson,@PamWils29624466,2021-01-26T17:46:16.000Z,Enter the Whole Blends Sulfate Free Remedy Sweepstakes! https://campaign.rtm.com/realtimesocial/share.aspx?promotionId=10165&shareGuid=81e960f8-d0c6-4cc7-9961-8b3d20030561…,,,,,,[],https://twitter.com/PamWils29624466/status/1354123505055395840
