UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Pessi-Troën,@Pessi_Troen123,2021-01-18T16:57:20.000Z,"Replying to 
@CNEWS",First,🚙,,,,[],https://twitter.com/Pessi_Troen123/status/1351212086148399105
Pessi-Troën,@Pessi_Troen123,2021-01-24T19:52:55.000Z,#Fermezlesecoles,,🚙,,,,[],https://twitter.com/Pessi_Troen123/status/1353430599646765057
Pessi-Troën,@Pessi_Troen123,2021-01-27T19:05:42.000Z,En hausse! #Fermezlesecoles,,🚙,,,,[],https://twitter.com/Pessi_Troen123/status/1354505883238223878
Pessi-Troën,@Pessi_Troen123,2021-01-11T20:46:12.000Z,#FermerLesEcoles,,🚙,,,,[],https://twitter.com/Pessi_Troen123/status/1348732967309467649
Pessi-Troën,@Pessi_Troen123,2021-01-07T18:02:34.000Z,"Replying to 
@Mediavenir",,🚙,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1347242213869318152/pu/img/PuE4mjJBqTeoj3jz.jpg'],https://twitter.com/Pessi_Troen123/status/1347242237969780736
Pessi-Troën,@Pessi_Troen123,2021-01-20T21:14:34.000Z,Autant tout fermer au lieu de mettre tt le monde en danger,,🚙,,,,[],https://twitter.com/Pessi_Troen123/status/1352001597459623937
Pessi-Troën,@Pessi_Troen123,2021-01-27T19:02:39.000Z,"Replying to 
@EmmanuelMacron",Coucou toi,🚙,,,,[],https://twitter.com/Pessi_Troen123/status/1354505113520504842
Pessi-Troën,@Pessi_Troen123,2021-01-20T21:21:35.000Z,Avk fermeture des écoles sinon rien ne changera dans ma vie,,🚙,,,,[],https://twitter.com/Pessi_Troen123/status/1352003363735543815
Pessi-Troën,@Pessi_Troen123,2021-01-24T19:57:05.000Z,"C pas un confinement, c "" Une restriction des activités non essentielles"" (Avk attestation de sortie)",,🚙,,,,[],https://twitter.com/Pessi_Troen123/status/1353431648788996096
Lukas ,@LukasMau__,2021-01-15T22:00:52.000Z,"Replying to 
@Pessi_Troen123","D’accord merci de votre avis, pour continuer le débat, pensez-vous que toutes les écoles doivent fermer ou que certaines (pour des raisons économiques par exemple)",,1,,,[],https://twitter.com/LukasMau__/status/1350201309350264832
Pessi-Troën,@Pessi_Troen123,2021-01-15T22:07:25.000Z,"Je pense qu'il faut tout fermer car un cluster peut survenir de nulle part et donc qu'aucune école est protégée du virus. (Surtout avec l'arrivée du variant britannique circulant beaucoup plus chez les enfants que le COVID ""normal"")",,🚙,,,4,[],https://twitter.com/Pessi_Troen123/status/1350202959968296968
Lukas ,@LukasMau__,2021-01-15T14:42:31.000Z,"Pour on contre une fermeture des écoles ? Développer dans les coms
#Fermezlesecoles #BlanquerDemission #blanquer 
#ecoles #lycee #college #Castex #macron #COVID19","Pour
81.2%
Contre
18.8%
1,260 votes
·
Final results",,25,11,11,[],https://twitter.com/LukasMau__/status/1350090997468966913
Pessi-Troën,@Pessi_Troen123,2021-01-15T21:45:50.000Z,Je suis pour car c'est inutile de fermer les petits commerçants qui respectent les distanciations alors qu'au collège/lycée on est entassé dans des classes (et à l'entrée des bâtiments il y a beaucoup de brassage d'éleves)(1),,🚙,1,,17,[],https://twitter.com/Pessi_Troen123/status/1350197525010145287
Pessi-Troën,@Pessi_Troen123,2021-01-15T21:46:46.000Z,"Replying to 
@Pessi_Troen123
 and 
@lukasapplefan",Et ça sert à rien de porter le masque tte la journée si c pr se cracher dessus à la cantine,🚙,1,1,7,[],https://twitter.com/Pessi_Troen123/status/1350197763577946116
Pessi-Troën,@Pessi_Troen123,2021-01-15T21:37:36.000Z,Bonsoir oui,,🚙,,,1,[],https://twitter.com/Pessi_Troen123/status/1350195456777859075
Pessi-Troën,@Pessi_Troen123,2021-01-27T18:42:35.000Z,"Replying to 
@CookieACFanBoy",J'espère,🚙,,,,[],https://twitter.com/Pessi_Troen123/status/1354500066862620674
Glizock,@Rey7S,2021-01-04T22:29:37.000Z,"Replying to 
@fermerlesecoles",Les reufs ne vous faites pas de faux espoirs y'aura pas de fermeture de lycée ma main à couper,,1,,8,[],https://twitter.com/Rey7S/status/1346222277789151232
Pessi-Troën,@Pessi_Troen123,2021-01-05T16:54:40.000Z,On peut tjrs espérer...,,🚙,,,1,[],https://twitter.com/Pessi_Troen123/status/1346500374979604481
𝐥𝐮𝐮,@luuay_,2021-01-27T13:40:50.000Z,Si tout le monde fais un petit geste on peut faire flamber les chiffres ,,🌌 🙏,1,,3,[],https://twitter.com/luuay_/status/1354424125293539328
Pessi-Troën,@Pessi_Troen123,2021-01-27T18:39:00.000Z,C'est triste de se dire qu'on veut que les chiffres remontent juste pour fermer les écoles mais que ça va entraîner de la souffrance et des décès,,🚙,1,,1,[],https://twitter.com/Pessi_Troen123/status/1354499161970896898
Pessi-Troën,@Pessi_Troen123,2021-01-27T18:39:42.000Z,"Replying to 
@Pessi_Troen123
 and 
@luuay_",J'déconne moi aussi je veux sa,🚙,1,,2,[],https://twitter.com/Pessi_Troen123/status/1354499340983787520
Cyrus,@cyrusalbo,2021-01-20T21:14:22.000Z,"Replying to 
@eliasrbt
 and 
@fermerlesecoles",continue d’espérer alors mdrr,🦎,1,,14,[],https://twitter.com/cyrusalbo/status/1352001547463491585
