UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Peter Maas,@PeterMa42952828,2021-01-19T17:34:37.000Z,"Gleefully Wicked: Q&A with Idina Menzel https://stljewishlight.com/features/entertainment/gleefully-wicked-q-a-with-idina-menzel/article_bb42ad00-b570-11e1-9987-0019bb2963f4.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share… via 
@stljewishlight",,,,,1,[],https://twitter.com/PeterMa42952828/status/1351583857796149249
Peter Maas,@PeterMa42952828,2021-01-19T03:50:35.000Z,Claudia Harrison,"Claudia Harrison (The Voice) Age, Wiki, Boyfriend, Instagram
Learn about Claudia Harrison (The Voice) Age, Wiki, Boyfriend, Instagram. Claudia Harrison, 18 is a surfer and skater, and opera and folk singer in The Voice Australia 2020.
celebpie.com",,,,1,['https://pbs.twimg.com/card_img/1433255732737191940/TnFHPXX-?format=png&name=small'],https://twitter.com/PeterMa42952828/status/1351376483630125059
Peter Maas,@PeterMa42952828,2021-02-21T22:48:01.000Z,,"BLOODGOOD release limited edition vinyl ""Dangerously Close"" feat. Stryper guitarist Oz Fox
In 1986 Bloodgood released their debut self-titled album, produced by Darrell Mansfield. The bands' sophomore album DETONATION (1987) was the bands masterpiece. No wonder they were inducted into the...
hairbandheaven.rocks",,,,1,['https://pbs.twimg.com/card_img/1433435138042572800/4odkhbs1?format=jpg&name=small'],https://twitter.com/PeterMa42952828/status/1363621527032373251
Peter Maas,@PeterMa42952828,2021-04-30T15:36:23.000Z,"""The Hills"", then and now","See where 'The Hills' cast is now and who will be in the MTV reboot
Ahead of the reboot 'The Hills: New Beginnings,' catch up with the stars of the original series.
ew.com",,,,1,['https://pbs.twimg.com/card_img/1432534586387574786/_mTOhwGC?format=jpg&name=small'],https://twitter.com/PeterMa42952828/status/1388155277246181383
Peter Maas,@PeterMa42952828,2021-04-07T05:41:51.000Z,"Kimberly L Reynolds, APN - Surgical Wound Care https://doctors.hackensackmeridianhealth.org/provider/Kimberly+L+Reynolds/1497135…",,,,,1,[],https://twitter.com/PeterMa42952828/status/1379670739444494342
Peter Maas,@PeterMa42952828,2021-04-08T17:18:37.000Z,Born to Fly: A Memoir by  Sara Evans  Sara Evans,"Born to Fly: A Memoir|Hardcover
Discover country music star Sara Evans’s inspirational story about her rise to stardom, her roundabout path to love, and how her faith brings daily joy no matter the circumstances. Sara Evans—a...
barnesandnoble.com",,,,1,['https://pbs.twimg.com/card_img/1433435132329926658/W4xRxWmU?format=jpg&name=240x240'],https://twitter.com/PeterMa42952828/status/1380208472998961152
Peter Maas,@PeterMa42952828,2021-04-02T20:38:59.000Z,Tough medical examination for busty blonde girl - video on http://Sexodi.com https://sexodi.com/video/6qim6w#.YGdo5Qw93hs.twitter…,,,,,2,[],https://twitter.com/PeterMa42952828/status/1378084567463178247
Peter Maas,@PeterMa42952828,2021-04-23T02:08:10.000Z,"MV native lives her own 'Kitchen Nightmare'  https://goskagit.com/entertainment/mv-native-lives-her-own-kitchen-nightmare/article_14108e18-2ac2-549e-a8de-bd6c9d491d91.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share… via 
@goskagit","MV native lives her own 'Kitchen Nightmare'
All she wanted was a small facelift for her cozy southern California restaurant in Manhattan Beach, Lido di Manhattan Ristorante and Bar.
goskagit.com",,,,,['https://pbs.twimg.com/card_img/1432534588555997191/1thCYMcJ?format=jpg&name=360x360'],https://twitter.com/PeterMa42952828/status/1385415168050487304
Peter Maas,@PeterMa42952828,2021-04-17T18:12:00.000Z,"Meredith Andrews New Christmas Album ""Receive Our King"" https://gospelmusic.org/meredith-andrews-will-release-new-christmas-album-receive-our-king-on-october-27/… via 
@gmaofficial","Meredith Andrews New Christmas Album ""Receive Our King"" - The Gospel Music Association
NASHVILLE, TENN. – OCTOBER 24, 2017 – Word Worship artist Meredith Andrews is releasing her new full-length Christmas album, Receive Our King, this Friday, October 27. Produced by her husband,...
gospelmusic.org",,,,,['https://pbs.twimg.com/card_img/1433435127586168839/rssvVCuX?format=png&name=small'],https://twitter.com/PeterMa42952828/status/1383483397482323968
Peter Maas,@PeterMa42952828,2021-05-15T23:46:05.000Z,Tickle and Orgasm-Jenny Simons https://playvids.com/de/XH5j6fgrp3G/tickle-and-orgasm-jenny-simons…,,,,,,[],https://twitter.com/PeterMa42952828/status/1393714334157754375
Peter Maas,@PeterMa42952828,2021-06-25T20:11:11.000Z,"The Road to Roses: Heartbreak, Hope, and Finding Strength When Life Doesn't Go as Planned by Desiree Hartsock Siegfried  ,  Desiree Hartsock Siegfried Autumn Krause (With)  Autumn Krause","The Road to Roses: Heartbreak, Hope, and Finding Strength When Life Doesn't Go as Planned|Audio MP3...
When Desiree Hartsock was offered the opportunity to star on The Bachelorette, she thought she was finally getting the life she always longed for. Yet her reality TV dreams gave way to rough roads of...
barnesandnoble.com",,,,4,['https://pbs.twimg.com/card_img/1432534586509103107/oi4JwBCn?format=jpg&name=240x240'],https://twitter.com/PeterMa42952828/status/1408518153349517316
Peter Maas,@PeterMa42952828,2021-07-19T20:36:22.000Z,Cameron Canada hardcore FFD https://playvids.com/es/v/RkVcX7wf0QB…,,,,,5,[],https://twitter.com/PeterMa42952828/status/1417221800728141826
