UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Nancy Lee Epps,@PookieLou6994,2021-01-23T20:06:52.000Z,Roku Express Media Player Giveaway https://swee.ps/rbdEe_DDKTHWt,,,,,,[],https://twitter.com/PookieLou6994/status/1353071723009085440
Nancy Lee Epps,@PookieLou6994,2021-01-21T00:39:19.000Z,Plushible V-Day Giveaway! #giveaway #win https://kingsumo.com/g/jqxkj8/plushible-v-day-giveaway/xg775qy…,,,,,,[],https://twitter.com/PookieLou6994/status/1352053126627524610
Nancy Lee Epps,@PookieLou6994,2021-01-28T03:03:53.000Z,"Replying to 
@MAXMODA7",I can I did on Facebook would love Free jammies,,,,,[],https://twitter.com/PookieLou6994/status/1354626221116682243
Peacock,@peacockTV,2021-01-01T17:04:25.000Z,"Calling all #TheOffice fans!  Want a chance to win a special prize kit? Tweet us your favorite quote from the show and include #TheOfficeSweepstakes + #PeacockTV to enter!

No Pur Nec. 18+ Void Where Prohib. Rules: http://fooji.info/theoffice",GIF,🗣,10.8K,2K,4.5K,['https://pbs.twimg.com/tweet_video_thumb/EqqWzWTVgAE60NQ.jpg'],https://twitter.com/peacockTV/status/1345053275192578048
Nancy Lee Epps,@PookieLou6994,2021-01-01T20:20:11.000Z,"""I am not superstitous, but I am stitous. #TheOfficeSweepstakes #PeacockTV",,,1,,,[],https://twitter.com/PookieLou6994/status/1345102540136976385
G a b r i e l - I g l e s i a s,@fluffyguy,2021-02-04T00:14:41.000Z,RT or just tweet “I need a #TalkingFluffy in my life” 4 ur chance to WIN one with a signed poster from FluffyGuy.con,"0:11
45.6K views",,261,1.9K,1.5K,['https://pbs.twimg.com/ext_tw_video_thumb/1357120326426009601/pu/img/-6YacXbh9r0-ayUc.jpg'],https://twitter.com/fluffyguy/status/1357120355400208384
Nancy Lee Epps,@PookieLou6994,2021-02-04T02:43:27.000Z,"""I NEED A #TALKINGFLUFFY IN MY LIFE""",,,,,,[],https://twitter.com/PookieLou6994/status/1357157795934728193
Nancy Lee Epps,@PookieLou6994,2021-02-08T21:14:33.000Z,"Hey,

Have you entered this competition to win %{incentive} yet?

If you refer friends you get more chances to win :)

%{link}","DeeDeeDiamonds Engagement Ring Giveaway
DeeDeeDiamonds is giving away a  1 TOTAL CARAT WEIGHT DIAMOND ENGAGEMENT RING 
gleam.io",💎 💎 💍,,,,[],https://twitter.com/PookieLou6994/status/1358886961130467329
IPSY,@IPSY,2021-02-03T22:33:39.000Z,"Replying to 
@IPSY","By posting your comment with these hashtags, you agree to be bound by the terms of the Official Giveaway Rules at http://ipsy.com/contest-terms. This giveaway is in no way sponsored, endorsed or administered by, or associated with, Twitter.",,2,3,28,['https://pbs.twimg.com/card_img/1431770595205664770/XeBnFM7X?format=png&name=small'],https://twitter.com/IPSY/status/1357094929726468096
Nancy Lee Epps,@PookieLou6994,2021-02-04T02:38:49.000Z,Awesome,,,,,,[],https://twitter.com/PookieLou6994/status/1357156627540045825
Superberries,@Superberries,2021-02-03T23:45:34.000Z,#WinItWednesday Love is in the air and in the oven. Tell us what you love to bake for #ValentinesDay & be entered to win #Superberries Frozen Berries and a Valentine Apron with matching mitts. Aronia berries are also delicious in baked goods.  Like & retweet for extra entries.,,,161,175,190,['https://pbs.twimg.com/media/EtVvG86XMAEVY_b?format=jpg&name=small'],https://twitter.com/Superberries/status/1357113029645766662
Nancy Lee Epps,@PookieLou6994,2021-02-04T02:45:55.000Z,I love to bake homemade Sugar Frosted Valentine cookies for my kids and husband and make up little gift bags for the kids to pass out to their friends and teachers in school.,,,,,,[],https://twitter.com/PookieLou6994/status/1357158412946206722
Nancy Lee Epps,@PookieLou6994,2021-02-08T01:39:04.000Z,"Replying to 
@DiGiorno",Woo hooooo PIZZA PIZZA,,,,,[],https://twitter.com/PookieLou6994/status/1358591141499854848
Nancy Lee Epps,@PookieLou6994,2021-01-31T15:37:08.000Z,"Replying to 
@pepsi",#NationalHotChocolateDay  #pepsioffer,,,,,['https://pbs.twimg.com/media/EtEibOPXUAQ_Z2A?format=jpg&name=small'],https://twitter.com/PookieLou6994/status/1355902947515904000
Nancy Lee Epps,@PookieLou6994,2021-02-08T01:40:01.000Z,"Replying to 
@DiGiorno",#FreeDiGiornoPizza,,,,,[],https://twitter.com/PookieLou6994/status/1358591381212651526
Nancy Lee Epps,@PookieLou6994,2021-02-14T18:08:56.000Z,"Replying to 
@ZamundaRoyals","@ZamundaRoyals
 #Coming2America #giveaway",,,,,[],https://twitter.com/PookieLou6994/status/1361014579489366022
Nancy Lee Epps,@PookieLou6994,2021-02-04T02:40:23.000Z,"Replying to 
@IPSY
 and 
@NARSCosmetics",#IPSY #GIVEAWAY,,,,,[],https://twitter.com/PookieLou6994/status/1357157024245637123
Nancy Lee Epps,@PookieLou6994,2021-02-04T02:42:09.000Z,"Replying to 
@IPSY
 and 
@NARSCosmetics","@kimmyhillbilly
  @BrittanyDoerfl2
  @cheriejensen17
  #IPSY #GIVEAWAY",,,,,[],https://twitter.com/PookieLou6994/status/1357157468003069952
Nancy Lee Epps,@PookieLou6994,2021-02-04T02:51:26.000Z,"Replying to 
@BrooklynBeans1","@KimmyMoore_18
  @laurafermin07
  @cheriejensen17",,,,,[],https://twitter.com/PookieLou6994/status/1357159801793445890
