UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Robin Hood,@anaPortfolioSSF,2021-08-13T07:42:25.000Z,"Replying to 
@SerkanArikan06",Done,,,,1,[],https://twitter.com/anaPortfolioSSF/status/1426086726234255360
rosvi@safemoonlover,rosvi@safemoonlover,2021-08-13T15:02:23.000Z,"You know what I like to do when #safemoon hit the 0.01 I will invite 10 people who #HODL till 0.01 to spain at it will b on the house its a promiss
#safemoonlover
#safemoonarmy
#safemoonwallet #safemoonkiss",,🥤 🥃 🍒 🥂 🏺 💯 🥰,40,37,213,[],https://twitter.com/RosviSano/status/1426197448826007560
Robin Hood,@anaPortfolioSSF,2021-08-13T17:36:18.000Z,me please ,,😁,,,1,[],https://twitter.com/anaPortfolioSSF/status/1426236182254571522
Beefy Musk #BeefyMuskArmy,@beefy_musk,2021-08-13T13:20:27.000Z,Congrats! You won 30M #BabyDoge ,"Denny meena
@MeenaDenny
 · Aug 13
Replying to @beefy_musk
Hello Sir again n again you have provide a better and big opportunity I hope you make happy face for everyone
My trust wallet
0xA1Fe8cD9EED74933D77baAdcfDEf3451e7123738

My best wishes you nd your family",🎉,4,4,13,"['https://pbs.twimg.com/profile_images/1425460492689043462/spvAsG4O_mini.jpg', 'https://pbs.twimg.com/media/E8q_nKqVkAQ7Pgd?format=jpg&name=medium']",https://twitter.com/beefy_musk/status/1426171793077727233
Robin Hood,@anaPortfolioSSF,2021-08-13T13:25:02.000Z,Congratulations,,,,,,[],https://twitter.com/anaPortfolioSSF/status/1426172947509792770
Robin Hood,@anaPortfolioSSF,2021-08-13T18:59:59.000Z,"Replying to 
@Phoenixpromote",today and everyday Nothing,,,,,[],https://twitter.com/anaPortfolioSSF/status/1426257242056187906
Robin Hood,@anaPortfolioSSF,2021-08-13T18:19:29.000Z,"Replying to 
@lluckybii
 and 
@cryptotmms_g",I am already follow him and active with no luck ,😭,,,,[],https://twitter.com/anaPortfolioSSF/status/1426247047393460225
Areum ᥫ᭡,@AreumPromotes,2021-08-11T14:24:15.000Z,"$5 | P230 | 65.700 IDR

- follow @cryptowoman92 
- retweet & ty 
ends in 3hrs!",,,745,767,250,[],https://twitter.com/AreumPromotes/status/1425463074325102593
Robin Hood,@anaPortfolioSSF,2021-08-13T07:42:46.000Z,done,,,,,,[],https://twitter.com/anaPortfolioSSF/status/1426086812276117505
Beefy Musk #BeefyMuskArmy,@beefy_musk,2021-08-13T13:38:09.000Z,"3 Hours |  50M #BabyDoge 

  RT + Follow me 

 Follow 
@shillionaires
 

Good Luck ",,✅ ✅ 🎉,104,243,193,[],https://twitter.com/beefy_musk/status/1426176249710497795
