UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
PROTOCOL,@ProtocolDC,2021-08-05T06:38:21.000Z,Me woke up evry mrnin tu sing  praises tu de Most High cus wthout hm mi lif is empty.                        #Sheltahlyrichal. the lyrichal Gad,0:44,🎤 🙏,,,2,[],https://twitter.com/ProtocolDC/status/1423171498454528001
PROTOCOL,@ProtocolDC,2021-08-09T08:28:45.000Z,Imagine an ugly person being arrogant and rude..,,,,,1,[],https://twitter.com/ProtocolDC/status/1424648835599581187
PROTOCOL,@ProtocolDC,2021-08-12T06:02:00.000Z,"You can breath, you can walk, very strong  and fit..... What else do you need to thank God",,😉 🚶 💪 👌 🙏 🙏 🙏,,,1,[],https://twitter.com/ProtocolDC/status/1425699067737382919
Abena Adepa Ella,@AdepaElla2,2021-08-19T21:32:31.000Z,"I need a male bestie 
 Who is in?",,❤ 😍,1.9K,478,3.3K,[],https://twitter.com/AdepaElla2/status/1428469954492387330
PROTOCOL,@ProtocolDC,2021-08-20T12:51:01.000Z,Am I’m,,,,,,[],https://twitter.com/ProtocolDC/status/1428701103340797955
Efua,@Efua_1122,2021-08-21T22:48:03.000Z,Be my bestie...but NO SEX ,,❤ ⛔,180,95,972,[],https://twitter.com/Efua_1122/status/1429213740893868041
PROTOCOL,@ProtocolDC,2021-08-22T04:14:47.000Z,Am in,,,,,,[],https://twitter.com/ProtocolDC/status/1429295965920497670
KALYJAY,@gyaigyyimii,2021-08-05T17:15:41.000Z,Hi ,,👻,133,28,268,[],https://twitter.com/gyaigyyimii/status/1423331891881598988
PROTOCOL,@ProtocolDC,2021-08-07T09:11:25.000Z,Hi,,,,,,[],https://twitter.com/ProtocolDC/status/1423934797525704712
PROTOCOL,@ProtocolDC,2021-08-17T09:49:59.000Z,"Replying to 
@ypeegh",Gud,,,,2,[],https://twitter.com/ProtocolDC/status/1427568381893431296
PROTOCOL,@ProtocolDC,2021-08-05T06:38:21.000Z,Me woke up evry mrnin tu sing  praises tu de Most High cus wthout hm mi lif is empty.                        #Sheltahlyrichal. the lyrichal Gad,0:03 / 0:45,🎤 🙏,,,2,[],https://twitter.com/ProtocolDC/status/1423171498454528001
PROTOCOL,@ProtocolDC,2021-08-09T08:29:56.000Z,Imagine an ugly woman being arrogant and rude ,,❗ 💪,,,1,[],https://twitter.com/ProtocolDC/status/1424649133244157958
