UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Corey G.,@Pyromancer4568,2021-02-02T17:25:46.000Z,"Replying to 
@GOTHICPLANET","No it's not, it's pathetic.",,,,,[],https://twitter.com/Pyromancer4568/status/1356655060319666181
afro-manic pixie dream them,@afrosanrihoe,2021-02-02T18:00:33.000Z,my ancestors were enslaved,"Corey G.
@Pyromancer4568
 · Feb 2
Replying to @afrosanrihoe
You really begging on twitter? That's pathetic",,1,1,5,['https://pbs.twimg.com/profile_images/1261896294358024197/uG1ATwn9_mini.jpg'],https://twitter.com/afrosanrihoe/status/1356663812531830792
Corey G.,@Pyromancer4568,2021-02-02T19:37:31.000Z,"And you wanna make s profit from them?
Sad",,,,,,[],https://twitter.com/Pyromancer4568/status/1356688217215553537
afro-manic pixie dream them,@afrosanrihoe,2021-02-02T16:33:32.000Z,"Replying to 
@afrosanrihoe",$0 donations,,1,,,[],https://twitter.com/afrosanrihoe/status/1356641914846601223
Corey G.,@Pyromancer4568,2021-02-02T17:24:41.000Z,You really begging on twitter? That's pathetic,,,,1,,[],https://twitter.com/Pyromancer4568/status/1356654786817503237
Corey G.,@Pyromancer4568,2021-02-02T17:40:10.000Z,"Replying to 
@Decalogics
 and 
@undyingbot","I just got this lmao, I was a kid, and also you defending a bot? Bruh cringe",,,,,[],https://twitter.com/Pyromancer4568/status/1356658684898770945
CloudsInDaHead,@CloudsInDaHead1,2021-02-01T21:49:17.000Z,"You know she isn't. Delete that shit, only black people deserve basic human kindness and empathy.",,,1,,1,[],https://twitter.com/CloudsInDaHead1/status/1356358987504001025
Corey G.,@Pyromancer4568,2021-02-02T17:28:03.000Z,This is racist as fuck,,,1,,,[],https://twitter.com/Pyromancer4568/status/1356655636491231235
Magyar,@Nword51003868,2021-02-02T10:54:29.000Z,you are not getting shit,,😂,1,,2,[],https://twitter.com/Nword51003868/status/1356556591441596416
Corey G.,@Pyromancer4568,2021-02-02T17:34:18.000Z,FR FR Fuck these hoes,,,,,1,[],https://twitter.com/Pyromancer4568/status/1356657209443295236
Corey G.,@Pyromancer4568,2021-02-02T17:22:33.000Z,Nah,,,,,1,[],https://twitter.com/Pyromancer4568/status/1356654250743455748
Corey G.,@Pyromancer4568,2021-03-27T17:14:52.000Z,"Replying to 
@sp_ceii
 and 
@ayodocc",Harley thoo ,🥴,,,,[],https://twitter.com/Pyromancer4568/status/1375858875212181504
Malotti,@kgosileftnut,2021-03-10T03:27:54.000Z,"Replying to 
@RealBobTheBird
 @youtubelover526
 and 2 others",Blocked.,🙄,1,,,['https://pbs.twimg.com/media/EwFoDHhWQAACNzO?format=jpg&name=small'],https://twitter.com/kgosileftnut/status/1369490167485063171
Corey G.,@Pyromancer4568,2021-03-10T11:19:54.000Z,Ok and?,,,,,,[],https://twitter.com/Pyromancer4568/status/1369608949155176448
Laumans Man,@a_laumans,2021-03-28T18:09:25.000Z,"Replying to 
@SuperButterBuns",All the people I know who like this game are queer,,1,,,[],https://twitter.com/a_laumans/status/1376234988568477699
Corey G.,@Pyromancer4568,2021-03-29T14:31:13.000Z,No not really,,,,,,[],https://twitter.com/Pyromancer4568/status/1376542466707488769
Corey G.,@Pyromancer4568,2021-07-29T20:10:47.000Z,"Replying to 
@Stupid_Police_",That's Hilarious,,,,,[],https://twitter.com/Pyromancer4568/status/1420839239294586882
beth,@BRUCCIARATIIS,2021-07-19T22:07:55.000Z,"what’s a jojo confession that would get you attacked? 

i’ll start... i never rlly cared for speedwagon",,,167,577,680,[],https://twitter.com/BRUCCIARATIIS/status/1417244840128036867
Corey G.,@Pyromancer4568,2021-07-20T15:06:51.000Z,Bruh we got the same fugo,,,1,,2,[],https://twitter.com/Pyromancer4568/status/1417501262187220995
Corey G.,@Pyromancer4568,2021-07-29T20:30:09.000Z,"Actually no one cares, it's a fucking pedophile",,,,,1,[],https://twitter.com/Pyromancer4568/status/1420844116255125511
Corey G.,@Pyromancer4568,2021-07-29T20:08:45.000Z,"Replying to 
@ShapedInternet","Fuck the people who think it's for attention but I believe it's white and gold, I'm not saying that for aTteNtiOn I'm saying it because that's what I believe.",,,,,[],https://twitter.com/Pyromancer4568/status/1420838728004734980
