UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Raven rose,@Ravenro38173039,2021-08-12T03:53:22.000Z,"Replying to 
@Amiee03340419",Me me me lol,,1,,,[],https://twitter.com/Ravenro38173039/status/1425666695142821888
Raven rose,@Ravenro38173039,2021-08-16T14:00:20.000Z,"Replying to 
@Amiee03340419",Pick me,,3,,,[],https://twitter.com/Ravenro38173039/status/1427268994352963594
Hismith-Sex Toys,@Hismith_Sextoy,2021-08-20T01:45:14.000Z,"Are you interested in Hismith basic sex machine?
Free test now!
PLS DM ME SOON！

#freetest
#tester
#reviewer",,💅 👉 ✨,32,8,57,"['https://pbs.twimg.com/media/E9MrFVzVcAEJ4F3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9MrLaFVkAAobd6?format=jpg&name=360x360']",https://twitter.com/Hismith_Sextoy/status/1428533552971325445
Raven rose,@Ravenro38173039,2021-08-20T01:53:22.000Z,Please,,,,,,[],https://twitter.com/Ravenro38173039/status/1428535600546779142
Flirty Moms,@FlirtyMoms_,2021-08-26T04:01:00.000Z,Anyone in the mood to sext?,,,612,113,2.4K,[],https://twitter.com/FlirtyMoms_/status/1430742045732261891
Raven rose,@Ravenro38173039,2021-08-28T05:01:37.000Z,Always,,,,,,[],https://twitter.com/Ravenro38173039/status/1431482078491811842
sextoyenjoy,@sextoyenjoy77,2021-08-11T02:53:31.000Z,"An interesting product.

Do you want to know about it?",,😎 😎 😎,10,1,12,"['https://pbs.twimg.com/media/E8ek7ueVoAQDk8L?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ek7ubVoAAmJWW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ek7uaVgAIUgHq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ek7uaVIAQTPVr?format=jpg&name=360x360']",https://twitter.com/sextoyenjoy77/status/1425289245489459207
Raven rose,@Ravenro38173039,2021-08-11T02:53:54.000Z,Interested,,,1,,,[],https://twitter.com/Ravenro38173039/status/1425289344139595779
Raven rose,@Ravenro38173039,2021-08-11T03:04:22.000Z,"Replying to 
@godcs3",The fangs or the blue one lol,,,,,[],https://twitter.com/Ravenro38173039/status/1425291974953902089
Raven rose,@Ravenro38173039,2021-08-15T14:47:57.000Z,,"The following media includes potentially sensitive content. Change settings
View",,,36,92,[],https://twitter.com/Ravenro38173039/status/1426918592176607233
Raven rose,@Ravenro38173039,2021-08-15T23:46:47.000Z,,"The following media includes potentially sensitive content. Change settings
View",,,,2,[],https://twitter.com/Ravenro38173039/status/1427054193261617153
Raven rose,@Ravenro38173039,2021-08-15T17:51:49.000Z,,,,,1,2,['https://pbs.twimg.com/media/E82Y-n7XMAcnMLz?format=jpg&name=900x900'],https://twitter.com/Ravenro38173039/status/1426964860353630210
Raven rose,@Ravenro38173039,2021-08-16T11:34:03.000Z,,,,1,,,['https://pbs.twimg.com/ext_tw_video_thumb/1427232164681338884/pu/img/dQ9rU9nvBQUX3_MJ.jpg'],https://twitter.com/Ravenro38173039/status/1427232180044959748
Raven rose,@Ravenro38173039,2021-08-28T02:42:09.000Z,"Replying to 
@kimiye17
 and 
@amanda_pleasure",Yes,,1,,,[],https://twitter.com/Ravenro38173039/status/1431446978127400960
Raven rose,@Ravenro38173039,2021-08-16T09:04:43.000Z,"Replying to 
@SecretLoverToys",Male masterbation cup,,2,,1,[],https://twitter.com/Ravenro38173039/status/1427194599811043330
