UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Fettz,@donfettz,2021-08-17T23:43:01.000Z,"Me take relationship very seriously, doe ramp wid me!",,,4,199,668,[],https://twitter.com/donfettz/status/1427778018383220738
Kandice_with_a_K,@RedwoodKadian,2021-08-18T20:38:08.000Z,Hope it's not just mouth talk,,,,,,[],https://twitter.com/RedwoodKadian/status/1428093881544024066
Demo’,@DemoOfUK,2021-08-01T14:36:55.000Z,"Jamaicans be like… “Yohan Blake is 6th, but Bomboclaat mi nuh need count”","Nirmit Mehta
@NirmitMehta10
 · Aug 1
Huge Shock!

Yohan Blake out of Men's 100m, finishes seventh in the semifinals

#yohanblake #Jamaica #Athletics #Tokyo2020 #Olympics2020 #blake
This media has been disabled in response to a report by the copyright owner.",,1,,1,['https://pbs.twimg.com/profile_images/1415772901572157443/Jjns1PBl_mini.jpg'],https://twitter.com/DemoOfUK/status/1421842382656573440
Kandice_with_a_K,@RedwoodKadian,2021-08-01T22:47:08.000Z,We knew we didnt have a strong men's team. That was no shock to us Jamaicans,,,,,,[],https://twitter.com/RedwoodKadian/status/1421965752198995968
philip lewis,@Phil_Lewis_,2021-08-21T20:53:36.000Z,"Sha'carri Richardson after the race: “This is one race. I’m not done. Count me out if you want to ... Talk all the shit you want to! You know what I can do!""",,,1K,7.5K,18.9K,['https://pbs.twimg.com/amplify_video_thumb/1429184707107950595/img/cMoQOGI4abfWCCjD.jpg'],https://twitter.com/Phil_Lewis_/status/1429184934581780482
Kandice_with_a_K,@RedwoodKadian,2021-08-22T03:14:43.000Z,This is the worst excuse I've seen so far  ..Stop pls...pls stop,,🤣 🤣 🤣 🤣,,,1,[],https://twitter.com/RedwoodKadian/status/1429280845748187138
Kandice_with_a_K,@RedwoodKadian,2021-08-07T15:26:03.000Z,"Replying to 
@JamaicaGleaner",I would say toto.,,,,,[],https://twitter.com/RedwoodKadian/status/1424029076533170179
Leona Landle,@LandleLeona,2021-08-27T01:14:48.000Z,"Replying to 
@DIGICELJamaica",This jis a pop up and it post from 3 30 kmt,,1,,,[],https://twitter.com/LandleLeona/status/1431062606958170112
Kandice_with_a_K,@RedwoodKadian,2021-08-27T20:54:53.000Z,Just popping  up for me...only to realize this gone from yesterday.. lol,,,,,,[],https://twitter.com/RedwoodKadian/status/1431359587689635841
Dayton Outar,@DaytonOutar,2021-08-02T23:18:21.000Z,"Replying to 
@JamaicaGleaner",Stop giving jokes. Dreadlocks don't mean Rastafari.,,2,,5,[],https://twitter.com/DaytonOutar/status/1422335995178065931
Kandice_with_a_K,@RedwoodKadian,2021-08-03T13:49:02.000Z,She and her family are practicing rastafarians. They are not just dreadlocks wearers. They practice the faith as well,,,,,,[],https://twitter.com/RedwoodKadian/status/1422555111130271759
Kandice_with_a_K,@RedwoodKadian,2021-08-09T00:38:00.000Z,"Replying to 
@JamaicaGleaner
 and 
@USEmbassyJA","Let the man protest. The 
@USEmbassyJA
 sees that Jamaica  is a walk over and they can do anything they want and get away with it and nobody would hold them accountable just like almost all the politicians/'bigger heads' in the country. Ja depends on USA for too many things if US",,1,,,[],https://twitter.com/RedwoodKadian/status/1424530367332114436
Kandice_with_a_K,@RedwoodKadian,2021-08-09T00:38:29.000Z,"Replying to 
@RedwoodKadian
 @JamaicaGleaner
 and 
@USEmbassyJA",If US quint we drop off demand eyelash,,,,,[],https://twitter.com/RedwoodKadian/status/1424530487821971457
Fábio Gelbcke,@fabiogelbcke,2021-08-21T21:14:55.000Z,"Replying to 
@AbkaFitzHenley
 @FastElaine
 and 2 others",Wow! Who could’ve predicted that the Olympic medalists would beat someone with zero international results? Shocking!!!,,3,1,50,[],https://twitter.com/fabiogelbcke/status/1429190301013381122
Kandice_with_a_K,@RedwoodKadian,2021-08-22T01:32:10.000Z,Wow. But u all were predicting her to beat the Olympians though. Now you're all shocked that she came dead dead last. Wow,,,,,7,[],https://twitter.com/RedwoodKadian/status/1429255039856562183
Glenn Donnelly,@funkyc0bra,2021-08-01T13:16:08.000Z,"Replying to 
@94Niwel
 @SRRamnarayan1
 and 
@piersmorgan","No Bolt at one point was the fastest if he can no longer reach that speed then he is no longer the fastest, even if his record isn't beat that doesn't mean Bolt is currently the fastest",,6,,20,[],https://twitter.com/funkyc0bra/status/1421822055721340930
Kandice_with_a_K,@RedwoodKadian,2021-08-01T13:20:59.000Z,As long as no one beats his time he is still the fastest man alive. Even when he is old and grey. Only after he dies he will no longer be the fastest man ALIVE.,,,3,,10,[],https://twitter.com/RedwoodKadian/status/1421823273885741063
Nirmit Mehta,@NirmitMehta10,2021-08-01T10:23:51.000Z,"Huge Shock!

Yohan Blake out of Men's 100m, finishes seventh in the semifinals

#yohanblake #Jamaica #Athletics #Tokyo2020 #Olympics2020 #blake",This media has been disabled in response to a report by the copyright owner.,,12,77,198,[],https://twitter.com/NirmitMehta10/status/1421778696583581700
Kandice_with_a_K,@RedwoodKadian,2021-08-01T22:48:36.000Z,This was no shock to us Jamaicans. We knew we didn't have a strong men's team,,,,,1,[],https://twitter.com/RedwoodKadian/status/1421966119347400705
