UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Ekiti Baker,@cakebeauties,2021-01-24T09:01:31.000Z,This.                      Or.                 That?,,,5,6,22,"['https://pbs.twimg.com/media/EsfE2nOXEAE7zQO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EsfE2nYXIAAxo4k?format=jpg&name=360x360']",https://twitter.com/cakebeauties/status/1353266672552046593
Queen Tee,@Riqqybee,2021-01-24T09:06:07.000Z,That,,,,,2,[],https://twitter.com/Riqqybee/status/1353267826941898752
Temis_footies,@O_Temiiii,2021-01-16T21:23:56.000Z,So me,,💖 🔥 🔥 🔥 🔥 🔥,2,13,18,"['https://pbs.twimg.com/media/Er4iEKmXMAUP8tT?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Er4iEKrXYAItCuU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Er4iEKtXIAImrcF?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Er4iEKwWMAIxL_A?format=jpg&name=360x360']",https://twitter.com/O_Temiiii/status/1350554404588560394
Queen Tee,@Riqqybee,2021-01-16T21:24:35.000Z,How much,,,,,,[],https://twitter.com/Riqqybee/status/1350554567747002369
REV(Dr)FIDELIS AYEMOBA,@RAyemoba,2021-01-22T07:49:12.000Z,"For transparency sake you must upload your alert details when you get your favor...note..years ago I got, years after am giving,l decree not too long from today you will be the giver","Apst Johnson Suleman
@APOSTLESULEMAN
 · Jan 21
500k will be given tommorrow..10k each to 50people..drop acct nos..@RAyemoba will pick randomly..",,1.4K,258,1.5K,['https://pbs.twimg.com/profile_images/1262017436372684800/JkFrGELl_mini.jpg'],https://twitter.com/RAyemoba/status/1352523697014382593
Queen Tee,@Riqqybee,2021-01-22T08:01:14.000Z,Amen,,,,,,[],https://twitter.com/Riqqybee/status/1352526724286787584
DJ KAYWISE,@djkaywise,2021-01-12T13:20:07.000Z,"Work Begins !!!  #Okiki
Follow 
@kaywiseacademy
 & on Instagram  2021 forms available now !! Can’t wait to see y’all #HighWay  #WiseUp",,🥶 🤍 📈 🤙 🤴 🙏,23,48,508,"['https://pbs.twimg.com/media/EriM944WMAEhOkv?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EriM945WMAUHX9r?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EriM945XMAUDx7y?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EriM945XMAYaPPe?format=jpg&name=360x360']",https://twitter.com/djkaywise/status/1348983093785407491
Evie’s coven,@that_blacc_girl,2021-01-12T09:53:43.000Z,"That Snapchat I just visited...
Omo! People are wild o! ",,🦅 🐺 🍛 😫,6,5,71,[],https://twitter.com/that_blacc_girl/status/1348931152871100416
Queen Tee,@Riqqybee,2021-01-12T10:05:48.000Z,"They are really wild,like wtf",,,1,,,[],https://twitter.com/Riqqybee/status/1348934193624059904
Queen Tee,@Riqqybee,2021-01-28T19:47:44.000Z,"#BSC @riquezamichaels 
@ricchmickey
 @Debiwumi","DEGO
@dego_finance
 · Jan 28
To celebrate the coming #BSC Bull Market Special Event, we hold a #BNB Gas #Airdrop to #DEGO community.

1) Follow @dego_finance & @D_Treasureland
2) RT with #BSC & Tag 3 friends 
3) Fill in the form: https://forms.gle/LAELRfdcgkANCCQN9…

5000 winners #win at random on Feb 1st (+1 PM, UTC)",🤘,,,2,"['https://pbs.twimg.com/profile_images/1404727039702159362/uJCByhkZ_mini.jpg', 'https://pbs.twimg.com/media/Es1Dnf2VoAocM1D?format=png&name=small']",https://twitter.com/Riqqybee/status/1354878849025253381
Queen Tee,@Riqqybee,2021-01-16T17:44:33.000Z,"Replying to 
@UnclePamilerin",Cash ni o,,,,,[],https://twitter.com/Riqqybee/status/1350499194675589120
Queen Tee,@Riqqybee,2021-01-22T19:26:05.000Z,"Replying to 
@cakebeauties",Lol,,,,1,[],https://twitter.com/Riqqybee/status/1352699071874670594
Queen Tee,@Riqqybee,2021-01-26T19:08:47.000Z,"Replying to 
@akreana_",@Riqqybee,,,,3,[],https://twitter.com/Riqqybee/status/1354144269544599552
Queen Tee,@Riqqybee,2021-01-13T11:32:21.000Z,"Replying to 
@Brownthywill
 and 
@abbietayo",Ekiti,,,,,[],https://twitter.com/Riqqybee/status/1349318363219173377
Queen Tee,@Riqqybee,2021-01-06T14:23:42.000Z,"Replying to 
@Naija_PR",@SaveVidBot,,,,,[],https://twitter.com/Riqqybee/status/1346824768440459264
Queen Tee,@Riqqybee,2021-01-14T17:40:04.000Z,"Replying to 
@omo_tayorrr",@GetVidBot,,,,1,[],https://twitter.com/Riqqybee/status/1349773289858727946
Queen Tee,@Riqqybee,2021-01-06T14:12:46.000Z,"Replying to 
@maerothegrate",@SendMeThisVideo,,1,,1,[],https://twitter.com/Riqqybee/status/1346822018528849924
Queen Tee,@Riqqybee,2021-01-14T17:41:32.000Z,"Replying to 
@LookingForMide",@sendvidbot,,1,,1,[],https://twitter.com/Riqqybee/status/1349773657858564096
Queen Tee,@Riqqybee,2021-01-22T09:46:17.000Z,"Replying to 
@Riqqybee
 and 
@mroscarromero",@GetVidBot,,,,,[],https://twitter.com/Riqqybee/status/1352553162998218754
Queen Tee,@Riqqybee,2021-01-21T17:22:59.000Z,"Replying to 
@SwedishRat
 and 
@Akos___",@GetVidBot,,1,,1,[],https://twitter.com/Riqqybee/status/1352305705471127554
Queen Tee,@Riqqybee,2021-01-21T18:16:41.000Z,"Replying to 
@APOSTLESULEMAN
 and 
@RAyemoba","2111885398 uba
Oluwadare tolulope 
Thanks sir",,,,,[],https://twitter.com/Riqqybee/status/1352319218490990593
Queen Tee,@Riqqybee,2021-01-22T09:33:00.000Z,"Replying to 
@mroscarromero",@riquezamichaels,,2,,,[],https://twitter.com/Riqqybee/status/1352549817554264065
JOEBOY,@joeboyofficial,2021-02-05T07:42:46.000Z,"Hey guys, do we have a favorite off #SBBM yet? ",,⚪ 💫 🌚,1K,891,7.3K,[],https://twitter.com/joeboyofficial/status/1357595507485474816
Queen Tee,@Riqqybee,2021-02-05T09:59:28.000Z,Yes focus,,😍 😍 😍 😍,,,,[],https://twitter.com/Riqqybee/status/1357629907795402753
Queen Tee,@Riqqybee,2021-02-10T11:07:25.000Z,"Replying to 
@cakebeauties",Okay ma,,,,,[],https://twitter.com/Riqqybee/status/1359458950152937474
Queen Tee,@Riqqybee,2021-02-10T21:46:06.000Z,"Replying to 
@RealSnowlove
 @WeAreTeamICONS
 and 
@ThisIsDotun","Pls the 14days free trial is it only for people using master card,cux its not going on mine",,,,,[],https://twitter.com/Riqqybee/status/1359619677492813831
Ekiti Baker,@cakebeauties,2021-02-10T10:40:52.000Z,"It’s 3days to valentine, pick your package before it’s too late. We also have amazing teddies for sale.",,,1,2,4,"['https://pbs.twimg.com/media/Et2kF_sXMAA7AM2?format=jpg&name=small', 'https://pbs.twimg.com/media/Et2kF_qXYAISGoa?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Et2kF_pXUAgVCvs?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Et2kF_tWgAAFxvd?format=jpg&name=360x360']",https://twitter.com/cakebeauties/status/1359452268270133248
Queen Tee,@Riqqybee,2021-02-10T11:03:07.000Z,How much is the blue teddy Ma'am,,,1,,,[],https://twitter.com/Riqqybee/status/1359457865694609415
Queen Tee,@Riqqybee,2021-02-15T17:30:48.000Z,"Replying to 
@McPilot7
 @TeniEntertainer
 and 2 others",@riquezamichaels,,,,,[],https://twitter.com/Riqqybee/status/1361367370065993729
Queen Tee,@Riqqybee,2021-02-18T11:52:57.000Z,"Replying to 
@BlvckBoi_RIQ
 @ricchmickey
 and 
@Fact",,🙄 🙄 🙄 🙄,,,1,[],https://twitter.com/Riqqybee/status/1362369509785559044
Queen Tee,@Riqqybee,2021-01-31T21:19:09.000Z,"Replying to 
@lewa_forbes",,🙄 🙄 🙄 🙄 🙄,,,,[],https://twitter.com/Riqqybee/status/1355989018777968645
Queen Tee,@Riqqybee,2021-02-19T08:19:35.000Z,"Replying to 
@lMMCrypto
 and 
@Vgoodll",Hi,,,,,[],https://twitter.com/Riqqybee/status/1362678203521859588
Queen Tee,@Riqqybee,2021-02-06T17:56:19.000Z,"Replying to 
@thedietmuse
 and 
@JideWestwood",@cakebeauties,,,,1,[],https://twitter.com/Riqqybee/status/1358112299840585733
Queen Tee,@Riqqybee,2021-02-11T20:15:14.000Z,"Replying to 
@Dadabisola5
 @Debiwumi
 and 2 others",@cakebeauties,,,,,[],https://twitter.com/Riqqybee/status/1359959197740367874
Queen Tee,@Riqqybee,2021-02-12T08:32:08.000Z,"Replying to 
@NabilNessa
 @Its_sore
 and 
@Itunzyy",,🙄 🙄 🙄 🙄 🙄,1,,,[],https://twitter.com/Riqqybee/status/1360144643992801281
Queen Tee,@Riqqybee,2021-02-08T13:21:10.000Z,"Replying to 
@Damii_aros",@BlaqBonez,,,,,[],https://twitter.com/Riqqybee/status/1358767833921052674
