UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Samuel,@SNolen1989,2021-01-15T05:52:35.000Z,I got 9 out of 10! How do you measure up?,"I Bet You Can't Pass This ""Friends"" Two Truths And A Lie Quiz Without Cheating
The One With Questions Designed To Trick You.
buzzfeed.com",,,,,['https://pbs.twimg.com/card_img/1434043296934924291/0OtKy4TV?format=jpg&name=small'],https://twitter.com/SNolen1989/status/1349957634116505601
Samuel,@SNolen1989,2021-01-13T08:52:24.000Z, Patriots coach says 'no thanks' to Trump's desperate Medal of Freedom award offer,"Patriots coach says 'no thanks' to Trump's desperate Medal of Freedom award offer
That's what being a Patriot looks like.
upworthy.com",,,,,[],https://twitter.com/SNolen1989/status/1349278108378128385
Cheryl Hole,@CherylHoleQueen,2021-01-22T18:03:17.000Z,"I'm having a day where all I want to do is eat eat eat. NO CHERYL, PUT THE CRISPS DOWN!",,,21,6,630,[],https://twitter.com/CherylHoleQueen/status/1352678236510154753
Samuel,@SNolen1989,2021-01-22T19:15:02.000Z,Just getchu some cake,,,,,,[],https://twitter.com/SNolen1989/status/1352696291038547969
mikey,@twinleaftowngay,2021-01-30T18:21:39.000Z,"I fucking hate how fast facial hair grows, I WANT IT GONE",,,10,21,104,[],https://twitter.com/twinleaftowngay/status/1355581958286307331
Samuel,@SNolen1989,2021-01-30T21:40:05.000Z,"And weird ass growth patterns too
I want to try waxing my whole face",,,,,1,[],https://twitter.com/SNolen1989/status/1355631897662132228
andres,@CrackHeadAndres,2021-01-30T19:16:42.000Z,Somebody said bestie is the gay version of bro and I can’t stop thinking about it,,🐯,24,167,1K,[],https://twitter.com/CrackHeadAndres/status/1355595813053984772
Samuel,@SNolen1989,2021-01-30T21:36:50.000Z,"Nah bestie is bestie like bff fr
Gay bro is sis or gurl lol",,,,,,[],https://twitter.com/SNolen1989/status/1355631079437332487
Skip Marley,@SkipMarley,2021-01-30T17:15:00.000Z,How is everyone feeling? Tell mi about something yuh looking forward tuh.,,,182,100,1K,[],https://twitter.com/SkipMarley/status/1355565186619469826
Samuel,@SNolen1989,2021-01-30T21:39:01.000Z,"Hey yo 
@SkipMarley
 tell you what I be lookin' forward to is see The Arab Sea one day and eat my weight in Israeli cuisine",,,,,,[],https://twitter.com/SNolen1989/status/1355631630585655296
Heathen,@kraykitkatt,2021-01-29T12:39:28.000Z,"⁦
@Grimezsz
⁩ Ask my oldest about her bangs in first grade.  Trial and error girl, but you tired.","Grimes Gives 8-Month-Old Son X AE A-Xii a 'Viking'-Inspired Look: 'Not Sure This Haircut Went Well'
Grimes and boyfriend Elon Musk welcomed son X AE A-Xii in May
people.com",⚡ 🪐 🔋 💎 🙌 🔋 🪐 ⚡ 🤣 🤣 🤣 🤣 ❤ 💕,126,143,877,['https://pbs.twimg.com/card_img/1434247358276059140/1Dnp5wWa?format=jpg&name=small'],https://twitter.com/kraykitkatt/status/1355133460667621385
Samuel,@SNolen1989,2021-01-30T17:27:50.000Z,So fetch,,,,,,[],https://twitter.com/SNolen1989/status/1355568418431381504
Samuel,@SNolen1989,2021-01-07T00:35:30.000Z,https://instagram.com/stories/rachgway/2480979238812127399?utm_source=ig_story_item_share&igshid=13npff8xxmhst…,,,,,,[],https://twitter.com/SNolen1989/status/1346978732486123520
Samuel,@SNolen1989,2021-01-07T16:38:02.000Z,https://instagram.com/stories/cndesaus/2481476749897147328?utm_source=ig_story_item_share&igshid=1t1kv2ykswnvq…,,,,,,[],https://twitter.com/SNolen1989/status/1347220963193204741
Samuel,@SNolen1989,2021-01-07T16:37:20.000Z,https://instagram.com/stories/cndesaus/2481476322111612199?utm_source=ig_story_item_share&igshid=127wo9ntxktcm…,,,,,,[],https://twitter.com/SNolen1989/status/1347220785769930752
Samuel,@SNolen1989,2021-01-23T18:30:25.000Z,,"Watch House of Highlights: DM Countdown on Snapchat
story.snapchat.com",,,,,[],https://twitter.com/SNolen1989/status/1353047451595378690
Samuel,@SNolen1989,2021-01-30T21:23:20.000Z,https://instagram.com/reel/CKrgfhjh8_O/?igshid=gx1iilatkb8b…,,,,,,[],https://twitter.com/SNolen1989/status/1355627681325449218
Samuel,@SNolen1989,2021-01-18T11:09:14.000Z,,"Biden's inaugural address expected to push unity, optimism
President-elect Joe Biden's inaugural address will outline how he plans to handle the coronavirus pandemic and the subsequent economic fallout while in office, and he will also urge Americans to move...
news.yahoo.com",,,,,[],https://twitter.com/SNolen1989/status/1351124484841996293
