UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Tfue,@TTfue,2021-02-18T13:31:02.000Z,Hair reveal in 30 min ,,🤭,182,61,11.2K,[],https://twitter.com/TTfue/status/1362394191695908867
Shron446,@Shron446,2021-02-18T13:57:30.000Z,cant wait,,,,,,[],https://twitter.com/Shron446/status/1362400855673110530
Raider464,@raidr_fn,2021-02-02T14:01:14.000Z,Added lever shotgun to all of my maps ,,✅,138,49,3.3K,['https://pbs.twimg.com/media/EtOfrkFXYAI7Wap?format=jpg&name=small'],https://twitter.com/raidr_fn/status/1356603588085178368
Shron446,@Shron446,2021-02-03T12:23:15.000Z,thanks,,,,,,[],https://twitter.com/Shron446/status/1356941316983316482
PWR Over,@overstrand,2021-02-21T03:36:34.000Z,Who's your favorite streamer right now?,,,141,2,295,[],https://twitter.com/overstrand/status/1363331755432833025
Shron446,@Shron446,2021-02-21T14:10:57.000Z,Overstand,,,,,,[],https://twitter.com/Shron446/status/1363491402592579593
FaZe Flea,@FleaYT,2021-02-03T21:38:59.000Z,You only get 1 word to describe yourself. What is it?,,,2K,82,5.6K,[],https://twitter.com/FleaYT/status/1357081172749127683
Shron446,@Shron446,2021-02-04T15:16:51.000Z,Justin,,,,,,[],https://twitter.com/Shron446/status/1357347392748572676
smonk  ,@_smonk_,2021-02-21T00:19:35.000Z,Where are you from?,"NAE
63.2%
EU
15.8%
NAW
15.8%
OCE
5.3%
19 votes
·
Final results",,1,,4,[],https://twitter.com/_smonk_/status/1363282183826399236
Shron446,@Shron446,2021-02-21T14:12:36.000Z,middle east,,,,,2,[],https://twitter.com/Shron446/status/1363491817186975748
Plalism,@PlaIism,2021-02-24T05:09:37.000Z,"Hosting a 0-1000 followers only 1v1 tournament for $$

Picking 8 poeple with no clout who reply to this tweet.

WInner will get $20 and a shoutout on YT

Picking and starting soon",,😃,1.2K,70,1.4K,[],https://twitter.com/PlaIism/status/1364442337351397386
Shron446,@Shron446,2021-02-24T05:59:36.000Z,this is unfair i am middle east,,,,,,[],https://twitter.com/Shron446/status/1364454911954489344
Shron446,@Shron446,2021-01-31T12:18:16.000Z,you use code flea so your pp size dobules cause you have the dick size of an ant,,,,,,[],https://twitter.com/Shron446/status/1355852898475921411
12th Hour,@l2thhour,2021-02-11T18:59:27.000Z,NAHH WHO MADE THIS,,,68,3,524,['https://pbs.twimg.com/media/Et96RsBWgAA1xM0?format=jpg&name=small'],https://twitter.com/l2thhour/status/1359940128232394752
Shron446,@Shron446,2021-02-12T07:54:37.000Z,tbh you look cute,,,,,,[],https://twitter.com/Shron446/status/1360135206540312577
Fortnite Status,@FortniteStatus,2021-02-08T19:30:27.000Z,"We're currently investigating an increase in crashes on the Switch.

We are working to resolve this issue and will provide an update once we have more information.",,,396,220,4K,['https://pbs.twimg.com/media/Etukm0DXAAcs0-_?format=jpg&name=small'],https://twitter.com/FortniteStatus/status/1358860766468833280
Shron446,@Shron446,2021-02-09T06:48:22.000Z,"@FortniteStatus
 I am getting way to  many crashes on fortnite performance mode and it is decreasing my fps",,,,,,[],https://twitter.com/Shron446/status/1359031367305224193
Lovely,@lovelyy100k,2021-02-02T22:01:21.000Z,"Joined 
@FaZeClan",,,486,208,9.4K,[],https://twitter.com/lovelyy100k/status/1356724411345289222
Shron446,@Shron446,2021-02-03T12:20:04.000Z,why the fuck you lying,,,,,,[],https://twitter.com/Shron446/status/1356940518241034242
1% NotLuc,@NotLucFN,2021-02-11T21:11:45.000Z,"Parted ways with 
@TeamBH_
 

It’s been an amazing year with BH & thank you to Mayo, Motion & Woods for everything they have done for me.",,🚀,274,57,2.1K,[],https://twitter.com/NotLucFN/status/1359973422911148032
Shron446,@Shron446,2021-02-12T07:53:38.000Z,goodluck for the future,,,,,1,[],https://twitter.com/Shron446/status/1360134955175657474
Xephyr,@Xephyr117,2021-02-16T18:19:47.000Z,"Replying to 
@Shron446
 and 
@PlayStation",You should raise hell and send that shit back for a new one,,1,,2,[],https://twitter.com/Xephyr117/status/1361742084676464640
Shron446,@Shron446,2021-02-17T05:52:51.000Z,I ll see if i can get warranty on it and get it replaced,,,,,1,[],https://twitter.com/Shron446/status/1361916500714659840
Shron446,@Shron446,2021-02-03T12:20:20.000Z,"Replying to 
@FRChronic",Carari,,,,,[],https://twitter.com/Shron446/status/1356940583584100352
Shron446,@Shron446,2021-02-23T04:47:22.000Z,"Replying to 
@yungcalc",me,,,,,[],https://twitter.com/Shron446/status/1364074348164771842
Shron446,@Shron446,2021-02-26T05:04:30.000Z,"Replying to 
@ZitoFN_",h,,,,1,[],https://twitter.com/Shron446/status/1365165824311451653
Shron446,@Shron446,2021-02-12T07:56:33.000Z,"Replying to 
@raidr_fn",gta 4,,,,2,[],https://twitter.com/Shron446/status/1360135692077195265
Shron446,@Shron446,2021-02-12T07:51:18.000Z,"Replying to 
@StableRonaldo",sadsdasad,,,,,[],https://twitter.com/Shron446/status/1360134371039141889
Shron446,@Shron446,2021-03-03T06:16:40.000Z,I am probably the serpentau of Middle east,,,,,1,[],https://twitter.com/Shron446/status/1366995923293925378
Ghoulz,@GhoulzOfficial,2021-03-27T18:06:23.000Z,Would you kiss your 3rd @ or sit on this chair? ,,😳,762,28,1K,['https://pbs.twimg.com/media/ExgUIgcVIAAp9IU?format=png&name=small'],https://twitter.com/GhoulzOfficial/status/1375871839675686913
Shron446,@Shron446,2021-03-27T19:57:43.000Z,Sit on the chair,,,1,,,['https://pbs.twimg.com/media/Exgtn6_W8AIxZSH?format=jpg&name=medium'],https://twitter.com/Shron446/status/1375899857194512387
Shron446,@Shron446,2021-03-19T15:45:06.000Z,My eyesight is not weak I can see all the way to the sun,,,,,2,[],https://twitter.com/Shron446/status/1372937180730032135
Shron446,@Shron446,2021-03-16T14:52:21.000Z,want to know one thing is the pump back,,,1,,2,[],https://twitter.com/Shron446/status/1371836741934538764
Shron446,@Shron446,2021-03-09T15:11:23.000Z,"If 
@mrfreshasian
 tried hard he could win the entire FNCS",,,,,2,[],https://twitter.com/Shron446/status/1369304818171404292
Shron446,@Shron446,2021-03-13T16:49:28.000Z,"I am not missing any shots I think 
@FortniteGame
 added aim assist on kbm",,,,,1,[],https://twitter.com/Shron446/status/1370779051779096577
Shron446,@Shron446,2021-03-27T20:52:16.000Z,"If they removed the primal shotgun fortnite would be a good game 
@FNCompetitive",,,,,3,[],https://twitter.com/Shron446/status/1375913584736276481
Shron446,@Shron446,2021-03-27T20:02:56.000Z,"Replying to 
@FaZeSway",Les go,,,,1,[],https://twitter.com/Shron446/status/1375901168619171847
Shron446,@Shron446,2021-03-29T12:49:03.000Z,"Replying to 
@LukeTheNotable",take ur time but some streams would be nice,,,,1,[],https://twitter.com/Shron446/status/1376516753216339970
BH Motion,@ilymotion,2021-03-12T00:16:54.000Z,following to 500 who wants a follow?,,,757,44,1.5K,[],https://twitter.com/ilymotion/status/1370166877683511299
FaZe Flea,@FleaYT,2021-03-12T15:31:17.000Z,"cheeky lil banger dropping tomorrow, any guesses?",,,114,18,2.1K,['https://pbs.twimg.com/media/EwSgSiCVgAEGzOe?format=jpg&name=small'],https://twitter.com/FleaYT/status/1370396989678968835
Shron446,@Shron446,2021-03-12T16:13:30.000Z,Flea x Lazarbeam,,,,,1,[],https://twitter.com/Shron446/status/1370407613100388360
Serpent,@SerpentAU,2021-03-25T11:08:05.000Z,10k likes and I'll deactivate and never come back again,,🌟,290,51,3K,['https://pbs.twimg.com/media/ExUhNr7VgAUSN0k?format=png&name=small'],https://twitter.com/SerpentAU/status/1375041792442200076
Shron446,@Shron446,2021-03-25T12:54:46.000Z,hell no never,,,,,1,[],https://twitter.com/Shron446/status/1375068640253460481
Dream,@Dream,2021-03-29T09:07:01.000Z,20 million subscribers on YouTube... absolutely INSANE. You made my dreams come true and I am forever grateful. thank you and LETS GOOOOOOOOO,,,20K,22.7K,483.3K,[],https://twitter.com/Dream/status/1376460878367838208
Shron446,@Shron446,2021-03-29T13:28:18.000Z,Face,,,,,,[],https://twitter.com/Shron446/status/1376526634677772288
Shron446,@Shron446,2021-03-12T19:42:51.000Z,"I am the clone of 
@SerpentAU",,,,,1,[],https://twitter.com/Shron446/status/1370460297694154760
Shron446,@Shron446,2021-03-30T12:41:31.000Z,"Replying to 
@RavenzFN",It’s actually fire,,,,,[],https://twitter.com/Shron446/status/1376877247429111817
Shron446,@Shron446,2021-03-12T08:58:17.000Z,"Replying to 
@LitAlvi",i think you win easy,,,,,[],https://twitter.com/Shron446/status/1370298085436456962
SypherPK,@SypherPK,2021-03-18T01:18:07.000Z,How we feeling about Fortnite season 6 so far?,,,1.3K,116,9.9K,[],https://twitter.com/SypherPK/status/1372356608014102530
Shron446,@Shron446,2021-03-18T07:15:45.000Z,this seson is dogwater,,,,,,[],https://twitter.com/Shron446/status/1372446612677607429
HKM,@codeHKM,2021-03-28T14:48:34.000Z,Good Morning,,,47,,158,[],https://twitter.com/codeHKM/status/1376184444617375750
Shron446,@Shron446,2021-03-28T14:49:02.000Z,Gm but it’s gn for me,,,,,,[],https://twitter.com/Shron446/status/1376184560740925446
Luke TheNotable,@LukeTheNotable,2021-03-28T19:55:28.000Z,"Guess my next video.

You won't",,,675,35,3.4K,[],https://twitter.com/LukeTheNotable/status/1376261678363340800
Shron446,@Shron446,2021-03-29T02:44:25.000Z,Boney burbs one hundred drops,,,,,,[],https://twitter.com/Shron446/status/1376364592813719554
