UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Speak4MC LLC,@Speak4MC,2021-07-28T11:20:10.000Z,"Time to create and innovate people!! What problems are you solving on #wednesday?

#wednesdaymotivation #wednesdaythought #wednesdayinspiration #wednesdaywisdom",,,,,,['https://pbs.twimg.com/media/E7YSkAyXMA069Vq?format=jpg&name=900x900'],https://twitter.com/Speak4MC/status/1420343320262422532
Speak4MC LLC,@Speak4MC,2021-07-26T11:19:52.000Z,"Happy Monday!!! Check out the new promo and don't forget to like, share and comment. 

#mondaymotivation #drivechange #Speak4MC #InfluenceChange","Speak4MC LLC
@Speak4MC
 · Jul 24
Motivate your peers and achieve outcomes with Speak4MC! Curtis has trained and coached professionals who serve court involved juveniles, WIOA youth, dislocated workers, and adults.

Like, share and comment to support small business!

#Speak4MC #Change #Workplacechange",😁 😁 😁 👊 👊 💪 💪 👏 👏 😀 👏 😀 💪,,1,,"['https://pbs.twimg.com/profile_images/1416123205316657159/YyqT2co7_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1418971044971524101/pu/img/waJQgNxXB7V2ENbd.jpg']",https://twitter.com/Speak4MC/status/1419618465627914243
Speak4MC LLC,@Speak4MC,2021-07-27T01:23:50.000Z,"Workforce professional Matt Fields joins the #BeTodayPodcast to discuss the role power struggles have in the workplace, our personal lives and social media. #workplace #conflict #power #Motivationalinterviewing #PodcastRecommendations","Jay-Z Doesn't Argue with Fools - How Debate and Argument Impact Workplace Relationships and...
Jay-Z's words help us navigate the role power struggles and arguments have on influencing behavior. Does debate work? How do we tell the difference between compliance and change? At 10:07, Workforce...
anchor.fm",,,,1,[],https://twitter.com/Speak4MC/status/1419830858350047249
Speak4MC LLC,@Speak4MC,2021-07-25T18:07:35.000Z,"Listen to Secrets to Winning at Office Politics by Marie G. McIntyre PhD on Audible. https://audible.com/pd?asin=B07FK1LQKG&source_code=ASSORAP0511160006…

Phenomenal audiobook. #Audible #audiobooks ⁦
@audible_com
⁩ #officepolitics #sundayreading",,,,,,['https://pbs.twimg.com/media/E7KTM-GWYAEeloS?format=jpg&name=small'],https://twitter.com/Speak4MC/status/1419358686254936064
Speak4MC LLC,@Speak4MC,2021-07-29T01:23:29.000Z,Check us out to be inspired!,"The #BeToday Podcast • A podcast on Anchor
Curtis has trained over 3,000 professionals across the country on how to influence change. Change is hard, and a commitment to change is the hardest. However, if we embrace strategic empathy and...
anchor.fm",,,,,['https://pbs.twimg.com/card_img/1432354735798259712/KuK_mR7p?format=jpg&name=small'],https://twitter.com/Speak4MC/status/1420555544063057922
Speak4MC LLC,@Speak4MC,2021-07-29T13:33:26.000Z,"#ImnotcryingYourecrying
Special promo for my social media squad!! Email the hashtag #Speak4Thirty to Curtis@Speak4MC.com to receive a free 30-minute MI inspired virtual workshop for your team!!  #thursdaymotivation  #thursdaywisdom #thursdayinspiration #betodaypodcast",,😪 ❤ 😎,,1,,['https://pbs.twimg.com/ext_tw_video_thumb/1420738771352489985/pu/img/c0uus4Scuuy0YVgo.jpg'],https://twitter.com/Speak4MC/status/1420739244667068418
wise connector™ | better habits. better life.,@wiseconnector,2021-07-21T18:00:59.000Z,Traveling is my favorite way to expand my mind.  Reading is second.  What's yours?,,,131,183,932,[],https://twitter.com/wiseconnector/status/1417907474066247682
Speak4MC LLC,@Speak4MC,2021-07-21T18:44:52.000Z,Audiobooks! ,,😃,,,1,[],https://twitter.com/Speak4MC/status/1417918515915497477
Speak4MC LLC,@Speak4MC,2021-07-22T00:12:04.000Z,"Motivation, optimism and inspiration. Let's chat, and #BeToday #Change #Empathy #compassion #motivation","The #BeToday Podcast • A podcast on Anchor
Curtis has trained over 3,000 professionals across the country on how to influence change. Change is hard, and a commitment to change is the hardest. However, if we embrace strategic empathy and...
anchor.fm",,,,1,['https://pbs.twimg.com/card_img/1432354735798259712/KuK_mR7p?format=jpg&name=small'],https://twitter.com/Speak4MC/status/1418000859703791617
Ivetta,@Quotesme_,2021-07-23T09:44:55.000Z,"""Nobody can dim the light which shines from within"" - Maya Angelo",,,1,,4,[],https://twitter.com/Quotesme_/status/1418507409543155713
