UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
John McAfee,@officialmcafee,2021-01-18T19:00:42.000Z,"In a country where political leaders deceive, line their pockets, smear their opponents, give contracts to supporters, create propaganda ... the censuring of someone on social media for suggesting election fraud exists will go down as one of the greatest absurdities in history.",,,232,2K,6.5K,[],https://twitter.com/officialmcafee/status/1351243132034277383
BLACKBEARD,@TERPENE_PIRATE,2021-01-19T03:04:08.000Z,Amen ,,🙏,,,,[],https://twitter.com/TERPENE_PIRATE/status/1351364793031004162
John McAfee,@officialmcafee,2021-01-25T15:00:51.000Z,"I am in prison. It does not matter where I am or what happens to me it will not change the madness of the world - war, conflict, jealousy, emptiness, dissatisfaction. 

I am a transient, tiny spark in an infinite universe, as are all of you.",,,366,657,5.7K,[],https://twitter.com/officialmcafee/status/1353719490014568452
BLACKBEARD,@TERPENE_PIRATE,2021-01-26T04:05:36.000Z,Hope you make it out of there John,,,,,,[],https://twitter.com/TERPENE_PIRATE/status/1353916978205913088
CNBC,@CNBC,2021-01-08T23:28:45.000Z,Twitter permanently suspends Trump's account,"Twitter bans Trump, says plans for Jan. 17 armed protests are circulating
It's a step Twitter has resisted taking for all of Trump's presidency.
cnbc.com",,168,368,1.3K,['https://pbs.twimg.com/card_img/1432062414846050308/s8D4bGQS?format=jpg&name=small'],https://twitter.com/CNBC/status/1347686710570868739
BLACKBEARD,@TERPENE_PIRATE,2021-01-09T03:12:11.000Z,Fucking bullshit,,,,,,[],https://twitter.com/TERPENE_PIRATE/status/1347742939124887553
Marvin Vettori,@MarvinVettori,2021-01-28T22:11:46.000Z,"This Jake Paul bullshit is so disrespectful to all the real fighters
Fuck whoever is always trying to take shortcuts especially in this game
Hope I had the chance to punk this bitch in any training or fight
Blood sweat and tears is what this game is about and he’s none of this",,,93,243,1.8K,[],https://twitter.com/MarvinVettori/status/1354915093713063938
BLACKBEARD,@TERPENE_PIRATE,2021-01-29T04:59:38.000Z,"Charisma... is everything... practicing charisma and having an audience is key. Look at 
@officialmcafee
 ... his charisma is his best skillset and look what he accomplished in life... I think your charisma has grown Marvin since you joined the UFC . I hope to see you as champ ",,💯,,,1,[],https://twitter.com/TERPENE_PIRATE/status/1355017740340264962
BLACKBEARD,@TERPENE_PIRATE,2021-01-27T04:21:59.000Z,"Replying to 
@officialmcafee",Hmmmm,,,,,[],https://twitter.com/TERPENE_PIRATE/status/1354283488036311040
Erik Voorhees,@ErikVoorhees,2021-02-15T03:24:23.000Z,"Did Robin Hood steal from the rich to give to the poor?

Or did he steal from the king and give back to the taxpayer?",,,25,14,300,[],https://twitter.com/ErikVoorhees/status/1361154363683598338
BLACKBEARD,@TERPENE_PIRATE,2021-02-15T04:41:08.000Z,If y’all know Robin Hood! Tell him about me !! I really like bitcoin and I’m poor. #Robinhood,,,,,,[],https://twitter.com/TERPENE_PIRATE/status/1361173674473050112
John McAfee,@officialmcafee,2021-02-14T19:00:46.000Z,"Hunger in a world of abundance. Poverty amidst luxury. Wealth vs want. 

We are a species divided by class, power, oppression, privilege. 

No other species has such self-destructive divisions. 

We should be added to the species we need to save.",,,132,532,2.2K,[],https://twitter.com/officialmcafee/status/1361027624089366534
BLACKBEARD,@TERPENE_PIRATE,2021-02-15T04:44:10.000Z,I miss you John from bottom of my heart ,,❤,,,,[],https://twitter.com/TERPENE_PIRATE/status/1361174439925178373
John McAfee,@officialmcafee,2021-02-16T19:22:28.000Z,"My life's conflicts stemmed from one source: 

My best friend and my worst enemy were both myself.",,,161,492,2.7K,[],https://twitter.com/officialmcafee/status/1361757857302138880
BLACKBEARD,@TERPENE_PIRATE,2021-02-16T21:35:42.000Z,How does one over come this problem John???,,,,,1,[],https://twitter.com/TERPENE_PIRATE/status/1361791388057178116
GeoCoin,@geo_coin,2021-02-24T20:31:37.000Z,"We are going to offer yield farming of Elemental $GEO for liquidity providers.  Help us get started, which Elemental would you like to see represent GEOs Green?  These Elementals will be used in future #NFT series. Get your vote in!","Acid
7.8%
Emerald
31.4%
Nature
52.9%
Poison
7.8%
51 votes
·
Final results",,10,17,30,[],https://twitter.com/geo_coin/status/1364674365720158208
BLACKBEARD,@TERPENE_PIRATE,2021-02-24T21:37:04.000Z,Why not poison?,,,,,,[],https://twitter.com/TERPENE_PIRATE/status/1364690836177358853
BLACKBEARD,@TERPENE_PIRATE,2021-02-26T02:47:21.000Z,"Replying to 
@AlexMasmej",Thank you bro ,😎,,,,[],https://twitter.com/TERPENE_PIRATE/status/1365131310054866946
John W. Rich (Fake Tech Exec),@Cokedupoptions,2021-02-26T21:36:06.000Z,"I'll be taking a business trip to Allentown, PA to arrange an investment",,,124,190,1.8K,"['https://pbs.twimg.com/media/EvLterSU4AA_9b3?format=png&name=small', 'https://pbs.twimg.com/media/EvLtpmYVoAAlHxV?format=png&name=small', 'https://pbs.twimg.com/media/EvLtly7VEAAT4PN?format=png&name=small', 'https://pbs.twimg.com/media/EvLtwTMVcAAZ-h5?format=png&name=small']",https://twitter.com/Cokedupoptions/status/1365415369549115399
BLACKBEARD,@TERPENE_PIRATE,2021-02-24T22:47:36.000Z,He’s actually a narcissist,,,,,,[],https://twitter.com/TERPENE_PIRATE/status/1364708584940916738
BLACKBEARD,@TERPENE_PIRATE,2021-02-26T02:46:38.000Z,"Replying to 
@AlexMasmej",0xD2124aD06E4364679744bF9E9067B58f57362599,,,,,[],https://twitter.com/TERPENE_PIRATE/status/1365131126734344196
BLACKBEARD,@TERPENE_PIRATE,2021-02-18T22:10:36.000Z,"Replying to 
@VentureCoinist",Dr. Pepper > Coca Cola,,,,,[],https://twitter.com/TERPENE_PIRATE/status/1362524947411689472
BLACKBEARD,@TERPENE_PIRATE,2021-02-27T05:02:57.000Z,"Replying to 
@FinanceTaco
 and 
@hackapreneur",#tacofinance,,,,1,[],https://twitter.com/TERPENE_PIRATE/status/1365527819371962371
Luke Martin,@VentureCoinist,2021-02-25T15:42:17.000Z,"Replying to 
@BTC_Warboy
 @CoinistBot
 and 2 others","like I posted for Gainzy...this is ONE MONTH returns. 
@AltcoinPsycho
 has nothing to worry about, his bot has absolutely crushed it for almost 2 years straight",,2,1,19,['https://pbs.twimg.com/media/EvFTdJJXEAMeFuI?format=jpg&name=small'],https://twitter.com/VentureCoinist/status/1364963937486319625
BLACKBEARD,@TERPENE_PIRATE,2021-02-26T02:24:38.000Z,Can I afford a bot at $15 an hour? Probably not... is there a schematic or something to build this bit? I’m an electrician apprentice . Is it possible for someone like me Luke?,,,,,,[],https://twitter.com/TERPENE_PIRATE/status/1365125593222631426
BLACKBEARD,@TERPENE_PIRATE,2021-02-26T01:39:15.000Z,Done !,,,1,,,[],https://twitter.com/TERPENE_PIRATE/status/1365114172506169346
Olya,@olya_borderless,2021-02-24T21:54:02.000Z,"Ladies, if he:

- is very controlling 
- gets excited when he hears brrrrrr
- is happy to give you money but asks for much more in return
- goes down on you unexpectedly 

He is not your boyfriend, he is the FED",,,8,13,143,[],https://twitter.com/olya_borderless/status/1364695106348023810
John W. Rich (Fake Tech Exec),@Cokedupoptions,2021-03-04T17:36:41.000Z,How do I go long on inflation?,,,551,398,4.4K,[],https://twitter.com/Cokedupoptions/status/1367529441908301828
BLACKBEARD,@TERPENE_PIRATE,2021-03-04T20:49:51.000Z,By  buying #blockbuster ...,,,,,,[],https://twitter.com/TERPENE_PIRATE/status/1367578056609558528
John W. Rich (Fake Tech Exec),@Cokedupoptions,2021-03-12T04:47:42.000Z,"Was charging my Tesla, but my loser son unplugged it so he could plug in his video game machine. Now I won't be able to drive to my meeting.",,,49,26,731,[],https://twitter.com/Cokedupoptions/status/1370235024079917062
BLACKBEARD,@TERPENE_PIRATE,2021-03-12T05:38:31.000Z,What game ?,,,,,,[],https://twitter.com/TERPENE_PIRATE/status/1370247812839960577
John W. Rich (Fake Tech Exec),@Cokedupoptions,2021-03-03T01:20:48.000Z,"Launching the divorced dad ETF. Allocation is 20% short Tesla, 30% low yield bond ETF, and 50% Hooter's",,,60,92,1.5K,[],https://twitter.com/Cokedupoptions/status/1366921466688663558
BLACKBEARD,@TERPENE_PIRATE,2021-03-03T02:26:06.000Z,I don’t know about you Mr. Rich  but I’m going to invest HEAVILY in #Blockbuster. . Not joking this time ,,🤑 💯 🤨,,,,[],https://twitter.com/TERPENE_PIRATE/status/1366937901007663107
John W. Rich (Fake Tech Exec),@Cokedupoptions,2021-03-08T02:13:01.000Z,"I converted half my company's balance sheet to Bitcoin at $58,000 and then panic converted it back at $44,000. My investors are livid.",,,79,124,2.3K,[],https://twitter.com/Cokedupoptions/status/1368746547056275460
BLACKBEARD,@TERPENE_PIRATE,2021-03-08T02:19:10.000Z,Haha,,,,,,[],https://twitter.com/TERPENE_PIRATE/status/1368748093588393986
BLACKBEARD,@TERPENE_PIRATE,2021-03-26T23:58:26.000Z,"Replying to 
@S3ATTL3ITE
 and 
@BittrexExchange",When they did that to my #safex ... I literally lost 1000s,,,,1,[],https://twitter.com/TERPENE_PIRATE/status/1375598045794955264
John W. Rich (Fake Tech Exec),@Cokedupoptions,2021-03-16T12:16:38.000Z,"1 year ago today, you could've bought Tesla at $89. Instead, you bought 264 rolls of toilet paper and 50 bottles of bleach.",,,234,2.6K,16.9K,[],https://twitter.com/Cokedupoptions/status/1371797555588128772
BLACKBEARD,@TERPENE_PIRATE,2021-03-17T00:24:31.000Z,"I bought alot of toothpaste, deodorant, and a bunch of sandwich bags",,,,,,[],https://twitter.com/TERPENE_PIRATE/status/1371980730830483456
BLACKBEARD,@TERPENE_PIRATE,2021-03-09T02:44:31.000Z,"Replying to 
@Cokedupoptions",Jumping on the Burger King bandwagon I see .... cheating on Wendy’s like this ...,,,,1,[],https://twitter.com/TERPENE_PIRATE/status/1369116861510553600
wsbmod,@wsbmod,2021-03-05T15:32:22.000Z,"How do you hide a 120k loss from your wife? 

Asking for a friend.",,,1.1K,1K,15.4K,[],https://twitter.com/wsbmod/status/1367860544796041217
BLACKBEARD,@TERPENE_PIRATE,2021-03-06T00:27:23.000Z,"Hmmmm, just act like a narcissist and blame it on her... good luck",,,,,,[],https://twitter.com/TERPENE_PIRATE/status/1367995189034295296
Metal Pay,@metalpaysme,2021-03-27T18:24:19.000Z,"You can only hold one, but you're not allowed to touch it for 10 years ","1 BTC
53.1%
50 ETH
25.1%
700 LTC
9.2%
4 million Doge
12.6%
693 votes
·
Final results",👇,24,2,39,[],https://twitter.com/metalpaysme/status/1375876350326677505
BLACKBEARD,@TERPENE_PIRATE,2021-03-27T18:38:05.000Z,"Deal, can someone send me a bitcoin pls",,,,,,[],https://twitter.com/TERPENE_PIRATE/status/1375879816516235265
SALT,@SALTLending,2021-03-02T15:46:04.000Z,"If the US Dollar had a warning label, what would it say?",,,32,5,18,[],https://twitter.com/SALTLending/status/1366776829915389952
BLACKBEARD,@TERPENE_PIRATE,2021-03-02T19:17:19.000Z,Don’t buy salt at 8 and 12 bucks like I did ...,,,1,,,[],https://twitter.com/TERPENE_PIRATE/status/1366829991145529344
John W. Rich (Fake Tech Exec),@Cokedupoptions,2021-03-26T16:01:03.000Z,I will donate 2 Bitcoin to any charity that sends me 1 Bitcoin first,,,37,34,888,[],https://twitter.com/Cokedupoptions/status/1375477910878908416
BLACKBEARD,@TERPENE_PIRATE,2021-03-26T23:56:49.000Z,"Done , where my bitcoin",,,,,1,[],https://twitter.com/TERPENE_PIRATE/status/1375597639417294850
Tyler Winklevoss,@tyler,2021-03-23T18:41:21.000Z,I will after you send me 4 first ,"Peter McCormack
@PeterMcCormack
 · Mar 23
Replying to @tyler and @jack
Do you mean to say you aren’t sending me back 8 Bitcoin?",😂,58,15,271,['https://pbs.twimg.com/profile_images/1431768164010975234/QYAJG-0E_mini.jpg'],https://twitter.com/tyler/status/1374431088957747203
BLACKBEARD,@TERPENE_PIRATE,2021-03-24T01:25:30.000Z,Can I play pls?? I know forsure I’m the poorest one here ... lol,,,,,,[],https://twitter.com/TERPENE_PIRATE/status/1374532796580913154
