UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Tess Hyatt,@TessHyatt12,2021-04-19T01:33:51.000Z,"Lady A performing on 
@ACMawards",,,,,1,[],https://twitter.com/TessHyatt12/status/1383956978720931848
WeatherNation,@WeatherNation,2021-04-18T18:00:01.000Z,"At least this guy doesn't seem to be too bothered by the snow in the Rockies! 

Heavy snow will be moving through a large portion of the Northern Rockies tonight as well!","0:28
935 views",,1,8,33,[],https://twitter.com/WeatherNation/status/1383842770909941761
Tess Hyatt,@TessHyatt12,2021-04-18T21:58:21.000Z,I'm so over it!,,,,,,[],https://twitter.com/TessHyatt12/status/1383902750220578820
Casper Star-Tribune,@CSTribune,2021-04-18T21:33:09.000Z,"The 40-year-old man was hospitalized in Idaho to be treated for ""significant scalp and facial injuries.""","Grizzly bear killed after man mauled near West Yellowstone
The 40-year-old man was hospitalized in Idaho to be treated for ""significant scalp and facial injuries.""
trib.com",,1,1,,[],https://twitter.com/CSTribune/status/1383896404620308481
Tess Hyatt,@TessHyatt12,2021-04-18T21:36:58.000Z,Hope he gets better!,,,,,,[],https://twitter.com/TessHyatt12/status/1383897367515074564
ACM Awards,@ACMawards,2021-04-19T00:05:51.000Z,"RT if you want to be at the next party 
@mirandalambert
 and 
@ElleKingMusic
 throw!  #ACMAwards",,🎉 🤘,24,233,693,"['https://pbs.twimg.com/media/EzS5GJOUUAw6H0J?format=jpg&name=small', 'https://pbs.twimg.com/media/EzS5IF6VoAQSsoi?format=jpg&name=small']",https://twitter.com/ACMawards/status/1383934832716120066
Tess Hyatt,@TessHyatt12,2021-04-19T01:04:37.000Z,"I like the colors in the background & their fringes, but not the song.",,,,,,[],https://twitter.com/TessHyatt12/status/1383949625548148738
K,@kei_MHSVU,2021-04-18T19:04:11.000Z,"When someone tells her to stop swinging her hair near the food She just replies and says no such a QUEEN MARISKA 
@Mariska",,🥰,13,115,446,['https://pbs.twimg.com/ext_tw_video_thumb/1383858864034963462/pu/img/s78nlPDBaNnX36X-.jpg'],https://twitter.com/kei_MHSVU/status/1383858915922747400
Tess Hyatt,@TessHyatt12,2021-04-18T21:05:06.000Z,"That's funny when 
@Mariska
 swinging her hair side to side! ",,😅 😅 🤣 🤣,,,1,[],https://twitter.com/TessHyatt12/status/1383889345422139398
Tess Hyatt,@TessHyatt12,2021-07-06T00:57:53.000Z,Just posted a photo https://instagram.com/p/CQ92hOBArzZVw1XvE8GKYBlKZePjaDbe_YZMR40/?utm_medium=twitter…,,,,,2,[],https://twitter.com/TessHyatt12/status/1412214182603284482
NWS Riverton,@NWSRiverton,2021-07-06T01:03:28.000Z,"7:02pm MDT: A line of strong to severe Tstorms is moving eastward across Natrona county this evening. Casper, Hwy 26, and portions I-25 likely to see gusty winds and brief heavy rain over the next few hours. #wywx",,,1,1,4,['https://pbs.twimg.com/media/E5kyBxjVUAEjo2e?format=jpg&name=small'],https://twitter.com/NWSRiverton/status/1412215589938991127
Tess Hyatt,@TessHyatt12,2021-07-06T01:04:19.000Z,Yikes! ,,😳 😳 😱 😱,,,,[],https://twitter.com/TessHyatt12/status/1412215802409807872
KOA NewsRadio 850 AM & 94.1 FM,@KOAColorado,2021-07-07T19:47:09.000Z,"Identity thieves are stealing people's mail, especially in this Denver area.

Read more: http://ihe.art/wyjvjgX",,,1,1,1,['https://pbs.twimg.com/media/E5t9XyaWUAQoZCo?format=jpg&name=small'],https://twitter.com/KOAColorado/status/1412860758438907912
Tess Hyatt,@TessHyatt12,2021-07-07T19:55:57.000Z,Hope the police catch the thief really good!,,,,,,[],https://twitter.com/TessHyatt12/status/1412862976260919298
Tess Hyatt,@TessHyatt12,2021-07-06T00:06:35.000Z,"Replying to 
@RRNStormCenter",My friends that live those ares please be safe!,,,,,[],https://twitter.com/TessHyatt12/status/1412201272942370816
Seth M. Chitwood,@WriterChitwood,2021-07-06T20:44:55.000Z,"Hi, will we ever find out this person’s identity? I’ve been curious for 22 years. 
@lawandordertv
 @SVUWritersRoom
 @warrenleightTV
 @Mariska",,,4,10,112,['https://pbs.twimg.com/media/E5pBAOWWYAAQRdf?format=jpg&name=small'],https://twitter.com/WriterChitwood/status/1412512908383248393
Tess Hyatt,@TessHyatt12,2021-07-06T21:03:32.000Z,It looks like Mariska Hargitay to me!,,,,,4,[],https://twitter.com/TessHyatt12/status/1412517593517199363
Tess Hyatt,@TessHyatt12,2021-07-08T02:15:35.000Z,"Replying to 
@NBCScottsbluff","Oh great ! Kids better be careful of what they wish for at 
@McDonalds",,,,,[],https://twitter.com/TessHyatt12/status/1412958512037040132
Dan Fitts,@Dan_Fitts,2021-07-07T22:48:58.000Z,"Supercell 20 miles North East of Lingke,Wy 4:47PM 
@NWSCheyenne
 @RRNStormCenter
 @severestudios
 #wywx",,,3,6,35,['https://pbs.twimg.com/media/E5um-58VgAQK60j?format=jpg&name=small'],https://twitter.com/Dan_Fitts/status/1412906514549858304
Tess Hyatt,@TessHyatt12,2021-07-08T02:17:36.000Z,Oh my!,,😱 😱,,,,[],https://twitter.com/TessHyatt12/status/1412959018125979650
Tess Hyatt,@TessHyatt12,2021-08-27T01:46:05.000Z,"Replying to 
@KOLDNews",,😥 😥,,,,[],https://twitter.com/TessHyatt12/status/1431070482422329345
