UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
We're not alone,@TheLunar_Store,2021-06-20T21:06:10.000Z,It only happens to me that I feel an alien invasion on Twitter? #thealienboy #AlienBoySummer,,👽 👾,2,2,16,"['https://pbs.twimg.com/media/E4WsagqWYAQgYlk?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E4WsbgaX0AYHpT-?format=jpg&name=360x360']",https://twitter.com/TheLunar_Store/status/1406720052272021514
The Alien Boy,@TheAlienBoyNFT,2021-06-20T16:26:38.000Z,let’s connect the alien networks. follow each boy you see in a php!,,👽,91,38,178,[],https://twitter.com/TheAlienBoyNFT/status/1406649706487422988
We're not alone,@TheLunar_Store,2021-06-20T20:45:01.000Z,"Alien that I see, Alien that I love",,👽 👾,2,3,23,['https://pbs.twimg.com/media/E4WnltUWQAMJhia?format=jpg&name=small'],https://twitter.com/TheLunar_Store/status/1406714730719465473
We're not alone,@TheLunar_Store,2021-06-20T02:24:19.000Z,"I'm in love...
@TheAlienBoyNFT",,👽 👾,,,3,['https://pbs.twimg.com/media/E4SrqN1XMAE1iD_?format=jpg&name=small'],https://twitter.com/TheLunar_Store/status/1406437729760514055
Alien Boy #3521,@AlienBoy3521,2021-06-21T05:33:35.000Z,Where are all my Alien Boyz at?! #AlienBoySummer,,,31,6,107,[],https://twitter.com/AlienBoy3521/status/1406847747412533248
We're not alone,@TheLunar_Store,2021-06-21T13:59:07.000Z,Here we are,,👽 👾,,,3,"['https://pbs.twimg.com/media/E4aUQp5XoAAXTKF?format=jpg&name=small', 'https://pbs.twimg.com/media/E4aURhnXwAQI4yI?format=jpg&name=small']",https://twitter.com/TheLunar_Store/status/1406974966684426247
Eridani Boy,@eridaniboy,2021-06-23T13:28:54.000Z,"Help me pass 200 followers, and I’ll giveaway boy #9526! 

 Like/Retweet this and Follow me

 Tag some folks who don’t have a boy

 Leave a comment on what you will name him below

I’ll choose my fav name, and dm you for your address.

Ends on Sunday (27th) midnight EDT",,👽 🥒 😸 🐂 👹 👽 👽 👽,75,88,115,['https://pbs.twimg.com/media/E4kgim7WEAQSuBH?format=jpg&name=small'],https://twitter.com/eridaniboy/status/1407692140088549381
We're not alone,@TheLunar_Store,2021-06-23T23:10:47.000Z,"@marc__pineda
 ""Snatch""",,👽 👾,,,2,[],https://twitter.com/TheLunar_Store/status/1407838574377160706
We're not alone,@TheLunar_Store,2021-06-15T02:45:19.000Z,#NuevaFotoDePerfil,,👽 👾,,,,['https://pbs.twimg.com/media/E35Ag-dXoAAnTjr?format=jpg&name=small'],https://twitter.com/TheLunar_Store/status/1404631073351421953
We're not alone,@TheLunar_Store,2021-06-21T01:18:11.000Z,,,👽 👾,,,1,['https://pbs.twimg.com/media/E4XmHMnWYAU3yNP?format=jpg&name=small'],https://twitter.com/TheLunar_Store/status/1406783475047337985
