UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
meg,@cybersecmeg,2021-04-23T21:48:28.000Z,if an attacker breaches your defenses and no person or security tool is able to detect it - did you really get breached?,,,58,24,261,[],https://twitter.com/cybersecmeg/status/1385712200170577921
Tony Champion,@The_Matrix_404,2021-04-26T11:40:14.000Z,Ofcourse lol ,,🤣,,,,[],https://twitter.com/The_Matrix_404/status/1386646295272513542
Tony Champion,@The_Matrix_404,2021-04-27T10:35:03.000Z,"@hiphippie
 know how you feel, been through all of that before in New Zealand!",,,,,,[],https://twitter.com/The_Matrix_404/status/1386992281090105345
Kali 𝕃𝕚𝕟𝕦𝕩,@kali_reanna_,2021-04-24T15:38:50.000Z,If you’re studying for Sec+ my inbox is open. I’m willing to help in any way I can ,,,21,50,361,[],https://twitter.com/kali_reanna_/status/1385981565315035137
Tony Champion,@The_Matrix_404,2021-04-25T03:04:48.000Z,Yeah I'm keen to start learning that one ,,🙂,,,1,[],https://twitter.com/The_Matrix_404/status/1386154195162595331
Edward Snowden,@Snowden,2021-05-15T15:51:07.000Z,"Israel just intentionally destroyed press offices in Gaza, giving only one hour's warning. Associated Press President ""horrified that the Israeli military would target and destroy news organizations in Gaza."" 

Imagine this was your home:

 https://apnews.com/article/israel-middle-east-business-israel-palestinian-conflict-f595d0ea0a7e21a4e4974ae55e00024d…","0:22
902.8K views",,1.8K,15.3K,32.6K,[],https://twitter.com/Snowden/status/1393594802927718405
Tony Champion,@The_Matrix_404,2021-05-15T22:07:39.000Z,Very scary!!!!,,,,,,[],https://twitter.com/The_Matrix_404/status/1393689559943106560
Edward Snowden,@Snowden,2021-05-08T15:25:25.000Z,I'm afraid I have some bad news: https://en.wikipedia.org/wiki/Global_surveillance_disclosures_(2013%E2%80%93present)…,"Michelle Kosinski
@MichLKosinski
 · May 8
As an American journalist, you never expect:
1. Your own govt to lie to you, repeatedly
2. Your own govt to hide information the public has a right to know
3. Your own govt to spy on your communications

Trump's unAmerican regime did all of these.
No one should accept this.",,288,2.6K,15K,['https://pbs.twimg.com/profile_images/1405792115230134273/QKiFWcmz_mini.jpg'],https://twitter.com/Snowden/status/1391051620587384832
Tony Champion,@The_Matrix_404,2021-05-09T02:10:59.000Z,What about the whole global ufo movement for disclosure at the moment!!!!? That's big too ,,🤣,,,,[],https://twitter.com/The_Matrix_404/status/1391214082712211458
Tony Champion,@The_Matrix_404,2021-05-01T10:27:21.000Z,"@nickpopemod
 are you still bound by the british intelligence?",,,,,,[],https://twitter.com/The_Matrix_404/status/1388439896235253760
meg,@cybersecmeg,2021-05-15T21:41:17.000Z,hi! what are you up to?,,,135,7,153,[],https://twitter.com/cybersecmeg/status/1393682926538313728
Tony Champion,@The_Matrix_404,2021-05-15T22:08:47.000Z,"Lol, that's called phishing lol ",,😆,,,,[],https://twitter.com/The_Matrix_404/status/1393689844786745345
Edward Snowden,@Snowden,2021-05-15T15:51:07.000Z,"Israel just intentionally destroyed press offices in Gaza, giving only one hour's warning. Associated Press President ""horrified that the Israeli military would target and destroy news organizations in Gaza."" 

Imagine this was your home:

 https://apnews.com/article/israel-middle-east-business-israel-palestinian-conflict-f595d0ea0a7e21a4e4974ae55e00024d…","902.8K views
0:05 / 0:24",,1.8K,15.3K,32.6K,[],https://twitter.com/Snowden/status/1393594802927718405
