UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
ZionGrill's SJG,@WeBurnWood,2021-02-10T07:06:54.000Z,"Made some #pulledpork in the Crock-Pot. Simple, easy, perfect.",,,,,,"['https://pbs.twimg.com/media/Et2NoPYVEAMhti3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Et2NpgYVkAUW9_A?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Et2No5GUcAQlpPS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Et2NqGRVkAAIV2E?format=jpg&name=360x360']",https://twitter.com/WeBurnWood/status/1359398419517739012
ZionGrill's SJG,@WeBurnWood,2021-02-12T19:12:20.000Z,Still loving my #pulledpork leftovers. Juicy sweet goodness!!,,,,,,['https://pbs.twimg.com/media/EuDG4IDVcAAWsie?format=jpg&name=small'],https://twitter.com/WeBurnWood/status/1360305758743662592
ZionGrill's SJG,@WeBurnWood,2021-02-23T19:09:07.000Z,"God is good, even when we feel we don't deserve it....He still loves us!! #DontGiveUp #Pray",,,,,,[],https://twitter.com/WeBurnWood/status/1364291212925050880
Weber Grills,@WeberGrills,2021-02-14T16:59:01.000Z,It's all love over here today!  Share this with someone you love too!  Happy #ValentinesDay,,,3,2,10,['https://pbs.twimg.com/media/EuM7ixOXcAMUA7R?format=jpg&name=small'],https://twitter.com/WeberGrills/status/1360996982370816002
ZionGrill's SJG,@WeBurnWood,2021-02-14T17:49:00.000Z,Are you coal.....because you fill my bowl?!! #Weber #ValentinesDay,,,1,,1,['https://pbs.twimg.com/media/EuNG--bUUAE4r31?format=jpg&name=small'],https://twitter.com/WeBurnWood/status/1361009562610847745
ZionGrill's SJG,@WeBurnWood,2021-02-19T00:59:06.000Z,"This song by 
@codycarnes
 has been in my heart since I heard it!! #awesome","Nothing Else (feat. Cody Carnes) // The Belonging Co
Official Music Video for ""Nothing Else"" featuring Cody Carnes from The Belonging Co's new album, 'Awe + Wonder', recorded live in Nashville, TN. Check out o...
youtube.com",,,,,['https://pbs.twimg.com/card_img/1431816118964981761/yAJLAq-Z?format=jpg&name=240x240'],https://twitter.com/WeBurnWood/status/1362567350352928768
Peet's Coffee,@peetscoffee,2021-02-15T17:21:25.000Z,"When it comes to your Peet's, are you #TeamHotor #TeamIced?",,🔥 ❄,34,9,61,['https://pbs.twimg.com/media/EuSKQsQXEAIippg?format=jpg&name=small'],https://twitter.com/peetscoffee/status/1361365008563777543
ZionGrill's SJG,@WeBurnWood,2021-02-15T18:38:23.000Z,"Both! Morning hot, afternoon cold, night.....hmmm toss up!!",,,,,,[],https://twitter.com/WeBurnWood/status/1361384376722886659
Vanessa Patrones,@ms_patrones,2021-02-08T03:28:03.000Z,I just won two quarters of our #SuperBowl Pool. I’m so hyped!!,,,1,,7,[],https://twitter.com/ms_patrones/status/1358618569341239300
ZionGrill's SJG,@WeBurnWood,2021-02-08T03:32:21.000Z,How much dinero did ya win?,,,,,,[],https://twitter.com/WeBurnWood/status/1358619652239224833
Weber Grills,@WeberGrills,2021-02-14T14:29:40.000Z,"Kettles are red, violets are blue - we love our Weber fam and hope you love us too! #ValentinesDay!",,,6,6,53,[],https://twitter.com/WeberGrills/status/1360959396529004545
ZionGrill's SJG,@WeBurnWood,2021-02-14T18:01:06.000Z,"Beef comes in red , propane tanks can be blue , we love our 
@WeberGrills
 products and our family who makes them too!!
#Weber #ValentinesDay",,♥ 💙,1,,,[],https://twitter.com/WeBurnWood/status/1361012608199839745
ZionGrill's SJG,@WeBurnWood,2021-03-29T02:01:34.000Z,"Using 
@Kingsford
 #Matchlight to produce goodness for days!! It's just pretty to look at....",,🔥,,3,2,"['https://pbs.twimg.com/media/ExnKfXeVIAM0dZ0?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ExnKf4TVgAIALz2?format=jpg&name=360x360']",https://twitter.com/WeBurnWood/status/1376353812496011265
ZionGrill's SJG,@WeBurnWood,2021-03-29T00:55:42.000Z,"Eating economical but using premium products. Marinated pork steaks & chicken thighs on our 
@WeberGrills
 and 
@Kingsford
 coals. #SundayDinner",,,,1,2,"['https://pbs.twimg.com/media/Exm7aYBUYAEuefb?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Exm7a1OVcAMmIh9?format=jpg&name=360x360']",https://twitter.com/WeBurnWood/status/1376337232970145792
ZionGrill's SJG,@WeBurnWood,2021-03-21T01:30:23.000Z,"First day of Spring quick #grilling of Smoked Hot Links and re-fire of leftover ribs. Our 
@WeberGrills
 Smokey Joe is perfect!!",,,,,1,"['https://pbs.twimg.com/media/Ew92nt8VEAAm8iG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ew92oLTUYAENiWT?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ew92o2rUYAgXdRB?format=jpg&name=360x360']",https://twitter.com/WeBurnWood/status/1373446859843194880
ZionGrill's SJG,@WeBurnWood,2021-03-23T22:06:27.000Z,"@crowdermusic
 Thought for sure you would have something for #NationalPuppyDay posted today. I know you love your funny pics!",,,,,,[],https://twitter.com/WeBurnWood/status/1374482702909382660
David Crowder,@crowdermusic,2021-03-21T13:48:28.000Z,"Come to church with us 
@passioncity
. ⁠
Join us online as we make our way to Good Friday and Easter Sunday. 
⁠
Live online at 930a & 1145a EST⁠
On-demand on 
@youtube
 starting at 2p.⁠
Join us here: https://passioncity.online/gathering/atlanta…",,,4,5,62,['https://pbs.twimg.com/media/ExAfbklWYAc3zak?format=jpg&name=small'],https://twitter.com/crowdermusic/status/1373632605531295747
ZionGrill's SJG,@WeBurnWood,2021-03-21T14:40:24.000Z,"I receive #ResurrectionPower and Sunrise Sunday thoughts in my mind this morning Amen! Thanks brother 
@crowdermusic
 for the invite. ",,👍,,,,[],https://twitter.com/WeBurnWood/status/1373645674034524163
SFGiants,@SFGiants,2021-03-13T15:18:59.000Z,"Happy Birthday to #ForeverGiant, Will Clark! ","0:29
115.3K views",🥳,135,632,4K,[],https://twitter.com/SFGiants/status/1370756280999014400
ZionGrill's SJG,@WeBurnWood,2021-03-13T15:23:06.000Z,"""The Thrill"".....we love ya brother!! Happy Birthday ",,🥳 🎉,,,,[],https://twitter.com/WeBurnWood/status/1370757317411540995
SFGiants,@SFGiants,2021-03-13T15:18:59.000Z,"Happy Birthday to #ForeverGiant, Will Clark! ","115.3K views
0:02 / 0:30",🥳,135,632,4K,[],https://twitter.com/SFGiants/status/1370756280999014400
Joe Yasharoff,@JYash,2021-03-30T17:46:27.000Z,"Please indulge me. Today is my big brother’s birthday. Dov has Down Syndrome and is unable to speak. Several weeks ago, he contracted COVID-19 and things looked bleak. The great news is Dov is tough like his mom + is now fully recovered. Please help me wish him a happy birthday.",,,2.1K,583,19.8K,['https://pbs.twimg.com/media/ExvsWbKXIAAQSHL?format=jpg&name=small'],https://twitter.com/JYash/status/1376953987094749184
ZionGrill's SJG,@WeBurnWood,2021-04-01T02:59:16.000Z,Happy Birthday Dov!! ,,🎉,,,,[],https://twitter.com/WeBurnWood/status/1377455493149523969
Dutch Bros Coffee,@DutchBros,2021-04-05T19:35:45.000Z,Sounds like this puppuccino got a 10/10 rating ,,💙,9,100,786,['https://pbs.twimg.com/ext_tw_video_thumb/1379155747381071875/pu/img/MDgUDGeSg9Sr76vB.jpg'],https://twitter.com/DutchBros/status/1379155817665019905
ZionGrill's SJG,@WeBurnWood,2021-04-06T22:10:23.000Z,"That pup knows the ""good stuff"".",,,,,,[],https://twitter.com/WeBurnWood/status/1379557120324947968
ZionGrill's SJG,@WeBurnWood,2021-05-05T23:29:21.000Z,"I've got to thank 
@WeberGrills
 and 
@Kingsford
 for a great start on the #TriTip for tonight's #CincodeMayo #BBQ",,,1,3,6,['https://pbs.twimg.com/media/E0qUEfqVkAEYCXB?format=jpg&name=small'],https://twitter.com/WeBurnWood/status/1390086242461642754
ZionGrill's SJG,@WeBurnWood,2021-05-08T03:08:13.000Z,"#Ovenbaked, in the pot,#slowsimmered, savory goodness! Chicken #ChileVerde with green onion and tomatoes Spanish rice. Homemade Mexican #fastfood.",,,,,,"['https://pbs.twimg.com/media/E01ZUpqVgAAEvue?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E01ZVhxVEAEF1k0?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E01ZVIrVEAA2iDo?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E01ZWCPUUAIgD-G?format=jpg&name=360x360']",https://twitter.com/WeBurnWood/status/1390866097587462146
ZionGrill's SJG,@WeBurnWood,2021-05-05T22:53:13.000Z,"Perfect size #TriTip for the 
@WeberGrills
 Smokey Joe!! #CincodeMayo Dinner #BBQ",,,,,,['https://pbs.twimg.com/media/E0qLzUjVIAU6XxD?format=jpg&name=small'],https://twitter.com/WeBurnWood/status/1390077151358058497
Memphis in May,@memphisinmay,2021-05-12T21:44:15.000Z,"Check that - 
@BigBobGibsonBBQ
 already has FIVE titles (2000, '03, '11, '14, '17). Their eyes are on the SIXTH ","Memphis in May
@memphisinmay
 · May 12
.@ChrisLillyBBQ has arrived and @BigBobGibsonBBQ is vying for a 5th World Champion title! You heard him, there’s no excuse not to be at #WCBCC21 this weekend ",🤯 ☀ 🐷,2,4,20,"['https://pbs.twimg.com/profile_images/2706556852/2b09e47913f9ebcc46b80e8a21e93007_mini.png', 'https://pbs.twimg.com/ext_tw_video_thumb/1392564370341834760/pu/img/UqpC5Ro2A-gxPgqZ.jpg']",https://twitter.com/memphisinmay/status/1392596509259091973
ZionGrill's SJG,@WeBurnWood,2021-05-21T00:14:08.000Z,Prayers going out. ,,🙏,,,,[],https://twitter.com/WeBurnWood/status/1395533331119235073
Amy Gutierrez,@amygmultimedia,2021-05-27T16:45:41.000Z,"Who else but the 
@SFGiants
 @VoslerJason
 for our #GCast guest today?! What would fans like to know from the fella who hit his first career HR last night in an epic comeback win. Comment below with your question for Vosler ",,⬇ ⬇ ⬇,15,6,101,[],https://twitter.com/amygmultimedia/status/1397957191454269443
ZionGrill's SJG,@WeBurnWood,2021-05-27T18:28:49.000Z,Has Jason visited Boudin yet?,,,,,,[],https://twitter.com/WeBurnWood/status/1397983142217060352
ZionGrill's SJG,@WeBurnWood,2021-05-16T20:30:04.000Z,"Replying to 
@NFLonFOX","Joe ""Cool"" Montana",,,,,[],https://twitter.com/WeBurnWood/status/1394027389991067648
Chris Lilly,@ChrisLillyBBQ,2021-05-13T17:43:54.000Z,"It has begun...the 
@memphisinmay
 World Barbecue Championship! It’s great to be back on the banks of the Mississippi River hanging with all my BBQ friends & family.
@BigBobGibsonBBQ
 @Kingsford
 #charcoal #Hickory #BBQ","0:05
2.3K views",,7,8,134,[],https://twitter.com/ChrisLillyBBQ/status/1392898410932588549
ZionGrill's SJG,@WeBurnWood,2021-05-14T17:21:38.000Z,I wish you all the best!! Rootin' for y'all!,,,,,,[],https://twitter.com/WeBurnWood/status/1393255195677585412
Matt Henkel,@mphturf_79,2021-05-19T08:40:35.000Z,"Matt's 13 year battle with brain cancer has come to an end. He died peacefully at home surrounded by family a short time ago. Please pray for healing for me, the kids, and our extended families.",,,854,612,24K,['https://pbs.twimg.com/media/E1vO52BXsAAotEN?format=jpg&name=small'],https://twitter.com/mphturf_79/status/1394936007758336000
Chris Lilly,@ChrisLillyBBQ,2021-05-13T17:43:54.000Z,"It has begun...the 
@memphisinmay
 World Barbecue Championship! It’s great to be back on the banks of the Mississippi River hanging with all my BBQ friends & family.
@BigBobGibsonBBQ
 @Kingsford
 #charcoal #Hickory #BBQ","2.3K views
0:03 / 0:06",,7,8,134,[],https://twitter.com/ChrisLillyBBQ/status/1392898410932588549
ZionGrill's SJG,@WeBurnWood,2021-06-14T21:48:36.000Z,"Lovin' my 
@OldTrapper
 Peppered Beef Jerky!! Great flavor with tender pieces of meat!! #GoodStuff",,,,1,4,['https://pbs.twimg.com/media/E338mtIVcAAWE5o?format=jpg&name=small'],https://twitter.com/WeBurnWood/status/1404556403033796608
ZionGrill's SJG,@WeBurnWood,2021-06-17T23:47:18.000Z,"Just voted for 
@bcraw35
, 
@BusterPosey
 and a few other 
@SFGiants
 for the 
@AllStarGame
. #AllStarBallot",,,,,,['https://pbs.twimg.com/media/E4H0itNVoAANeLa?format=jpg&name=medium'],https://twitter.com/WeBurnWood/status/1405673437675155456
ZionGrill's SJG,@WeBurnWood,2021-06-21T05:42:54.000Z,"@CoolWhip
, 
@JELLO
 vanilla pudding mix, 
@DoleSunshine
 crushed pineapple, 
@Tastykake
 dessert cup and fresh strawberries. Mix, fold, chill, create and serve. #easy #simple #delicious",,,,,,['https://pbs.twimg.com/media/E4Yis7nVkAYXudm?format=jpg&name=small'],https://twitter.com/WeBurnWood/status/1406850092473090058
CBS Sports,@CBSSports,2021-06-07T13:11:51.000Z,What is the best sports venue you’ve ever been to?,,,673,222,241,[],https://twitter.com/CBSSports/status/1401889641624707075
ZionGrill's SJG,@WeBurnWood,2021-06-08T19:10:25.000Z,"@OracleParkSF
 is the best venue! Great city, great location/view and great fan love! #SFGiants",,,,,1,['https://pbs.twimg.com/media/E3Ye3A5UcAENKE-?format=jpg&name=small'],https://twitter.com/WeBurnWood/status/1402342266551762945
ZionGrill's SJG,@WeBurnWood,2021-06-11T23:03:33.000Z,"Happy Birthday 
@JoeMontana
!! My 
@NFL
 #GOAT!!",,,,,2,['https://pbs.twimg.com/media/E3ow_SHVEAUWZHJ?format=jpg&name=small'],https://twitter.com/WeBurnWood/status/1403488099267596288
ZionGrill's SJG,@WeBurnWood,2021-06-03T23:12:42.000Z,"Let's go 
@AlabamaSB
!! #RollTide",,,,,,[],https://twitter.com/WeBurnWood/status/1400591300664053765
ZionGrill's SJG,@WeBurnWood,2021-06-11T15:40:08.000Z,"Replying to 
@FresnoStateGFM",Definitely a good flavor to try. #Grilling time!,,,,,[],https://twitter.com/WeBurnWood/status/1403376512796008448
ZionGrill's SJG,@WeBurnWood,2021-06-29T23:54:09.000Z,"Man the love is so overwhelming between 
@SHAQ
 and Chuck right now on 
@NBAonTNT
. ",,😭,,,,['https://pbs.twimg.com/media/E5FpMCRVgAEln4I?format=jpg&name=small'],https://twitter.com/WeBurnWood/status/1410023815707381761
Dutch Bros Coffee,@DutchBros,2021-06-04T20:00:33.000Z,"Fill in the blank:

I can’t go a day without getting a ______ from Dutch Bros!",,,122,28,194,[],https://twitter.com/DutchBros/status/1400905332914901000
ZionGrill's SJG,@WeBurnWood,2021-06-04T20:26:49.000Z,Blended German Chocolate Cake,,,,,,[],https://twitter.com/WeBurnWood/status/1400911942525489152
ZionGrill's SJG,@WeBurnWood,2021-06-28T21:01:23.000Z,"Replying to 
@NFLonFOX","@BoJackson
 My 
@Raiders
 #GOAT!!",,,,,['https://pbs.twimg.com/media/E4_4DdgVUA84_pZ?format=jpg&name=small'],https://twitter.com/WeBurnWood/status/1409617949149720578
ZionGrill's SJG,@WeBurnWood,2021-06-18T18:27:40.000Z,"Replying to 
@CBSSports
 and 
@SEConCBS","The 
@SFGiants
!!",,,,,[],https://twitter.com/WeBurnWood/status/1405955388181159940
ZionGrill's SJG,@WeBurnWood,2021-07-28T20:29:23.000Z,"My 
@AltecLansing
 BoomJacket Jolt bluetooth speaker was perfect for the river. #goodvibes",,,,,,['https://pbs.twimg.com/media/E7aQasLVoAUetAx?format=jpg&name=small'],https://twitter.com/WeBurnWood/status/1420481534771957760
ZionGrill's SJG,@WeBurnWood,2021-07-04T21:22:04.000Z,"Replying to 
@LouSeal01","Cool to see our Good Times Ambassador 
@LouSeal01
 having fun with #DubNation on this holiday #BlockParty at the #ChaseCenter.  #ResilientSF",,,,1,[],https://twitter.com/WeBurnWood/status/1411797482577686529
SFGiants,@SFGiants,2021-07-05T22:19:23.000Z,"Throwing out today's first pitch: 
@ohthatsNajee22",,,27,255,2.5K,"['https://pbs.twimg.com/media/E5kMzwyVcAExFxz?format=jpg&name=small', 'https://pbs.twimg.com/media/E5kNBh_VUAEXKx2?format=jpg&name=small']",https://twitter.com/SFGiants/status/1412174294793080832
ZionGrill's SJG,@WeBurnWood,2021-07-06T01:03:33.000Z,That's right! #RollTide and #ResilientSF National Champs and soon to be World Series Champs this year!,,,,,1,[],https://twitter.com/WeBurnWood/status/1412215609144709159
ZionGrill's SJG,@WeBurnWood,2021-07-28T20:21:25.000Z,"Tried this big bag of 
@GlenwoodSnacks
 #beefjerky from the local bait shop and was well pleased with the good flavor and moistness of the meat. #fishinglife",,,,,,['https://pbs.twimg.com/media/E7aOmITVEAA9U4J?format=jpg&name=small'],https://twitter.com/WeBurnWood/status/1420479528225239045
Anthony Garcia,@SportsAnthony,2021-07-04T18:37:48.000Z,What better way to honor America than by stuffing our faces with fast food.,,,4,4,27,['https://pbs.twimg.com/media/E5eQurxVgAYQicC?format=jpg&name=small'],https://twitter.com/SportsAnthony/status/1411756143282593794
Weber Grills,@WeberGrills,2021-07-17T18:00:02.000Z,"Which grill emoji would you choose? Reply below and tag 
@Google
 and 
@Apple
! #WorldEmojiDay",,,32,10,50,"['https://pbs.twimg.com/media/E6hEwGXXMAY94lE?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E6hEwUgXoAAIWpq?format=jpg&name=360x360']",https://twitter.com/WeberGrills/status/1416457681804697605
ZionGrill's SJG,@WeBurnWood,2021-07-17T20:16:39.000Z,"Hey it's my Smokey Joe Gold!! ""Gold"" tells how old it is lol!",,,,,1,['https://pbs.twimg.com/media/E6hkBcuVIAE5ep2?format=jpg&name=small'],https://twitter.com/WeBurnWood/status/1416492060425691137
Amy Gutierrez,@amygmultimedia,2021-07-05T18:44:27.000Z,"Welcome the newest member to the 
@SFGiants
 family- little miss Lou Longoria. Congrats to 
@Evan3Longoria
 and Jaime. She’s perfection!",,,24,42,1.5K,['https://pbs.twimg.com/media/E5jb1KxVIAohfTZ?format=jpg&name=small'],https://twitter.com/amygmultimedia/status/1412120203954036763
ZionGrill's SJG,@WeBurnWood,2021-07-06T16:37:53.000Z,"Awww how cute name after our favorite 
@LouSeal01
! He would be proud of sweet Lou. She's a beauty.",,,1,,1,[],https://twitter.com/WeBurnWood/status/1412450740207984648
ZionGrill's SJG,@WeBurnWood,2021-07-28T22:30:37.000Z,"Replying to 
@crowdermusic",I would definitely like to talk to Peter Furler.,,,,,[],https://twitter.com/WeBurnWood/status/1420512043975667715
ZionGrill's SJG,@WeBurnWood,2021-07-16T04:30:59.000Z,"Replying to 
@BonesBrigadeDoc
 and 
@tommyguerrero","My 80's set up: 
@tommyguerrero
 board, 
@indy_trucks
, rat bones wheels and bones bearings.",,,,,[],https://twitter.com/WeBurnWood/status/1415891688548036614
Jay Haizlip,@jayhaizlip,2021-07-03T04:29:34.000Z,I am praying for a hedge of protection to be around you in Jesus name!,,,3,5,61,[],https://twitter.com/jayhaizlip/status/1411180291192868866
ZionGrill's SJG,@WeBurnWood,2021-07-03T21:33:11.000Z,I receive that in the name of Jesus.,,,,,1,[],https://twitter.com/WeBurnWood/status/1411437893646635008
Carmen Kiew,@carmenkiew,2021-07-06T04:43:26.000Z,I don’t understand how fireworks can still be going off. How do y’all have soooooo many fireworks???,,,7,2,82,[],https://twitter.com/carmenkiew/status/1412270945796988930
ZionGrill's SJG,@WeBurnWood,2021-07-06T16:46:11.000Z,Yes! My neighbors were lighting them off till 4am. They had to have spent more on fireworks than rent this month to have that many hours of fireworks. Dusk to 4am.,,,,,,[],https://twitter.com/WeBurnWood/status/1412452829394989058
ZionGrill's SJG,@WeBurnWood,2021-07-06T16:41:45.000Z,"Replying to 
@WeBurnWood
 @amygmultimedia
 and 3 others",Wait..... isn't Lou James Longoria a boy's name? Amy G says she? Cool name though. Also noticed the pic has a blue blanket for boy and not pink. Was just noticing.,,,,,[],https://twitter.com/WeBurnWood/status/1412451714624458757
ZionGrill's SJG,@WeBurnWood,2021-07-05T17:15:57.000Z,"Replying to 
@TheJanePark",Prayers going out. ,,,,,[],https://twitter.com/WeBurnWood/status/1412097934758334466
Air1 Radio,@air1radio,2021-07-24T22:00:04.000Z,Think hard about this question... Beach or Mountains? ,,🤣 🏖 ⛰,39,3,42,[],https://twitter.com/air1radio/status/1419054801346875394
ZionGrill's SJG,@WeBurnWood,2021-07-24T23:40:46.000Z,Beach to play volleyball  and then hit the mountains to mtb  the trails.,,🏐 🚲,1,,,[],https://twitter.com/WeBurnWood/status/1419080143994191873
ZionGrill's SJG,@WeBurnWood,2021-08-23T02:33:15.000Z,I need to get 2 pairs of these sweet #AirJordan 12 Utility.,,,,,,['https://pbs.twimg.com/media/E9cTdLSVkAAxD8q?format=jpg&name=medium'],https://twitter.com/WeBurnWood/status/1429632800555110400
ZionGrill's SJG,@WeBurnWood,2021-08-21T18:20:11.000Z,"Psalm 112
#Gracious #Compassionate #Generous #Steadfast #Trusting 
Secure heart, Fearlessness, Victorious.",,,,,,['https://pbs.twimg.com/media/E9VZAyDVcAArwF6?format=jpg&name=small'],https://twitter.com/WeBurnWood/status/1429146329658269698
Air1 Radio,@air1radio,2021-08-15T17:29:00.000Z,What's your #SundayMood today?  Chilling or on the go?,,💙 👇,8,1,18,[],https://twitter.com/air1radio/status/1426959120867934211
ZionGrill's SJG,@WeBurnWood,2021-08-15T17:36:58.000Z,Cool chillin' and enjoying my #sundaymood today.,,,,,1,['https://pbs.twimg.com/media/E82VlGmVcAUKSyj?format=jpg&name=900x900'],https://twitter.com/WeBurnWood/status/1426961123345977345
