UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
yoda,@Yodalmao,2021-06-29T21:27:48.000Z,"Replying to 
@LimitGGs
 and 
@officiallimitgg","@Seromiclly
 and 
@qexji",,,,1,[],https://twitter.com/Yodalmao/status/1409986987591864328
yoda,@Yodalmao,2021-06-29T01:52:38.000Z,"Replying to 
@TakenedTV",Ayo?,,,,1,[],https://twitter.com/Yodalmao/status/1409691244394016768
yoda,@Yodalmao,2021-07-14T17:21:44.000Z,Thank you 100 followers ,,❤,,,5,[],https://twitter.com/Yodalmao/status/1415360880615858182
yoda,@Yodalmao,2021-07-25T03:47:00.000Z,"People always be asking ""you gonna eat all that food?"" Or ""that sandwich looks good"" Like if u want some just ask ",,😭,1,,6,[],https://twitter.com/Yodalmao/status/1419142110348025858
Syn Jolt,@joltbtw,2021-07-25T03:12:53.000Z,Good night (say it back),,🥰,41,1,95,[],https://twitter.com/joltbtw/status/1419133526272847876
yoda,@Yodalmao,2021-07-25T03:13:50.000Z,Goodnight ,,🥰,,,2,[],https://twitter.com/Yodalmao/status/1419133764828114945
yoda,@Yodalmao,2021-07-14T19:32:45.000Z,"Replying to 
@KnicksSense
 and 
@wofiaa",Why do u have this picture ,😭,,,23,[],https://twitter.com/Yodalmao/status/1415393852341510145
Lexi,@stupid_lexii,2021-07-27T02:11:51.000Z,Goodnight twitter,,,5,,18,[],https://twitter.com/stupid_lexii/status/1419842940889878528
yoda,@Yodalmao,2021-07-27T02:36:18.000Z,Goodnight ,,😄,,,2,[],https://twitter.com/Yodalmao/status/1419849093443112974
yoda,@Yodalmao,2021-07-25T06:03:40.000Z,"Replying to 
@DustyFN_
 @Prodxify
 and 3 others",Ofc when it's one of my first times saying ratio i get clowned for it ,😭,1,,3,[],https://twitter.com/Yodalmao/status/1419176505217847297
AV 𝔻𝕖𝕫𝕫™ (ON VACATION),@dezzwtw,2021-07-25T23:10:37.000Z,"Replying to 
@katewya",U know what happened to imagine dragons,🦋 😣,2,,2,[],https://twitter.com/dezzwtw/status/1419434945580310528
yoda,@Yodalmao,2021-07-25T23:28:00.000Z,Its ggs my brotha ,,💀,,,3,[],https://twitter.com/Yodalmao/status/1419439320222535684
yoda,@Yodalmao,2021-07-27T00:07:24.000Z,"Replying to 
@staplena",I don't think so,,,,1,[],https://twitter.com/Yodalmao/status/1419811624773459971
Wicked,@WickedVFX,2021-07-27T20:45:12.000Z,"What I Please | Practice Edit #2
Edited on DaVinci Resolve
All support appreciated",,,3,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1420122954420080647/pu/img/6FTDOubOTKygRAXf.jpg'],https://twitter.com/WickedVFX/status/1420123126671761409
yoda,@Yodalmao,2021-07-28T15:36:49.000Z,This was fire ,,🔥 🔥,,,,[],https://twitter.com/Yodalmao/status/1420407904633561092
yoda,@Yodalmao,2021-07-26T19:36:52.000Z,"Replying to 
@amuhty
 @amiwya
 and 
@yeasplashy",Lmao,,,,1,[],https://twitter.com/Yodalmao/status/1419743543535546370
