UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Alexis Fobes,@afobes00,2021-01-04T14:37:59.000Z,For now! #SoFiMoney #MoneyMonday,"SoFi
@SoFi
 · Jan 4
It's #MoneyMonday! RT and tell us if you’re following through on your resolutions for a chance to win $100 in your #SoFiMoney account.

Entries must be submitted by 1/12 at 9AM PT. No purchase necessary. #SweepsEntry Official Rules: http://bit.ly/2E1d6s4
Show this thread",,,,,"['https://pbs.twimg.com/profile_images/1411014292791382016/LqQG6oZd_mini.jpg', 'https://pbs.twimg.com/media/Eq5Jg2EUYAEB2RC?format=png&name=small']",https://twitter.com/afobes00/status/1346103589563936778
Ibotta,@IbottaApp,2021-01-11T17:07:11.000Z," #GIVEAWAY ALERT : For the next 2 weeks, we'll be giving away $100 each day! To enter, 1) follow 
@ibottaapp
 & 2) Tell us one of your favorite ways to use Ibotta using the hashtag #IbottaShareMoreGiveaway. We'll select a new winner each day!    http://bit.ly/39eJp52",,🎉 🎉 😊 ❤,1.6K,377,1K,['https://pbs.twimg.com/media/Erd3W3GW4AcV69G?format=jpg&name=small'],https://twitter.com/IbottaApp/status/1348677850275188736
Alexis Fobes,@afobes00,2021-01-11T17:29:27.000Z,"I love using Ibotta on 
@target
 runs. Ibotta automatically gets the receipt (less work for me) and I get notified a few hours later of all my savings! #IbottaShareMoreGiveaway",,,,,,[],https://twitter.com/afobes00/status/1348683452472848388
Ayup Foesy,@Foesy1,2021-01-01T04:18:21.000Z,it was never meant to be.....,,,5,,1,"['https://pbs.twimg.com/media/EqnnfMAU0AAoIqQ?format=jpg&name=small', 'https://pbs.twimg.com/media/EqnnfMJUwAQ1ZEe?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EqnnfL9VEAAbgxz?format=jpg&name=360x360']",https://twitter.com/Foesy1/status/1344860488769785856
Alexis Fobes,@afobes00,2021-01-01T04:30:46.000Z,So sorry for your loss.,,,3,,2,[],https://twitter.com/afobes00/status/1344863613899722758
Swagbucks,@Swagbucks,2021-02-26T15:02:55.000Z,"It's #SBBraggingRights Friday!

Tweet a screenshot of SB that you earn today, don't forget your Swag Name and the hashtag #SBBraggingRights. We'll choose 5 Swaggernauts to win 25 SB!

**You can also post on Facebook and Instagram to increase your chances of winning.",,,29,4,35,['https://pbs.twimg.com/media/EvKUDKxXcAEGy10?format=jpg&name=small'],https://twitter.com/Swagbucks/status/1365316420645625856
Alexis Fobes,@afobes00,2021-02-26T16:56:29.000Z,Off to a good start this am! #SBBraggingRights Swagbucks name: afobes,,,,,2,['https://pbs.twimg.com/media/EvKuCqhWYAI6c0o?format=jpg&name=900x900'],https://twitter.com/afobes00/status/1365345000842739713
Alexis Fobes,@afobes00,2021-02-22T22:06:49.000Z,"@TMobile
  #5Gsfor5G #contest","Tap to enter 
Tweet #5Gsfor5G",🤞 👇,,,,['https://pbs.twimg.com/ad_img/1362871720730746884/jR4GDWdt?format=png&name=small'],https://twitter.com/afobes00/status/1363973546930819076
Ibotta,@IbottaApp,2021-03-09T00:06:02.000Z,"This month we’ve partnered with 
@jamesonwhiskey
   to celebrate #SaintPatricksDay  - w/ five chances at a $200 pot of gold! To enter (1) take a photo or video showing how you are safely celebrating Saint Patrick’s Day & (2) share on social using #IbottaJamesonContest.  ",,🥃 ☘ 😉 🍀,168,71,290,['https://pbs.twimg.com/media/Ev_wQWMWQAIGiU0?format=jpg&name=small'],https://twitter.com/IbottaApp/status/1369076979262164995
Alexis Fobes,@afobes00,2021-03-16T10:52:45.000Z,"Encourage my kids to hunt for the luck of the Irish outside, wearing masks and staying 6 ft apart from others. #IbottaJamesonContest",,,,,,['https://pbs.twimg.com/media/EwmHZ7aXAAEWKmt?format=jpg&name=small'],https://twitter.com/afobes00/status/1371776444410515457
Alexis Fobes,@afobes00,2021-04-16T15:40:50.000Z,"Replying to 
@MarriottBonvoy
 and 
@UberEats",,🌮 🌮,,,,[],https://twitter.com/afobes00/status/1383082966973288453
Swagbucks,@Swagbucks,2021-07-16T14:02:51.000Z,"It's #SBBraggingRights Friday!

Tweet a screenshot of SB that you earn today, don't forget your Swag Name & the hashtag #SBBraggingRights. We'll choose 5 Swaggernauts to win 25 SB!

*You can post on Facebook & Instagram to increase your chances of winning.",,,32,4,38,['https://pbs.twimg.com/media/E6bE4OcWYAIK7zo?format=jpg&name=small'],https://twitter.com/Swagbucks/status/1416035604329111561
Alexis Fobes,@afobes00,2021-07-16T16:51:03.000Z,#SBBraggingRights swagname is afobes,,,,,1,['https://pbs.twimg.com/media/E6brX8cX0AA-YAA?format=jpg&name=small'],https://twitter.com/afobes00/status/1416077932204863490
Alexis Fobes,@afobes00,2021-07-18T19:21:16.000Z,#LiptonRoFoSweepstakes,,,,,,[],https://twitter.com/afobes00/status/1416840513202839552
