UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Jephtha Agyare,@agyare_jephtha,2021-04-21T00:31:05.000Z,"Replying to 
@TuncSatiroglu",Ur contact for a personal talk,,,,,[],https://twitter.com/agyare_jephtha/status/1384665960888537095
Jephtha Agyare,@agyare_jephtha,2021-04-28T12:25:01.000Z,,"Stay hopefull call on 0551657327
A young prophet impacting our generation
youtube.com",,,,1,[],https://twitter.com/agyare_jephtha/status/1387382343363665924
Jephtha Agyare,@agyare_jephtha,2021-04-28T12:25:12.000Z,"Replying to 
@ali_hakan_kara
 and 
@GizemAltinsac",,,,,,[],https://twitter.com/agyare_jephtha/status/1387382387718467586
IAmfinancialDerek,@andy_derek1,2021-05-12T22:52:30.000Z,"CALL FOR APPLICATION WITH KNUST WORK AND STUDY PROGRAM.

Work and Study is a program which seeks to provide Financial Support to Students through working part time while he/she study. Successful applicants benefit by getting monthly allowance and a working experience.",,,1,4,13,[],https://twitter.com/andy_derek1/status/1392613684334272512
Jephtha Agyare,@agyare_jephtha,2021-05-13T00:22:53.000Z,Hello boss,,,,,,[],https://twitter.com/agyare_jephtha/status/1392636430644559873
Jephtha Agyare,@agyare_jephtha,2021-05-12T07:39:33.000Z,"For everything there is a season, and a time for very purpose under heaven:
He hath made everything beautiful in its time: 
By sweet Jesus ",,🥰 ❣,1,,4,[],https://twitter.com/agyare_jephtha/status/1392383933950615552
Jephtha Agyare,@agyare_jephtha,2021-05-15T02:37:43.000Z,"Matthew 5:8  Blessed are the pure in heart: for they shall see God.

this is the principle to know to see God in any sphere of life 
I pray for you that God will reveal himself to you.
God bless you 
By sweet Jesus ",,🥰 ❤,1,,2,[],https://twitter.com/agyare_jephtha/status/1393395137108185092
Opoku suzzan,@SuzzanOpoku,2021-05-12T09:42:13.000Z,"Replying to 
@agyare_jephtha",We’ve got you sweet,,1,,1,[],https://twitter.com/SuzzanOpoku/status/1392414803046588421
Jephtha Agyare,@agyare_jephtha,2021-05-13T12:42:19.000Z,I see my dear ,,💕 💜,1,,1,[],https://twitter.com/agyare_jephtha/status/1392822515735662597
Jephtha Agyare,@agyare_jephtha,2021-05-17T00:42:30.000Z,"Don't focus on the mistake of yesterday but stay positive always with your goals and objectives in this life
Thanks you 
By sweet Jesus",,😊,,,4,[],https://twitter.com/agyare_jephtha/status/1394090916575592448
Opoku suzzan,@SuzzanOpoku,2021-05-17T10:32:16.000Z,"Replying to 
@agyare_jephtha",Very well that,,2,,,[],https://twitter.com/SuzzanOpoku/status/1394239336409935875
Jephtha Agyare,@agyare_jephtha,2021-05-17T10:54:48.000Z,Nice sweetie,,,,,,[],https://twitter.com/agyare_jephtha/status/1394245006559436800
Jephtha Agyare,@agyare_jephtha,2021-05-17T10:54:25.000Z,"Replying to 
@SuzzanOpoku",Thanks sweetie,,,,,[],https://twitter.com/agyare_jephtha/status/1394244912586108932
Opoku suzzan,@SuzzanOpoku,2021-05-17T08:52:50.000Z,"Replying to 
@agyare_jephtha",How you,,1,,,[],https://twitter.com/SuzzanOpoku/status/1394214315780157445
Jephtha Agyare,@agyare_jephtha,2021-05-17T10:28:33.000Z,Gud dear  and you,,💗,2,,,[],https://twitter.com/agyare_jephtha/status/1394238400866177030
Jephtha Agyare,@agyare_jephtha,2021-05-21T01:09:46.000Z,,,,,,2,['https://pbs.twimg.com/media/E1365ugXEAACi0q?format=jpg&name=small'],https://twitter.com/agyare_jephtha/status/1395547332691861505
Jephtha Agyare,@agyare_jephtha,2021-05-21T01:10:13.000Z,,,,,,4,['https://pbs.twimg.com/media/E137AVvXIAAN6a4?format=jpg&name=small'],https://twitter.com/agyare_jephtha/status/1395547445111795714
Jephtha Agyare,@agyare_jephtha,2021-05-24T22:22:34.000Z,"Replying to 
@AdamfoSark_
 and 
@AkosuahBi",Lol,,,,1,[],https://twitter.com/agyare_jephtha/status/1396954806984527874
Jephtha Agyare,@agyare_jephtha,2021-05-31T02:29:55.000Z,Scripture Story: Jacob and Esau https://abn.churchofjesuschrist.org/study/liahona/1986/02/scripture-story-jacob-and-esau?lang=eng…,,,,,2,[],https://twitter.com/agyare_jephtha/status/1399191381906706433
Jephtha Agyare,@agyare_jephtha,2021-06-04T01:55:14.000Z,"Romans 14:17  for the kingdom of God is not eating and drinking, but righteousness and peace and joy in the Holy Spirit.

Thank you 
By sweet Jesus ",,⚡ 🌻 🥰 🌟,1,,2,[],https://twitter.com/agyare_jephtha/status/1400632201780285440
Jephtha Agyare,@agyare_jephtha,2021-06-08T23:37:13.000Z,"Psalm 103:17-18 King James Version 17 But the mercy of the Lord is from everlasting to everlasting upon them that fear him, and his righteousness unto children's children;  18 To such as keep his covenant, and to those that remember his commandments to do them.",,,,,,[],https://twitter.com/agyare_jephtha/status/1402409411222593544
Efua,@Efua_1122,2021-06-21T16:50:44.000Z,"""When your crush video calls you.."" ","0:02
1.4K views",❤,33,76,325,[],https://twitter.com/Efua_1122/status/1407018155692732419
Jephtha Agyare,@agyare_jephtha,2021-06-28T13:35:08.000Z,Hi dear ,,💘 😘,,,,[],https://twitter.com/agyare_jephtha/status/1409505648270794760
Efua,@Efua_1122,2021-06-21T16:50:44.000Z,"""When your crush video calls you.."" ","1.4K views
0:02 / 0:03",❤,33,76,325,[],https://twitter.com/Efua_1122/status/1407018155692732419
Jephtha Agyare,@agyare_jephtha,2021-07-07T03:38:16.000Z,"1 John 3:9  Whosoever is begotten of God doeth no sin, because his seed abideth in him: and he cannot sin, because he is begotten of God.
Thank you 
By sweet Jesus ",,😊 🥰 🌟,1,1,6,[],https://twitter.com/agyare_jephtha/status/1412616934076698627
Anne Sophie Avé,@annesophieave,2021-07-10T08:47:30.000Z,"SUNREF Ghana launches €34m Green Finance Programme to boost renewable energy https://myjoyonline.com/?p=10031867350 via 
@joynewsontv","SUNREF Ghana launches €32.5m Green Finance Programme to boost renewable energy - MyJoyOnline.com
Sustainable Use of Natural Resources & Energy Financing (SUNREF), a green finance label developed by l’Agence Francaise de Developpement (AFD) and supported by the European Union (EU), has launched...
myjoyonline.com",,3,2,19,['https://pbs.twimg.com/card_img/1432295946835091463/GLhrJxxU?format=jpg&name=small'],https://twitter.com/annesophieave/status/1413781915518242816
Jephtha Agyare,@agyare_jephtha,2021-07-11T08:35:15.000Z,Thus great my dear,,,,,,[],https://twitter.com/agyare_jephtha/status/1414141222822764546
Jephtha Agyare,@agyare_jephtha,2021-07-20T23:44:20.000Z,The difference between this generation and that of our fathers is that ‘’Our fathers were willing to give up what we are not willing to give up’’ - PROPHET JEFF (Sweet Jesus  ,,🔥 🌈 🗣,,,2,[],https://twitter.com/agyare_jephtha/status/1417631490452725765
