UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
ali625,@ali62513,2021-01-26T14:28:14.000Z,"Replying to 
@Teen_Dreams491",Left,,,,1,[],https://twitter.com/ali62513/status/1354073667530076162
ali625,@ali62513,2021-01-28T18:40:23.000Z,"Replying to 
@farashgardi",BAYWATCH ,👍,,,1,[],https://twitter.com/ali62513/status/1354861899402407941
ali625,@ali62513,2021-01-30T08:04:39.000Z,"Replying to 
@Teen_Dreams491",Right,,,,,[],https://twitter.com/ali62513/status/1355426687123644416
ali625,@ali62513,2021-01-30T13:01:31.000Z,"Replying to 
@sexy_h0t_girls",Blue,,,,1,[],https://twitter.com/ali62513/status/1355501396393664515
ali625,@ali62513,2021-01-25T22:58:10.000Z,"Replying to 
@Teen_Dreams491",2,,,,1,[],https://twitter.com/ali62513/status/1353839608832937984
TIGER ⁦⁦⁦⁦,@tanhayektiger,2021-01-25T23:42:07.000Z,"آخه حقیقت تلخه !
#عنابستانی",,,2,6,57,['https://pbs.twimg.com/media/EsnYAe-XAAAULT4?format=jpg&name=small'],https://twitter.com/tanhayektiger/status/1353850668587626496
ali625,@ali62513,2021-01-25T23:49:19.000Z,خدا وکیلی ، حیف خر نیست,,,,,1,[],https://twitter.com/ali62513/status/1353852482947080201
ali625,@ali62513,2021-01-27T23:27:17.000Z,"Replying to 
@MehdiMMJ",آگاهی,,,,,[],https://twitter.com/ali62513/status/1354571713602838531
ali625,@ali62513,2021-01-25T23:00:26.000Z,"Replying to 
@SocMedStunners",4,,,,,[],https://twitter.com/ali62513/status/1353840180021616640
قدرت مردم,@powerpeople_,2021-01-29T18:20:09.000Z,"جک‌ سالیوان : برنامه موشکی رژیم ایران پیشرفت زیادی پیدا کرده است ، باید با این تهدید مقابله کنیم.

پ.ن : پس از سیگنال‌های منفی دولت بایدن و مکرون برای بازگشت به برجام ، شبانه قیمت #دلار روند صعودی گرفت .",,,5,12,199,[],https://twitter.com/powerpeople_/status/1355219196225880066
ali625,@ali62513,2021-01-29T18:36:20.000Z,چقدر رشد داشته ؟,,,,,,[],https://twitter.com/ali62513/status/1355223268614168581
آنوبیس خدای مرگ (فرعون),@FEREEON,2021-01-29T09:02:49.000Z,"اینجا ایران است 

به وقت #بهمن_99
سرزمین ویران من...",,💢,17,117,533,['https://pbs.twimg.com/media/Es41CryXMAALvnL?format=jpg&name=small'],https://twitter.com/FEREEON/status/1355078935776813057
(Demis) #NO2IR,@farashgardi,2021-01-28T18:25:43.000Z,"رابطه سفر دیروز این جانوران جناینکار وتروریست وپدوفیل،
با
بسته شدن حساب بانکی مهاجرین اکثرافقیر ودرمانده،افغان درایران چیست؟

ایابازهم نیروبرای سرکوب میخان ازمیان اینها،ویامزدوروادمفروش
ویا ادم انتحاری؟

تف بذات کثیفترین نطفه عالم خامنه ای ضحاک
#مرگ_بر_خامنه‌ای",,💖 💖 💖,3,7,33,"['https://pbs.twimg.com/media/Es1sVttVcAQ4x0d?format=jpg&name=small', 'https://pbs.twimg.com/media/Es1sWRxVcAE_1sD?format=jpg&name=360x360']",https://twitter.com/farashgardi/status/1354858206124675074
ali625,@ali62513,2021-01-28T18:37:39.000Z,من اصلاح میکنم ، این موجودات که به جانوران بی احترامی نشه,,,,,1,[],https://twitter.com/ali62513/status/1354861210261475338
ali625,@ali62513,2021-01-27T23:18:52.000Z,"Replying to 
@leftright_blog",5,,,,,[],https://twitter.com/ali62513/status/1354569594904711168
ali625,@ali62513,2021-01-30T15:03:20.000Z,"Replying to 
@SexyBabesWorld1","A , B",,,,1,[],https://twitter.com/ali62513/status/1355532052809064449
سی سی خانوم,@cicikhanoom,2021-01-26T02:25:13.000Z,دقایقی پیش هیات سیاسی گروه طالبان به رهبری ملاعبدالغنی برادر، معاون سیاسی این گروه جهت دیدار و گفت‌وگو با مقامات ج.ا وارد تهران شد.,,,6,9,117,['https://pbs.twimg.com/media/Esn9VkHXYAYVLuX?format=jpg&name=small'],https://twitter.com/cicikhanoom/status/1353891712507277312
ali625,@ali62513,2021-01-26T16:50:29.000Z,دارن پوکر رو ، رو باز بازی میکنن,,,,,,[],https://twitter.com/ali62513/status/1354109464903888896
ali625,@ali62513,2021-01-27T11:55:35.000Z,"Replying to 
@mojtaba_joker",فردا پنجشنبه  است ادارات تعطیله,,1,,,[],https://twitter.com/ali62513/status/1354397640289615876
ali625,@ali62513,2021-01-30T12:53:31.000Z,"Replying to 
@SexyBabesWorld1",A,,,,1,[],https://twitter.com/ali62513/status/1355499383459082240
ali625,@ali62513,2021-01-25T22:59:54.000Z,"Replying to 
@SocMedStunners
 and 
@hotbabes200",2,,,,,[],https://twitter.com/ali62513/status/1353840046214946818
ali625,@ali62513,2021-02-25T23:20:41.000Z,"Replying to 
@BikiniNation1",Right,,,,,[],https://twitter.com/ali62513/status/1365079299816968196
ali625,@ali62513,2021-03-01T23:26:05.000Z,"Replying to 
@Rob_2521",Blonde,,,,1,[],https://twitter.com/ali62513/status/1366530210389241858
ali625,@ali62513,2021-03-01T09:59:37.000Z,"Replying to 
@leftright_blog",White,,,,,[],https://twitter.com/ali62513/status/1366327254339510272
ali625,@ali62513,2021-03-01T23:20:48.000Z,"Replying to 
@Teen_Dreams491",Left,,,,,[],https://twitter.com/ali62513/status/1366528880534765571
NRCC,@NRCC,2021-02-25T15:04:17.000Z,"The latest corrupt provision in 
@HouseDemocrats
' COVID package?

A #BureaucratBailout that pays federal workers $21k to stay home with their kids because Democrats won't reopen the schools.

You can't make this stuff up.","Democrats’ Bureaucrat Bailout - NRCC
Another day, another news story revealing the corruption within Democrats’ $1.9 trillion COVID legislation. The latest? Democrats snuck in a provision that provides a $570 million family leave...
nrcc.org",,3,15,14,['https://pbs.twimg.com/card_img/1433292045863489537/R7-JqdWe?format=png&name=small'],https://twitter.com/NRCC/status/1364954374150238221
ali625,@ali62513,2021-02-25T15:15:02.000Z,She is worst than Evil ,,👎,,,,[],https://twitter.com/ali62513/status/1364957081837666311
ali625,@ali62513,2021-03-01T23:26:55.000Z,"Replying to 
@ElsaFanpage
 and 
@HottestCelebs19",She is super human ,😍 ❤ 😍,,,,[],https://twitter.com/ali62513/status/1366530418686775297
ali625,@ali62513,2021-02-27T14:46:21.000Z,"Replying to 
@Teen_Dreams491",1,,,,1,[],https://twitter.com/ali62513/status/1365674639314333696
ali625,@ali62513,2021-02-28T13:21:21.000Z,"Replying to 
@leftright_blog",4,,,,1,[],https://twitter.com/ali62513/status/1366015636992913416
(Demis) #NO2IR,@farashgardi,2021-02-26T16:51:20.000Z,"زنیکه کثافت وفاحشه ایکه درواشنگتن پست مقاله نوشته بود،ومردم بلوچستان ایران را اوباش نامیده بود
این پتیاره است
ایزابل دبرو
Isabel Debre

این فاحشه های دمکرات متصل به نایاک هستنکه ۴۲ساله دست ازسرمابرنمیدارند
باید درسی به انها دادکه قبل ازنامبردن نام ایران وایرانی سه باراجازه بگیرند",,💖 💖 💖,12,36,156,['https://pbs.twimg.com/media/EvKs3QhVcAc2MbD?format=jpg&name=small'],https://twitter.com/farashgardi/status/1365343705247272963
جواد ماله,@Mimalamjz,2021-02-24T21:14:05.000Z,روز پدر,,,23,30,199,['https://pbs.twimg.com/media/EvBV0JoXIAEuMBw?format=jpg&name=small'],https://twitter.com/Mimalamjz/status/1364685050248331275
ali625,@ali62513,2021-02-25T17:54:36.000Z,به پدرش عاغا تبریک بگه ، آخه پدر خودش نیست پدر همه کسش هم هست ,,😀,,,,[],https://twitter.com/ali62513/status/1364997239068712962
جواد ماله,@Mimalamjz,2021-02-25T20:09:29.000Z,قبل و بعد از حمله اسلام ناب محمدی,,,9,102,785,"['https://pbs.twimg.com/media/EvGQllEWQAAGWTo?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EvGQmMwXYAYxKxm?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EvGQl-hXMAUGjYa?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EvGQn1FWQAQjaQW?format=jpg&name=360x360']",https://twitter.com/Mimalamjz/status/1365031180815450124
ali625,@ali62513,2021-02-26T14:39:39.000Z,اسلام ناب عثنی عشری ,,👎,,,,[],https://twitter.com/ali62513/status/1365310565342617608
ali625,@ali62513,2021-02-25T17:51:47.000Z,"Replying to 
@mojtaba_joker",دیدمش ممنون ,👍,1,,,[],https://twitter.com/ali62513/status/1364996530042667009
ali625,@ali62513,2021-02-26T09:51:48.000Z,"Replying to 
@ARIAMEHRKING",واحد اندازه گیری این بیشرف در حد پدرش عاغاس,,,,1,[],https://twitter.com/ali62513/status/1365238124016586757
ali625,@ali62513,2021-03-01T13:18:55.000Z,"Replying to 
@SexyBabesWorld1","2 , 3",,,,2,[],https://twitter.com/ali62513/status/1366377409583460353
ali625,@ali62513,2021-02-25T17:25:40.000Z,"Replying to 
@Teen_Dreams491",3,,,,,[],https://twitter.com/ali62513/status/1364989956205076480
(Demis) #NO2IR,@farashgardi,2021-02-25T08:21:13.000Z,"از سنگ صدا در اومد ولی ازین دریده نایاکی که برای سپاه تروریست یقه درانی میکردند صدایی در نیامد 
#سراوان_تنها_نیست 
#سراوان_تنها_نیست 

تو کوچه ی ما هم عروسی میشه حالا هی خودتون رو به کوچه ی علی چپ بزنید .
#مزدوریواشکی",,💖 💖 💖,4,5,34,['https://pbs.twimg.com/media/EvDuhHUXAAE7Dzc?format=jpg&name=small'],https://twitter.com/farashgardi/status/1364852942478671872
ali625,@ali62513,2021-02-25T08:33:45.000Z,خواهشا اطلاع رسانی کنید این پوفیوز همه تماس های شما رو به اطلاعات سپاه میده اصلا تحت هیچ شرایطی به این خبیث و جرثومه و عنترنشنال هیچ پیغامی ندهید,,,,,,[],https://twitter.com/ali62513/status/1364856093306802180
