UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
athens!?| TECHNO SUPPORT,@athensmcyt,2021-08-28T21:53:04.000Z,LETS GO,,🎗,,,1,['https://pbs.twimg.com/media/E96M3I0X0Ao8uHf?format=jpg&name=small'],https://twitter.com/athensmcyt/status/1431736616918437888
athens!?| TECHNO SUPPORT,@athensmcyt,2021-08-28T15:35:48.000Z,ahahahahahah,,🎗,,,1,['https://pbs.twimg.com/media/E942gyZXIAQA4gy?format=jpg&name=medium'],https://twitter.com/athensmcyt/status/1431641672782393344
athens!?| TECHNO SUPPORT,@athensmcyt,2021-08-28T21:53:18.000Z,"regret nothing 
@booeps",,🎗,1,,1,['https://pbs.twimg.com/media/E96M6mzXIAAMA4i?format=jpg&name=900x900'],https://twitter.com/athensmcyt/status/1431736674036424707
athens!?| TECHNO SUPPORT,@athensmcyt,2021-08-28T17:09:04.000Z,i feel so tall today,,🎗,2,,2,['https://pbs.twimg.com/media/E95L3R8WUAARFqb?format=jpg&name=small'],https://twitter.com/athensmcyt/status/1431665146812903424
athens!?| TECHNO SUPPORT,@athensmcyt,2021-08-28T22:52:24.000Z,HAIR HAIR HAIR,"quackity4k
@quackity4k
 · Aug 29
QUACKITY SELFIE",🎗,,,1,"['https://pbs.twimg.com/profile_images/1342402035216494598/Z1nMNlvI_mini.jpg', 'https://pbs.twimg.com/media/E96Y0cZUUAIIIzT?format=jpg&name=900x900']",https://twitter.com/athensmcyt/status/1431751548296744967
athens!?| TECHNO SUPPORT,@athensmcyt,2021-08-28T15:43:51.000Z,IC FIGHTING FOR THEIR LIFE,"minho| TECHNO SUPPORT
@booeps
 · Aug 28
THIS IS SO FUNNY",🎗 🎗,,,2,"['https://pbs.twimg.com/profile_images/1431803971463692295/y0jhGiY2_mini.jpg', 'https://pbs.twimg.com/media/E944I60WQAEobi5?format=jpg&name=medium']",https://twitter.com/athensmcyt/status/1431643698958307328
athens!?| TECHNO SUPPORT,@athensmcyt,2021-08-28T19:09:25.000Z,if you listen to pink please aggressively make out with me /s,,🎗,,,1,[],https://twitter.com/athensmcyt/status/1431695433525514247
mars || TECHNO SUPPORT,@sapifyy,2021-08-28T17:26:24.000Z,"Replying to 
@athensmcyt",HELLO,🎗,1,,,[],https://twitter.com/sapifyy/status/1431669509061021699
athens!?| TECHNO SUPPORT,@athensmcyt,2021-08-28T17:26:44.000Z,MISSED YOU,GIF,🎗,1,,1,['https://pbs.twimg.com/tweet_video_thumb/E95P51cXMAIiTo6.jpg'],https://twitter.com/athensmcyt/status/1431669592007618566
athens!?| TECHNO SUPPORT,@athensmcyt,2021-08-28T15:49:46.000Z,"feeling taller then minho today 
@booeps",,🎗,1,,1,[],https://twitter.com/athensmcyt/status/1431645187953111040
athens!?| TECHNO SUPPORT,@athensmcyt,2021-08-28T16:27:53.000Z,"literally the funniest person ever 
@callahorny",,🎗 😏 🤤,2,1,2,"['https://pbs.twimg.com/media/E95CbyOXIAIG9fN?format=jpg&name=small', 'https://pbs.twimg.com/media/E95CbyBXEAACcr3?format=jpg&name=small']",https://twitter.com/athensmcyt/status/1431654781412691972
athens!?| TECHNO SUPPORT,@athensmcyt,2021-08-28T15:10:22.000Z,the scream is so fucking hot omg,,🎗,,,3,[],https://twitter.com/athensmcyt/status/1431635274140880897
athens!?| TECHNO SUPPORT,@athensmcyt,2021-08-28T17:03:40.000Z,saying this until someone agrees,"athens!?| TECHNO SUPPORT
@athensmcyt
 · Aug 28
the scream is hot",🎗 🎗,,,1,['https://pbs.twimg.com/profile_images/1434155481086451713/GlTxW7lA_mini.jpg'],https://twitter.com/athensmcyt/status/1431663785635418118
kall || TECHNO SUPPORT,@callahands,2021-08-28T20:52:46.000Z,how do y’all not cry when trying to edit ,,🎗 🤨 🤨,4,,4,[],https://twitter.com/callahands/status/1431721443210022918
athens!?| TECHNO SUPPORT,@athensmcyt,2021-08-28T21:01:56.000Z,it’s so frustrating,,🎗,,,,[],https://twitter.com/athensmcyt/status/1431723748051259395
mars || TECHNO SUPPORT,@sapifyy,2021-08-28T22:59:35.000Z,"Replying to 
@athensmcyt","i said ""MY GOD""",🎗,1,,1,[],https://twitter.com/sapifyy/status/1431753358034022403
athens!?| TECHNO SUPPORT,@athensmcyt,2021-08-28T23:00:41.000Z,IK BUT WHY,,🎗,1,,,[],https://twitter.com/athensmcyt/status/1431753631322230790
athens!?| TECHNO SUPPORT,@athensmcyt,2021-08-28T22:53:46.000Z,"Replying to 
@hearts4robyn",you doing alright?,🎗,1,,,[],https://twitter.com/athensmcyt/status/1431751893840244738
lex | TECHNO SUPPORT,@fantafart,2021-08-28T20:49:10.000Z,thinking about trannytrio,,🎗,2,,7,[],https://twitter.com/fantafart/status/1431720534128136192
athens!?| TECHNO SUPPORT,@athensmcyt,2021-08-28T21:02:22.000Z,OMG US,,🎗,,,,[],https://twitter.com/athensmcyt/status/1431723857518469121
