UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
A Yellow Line,@ayellowline,2021-01-11T01:49:30.000Z,Holy fuck what's happening #SteelersNation,,,,,4,[],https://twitter.com/ayellowline/status/1348446909552336900
A Yellow Line,@ayellowline,2021-01-14T22:12:14.000Z,Arsenal is a pain to watch #ARSCRY,,,,,1,[],https://twitter.com/ayellowline/status/1349841783333728256
A Yellow Line,@ayellowline,2021-01-11T13:37:56.000Z,"Goodbye 
@googlechrome
Hello 
@Waterfoxproject",,,,,,[],https://twitter.com/ayellowline/status/1348625189882441734
NBC News,@NBCNews,2021-01-06T20:32:38.000Z,"Replying to 
@NBCNews
 and 
@kwelkernbc",A supporter of President Trump sits inside Speaker Pelosi's office.,,3.7K,21.4K,19K,['https://pbs.twimg.com/media/ErE2bOnXYAApy1a?format=jpg&name=small'],https://twitter.com/NBCNews/status/1346917615483187200
A Yellow Line,@ayellowline,2021-01-06T22:16:50.000Z,"Damn, if you had covered antifa riots like this...",,,,,2,[],https://twitter.com/ayellowline/status/1346943835809718273
"Lights, Camera, Pod",@LightsCameraPod,2021-01-11T13:23:01.000Z,"Warner Bros has submitted ‘Wonder Woman 1984’ for consideration for 15 Academy Awards including Best Actress, Best Director, and Best Picture.",,,1K,1.9K,677,['https://pbs.twimg.com/media/ErdDyV9W8AEWu5I?format=jpg&name=small'],https://twitter.com/LightsCameraPod/status/1348621435334520833
A Yellow Line,@ayellowline,2021-01-12T17:52:44.000Z,"Well, if Black Panther got nominated anyone can",,,,,,[],https://twitter.com/ayellowline/status/1349051699755945985
Twitter Public Policy,@Policy,2021-01-12T18:22:50.000Z,"Ahead of the Ugandan election, we're hearing reports that Internet service providers are being ordered to block social media and messaging apps.
 
We strongly condemn internet shutdowns – they are hugely harmful, violate basic human rights and the principles of the #OpenInternet.",,,35.2K,40.4K,14.5K,[],https://twitter.com/Policy/status/1349059275461685250
A Yellow Line,@ayellowline,2021-01-13T02:12:44.000Z,Stfu,,,,,,[],https://twitter.com/ayellowline/status/1349177531635806208
Chris Evans,@ChrisEvans,2021-01-06T21:10:47.000Z,Just think of the carnage had they not been white.,,,12.6K,180.2K,1M,[],https://twitter.com/ChrisEvans/status/1346927215720734722
A Yellow Line,@ayellowline,2021-01-07T14:12:38.000Z,Stick to marvel,,,,,,[],https://twitter.com/ayellowline/status/1347184371380400129
REVOLT,@revolttv,2021-01-14T21:48:56.000Z,Kevin Seefried and his son surrendered to the U.S. Marshal’s office on Thursday (Jan. 14).,"Rioter who carried Confederate flag through U.S. Capitol arrested
Kevin Seefried and his son surrendered to the U.S. Marshal’s office on Thursday (Jan. 14).
revolt.tv",,3,15,32,[],https://twitter.com/revolttv/status/1349835920640516100
A Yellow Line,@ayellowline,2021-01-14T22:10:29.000Z,Didn't see you doing this to BLM rioters.,,,1,,,[],https://twitter.com/ayellowline/status/1349841342411759626
PoliceGatineau,@PoliceGatineau,2021-01-02T17:07:34.000Z,"Replying to 
@raycarr4
 and 
@ezralevant","First 2 officers were wearing their masks, speaking outside with the owner. Some people became agressive. One male hit an officer multiple times in the face. The officers who were not wearing masks were called as back up and due to the emergency, didn't have time to put it on.",,1.1K,164,170,[],https://twitter.com/PoliceGatineau/status/1345416457044242432
A Yellow Line,@ayellowline,2021-01-04T03:44:51.000Z,What the actual fuck...,,,,,,[],https://twitter.com/ayellowline/status/1345939220381241344
jack,@jack,2021-01-14T00:16:54.000Z,"I do not celebrate or feel pride in our having to ban 
@realDonaldTrump
 from Twitter, or how we got here. After a clear warning we’d take this action, we made a decision with the best information we had based on threats to physical safety both on and off Twitter. Was this correct?",,⚡,46.2K,28.4K,112.2K,[],https://twitter.com/jack/status/1349510769268850690
A Yellow Line,@ayellowline,2021-01-14T00:36:11.000Z,Stfu,,,,,,[],https://twitter.com/ayellowline/status/1349515622321942529
A Yellow Line,@ayellowline,2021-01-09T03:33:33.000Z,"Replying to 
@theINTLright
 @DeanBrowningPA
 and 
@HillaryClinton",Nope. Totally believable.,,,,1,[],https://twitter.com/ayellowline/status/1347748317145559042
Brad Wilkinson,@bradguy13,2021-01-04T18:54:54.000Z,"@GUnit_81
 BU is waring mask while they play.  Thats gotta effect how they play i would think",,,3,2,2,[],https://twitter.com/bradguy13/status/1346168245397712896
A Yellow Line,@ayellowline,2021-01-04T19:37:04.000Z,For real? Damn. That's tough.,,,,,,[],https://twitter.com/ayellowline/status/1346178856550604800
Twitter Safety,@TwitterSafety,2021-01-08T23:21:28.000Z,"After close review of recent Tweets from the 
@realDonaldTrump
 account and the context around them we have permanently suspended the account due to the risk of further incitement of violence.","Permanent suspension of @realDonaldTrump
Suspension of @realDonaldTrump
blog.twitter.com",,55.6K,331.1K,664.4K,['https://pbs.twimg.com/card_img/1430679376526462978/MSv4Zw4G?format=jpg&name=360x360'],https://twitter.com/TwitterSafety/status/1347684877634838528
A Yellow Line,@ayellowline,2021-01-09T00:15:04.000Z,Okey Big Brother,,,,,,[],https://twitter.com/ayellowline/status/1347698367095255040
unbeknownst,@herthoughtsof,2021-01-12T20:54:10.000Z,"Replying to 
@nypost",Yes! Finally a celebrity stepping away from the cult,,161,54,1.9K,[],https://twitter.com/herthoughtsof/status/1349097362312990721
A Yellow Line,@ayellowline,2021-01-13T01:55:08.000Z,He's been blacklisted for a while,,,,,,[],https://twitter.com/ayellowline/status/1349173102144606208
A Yellow Line,@ayellowline,2021-01-01T04:25:21.000Z,,,,,,,['https://pbs.twimg.com/media/EqnpFNWW8AMqqt1?format=jpg&name=small'],https://twitter.com/ayellowline/status/1344862248892837891
A Yellow Line,@ayellowline,2021-01-13T23:30:04.000Z,Soteldoooo! ,,,1,,1,[],https://twitter.com/ayellowline/status/1349498981282426881
A Yellow Line,@ayellowline,2021-01-12T18:04:56.000Z,"Replying to 
@ChronicleNUFC",No Almiron no party,,,1,,[],https://twitter.com/ayellowline/status/1349054771462868992
A Yellow Line,@ayellowline,2021-01-14T01:38:46.000Z,"Replying to 
@thebradfordfile",#BlockJack,,,,1,[],https://twitter.com/ayellowline/status/1349531368796147712
José D. Chacón,@10chac,2021-01-13T23:30:48.000Z,"Replying to 
@ayellowline",qué golazo,,1,,1,[],https://twitter.com/10chac/status/1349499166788087812
A Yellow Line,@ayellowline,2021-01-14T00:21:56.000Z,"Por lo mostrado ayer por el Palmeiras, Santos se merece esa Copa.",,,1,,1,[],https://twitter.com/ayellowline/status/1349512034581409796
A Yellow Line,@ayellowline,2021-01-28T19:15:10.000Z,$DOGE to the moon!,,,,,1,[],https://twitter.com/ayellowline/status/1354870652545675269
Ned Price,@StateDeptSpox,2021-01-21T01:10:42.000Z,"Today, 
@POTUS
 Biden ended the discriminatory bans on entry to the United States, known to many as the Muslim and Africa travel bans. As a nation built on religious freedom and tolerance, we welcome people of all faiths and those of no faith at all. It is who we are.",,,1.2K,604,1.3K,[],https://twitter.com/StateDeptSpox/status/1352061023138754566
A Yellow Line,@ayellowline,2021-01-21T14:11:02.000Z,"Ahh, NY",,,,,4,['https://pbs.twimg.com/media/EsQu7_5XMAMS7iJ?format=png&name=small'],https://twitter.com/ayellowline/status/1352257399059525634
A Yellow Line,@ayellowline,2021-01-20T15:24:54.000Z,"Replying to 
@disclosetv",Let the show begin...,,,,8,[],https://twitter.com/ayellowline/status/1351913602106740736
A Yellow Line,@ayellowline,2021-01-19T19:17:12.000Z,"Replying to 
@RandyRRQuaid",1984 remake?,,,,,[],https://twitter.com/ayellowline/status/1351609673414291456
The Chronicle,@ChronicleNUFC,2021-01-26T18:42:15.000Z,NUFC have a corner...,"Newcastle vs Leeds LIVE
Newcastle United are looking to return to winning ways against Leeds at St James' Park
chroniclelive.co.uk",,6,1,6,['https://pbs.twimg.com/card_img/1431005485788925953/szkvpGOm?format=jpg&name=small'],https://twitter.com/ChronicleNUFC/status/1354137591948472320
A Yellow Line,@ayellowline,2021-01-26T19:02:52.000Z,Hoping it ends up like this so we can all say goodbye to Steve.,,,,,,[],https://twitter.com/ayellowline/status/1354142781430751233
Variety,@Variety,2021-01-26T20:01:36.000Z,"‘Serial’ Season 3 to Be Developed as HBO Limited Series, LeBron James to Executive Produce","‘Serial’ Season 3 to Be Developed as HBO Limited Series, LeBron James to Executive Produce
HBO is developing the third season of the hit podcast ""Serial"" as a limited series, with LeBron James set to executive produce.
variety.com",,4,47,112,['https://pbs.twimg.com/card_img/1433018836886831104/w__g6IGo?format=jpg&name=small'],https://twitter.com/Variety/status/1354157561625370625
Matt Perrault,@sportstalkmatt,2021-01-19T22:56:01.000Z,Tomorrow - we start the long road to healing this country in so many ways. This is so beautiful.,"NowThis
@nowthisnews
 · Jan 19
Michigan nurse Lori Marie Key, who went viral singing 'Amazing Grace' at work, reprises the song at the national COVID-19 memorial ceremony",,5,,15,"['https://pbs.twimg.com/profile_images/1412499125845868548/7xva9cLu_mini.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1351658839783862272/img/1GYHdgR1gj7nW_x3.jpg']",https://twitter.com/sportstalkmatt/status/1351664740150333444
A Yellow Line,@ayellowline,2021-01-20T01:15:13.000Z,More like long road to socialism. Good luck anyways.,,,2,,,[],https://twitter.com/ayellowline/status/1351699771715702784
A Yellow Line,@ayellowline,2021-01-23T15:20:53.000Z,"Replying to 
@quantumtemporis",Tenet that shit,,,,,[],https://twitter.com/ayellowline/status/1352999752569335808
Stephen King,@StephenKing,2021-01-19T17:24:54.000Z,Enjoy your next job as a cocktail waitress in Tampa.,"Kayleigh McEnany 45 Archived
@PressSec45
 · Jan 19
Serving as @PressSec has been a true honor!

At the podium, I had the great privilege of sharing stories of the forgotten men and women of America – stories the media too often ignores.  

Thank you for allowing me to speak on your behalf.

Follow me @kayleighmcenany for more! ",,11.9K,8.1K,44.3K,['https://pbs.twimg.com/profile_images/1250415895383506944/EttGxOru_mini.jpg'],https://twitter.com/StephenKing/status/1351581412743393280
A Yellow Line,@ayellowline,2021-01-19T22:18:10.000Z,Fuck off,,,,,,[],https://twitter.com/ayellowline/status/1351655215745937413
footballguy97,@footballguy971,2021-01-20T01:38:59.000Z,"Replying to 
@sportstalkmatt
 and 
@ayellowline",Doesnt matter what socialist country you choose full blown socialism wont work here.,,1,,,[],https://twitter.com/footballguy971/status/1351705753086734339
A Yellow Line,@ayellowline,2021-01-20T01:56:47.000Z,Really hope it doesn't. As long as Bernie loonies & co. don't take charge.,,,,,,[],https://twitter.com/ayellowline/status/1351710230942543874
Justin Kan,@justinkan,2021-01-28T18:10:33.000Z,"Replying to 
@justinkan","@RashidaTlaib
 @aoc
 there should be a congressional hearing",,144,1.5K,20K,[],https://twitter.com/justinkan/status/1354854390050353152
A Yellow Line,@ayellowline,2021-01-28T19:19:10.000Z,Oh fuck. Not those two,,,,,,[],https://twitter.com/ayellowline/status/1354871659711373314
Matt Perrault,@sportstalkmatt,2021-01-20T01:16:48.000Z,"Replying to 
@ayellowline", ... make sure you send your stimulus check back,,1,,1,[],https://twitter.com/sportstalkmatt/status/1351700170077995009
A Yellow Line,@ayellowline,2021-01-20T01:20:28.000Z,Lol no. I'm in socialist Venezuela. Minimum wage is $3 a month.,,,1,,,[],https://twitter.com/ayellowline/status/1351701092124516363
A Yellow Line,@ayellowline,2021-01-20T19:50:51.000Z,"Replying to 
@Kredo0",,,,,,['https://pbs.twimg.com/media/EsMzIGdW8AAV-A3?format=jpg&name=small'],https://twitter.com/ayellowline/status/1351980531647393792
