UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Mekamak,@b_martial,2021-01-22T05:10:37.000Z,"@juliezenattioff
 août 2019 #toutestpluspop janvier 2021 #RefaireDanserLesFleurs 13 ""baumes au coeur"" ",,👍 💐 😊 🎵,,,,[],https://twitter.com/b_martial/status/1352483785347100677
C8,@C8TV,2021-02-07T07:00:00.000Z,"Le psychothérapeute Thomas D'Ansembourg sera l'invité de 
@KarineArsene
 ce matin à 8h55 dans #LMQFDB !

Découvrez le sommaire de l'émission ","0:51
3.3K views",⬇,2,4,24,[],https://twitter.com/C8TV/status/1358309519156080647
Mekamak,@b_martial,2021-02-07T08:53:05.000Z,"Merci 
@KarineArsene
 et 
@FRANCOISPOMES
 pour votre emission #LMQFDB 
@C8TV
 afin de bien demarrer son dim ",,🙂 👍,,,2,[],https://twitter.com/b_martial/status/1358337976753942530
Melkior,@Mellechiorre,2021-02-21T11:53:10.000Z,"#MaChansonPréférée... de 
@Nolwennleroyoff
 aujourd'hui. 
Si vous connaissez, vous savez qu'a priori, ça va pas le faire... Mais surprenez-moi. Y a-t-il une perle chez la bretonne ??",,,15,,3,['https://pbs.twimg.com/media/Euv4q1gWYAURqF_?format=jpg&name=small'],https://twitter.com/Mellechiorre/status/1363456730240270336
Mekamak,@b_martial,2021-02-21T12:32:16.000Z,L enfant cerf volant ,,🎧,1,,,[],https://twitter.com/b_martial/status/1363466569834184706
C8,@C8TV,2021-02-07T07:00:00.000Z,"Le psychothérapeute Thomas D'Ansembourg sera l'invité de 
@KarineArsene
 ce matin à 8h55 dans #LMQFDB !

Découvrez le sommaire de l'émission ","3.3K views
0:02 / 0:52",⬇,2,4,24,[],https://twitter.com/C8TV/status/1358309519156080647
Square Enix,@SquareEnix,2021-03-17T17:45:44.000Z,"GET 2 FREE 
@TombRaider
 PC GAMES NOW

Follow us 
@SquareEnix
  
Reply to this Tweet with #SquareEnixPresents

Do the above, like magic, we'll send you a code for both games to your DM. That's it, go go go!",,👉 👉,184.3K,52K,47.7K,['https://pbs.twimg.com/media/EwsvTniUYAANN7N?format=jpg&name=small'],https://twitter.com/SquareEnix/status/1372242764084117508
Mekamak,@b_martial,2021-03-18T18:04:52.000Z,Thanks  #SquareEnixPresents,,🙂,,,,[],https://twitter.com/b_martial/status/1372609966083878917
Mekamak,@b_martial,2021-03-08T19:35:32.000Z,"Replying to 
@charlesdecant",Plantes comprises?! ,😉 👍 🍀,1,,,[],https://twitter.com/b_martial/status/1369008906433871882
Melkior,@Mellechiorre,2021-04-11T09:47:18.000Z,"#MaChansonPréférée... de Serge Lama aujourd'hui. Je connais pas bien ce chanteur populaire, je supporte plus "" Je suis malade"" mais on garde quoi de lui, chers twittos ?",,,25,1,13,['https://pbs.twimg.com/media/EyrxwtYWQAAQiU-?format=jpg&name=360x360'],https://twitter.com/Mellechiorre/status/1381182059981508609
Mekamak,@b_martial,2021-04-11T11:18:38.000Z,Le souvenir,"Le souvenir
Provided to YouTube by Warner (France)Le souvenir · Serge LamaOù sont passés nos rêves℗ 2016 Warner Music FranceTrombone: Amélie CaronViolin: Angélique Loyer...
youtube.com",,,,,['https://pbs.twimg.com/card_img/1431867074209583105/KlwBUnjF?format=jpg&name=240x240'],https://twitter.com/b_martial/status/1381205045073547266
Ludo,@LUDO_dsp,2021-04-10T13:01:53.000Z,Cette chanson me donne des frissons ,"Villa
@VillaNg2
 · Apr 10
Les plus vieux se souviennent peut être de cette chanson ",🥺 🥲 💉 💉 🤔,3,,11,"['https://pbs.twimg.com/profile_images/1389268080610746371/n7bJSnwr_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1380833795637673986/pu/img/kfOEt1Q5FpKOIT_L.jpg']",https://twitter.com/LUDO_dsp/status/1380868640120172549
Mekamak,@b_martial,2021-04-10T15:58:06.000Z,Et une reprise de plus ,"Imany - Wonderful Life (Stream Jockey Rework) - LYRICS VIDEO
MY NEW ALBUM VOODOO CELLO (out Sept, 3rd 2021) IS AVAILABLE FOR PRE-ORDER : https://imany.lnk.to/VoodooCelloMON NOUVEL ALBUM VOODOO CELLO (dispo 03/09 2021) ...
youtube.com",🎧,,,,['https://pbs.twimg.com/card_img/1431219923234267138/6rkSjY8q?format=jpg&name=240x240'],https://twitter.com/b_martial/status/1380912986878058501
Jo,@ABrandNewJo,2021-04-04T16:20:04.000Z,"A défaut d’avoir un mec qui m’en offre, j’ai décidé de ne pas me laisser abattre !   
#Paques2021",,😅 🍫 🐣,4,1,10,"['https://pbs.twimg.com/media/EyJIhsJWEAYGtDs?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EyJIhsSXEAAcvZa?format=jpg&name=360x360']",https://twitter.com/ABrandNewJo/status/1378744184941740035
Mekamak,@b_martial,2021-04-04T19:03:35.000Z,Reportage sur la maison dans 66 minutes auj ,,👍 🍫,1,,,[],https://twitter.com/b_martial/status/1378785336730513411
Mekamak,@b_martial,2021-04-16T20:04:00.000Z,"Replying to 
@Nathanael42",Ben si un generique de dingue ,😂,,,,[],https://twitter.com/b_martial/status/1383149194454704130
RTL2officiel,@RTL2officiel,2021-06-11T10:50:03.000Z,"Aujourd'hui sort l'album de Clara Luciani ""Coeur"" !   Pour l'occasion, #RTL2 vous offre un exemplaire dédicacé 
Pour participer, commentez cette publication avec votre titre préféré de l'artiste ! ",,💙 📀 🎵,90,45,113,['https://pbs.twimg.com/media/E3mJD2eXEAYbB-4?format=jpg&name=small'],https://twitter.com/RTL2officiel/status/1403303510456868867
