UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Travis Akers,@travisakers,2021-08-12T16:00:39.000Z,"Name something that a lot of people like, but you can’t stand.",,,6.7K,1.1K,2K,[],https://twitter.com/travisakers/status/1425849721575383043
Beezie Wacks,@beezie_wacks,2021-08-12T22:56:43.000Z,A lot of holes.,,,,,,[],https://twitter.com/beezie_wacks/status/1425954429606318080
Elon Musk,@elonmusk,2021-08-12T22:43:36.000Z,"Replying to 
@JeffTutorials",The staying power of a bad idea is astonishing,,1K,1K,14.6K,[],https://twitter.com/elonmusk/status/1425951128676671494
Beezie Wacks,@beezie_wacks,2021-08-12T22:53:01.000Z,Even worse with the team that lingers despite said implemented bad idea.,,,,,,[],https://twitter.com/beezie_wacks/status/1425953497086763013
Black Lives Matter,@Blklivesmatter,2021-08-03T11:00:16.000Z,"Today is #BlackWomensEqualPayDay
That means that, as of today, a Black woman will finally have made the same amount a white man made in 2020. We deserve better. 
@EqualPay2dayOrg
, 
@Demos_Org
, and many more are holding talks today. If this is new info to you, tune in.",,,185,609,776,['https://pbs.twimg.com/media/E73Hs-gWQAEI-1M?format=jpg&name=small'],https://twitter.com/Blklivesmatter/status/1422512636156129281
Beezie Wacks,@beezie_wacks,2021-08-12T22:50:06.000Z,Apparently it takes even longer for black women to out-earn white women too. Why’s it gotta be like that?,,,,,,[],https://twitter.com/beezie_wacks/status/1425952762525732866
Ashley M. Gjøvik,@ashleygjovik,2021-08-12T18:30:13.000Z,"I actually warned the 2nd #Apple ER investigator after he kept telling me our conversation was ""confidential,"" that he already admitted it was not, & also as an attorney he may actually be violating the rules of professional responsibility by misrepresenting his interests with me","Ashley M. Gjøvik
@ashleygjovik
 · Aug 12
Replying to @stautistic
The 2nd ER investigator is indeed an attorney!",,1,3,22,['https://pbs.twimg.com/profile_images/1422008514554171394/Me9W0Azh_mini.jpg'],https://twitter.com/ashleygjovik/status/1425887362354057216
Beezie Wacks,@beezie_wacks,2021-08-12T20:47:32.000Z,"So basically, anyone who talks to you is gonna get outed on any public forum you post to? Are you someone who can be trusted, like ever? If you’re gonna be a lawyer, who has attorney-client expectations, what client will trust you won’t use their words against them later?",,,2,1,,[],https://twitter.com/beezie_wacks/status/1425921919447040003
Ashley M. Gjøvik,@ashleygjovik,2021-08-13T19:47:59.000Z,"I'd like to put the ""I'm doing this for $ / my career"" gimmick to bed. I made $386k at #Apple last year with salary/stock/bonus (pay transparency!). There is no $ incentive for me to speak out. Also, discrimination is everywhere and wherever I work after this, this will follow me",,,10,18,319,[],https://twitter.com/ashleygjovik/status/1426269321496387585
Beezie Wacks,@beezie_wacks,2021-08-14T05:02:12.000Z,"Clearly, they paid you too much for tweeting.",,,1,1,,[],https://twitter.com/beezie_wacks/status/1426408794544689159
NPR,@NPR,2021-08-14T02:23:08.000Z,"About 80% of those affected by the Taliban offensive are women and children, according to the U.N. The situation has ""all the hallmarks of a humanitarian catastrophe,"" one official said.","A Quarter-Million People Have Fled Their Homes As Violence In Afghanistan Escalates
About 80% of those affected by the Taliban offensive are women and children, according to the U.N. The situation has ""all the hallmarks of a humanitarian catastrophe,"" one official said.
npr.org",,80,321,525,['https://pbs.twimg.com/card_img/1428973576124784640/UHi5S-rf?format=jpg&name=small'],https://twitter.com/NPR/status/1426368763738443777
Beezie Wacks,@beezie_wacks,2021-08-14T05:41:41.000Z,What’s the COVID rate in Afghanistan areas where the Taliban reside? Asking for a friend..,,,,,,[],https://twitter.com/beezie_wacks/status/1426418729663930368
Nicholas Kristof,@NickKristof,2021-08-13T14:53:48.000Z,"Five years ago I helped a brilliant, self-taught Afghan teenage girl leave Kandahar and study in the US. Yesterday she showed me an article she published in a professional journal about quantum mechanics. So many brilliant Afghan girls now won't be able to hold up half the sky.",,,225,1.7K,9.9K,[],https://twitter.com/NickKristof/status/1426195288465707011
Beezie Wacks,@beezie_wacks,2021-08-14T05:44:33.000Z,"When people want to survive, they’ll do anything. Thankfully there is place for them. But don’t we worry about all the others who choose to survive for genocide?",,,,,,[],https://twitter.com/beezie_wacks/status/1426419452795523078
Ashley M. Gjøvik,@ashleygjovik,2021-08-14T05:20:16.000Z,"Replying to 
@beezie_wacks","Apologies, Beezie. You created an account just to harass me, and also Cher.",,2,,5,"['https://pbs.twimg.com/media/E8ui83iUcAIfEaZ?format=jpg&name=medium', 'https://pbs.twimg.com/media/E8ujT8KVgAkpHsQ?format=jpg&name=medium']",https://twitter.com/ashleygjovik/status/1426413341900111876
Beezie Wacks,@beezie_wacks,2021-08-14T05:29:20.000Z,I don’t think “harassment” means what you think it means.,"What Does Free Speech Mean?
uscourts.gov",,,,,['https://pbs.twimg.com/card_img/1430758566487633921/c567OXCQ?format=png&name=240x240'],https://twitter.com/beezie_wacks/status/1426415621080682500
Secret Lair Arcade,@LairArcade,2021-08-12T20:59:55.000Z,"Replying to 
@beezie_wacks
 and 
@ashleygjovik",Who are you?,,1,,1,[],https://twitter.com/LairArcade/status/1425925035689185282
Beezie Wacks,@beezie_wacks,2021-08-14T04:58:36.000Z,You remind me of the babe!,,,,,,[],https://twitter.com/beezie_wacks/status/1426407888759623680
Dennis Walsh,@lawjolla,2021-08-14T03:16:06.000Z,"Replying to 
@cherthedev","If your legal didn’t tell you to remove this post, you need a new legal team. 

Sincerely, a member of the CA Bar.",,4,,1,[],https://twitter.com/lawjolla/status/1426382093592846339
Beezie Wacks,@beezie_wacks,2021-08-14T04:49:23.000Z,"Anything 
@cherthedev
 is provided is likely to be subject to public scrutiny. More ammo for interpretation. They don’t share her narrative and it doesn’t looks like she believes in the company’s principles.",,,,,,[],https://twitter.com/beezie_wacks/status/1426405568743231490
Ashley M. Gjøvik,@ashleygjovik,2021-08-14T05:05:32.000Z,"You created a Twitter account just to harass me... I think you mean ""we pay you too much,"" Beezie.","Beezie Wacks
@beezie_wacks
 · Aug 14
Replying to @ashleygjovik
Clearly, they paid you too much for tweeting.",,1,,9,"['https://pbs.twimg.com/media/E8uf88jUUAQ7Rt1?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1423187322149892101/FJVb7uec_mini.jpg']",https://twitter.com/ashleygjovik/status/1426409631128064001
Beezie Wacks,@beezie_wacks,2021-08-14T05:15:26.000Z,"I did? What else did I do just for you, 
@ashleygjovik
 ?",,,1,,,[],https://twitter.com/beezie_wacks/status/1426412122016124930
Beezie Wacks,@beezie_wacks,2021-08-14T04:49:56.000Z,"Replying to 
@lawjolla
 and 
@cherthedev","Plus, looks like she just wants to collect disabilities monies and do very little for the company.",,1,,,[],https://twitter.com/beezie_wacks/status/1426405705104297986
Beezie Wacks,@beezie_wacks,2021-08-14T05:49:03.000Z,"Replying to 
@ashleygjovik",,,,,1,[],https://twitter.com/beezie_wacks/status/1426420583873400833
