UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
cheryl Stephens,@cherylpat1021,2021-01-06T16:54:18.000Z,"We want you to have the Ultimate holiday season with $5,000! #sweepstakes","We want you to have the Ultimate holiday season with $5,000!
Enter here!
ul.ink",,,,,[],https://twitter.com/cherylpat1021/status/1346862670910251008
cheryl Stephens,@cherylpat1021,2021-01-28T23:19:53.000Z,"I just entered to win $1,000 prize!","I just entered to win $1,000!
Enter here for a chance to win!
ul.ink",,,,,[],https://twitter.com/cherylpat1021/status/1354932238861950979
cheryl Stephens,@cherylpat1021,2021-01-28T19:53:03.000Z,"I built a Volvo for #VolvoSafety Sunday and am rooting for safety during the big game for a chance to win. To enter, visit","Celebrating 1 million lives saved by Volvo safety innovations
NO PURCH. NEC. Open to legal res of 50 US/DC, 18+ only. Valid United States driver’s license required to claim a prize. Begins 1/20/20 and ends 2/2/20. For Rules, visit [PROMOTION RULES URL]. Void...
volvosafetysunday.com",,,,,['https://pbs.twimg.com/card_img/1419244869994827776/phxMQfUv?format=jpg&name=small'],https://twitter.com/cherylpat1021/status/1354880184760070150
cheryl Stephens,@cherylpat1021,2021-01-19T17:20:35.000Z,Pick up your Avocados From Mexico before game day! check out the Guac Bowl Concession Stand for tons of great recipes. #GuacFromMexico #GuacFood #SBLIV #Sweepstakes http://sot.ag/gcwbZ,,,3,1,1,[],https://twitter.com/cherylpat1021/status/1351580325944696835
Troy Aikman,@TroyAikman,2021-01-08T22:03:30.000Z,"Huddle up! $1M is up for grabs at Guac Bowl Stadium. RT this & click for more entries: http://bit.ly/guacbowlstadium. It's a winning strategy!

Great games go hand in hand with great guac. Get plenty of Avocados From Mexico for game day! #GuacFromMexico #SBLV #Sweepstakes #Ad",,,66,517,412,['https://pbs.twimg.com/ext_tw_video_thumb/1347665252733763584/pu/img/J5lowcD_QrDX3wJ8.jpg'],https://twitter.com/TroyAikman/status/1347665258442199040
cheryl Stephens,@cherylpat1021,2021-01-27T18:13:07.000Z,"This avocado-print luggage carrier from 
@AvosFromMexico
 is one of my favorite items at the Guac Bowl souvenir store. #GuacShop #GuacFromMexico #Sweepstakes http://bit.ly/2X9xRL7 https://avocadosfrommexico.com/guacamole/guac-world/souvenir-products/luggage/… via #taggbox","Jumbotron
app.taggbox.com",,1,,,['https://pbs.twimg.com/card_img/1431163315636477954/rhqyt7qw?format=jpg&name=small'],https://twitter.com/cherylpat1021/status/1354492650385252356
cheryl Stephens,@cherylpat1021,2021-01-04T16:39:07.000Z,#GuacFromMexico and #sweepstakes,,,,,,[],https://twitter.com/cherylpat1021/status/1346134070498103299
cheryl Stephens,@cherylpat1021,2021-01-14T20:08:07.000Z,Valentines Champagne Sunset Cruise,"Valentines Champagne Sunset Cruise
VALENTINES CHAMPAGNE SUNSET CRUISE SWEEPSTAKES! To enter, simply visit the participating websites and social media networks listed inside. The more you explore, the more chances to win! Contest ends...
gleam.io",,,,,[],https://twitter.com/cherylpat1021/status/1349810546569334791
cheryl Stephens,@cherylpat1021,2021-01-16T21:54:51.000Z,"Replying to 
@myLondis",,🎧,,,,[],https://twitter.com/cherylpat1021/status/1350562185467080704
cheryl Stephens,@cherylpat1021,2021-01-09T23:37:45.000Z,"Replying to 
@YesMomCanDoIt
 and 
@AvosFromMexico",#GuacFromMexico #SBLV #Sweepstakes #Ad,,,,,[],https://twitter.com/cherylpat1021/status/1348051362593042433
