UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
"Enviro-Log, Inc.",@EnviroLogFire,2021-01-08T13:07:27.000Z,"Happy Friday!  Its time to enter our weekly #giveaway for 2 Enviro-Log Firelogs, a box of 8 Firestarters and a KFC 11 Herbs & Spices Firelog! Simply like this post and tell us how you would like to try them. We'll announce the next winner on Monday! #fireplace #firepit #woodstove",,,348,136,374,"['https://pbs.twimg.com/media/ErNjjAYWMAAySo-?format=jpg&name=small', 'https://pbs.twimg.com/media/ErNjsf5XUAAZF1r?format=jpg&name=360x360']",https://twitter.com/EnviroLogFire/status/1347530356120018944
Diana Thompson,@dianathompson81,2021-01-08T18:45:37.000Z,I would like to have these for a neighborhood block part in the side yard.,,,,,,[],https://twitter.com/dianathompson81/status/1347615457050832903
Diana Thompson,@dianathompson81,2021-01-20T19:45:34.000Z,"#HuggiesHugDaySweepstakes 
@Huggies",,,,,,['https://pbs.twimg.com/media/EsMx6CbXAAI2s9Q?format=jpg&name=small'],https://twitter.com/dianathompson81/status/1351979200824139777
Diana Thompson,@dianathompson81,2021-02-21T21:28:34.000Z,#VaroForTomorrow #sweepstakes I am saving for college for my Sydney who wants to go to medical school.,,,,1,,['https://pbs.twimg.com/media/Eux8Gq2XMAAsrim?format=jpg&name=small'],https://twitter.com/dianathompson81/status/1363601532902588423
Diana Thompson,@dianathompson81,2021-02-03T18:21:09.000Z,https://woobox.com/isc2gn/nbzm6f  win something.,"Valentine's Day Giveaway 2021
woobox.com",,,,,[],https://twitter.com/dianathompson81/status/1357031383969988610
Diana Thompson,@dianathompson81,2021-01-31T16:17:25.000Z,Subscription box from littleselfcarebox.  Georgia company.  Great items for travel.  Sample sizes.  Wonderful book included.  Monthly delivery would be a great gift!,,,,,,['https://pbs.twimg.com/media/EtErQZoXMAIHEUT?format=jpg&name=small'],https://twitter.com/dianathompson81/status/1355913082162319362
Diana Thompson,@dianathompson81,2021-02-28T01:44:22.000Z,"Today I raked leaves and turned compost in the back yard.  60 degrees and sunny here in Kirkwood, Missouri.",,,,,,[],https://twitter.com/dianathompson81/status/1365840233787498497
Motor Range,@motorrange,2021-02-10T13:54:55.000Z," COMPETITION TIME 

This #ValentinesDay, we're giving you and your Valentine the chance to #WIN a luxury hamper!

To enter, just follow our page and comment below who you'd share the hamper with! 

T&Cs here: https://bit.ly/3jC55wL",,🎊 🎊 👇,1.5K,1K,1.2K,['https://pbs.twimg.com/media/Et3rCwXXIAAeOKH?format=jpg&name=small'],https://twitter.com/motorrange/status/1359501099175206913
"Enviro-Log, Inc.",@EnviroLogFire,2021-02-26T13:13:58.000Z,"Happy Friday!  Its time to enter our weekly #giveaway for 2 Enviro-Log Firelogs and a box of 8 Firestarters!  We are also giving away a 
@KFC
 11 Herbs & Spices Firelog!  Simply like this post and tell us how you would like to try them! We will announce the next winner on Monday!!",,,359,130,376,"['https://pbs.twimg.com/media/EvJ7DquXUAQZwOx?format=jpg&name=small', 'https://pbs.twimg.com/media/EvJ7FeAWgAMy5Pd?format=jpg&name=360x360']",https://twitter.com/EnviroLogFire/status/1365289002157436928
Diana Thompson,@dianathompson81,2021-02-28T01:46:23.000Z,I would try them in my fire pit in the side yard.,,,,,,[],https://twitter.com/dianathompson81/status/1365840740329349122
