UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
DiannePorrello,@dianne_porre,2021-01-03T16:25:40.000Z,Go Browns ,"Cleveland Browns
@Browns
 · Jan 3
 RT for a chance to win this signed @Mr_Ogunjobi football c/o @FifthThird! 

Rules: https://brow.nz/8td",🏈 🚨 🚨,,,,"['https://pbs.twimg.com/profile_images/1370020823063531520/ZjpLR-hJ_mini.jpg', 'https://pbs.twimg.com/media/Eq0f2HAW8AAbCpy?format=jpg&name=small']",https://twitter.com/dianne_porre/status/1345768300626599936
DiannePorrello,@dianne_porre,2021-01-13T17:41:08.000Z,"⁦
@NancySinatra
⁩ 
Your Dad and You  https://facebook.com/117364274961038/posts/3860019037362191/?d=n…",,❤ ❤,,,,[],https://twitter.com/dianne_porre/status/1349411170134814720
DiannePorrello,@dianne_porre,2021-01-05T01:56:50.000Z,"@GregAnthony50
 -
I love love love watching Cole -
Your Mom is smiling down-",,❤ ❤ 🏀 ❤ ❤,,1,,[],https://twitter.com/dianne_porre/status/1346274424853463040
Kenny Smith,@TheJetOnTNT,2021-01-03T21:23:51.000Z,Starting from the Top and we here ! #harvestseason,,,6,8,147,['https://pbs.twimg.com/media/Eq1lYcUUUAAFN4W?format=jpg&name=small'],https://twitter.com/TheJetOnTNT/status/1345843338449215493
DiannePorrello,@dianne_porre,2021-01-03T21:40:01.000Z,Love -,,💕 💕 💕 💕 💕,,,,[],https://twitter.com/dianne_porre/status/1345847406919708672
Chris Fowler,@cbfowler,2021-01-11T04:36:58.000Z,"I’m truly happy for long suffering 
@Browns
 fans! As a Broncos fan for many years, I remember their playoff suffering.  Good for you 
@bakermayfield
 & crew. No practice, no problem. Just rout the Steelers, despite Ben’s 500 yards. Only this season!",,,18,38,958,[],https://twitter.com/cbfowler/status/1348489053075890177
DiannePorrello,@dianne_porre,2021-01-11T05:15:46.000Z,"Thank you 
@cbfowler
 -
As a Browns fan we will never forget-",,🤎 🧡 🤎 🧡 🤎,,,,[],https://twitter.com/dianne_porre/status/1348498815741960194
Cleveland Browns,@Browns,2021-01-11T03:58:30.000Z,"Niiiiiiiiicccckkkk Chhhuuubbbbbb 

: https://brow.nz/7zs",,🚂 📺,88,1.1K,7.7K,['https://pbs.twimg.com/amplify_video_thumb/1348479192531300354/img/iIKp3SaKnvSWYNHu.jpg'],https://twitter.com/Browns/status/1348479371200372736
Kim Collette-Waller,@Bobcatkim21,2021-01-09T20:48:09.000Z,"Ready for OHIO's big games #Buckeyes #Browns Thanks 
@GVartwork",,,1,1,24,['https://pbs.twimg.com/media/ErUWwLRXYAYRuOm?format=jpg&name=medium'],https://twitter.com/Bobcatkim21/status/1348008682282512387
DiannePorrello,@dianne_porre,2021-01-10T17:01:01.000Z,I love love love this shirt -,,🤎 🧡 🤎 🧡 🤎 🏈 🏈 🏈 🏈 🏈 ❤ 🤍 ❤ 🤍 ❤,,,1,[],https://twitter.com/dianne_porre/status/1348313910940553216
DiannePorrello,@dianne_porre,2021-01-12T01:33:05.000Z,"@CBSThisMorning
  @GayleKing
 -
150-200 juveniles -
Whose fault is this ???????","8 News Now
@8NewsNow
 · Jan 12
TWO CITED: Metro police says 2 juveniles were cited in fights that broke out Saturday night at Meadows Mall https://bit.ly/3oD9L7k #8NN",,,,,['https://pbs.twimg.com/profile_images/1419539386836799491/mdWMLFhg_mini.jpg'],https://twitter.com/dianne_porre/status/1348805166582038528
DiannePorrello,@dianne_porre,2021-01-11T17:10:15.000Z,"⁦
@KingJames
⁩","KTNV Channel 13 Action News
FROM THE WEEKEND -- Several fights broke out among teenagers at the Meadows Mall after they were denied access to a business. Police say there were arrests/teens cited: bit.ly/3nBkIFf
m.facebook.com",,,1,,['https://pbs.twimg.com/card_img/1432765178697846787/icJ7QxvC?format=jpg&name=360x360'],https://twitter.com/dianne_porre/status/1348678623088164866
DiannePorrello,@dianne_porre,2021-01-11T17:11:20.000Z,"⁦
@CBSThisMorning
⁩ ⁦
@GayleKing
⁩","KTNV Channel 13 Action News
FROM THE WEEKEND -- Several fights broke out among teenagers at the Meadows Mall after they were denied access to a business. Police say there were arrests/teens cited: bit.ly/3nBkIFf
m.facebook.com",,,1,,['https://pbs.twimg.com/card_img/1432765178697846787/icJ7QxvC?format=jpg&name=360x360'],https://twitter.com/dianne_porre/status/1348678896745549825
DiannePorrello,@dianne_porre,2021-01-07T01:32:02.000Z,@GregAnthony50,"DiannePorrello
@dianne_porre
 · Jan 5
@GregAnthony50 -
I love love love watching Cole -
Your Mom is smiling down-",❤ ❤ 🏀 ❤ ❤,,,1,['https://pbs.twimg.com/profile_images/724553788623724544/28JFKOoe_mini.jpg'],https://twitter.com/dianne_porre/status/1346992959451918338
DiannePorrello,@dianne_porre,2021-01-02T01:12:20.000Z,"Replying to 
@BernieKosarQB","O H 
       IO",,,,,[],https://twitter.com/dianne_porre/status/1345176065107402752
DiannePorrello,@dianne_porre,2021-01-09T20:53:10.000Z,"Replying to 
@KingJames","O H
        I O",,,,,[],https://twitter.com/dianne_porre/status/1348009943706685441
DiannePorrello,@dianne_porre,2021-01-11T15:59:24.000Z,"Replying to 
@Browns",,🤎 🧡 🤎 🧡 🤎,,,,[],https://twitter.com/dianne_porre/status/1348660791868723206
DiannePorrello,@dianne_porre,2021-01-11T05:05:30.000Z,"Replying to 
@Andrew_Gribble
 and 
@Browns",,🤎 🧡 🤎 🧡 🤎,,,,[],https://twitter.com/dianne_porre/status/1348496234248503299
DiannePorrello,@dianne_porre,2021-01-23T21:53:26.000Z,This is the best ,"The Holderness Family - My Favorite (Bernie) Memes - Sound of Music...
Yesterday was amazing, but those Bernie memes ‍
facebook.com",😁 🔥,,,,['https://pbs.twimg.com/card_img/1429796815482748932/461UAoUi?format=jpg&name=240x240'],https://twitter.com/dianne_porre/status/1353098543876063232
Katie Couric,@katiecouric,2021-01-29T00:27:27.000Z,"Such a loss. Rest in Peace, Cicely Tyson.","Cicely Tyson, Pioneering Hollywood Icon, Dies at 96
Emmy- and Tony-winning actress Cicely Tyson has died at 96.
variety.com",💔,36,105,1.1K,['https://pbs.twimg.com/card_img/1430745117502083072/Vlzjcgge?format=jpg&name=small'],https://twitter.com/katiecouric/status/1354949240846430219
DiannePorrello,@dianne_porre,2021-01-29T00:29:58.000Z,"She looked beautiful in an interview with 
@GayleKing
 the other day -
She was suppose to be on 
@LiveKellyRyan
 tomorrow ",,💔,,,,[],https://twitter.com/dianne_porre/status/1354949875683651590
DiannePorrello,@dianne_porre,2021-01-21T03:49:04.000Z,"Replying to 
@GregAnthony50",Awesome  ,,,,,[],https://twitter.com/dianne_porre/status/1352100876836610049
DiannePorrello,@dianne_porre,2021-01-23T15:16:40.000Z,"@BernieKosarQB
 -I’m sure you saw this -
Bernie Sanders vs Bernie Kosar ","DiannePorrello
@dianne_porre
 · Jan 23
⁦@BernieKosarQB⁩  https://facebook.com/photo.php?fbid=10215262153141589&set=gm.3763176700410766&type=3…",😁 😁 🏈 😁 😁,,,,['https://pbs.twimg.com/profile_images/724553788623724544/28JFKOoe_mini.jpg'],https://twitter.com/dianne_porre/status/1352998692282720256
DiannePorrello,@dianne_porre,2021-01-21T03:48:41.000Z,"@GregAnthony50
 -
Awesome buzzer beater ",,,,,,[],https://twitter.com/dianne_porre/status/1352100779679600640
DiannePorrello,@dianne_porre,2021-01-23T21:33:52.000Z,"@TraceeEllisRoss
 
I love love love High Note ",,,,,,[],https://twitter.com/dianne_porre/status/1353093618693677056
DiannePorrello,@dianne_porre,2021-01-29T00:21:14.000Z,"@GayleKing
 - saw your interview-
So sorry ","David Charns
@davidcharns
 · Jan 29
#BREAKING: Manager: Cicely Tyson, award-winning actor noted for 'Sounder,' 'Autobiography of Miss Jane Pittman,' dies - @AP #8NN",💔,,,,['https://pbs.twimg.com/profile_images/1422567197155553289/lXK0xaRs_mini.jpg'],https://twitter.com/dianne_porre/status/1354947677587312649
DiannePorrello,@dianne_porre,2021-01-23T02:00:44.000Z,"Replying to 
@alexisohanian","Where’s Bernie ?????
Would be adorable ",😊,,,,[],https://twitter.com/dianne_porre/status/1352798390757679104
Richard Eng,@RichEng4ProPick,2021-01-18T16:47:12.000Z,My Dad passed away in his sleep this morning. He was 96. Love you Pop. Say hi to Mom for us in heaven.,,,145,17,733,['https://pbs.twimg.com/media/EsB127WWMAc6Nff?format=jpg&name=small'],https://twitter.com/RichEng4ProPick/status/1351209537462820864
DiannePorrello,@dianne_porre,2021-01-18T17:26:15.000Z,"Awwww 
So sorry  
I loved that piece you recently put up about him - 
Love and prayers ",,😞 ❤ ❤,1,,,[],https://twitter.com/dianne_porre/status/1351219363630747652
DiannePorrello,@dianne_porre,2021-01-23T15:11:02.000Z,"⁦
@BernieKosarQB
⁩  https://facebook.com/photo.php?fbid=10215262153141589&set=gm.3763176700410766&type=3…",,,,1,,[],https://twitter.com/dianne_porre/status/1352997275723653121
DiannePorrello,@dianne_porre,2021-02-05T22:47:40.000Z,"⁦
@santaanitapark
⁩ -
My Mom with Julio Canani 
Rip Mr. Julio Canani ",,❤ 💔,,,1,['https://pbs.twimg.com/media/Etf1B39VIAAJMpP?format=jpg&name=small'],https://twitter.com/dianne_porre/status/1357823232871596033
DiannePorrello,@dianne_porre,2021-02-07T23:03:32.000Z,"@LasVegasLocally
 - only difference from 2020 - Masks ","8 News Now
@8NewsNow
 · Feb 7
LONG LINE: Dozens and dozens of people are trying to get in their last-minute bets ahead of Super Bowl LV. The line for the sportsbook at @redrockcasino stretches out onto the casino floor #8NN #SuperBowl",😷,,,1,"['https://pbs.twimg.com/profile_images/1419539386836799491/mdWMLFhg_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1358548670342303747/pu/img/ylKjAApFgE9J-eN-.jpg']",https://twitter.com/dianne_porre/status/1358552003069153282
