UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
NŒMÍ,@dimenoee,2021-01-28T12:23:29.000Z,good morning,,🦋,,,,[],https://twitter.com/dimenoee/status/1354767050770673665
NŒMÍ,@dimenoee,2021-01-29T21:00:25.000Z,"Replying to 
@g_bultron",i love uuuu daddy ,🦋 💀 ❤,1,1,1,[],https://twitter.com/dimenoee/status/1355259527554338816
NŒMÍ,@dimenoee,2021-01-24T14:48:48.000Z,"Replying to 
@g_bultron",ya hice 4 misiones! Me voy a cocinar ,🦋 😎,1,,,[],https://twitter.com/dimenoee/status/1353354068622794753
NŒMÍ,@dimenoee,2021-01-25T21:37:57.000Z,esta cb de verdad ,,🦋 😤,,1,,[],https://twitter.com/dimenoee/status/1353819423501656064
NŒMÍ,@dimenoee,2021-01-23T23:46:53.000Z,"hoy estás arriba, mañana quien sabe",,🦋,,5,,[],https://twitter.com/dimenoee/status/1353127093937328131
NŒMÍ,@dimenoee,2021-01-25T04:59:45.000Z,"no tengo amigos, tengo hermanos",,🦋,,2,1,[],https://twitter.com/dimenoee/status/1353568217659285504
NŒMÍ,@dimenoee,2021-01-25T11:19:27.000Z,ahora solo quiero comer y comer,,🦋,,2,,[],https://twitter.com/dimenoee/status/1353663768853671939
NŒMÍ,@dimenoee,2021-01-27T03:29:11.000Z,activa,,🦋 😝,,,,[],https://twitter.com/dimenoee/status/1354270199244054530
NŒMÍ,@dimenoee,2021-01-25T03:44:51.000Z,los munchies están activos ,,🦋 😝 😝 🤣,,1,,[],https://twitter.com/dimenoee/status/1353549366989119488
NŒMÍ,@dimenoee,2021-01-28T16:42:56.000Z,cocinando,,🦋 😎,,,,[],https://twitter.com/dimenoee/status/1354832343358439430
NŒMÍ,@dimenoee,2021-01-24T22:04:21.000Z,me quisiera ir de pr hoy mismo,,🦋,,1,,[],https://twitter.com/dimenoee/status/1353463676632756224
NŒMÍ,@dimenoee,2021-01-25T11:18:49.000Z,que hambreeee,,🦋,,,,[],https://twitter.com/dimenoee/status/1353663611319758848
NŒMÍ,@dimenoee,2021-01-29T23:34:03.000Z,que jalteraaaa,,🦋,,,,[],https://twitter.com/dimenoee/status/1355298192351485959
NŒMÍ,@dimenoee,2021-01-27T02:34:50.000Z,se prendió esto,,🦋 🔥 🔥 🔥 🔥,,,,[],https://twitter.com/dimenoee/status/1354256522486886401
NŒMÍ,@dimenoee,2021-01-30T15:19:01.000Z,necesito un café,,🦋,,,1,[],https://twitter.com/dimenoee/status/1355535998722191361
NŒMÍ,@dimenoee,2021-01-30T15:16:50.000Z,,"I :*:*
@Ilelopez_
 · Jan 29
Mi mamá es mi soporte.",🦋 ❤ ❤ ❤ ❤,,,,['https://pbs.twimg.com/profile_images/1424393080527011843/YRSa3lJ5_mini.jpg'],https://twitter.com/dimenoee/status/1355535447661965313
NŒMÍ,@dimenoee,2021-01-30T02:53:52.000Z,,"LaFlame
@Joelito0824
 · Jan 29
Grandes cosas vendrán",🦋 🔥,,,1,['https://pbs.twimg.com/profile_images/1417217841712050178/_-phbshO_mini.jpg'],https://twitter.com/dimenoee/status/1355348477610516482
NŒMÍ,@dimenoee,2021-01-28T17:56:35.000Z,estoy bien sentimental ,,🦋 😭,,,,[],https://twitter.com/dimenoee/status/1354850876947623937
