UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Expedia,@Expedia,2021-07-28T18:08:01.000Z,"Q2: Have you ever booked a trip solely for your love of food? Was it for a must-visit restaurant, or your love of a region’s famous fare? Dish it! #ExpediaChat",,,84,11,25,['https://pbs.twimg.com/media/E7ZwEdlXMAEjTYm?format=jpg&name=small'],https://twitter.com/Expedia/status/1420445958530293760
diy mom,@diymom6,2021-07-28T18:29:22.000Z,I totally visit Sudney just for the food! #ExpediaChat #Sweepstakes,,,1,,1,[],https://twitter.com/diymom6/status/1420451329093296128
Expedia,@Expedia,2021-07-28T18:40:01.000Z,Q6: What tops your will-travel-for-food list? Guacamole on la playa in Mexico? Fika in Sweden? Chocolate in Switzerland? Name your top three. #ExpediaChat,,,72,10,30,['https://pbs.twimg.com/media/E7Z3ZLAXMAMD5AV?format=jpg&name=small'],https://twitter.com/Expedia/status/1420454010721652742
diy mom,@diymom6,2021-07-28T18:44:27.000Z,Currently it’s gazpacho wherever they make it! #ExpediaChat #Sweepstakes,,,,,,[],https://twitter.com/diymom6/status/1420455127065010176
Expedia,@Expedia,2021-07-28T18:30:01.000Z,"Q5: When you travel, do you research every bite and sip, or do you “wing it” Anthony Bourdain-style and discover local eateries and watering holes as you explore? #ExpediaChat",,,81,8,31,['https://pbs.twimg.com/media/E7Z1GrCXsAItKiO?format=jpg&name=small'],https://twitter.com/Expedia/status/1420451493078093826
diy mom,@diymom6,2021-07-28T18:45:29.000Z,I like to explore and stumble upon something amazing #ExpediaChat #Sweepstakes,,,,,1,[],https://twitter.com/diymom6/status/1420455386419798021
Expedia,@Expedia,2021-07-28T18:22:02.000Z,Q4: Breakfast: The Most Important Meal of the Day! What are some incredible plates you’ve had from around the world? Are any on your regular morning food rotation? #ExpediaChat,,,75,9,23,['https://pbs.twimg.com/media/E7ZzRmTXIAIqObm?format=jpg&name=small'],https://twitter.com/Expedia/status/1420449483104587780
diy mom,@diymom6,2021-07-28T18:27:31.000Z,French toast is amazing anywhere! #ExpediaChat #Sweepstakes,,,,,,[],https://twitter.com/diymom6/status/1420450866184790016
OREO Cookie,@Oreo,2021-07-15T13:30:55.000Z,"We’re escalating these OREO THINS thefts to  Level 1 Emergency  For the next 24h, we are exclusively a #THINSProtectionProgram account.",,🚨 🚨,47,18,243,[],https://twitter.com/Oreo/status/1415665182509051904
diy mom,@diymom6,2021-07-19T13:43:41.000Z,In a bag marked Frozen Chicken #THINSProtectionProgram #sweepstakes,,,,,,[],https://twitter.com/diymom6/status/1417117945717837828
diy mom,@diymom6,2021-07-29T23:32:15.000Z,"Replying to 
@stickermule",The best deal on stickers right here!,👀 😉,,,,[],https://twitter.com/diymom6/status/1420889941324750850
Sticker Mule,@stickermule,2021-07-19T21:49:40.000Z,"$500 to 1 person who says something similarly kind and true about whoever runs the 
@stickermule
 social media account.","Decka
@SirDecka
 · Jul 19
Whoever runs the @stickermule  social media account smells very nice and has great posture.",👑,793,475,733,['https://pbs.twimg.com/profile_images/1431512391003553793/lpfpMRqW_mini.jpg'],https://twitter.com/stickermule/status/1417240246308282369
diy mom,@diymom6,2021-07-20T05:22:54.000Z,"Whoever runs 
@stickermule
 is hot",,,,,,[],https://twitter.com/diymom6/status/1417354307221999633
diy mom,@diymom6,2021-07-28T18:30:52.000Z,"Replying to 
@diymom6
 and 
@Expedia",I totally meant Disney here,🙄,,,,[],https://twitter.com/diymom6/status/1420451706593157126
diy mom,@diymom6,2021-07-28T14:34:41.000Z,"Replying to 
@ILovePralines","#winpralineswednesday Hawaii 
@Jane95592135",,,,,[],https://twitter.com/diymom6/status/1420392271804092416
Sticker Mule,@stickermule,2021-07-25T23:04:49.000Z,$500 to 1 person who tells someone to follow Sticker Mule because we are the Internet's most kick ass brand.,,,1.6K,1.4K,1.8K,[],https://twitter.com/stickermule/status/1419433486822346756
diy mom,@diymom6,2021-07-26T17:20:26.000Z,"@Jane95592135
 follow them!",,,,,,[],https://twitter.com/diymom6/status/1419709207012593665
MrBeast,@MrBeast,2021-07-19T00:22:51.000Z,"Replying to 
@iamlarenzo",What do you think?,,201,54,18.3K,[],https://twitter.com/MrBeast/status/1416916409062412297
diy mom,@diymom6,2021-07-19T13:44:13.000Z,My son loves your channel,,,,,,[],https://twitter.com/diymom6/status/1417118079713169408
Sticker Mule,@stickermule,2021-07-22T23:52:37.000Z,$500 to 1 person who asks a verified if they like shrimp!,,,2.9K,1.2K,2K,[],https://twitter.com/stickermule/status/1418358353575743489
diy mom,@diymom6,2021-07-23T04:36:10.000Z,"@Oreo
 shrimp dipped in milk too or nah?",,,,,,[],https://twitter.com/diymom6/status/1418429707192868868
diy mom,@diymom6,2021-07-29T23:32:26.000Z,"Replying to 
@stickermule","@Jane95592135
 check it out",,,,,[],https://twitter.com/diymom6/status/1420889987302760450
diy mom,@diymom6,2021-07-28T18:30:31.000Z,"Replying to 
@Expedia",Spanakopita in Greece!! #ExpediaChat #Sweepstakes,👌,,,1,[],https://twitter.com/diymom6/status/1420451621495005189
diy mom,@diymom6,2021-07-21T18:00:30.000Z,"Replying to 
@ILovePralines",#winpralineswednesday,,,,,[],https://twitter.com/diymom6/status/1417907352733421572
diy mom,@diymom6,2021-07-22T04:01:50.000Z,"Replying to 
@stickermule",@diymom6,,,,,[],https://twitter.com/diymom6/status/1418058681099464718
