UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
ꦝꦂꦩ ꦱꦼꦠꦶꦲꦮꦤ꧀,@djembadje,2021-05-30T03:20:34.000Z,Happy birthday caps!,,,,,,['https://pbs.twimg.com/media/E2mvHLgUYAMuQDf?format=jpg&name=small'],https://twitter.com/djembadje/status/1398841740912566275
ꦝꦂꦩ ꦱꦼꦠꦶꦲꦮꦤ꧀,@djembadje,2021-05-23T00:45:50.000Z,Happy Sunday,,,,,,[],https://twitter.com/djembadje/status/1396266084722888705
ꦝꦂꦩ ꦱꦼꦠꦶꦲꦮꦤ꧀,@djembadje,2021-05-23T00:42:58.000Z,"Replying to 
@nalana___",Amin,,,,,[],https://twitter.com/djembadje/status/1396265361419341829
ꦝꦂꦩ ꦱꦼꦠꦶꦲꦮꦤ꧀,@djembadje,2021-05-22T13:48:13.000Z,"Replying to 
@akhobibegadang",Wis you were here - pink floyd,,,,1,[],https://twitter.com/djembadje/status/1396100590875267079
ꦝꦂꦩ ꦱꦼꦠꦶꦲꦮꦤ꧀,@djembadje,2021-05-19T16:41:57.000Z,"Replying to 
@Bekahapsara
 and 
@KatolikG","Gimana menurut oom any comments? 
@midiahn",,1,,,[],https://twitter.com/djembadje/status/1395057146396434432
Mashable,@mashable,2021-05-22T06:30:04.000Z,"Very powerful, but also very expensive.","Xiaomi Mi 11 Ultra: A smartphone attached to a camera
Xiaomi's Mi 11 Ultra is the most powerful phone Xiaomi's ever made, but it's overpriced for what it offers.
mashable.com",,2,9,28,['https://pbs.twimg.com/card_img/1431818772441190400/Cb3fLphN?format=jpg&name=small'],https://twitter.com/mashable/status/1395990327224414209
ꦝꦂꦩ ꦱꦼꦠꦶꦲꦮꦤ꧀,@djembadje,2021-05-22T06:55:08.000Z,"Next 
@DGadgetIn",,,,,,[],https://twitter.com/djembadje/status/1395996632882110464
ꦝꦂꦩ ꦱꦼꦠꦶꦲꦮꦤ꧀,@djembadje,2021-05-22T05:38:52.000Z,,"Pernikahan Orang Jawa Kuno
Bagaimana orang zaman dulu menikah? Kitab-kitab susastra menceritakannya.
historia.id",,1,,,['https://pbs.twimg.com/card_img/1433916496195973124/O28Ulknx?format=jpg&name=small'],https://twitter.com/djembadje/status/1395977440925609988
ꦝꦂꦩ ꦱꦼꦠꦶꦲꦮꦤ꧀,@djembadje,2021-05-28T01:23:53.000Z,"Replying to 
@PEMKOT_SOLO","Cuma tau pecel menangan sama shi jack, soto sama wedang rempah nya gatau d mana itu min ",😅,,,,[],https://twitter.com/djembadje/status/1398087599173115907
ꦝꦂꦩ ꦱꦼꦠꦶꦲꦮꦤ꧀,@djembadje,2021-05-19T16:38:09.000Z,"Replying to 
@candralupitas",Hahah tinggal balik nanya kalo pas tidur sama bangun nya orang nya jumlahnya sama ngga?? ,🤣,,,,[],https://twitter.com/djembadje/status/1395056190275551233
ꦝꦂꦩ ꦱꦼꦠꦶꦲꦮꦤ꧀,@djembadje,2021-05-21T10:26:53.000Z,"Replying to 
@Gerrard8FanPage",Nistelrooy??,,,,,[],https://twitter.com/djembadje/status/1395687534714253313
Lita,@petitegeeky,2021-05-28T05:50:50.000Z,Iya iya ya Tuhan,,,2,,,['https://pbs.twimg.com/ext_tw_video_thumb/1398154609806385157/pu/img/j9irlbvrtb4fowOM.jpg'],https://twitter.com/petitegeeky/status/1398154777737850888
ꦝꦂꦩ ꦱꦼꦠꦶꦲꦮꦤ꧀,@djembadje,2021-05-28T07:25:36.000Z,Muwampus ,,🤣,,,,[],https://twitter.com/djembadje/status/1398178627552952321
ꦝꦂꦩ ꦱꦼꦠꦶꦲꦮꦤ꧀,@djembadje,2021-05-27T08:50:44.000Z,"Replying to 
@midiahn",Mauuuu,,,,,[],https://twitter.com/djembadje/status/1397837665551093762
VICE Indonesia,@VICE_ID,2021-05-21T23:00:00.000Z,Fantasi apa yang hingga sekarang kamu masih pikirkan?,,,401,222,205,[],https://twitter.com/VICE_ID/status/1395877061395312643
ꦝꦂꦩ ꦱꦼꦠꦶꦲꦮꦤ꧀,@djembadje,2021-05-22T00:29:57.000Z,Punya kreta sendiri di garasi,,,,,,[],https://twitter.com/djembadje/status/1395899697219342336
ꦝꦂꦩ ꦱꦼꦠꦶꦲꦮꦤ꧀,@djembadje,2021-05-18T14:45:33.000Z,"Replying to 
@midiahn",Download subtitles d mana sih?,,,,,[],https://twitter.com/djembadje/status/1394665468271550465
om,@akhobibegadang,2021-05-22T16:17:32.000Z,knp ya ak ngerasa kalo bities sama blegping udah gada feel kipop nya???? kek ciri khas musik kipop dah gada di musik mereka... terlalu nurutin pasar internasional kali ya..?,,💔,1,,,[],https://twitter.com/akhobibegadang/status/1396138167569244161
ꦝꦂꦩ ꦱꦼꦠꦶꦲꦮꦤ꧀,@djembadje,2021-05-22T16:41:52.000Z,Jawaban dari pertanyaan nya sudah tersaji lengkap di atas,,,1,,,[],https://twitter.com/djembadje/status/1396144290607235072
TOYOTA,@midiahn,2021-05-26T10:56:19.000Z,lagu baru,"The following media includes potentially sensitive content. Change settings
View",,27,32,101,[],https://twitter.com/midiahn/status/1397506879249522690
ꦝꦂꦩ ꦱꦼꦠꦶꦲꦮꦤ꧀,@djembadje,2021-05-26T13:45:43.000Z,"Enak tenan tempo nya, sudah afa judulnya oom??",,,,,,[],https://twitter.com/djembadje/status/1397549509941501958
VICE Indonesia,@VICE_ID,2021-05-22T16:00:00.000Z,Masyarakat Indonesia kurang mengerti tentang....,,,471,274,245,[],https://twitter.com/VICE_ID/status/1396133754851119109
ꦝꦂꦩ ꦱꦼꦠꦶꦲꦮꦤ꧀,@djembadje,2021-05-22T16:18:38.000Z,Pertanyaan yang membawa perselisihan ,,😒,,,,[],https://twitter.com/djembadje/status/1396138443885867010
VICE Indonesia,@VICE_ID,2021-05-22T23:00:00.000Z,Apa cara terbaik untuk mengetahui kepribadian seseorang?,,,377,331,377,[],https://twitter.com/VICE_ID/status/1396239450410078209
