UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
juicyjuiceusa,@JuicyJuiceUSA,2021-05-27T18:00:29.000Z,"We  summer and can’t wait for tons of family fun! What’s your family’s favorite summer activity? Comment below along with #JJSummerFun for a chance to win a Juicy Juice prize. 
No pur. nec. 18+ Ends 6/1/21 RULES: https://bit.ly/3fNN651",,❤,215,61,163,['https://pbs.twimg.com/media/E2abxaDXMAQ7dGi?format=jpg&name=small'],https://twitter.com/JuicyJuiceUSA/status/1397976014018465796
Michelle St.Pierre (Banks),@drafthorsemama,2021-05-28T06:01:04.000Z,#JJSUMMERFUN Working With Our Horses With My Daughter Fills Our Summers. My Daughter Always Brings Along #JuicyJuice  ,,🍏,,,,[],https://twitter.com/drafthorsemama/status/1398157354370281474
Michelle St.Pierre (Banks),@drafthorsemama,2021-05-28T19:49:00.000Z,Mustad is giving away a trip with Addicted Fishing! ,"The following media includes potentially sensitive content. Change settings
View",🤯,,,,[],https://twitter.com/drafthorsemama/status/1398365710389334016
Michelle St.Pierre (Banks),@drafthorsemama,2021-05-28T19:47:36.000Z,"Help me win this awesome giveaway from 
@SANSI","The following media includes potentially sensitive content. Change settings
View",,,,,[],https://twitter.com/drafthorsemama/status/1398365358847823874
Michelle St.Pierre (Banks),@drafthorsemama,2021-05-27T04:34:50.000Z,"Would love to put Cold Crush from 
@Genexa
 to the test! Claim your FREE sample through 
@socialnature","The following media includes potentially sensitive content. Change settings
View",,,,,[],https://twitter.com/drafthorsemama/status/1397773263560921090
Michelle St.Pierre (Banks),@drafthorsemama,2021-05-28T19:46:51.000Z,,"The following media includes potentially sensitive content. Change settings
View",,,,,[],https://twitter.com/drafthorsemama/status/1398365171542790146
Michelle St.Pierre (Banks),@drafthorsemama,2021-06-02T08:08:29.000Z,I just entered to win!! #fingerscrossed https://is.gd/7zuCyw,,,,,,[],https://twitter.com/drafthorsemama/status/1400001360221851649
Hertz,@Hertz,2021-06-01T13:10:35.000Z,"Who are you, really? 

Have some fun with us and reveal your car class persona. The results may surprise you. We can't wait for you to find out! 

Start the quiz today: https://pub.emails.hertz.com/car_class_persona_quiz?utm_source=twitter&utm_medium=social&utm_campaign=car_class_persona…",,,32,5,17,[],https://twitter.com/Hertz/status/1399714996586749952
Michelle St.Pierre (Banks),@drafthorsemama,2021-06-02T02:13:47.000Z,I got Bells & Whistle Traveler #HertzCarPersona,,,,,,[],https://twitter.com/drafthorsemama/status/1399912096171708421
Michelle St.Pierre (Banks),@drafthorsemama,2021-06-01T15:12:23.000Z,Check out this awesome product from Social Nature!,"The following media includes potentially sensitive content. Change settings
View",,,,,[],https://twitter.com/drafthorsemama/status/1399745651374764037
