UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
elise smith,@elisesmith1119,2021-05-30T01:20:50.000Z,"""Blame it on my cold heart.”",,,,,5,['https://pbs.twimg.com/media/E2mTvYdWUAAVR9K?format=jpg&name=900x900'],https://twitter.com/elisesmith1119/status/1398811606000324609
elise smith,@elisesmith1119,2021-06-08T23:53:15.000Z,“Decluttering my life like Marie Kondo.”#Gorgeous #beauty #skinca,,,1,,4,['https://pbs.twimg.com/media/E3Zfl-2X0AA6Bfp?format=jpg&name=900x900'],https://twitter.com/elisesmith1119/status/1402413443857190915
elise smith,@elisesmith1119,2021-06-25T13:24:23.000Z,"I don’t always take a selfie, but when I do… #selfie #Instagram #Repost #follow #beauty #Twitter #Gorgeous #hair #Brands #makeup #Repost",,,1,,5,['https://pbs.twimg.com/media/E4uyr4YWQAUZssW?format=jpg&name=900x900'],https://twitter.com/elisesmith1119/status/1408415780098740233
elise smith,@elisesmith1119,2021-06-28T01:22:37.000Z,“Stress less and enjoy the best.” #hope #beauty #Brands #follow #sugardaddyneededasap #sugardaddyswanted #sugarbabylegit #sugarbabyneededtobespoilt,,,47,,27,['https://pbs.twimg.com/media/E47qQTJXwAUzdU-?format=jpg&name=900x900'],https://twitter.com/elisesmith1119/status/1409321303476166656
elise smith,@elisesmith1119,2021-06-22T01:47:16.000Z,"I’m not gonna sugar coat the truth, I’m not Willy Wonka #sugardaddyneededasap #SugarDaddys #sugardaddylegit #SugarBabies #SugarBabyTwitter",,,27,,17,['https://pbs.twimg.com/media/E4c2Wz5WYAkl7hP?format=jpg&name=900x900'],https://twitter.com/elisesmith1119/status/1407153181768007683
elise smith,@elisesmith1119,2021-06-08T00:02:21.000Z,"I am who I am, I am what I am, I do what I do and I ain’t never gonna do it any different.",,,,,2,['https://pbs.twimg.com/media/E3UYFpUWYAAXsGM?format=jpg&name=900x900'],https://twitter.com/elisesmith1119/status/1402053347990028291
elise smith,@elisesmith1119,2021-06-02T00:45:10.000Z,"“Having the dream is easy, making it come true is hard” – Serena Williams",,,,,7,['https://pbs.twimg.com/media/E21oWR8XoAADoBl?format=jpg&name=900x900'],https://twitter.com/elisesmith1119/status/1399889794843430915
elise smith,@elisesmith1119,2021-06-11T03:21:41.000Z,"I'm stronger because i had to be,I'm smarter because of my mistakes,happier because of the sadness I've known, and now wiser because i learned. #growthmindset #strongwomen  #betterliving",,,1,1,1,[],https://twitter.com/elisesmith1119/status/1403190674120482822
elise smith,@elisesmith1119,2021-06-06T07:03:28.000Z,"What are some verified hair care, skincare, and makeup accounts? Please share with me!! I want to support smaller brands! #makeup #beauty #skincare #hair #Brands #Gorgeous #Gorgeous #SO PRETTY",,,,,,[],https://twitter.com/elisesmith1119/status/1401434547179462656
elise smith,@elisesmith1119,2021-06-08T02:56:16.000Z,Ok everyone a girl need your help!!! I’m wanting to try a new tanner(no spray) but idk what brand to try or anything. What would you recommend? #tan #summer #sunkissed,,,,,,[],https://twitter.com/elisesmith1119/status/1402097114201665538
elise smith,@elisesmith1119,2021-07-14T13:49:25.000Z,Everyone has a chapter they don’t read out loud #writing #AcademicTwitter #WritingCommunity #Orwell #BaddieQueen #follobackforfolloback #wednesdaythought #,,,3,1,4,['https://pbs.twimg.com/media/E6QunkDWYAMHX11?format=jpg&name=900x900'],https://twitter.com/elisesmith1119/status/1415307449112961024
elise smith,@elisesmith1119,2021-07-13T03:05:41.000Z,"""Want 100% of your attention"" (""Focus"" by Charli XCX)#EssenceHot100 #BardivsCardi #BaddieQueen #beauty #body #CashAppForHotties #follow",,,1,,2,['https://pbs.twimg.com/media/E6JRsXPWUAYzxop?format=jpg&name=900x900'],https://twitter.com/elisesmith1119/status/1414783060126674944
elise smith,@elisesmith1119,2021-07-05T16:44:28.000Z,"""Jealousy is a terrible disease. Get well soon!""#BaddieQueen #beauty #Brands #follow #Gorgeous #CashAppForHotties #Cashappblessing",,,2,,4,['https://pbs.twimg.com/media/E5jAYPCWYAEyUFk?format=jpg&name=900x900'],https://twitter.com/elisesmith1119/status/1412090009855959042
elise smith,@elisesmith1119,2021-07-07T02:17:30.000Z,"6. “You smile, but you wanna cry. You talk, but you wanna be quiet. You pretend like you’re happy, but you aren’t.”#depression #follobackforfolloback",,,,1,5,['https://pbs.twimg.com/media/E5qNH6HWEAQw9HF?format=jpg&name=900x900'],https://twitter.com/elisesmith1119/status/1412596604952064003
elise smith,@elisesmith1119,2021-07-03T12:16:45.000Z,"""Don't mind me, I'm just over here making hot sauce jealous.""#bcheatwave #beauty #brand #BaddieQueen #askmantıkintikam #follow #Gorgeous #hair #selfie #Repost",,,2,,6,['https://pbs.twimg.com/media/E5Xv7GWWEAMNaPU?format=jpg&name=900x900'],https://twitter.com/elisesmith1119/status/1411297861048864768
elise smith,@elisesmith1119,2021-07-02T04:43:51.000Z,"I live my life in fast forward, but they haters wanna rewind me.""#LIVE #motivation #lifestyle #life #SuicidePrevention #makeup #Brands #beauty",,,1,,1,['https://pbs.twimg.com/media/E5Q-rC1WUAI0MSv?format=jpg&name=900x900'],https://twitter.com/elisesmith1119/status/1410821496587657216
elise smith,@elisesmith1119,2021-07-04T18:38:22.000Z,"Replying to 
@NatashaFloren14",My Snapchat is esmith1199,,,,,[],https://twitter.com/elisesmith1119/status/1411756286627155974
elise smith,@elisesmith1119,2021-07-03T12:19:54.000Z,"Replying to 
@NatashaFloren14",It will not let me message you,,1,,,[],https://twitter.com/elisesmith1119/status/1411298652216344582
elise smith,@elisesmith1119,2021-07-03T12:59:28.000Z,"Replying to 
@NatashaFloren14",Louisiana and I have a 1 year old daughter who I am the sole caretaker of while trying to finish Beauty school,,2,,,[],https://twitter.com/elisesmith1119/status/1411308613516288002
