UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
armeltrion26z,@fiaeroYaktoooo8,2021-07-09T10:30:46.000Z,Kat skratch feverrr,"Skratch
@Skratch
 · Jun 6
Real golf fans right here.
0:21
9.6K views",,,,2,['https://pbs.twimg.com/profile_images/1410617707234398219/nnDFwxu__mini.jpg'],https://twitter.com/fiaeroYaktoooo8/status/1413445517690826758
armeltrion26z,@fiaeroYaktoooo8,2021-07-02T03:11:34.000Z,I wish you would already,"Manifesting Vanessa
@ManifestingNess
 · Jul 2
I wish I had the guts to walk away and forget about what we had.",,,,1,['https://pbs.twimg.com/profile_images/1433702845145042946/Uj3MdxmP_mini.jpg'],https://twitter.com/fiaeroYaktoooo8/status/1410798272923504643
armeltrion26z,@fiaeroYaktoooo8,2021-07-29T02:00:12.000Z,rite nex to miaim meem teet da skushats,"Mr. Bigglesworth
@NMohammadpour
 · Jul 26
@DwyaneWade Blvd..You love to see it",,,,,"['https://pbs.twimg.com/profile_images/1432346459857379328/MpgDS3Sn_mini.jpg', 'https://pbs.twimg.com/media/E7PzXrmWEAA1hm7?format=jpg&name=900x900']",https://twitter.com/fiaeroYaktoooo8/status/1420564785347891210
armeltrion26z,@fiaeroYaktoooo8,2021-07-29T02:10:48.000Z,goes to mean jean oakland lodgeko go Ha-bebe,"FSU Football
@FSUFootball
 · Jul 26
Congrats to Butkus Award Watch List member @amarigainer

#NoleFamily | #KeepCLIMBing",,,,1,['https://pbs.twimg.com/profile_images/1366416387124719621/szdcVd5e_mini.jpg'],https://twitter.com/fiaeroYaktoooo8/status/1420567452522586114
armeltrion26z,@fiaeroYaktoooo8,2021-07-29T02:09:02.000Z,lol this one is too easy. ya bunch of wanna beez moronz,"Ryan Brooks
@ryanbro31652480
 · Sep 24, 2020
Riding with the home team! Watch #MIAvsJAX TONIGHT at 8PM ET on NFL Network. #TNF",,,,,['https://pbs.twimg.com/profile_images/1408836502151434248/O3hag8G5_mini.jpg'],https://twitter.com/fiaeroYaktoooo8/status/1420567009612517381
Alex Platinum Dating,@AlexPlatinum1,2021-07-06T03:10:43.000Z,"Stack small wins. If you build trust with yourself then you will always accomplish the things you say you’re going to accomplish.
#motivation #success",,,1,,,[],https://twitter.com/AlexPlatinum1/status/1412247610958745607
armeltrion26z,@fiaeroYaktoooo8,2021-07-09T10:33:05.000Z,Keep leeches far away,,,,,,[],https://twitter.com/fiaeroYaktoooo8/status/1413446099453366273
armeltrion26z,@fiaeroYaktoooo8,2021-07-27T18:33:47.000Z,Check out Makenzie! #TikTok https://vm.tiktok.com/ZMd7QYSP6/ so fetch samtasteek aye #_ang_b,"Makenzie on TikTok
@mlebarron5 167 Followers, 257 Following, 455 Likes - Watch awesome short videos created by Makenzie
tiktok.com",,,,,['https://pbs.twimg.com/card_img/1433404112427618314/ZbPRTlJI?format=jpg&name=240x240'],https://twitter.com/fiaeroYaktoooo8/status/1420090054639329282
armeltrion26z,@fiaeroYaktoooo8,2021-07-05T22:43:03.000Z,was that real or fake? i hate that i even have to ask. please im me if that individual has any sort of fund me or charity assisting him or is everything available at Bullyproof at Gracie U?,"The following media includes potentially sensitive content. Change settings
View",,,,3,[],https://twitter.com/fiaeroYaktoooo8/status/1412180250243571714
armeltrion26z,@fiaeroYaktoooo8,2021-07-29T02:07:00.000Z,"and where did Saybin get his shot prior to abandoning his team? Michigan State Spartans. 1999 Citrus Bowl. Ran like a coward. just like the NFL. He’s no better than a parent or spouse who abandons, lies, cheats, and steals.","mccabe daniel
@realmccabe_d
 · Feb 6
It’s possible for Mike Norvell to win more national titles at FSU than Saban has at Bama. Saban won his first at 52 years old. Coach Mike gonna have one by time he is 42 years old! Go Noles!! #Elitelies #NoleNation",,,,,['https://pbs.twimg.com/profile_images/1204199124821794817/T91d7jNu_mini.jpg'],https://twitter.com/fiaeroYaktoooo8/status/1420566497378947072
The Iron Sheik,@the_ironsheik,2021-07-12T17:40:15.000Z,PAUL ORNDORFF. MY BROTHER. YOU WERE THE TOUGHEST. WE TRAIN TOGETHER. WE RIDE TOGETHER. YOU WERE EXCELLENT BUBBA. I AM SO SAD I LOVE YOU FOREVER REST IN PEACE,,,174,1.8K,14.4K,['https://pbs.twimg.com/media/E6HQRsUXMA8ZI4y?format=jpg&name=small'],https://twitter.com/the_ironsheik/status/1414640763661598726
armeltrion26z,@fiaeroYaktoooo8,2021-07-14T03:53:07.000Z,met him outside cobo hall in detroit before wwf became huge. so he still had to act heel to a point. but i was a little kid and nobody was around and he was super cool.,,,,1,3,[],https://twitter.com/fiaeroYaktoooo8/status/1415157384251645953
armeltrion26z,@fiaeroYaktoooo8,2021-07-24T20:21:30.000Z,#ILoveKTek,,,,,,[],https://twitter.com/fiaeroYaktoooo8/status/1419029996870451208
