UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
g2r_7,@g2r7_,2021-08-23T10:55:39.000Z,Wtf way discord is not opening,,,1,,1,[],https://twitter.com/g2r7_/status/1429759233374003208
g2r_7,@g2r7_,2021-08-21T14:12:13.000Z,"Replying to 
@L2AbuFal7","Souriano 
Nm7 
Dex",,,,,[],https://twitter.com/g2r7_/status/1429083926891466762
g2r_7,@g2r7_,2021-08-23T11:22:01.000Z,"Replying to 
@iUnitx",yo my unit,,,,,[],https://twitter.com/g2r7_/status/1429765870528745480
dk,@dakotaz,2021-08-22T18:36:02.000Z,"Replying to 
@QnDxx",that snipe was unreal,,20,1,234,[],https://twitter.com/dakotaz/status/1429512705447186435
g2r_7,@g2r7_,2021-08-22T18:38:09.000Z,that was in stream,,,,,1,[],https://twitter.com/g2r7_/status/1429513235393286149
g2r_7,@g2r7_,2021-08-28T21:40:55.000Z,"Replying to 
@iUnitx
 and 
@g1ntl",,😂 😂 😂 😂 😂,,,,[],https://twitter.com/g2r7_/status/1431733557223952384
Falcon Modisk,@xModisk,2021-08-21T17:15:16.000Z,مدري شقول والله,,,125,5,669,[],https://twitter.com/xModisk/status/1429129989904113666
g2r_7,@g2r7_,2021-08-21T17:16:01.000Z,والله حضكم زبالة معوضين خير انشاء الله كلها خيرة,,,,,,[],https://twitter.com/g2r7_/status/1429130178245054478
g2r_7,@g2r7_,2021-08-20T18:50:57.000Z,"Replying to 
@NxZ3YIY5m9qdncU
 @imR1der
 and 
@iirudex","لما تحس ناس يسوون جريف كذا بس عشان الشهرة اقسم بالله كمية قهر تبي لايك اقسم بالله ما بيقصر معك ولا ايش تقول 
@souriano",,,,1,[],https://twitter.com/g2r7_/status/1428791683274219521
Njby,@NjbyBtw,2021-08-21T16:57:27.000Z,مستحيل حظنا كذا والله,,,15,2,270,[],https://twitter.com/NjbyBtw/status/1429125506335756291
g2r_7,@g2r7_,2021-08-21T16:58:55.000Z,اذا حضكم كذتا شوف حظ ابو السو والله حرام,,,1,,1,[],https://twitter.com/g2r7_/status/1429125878001381377
