UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
G. Libby,@glibby261,2021-04-29T19:40:08.000Z,"Enter now & you could be cruising the streets in 
@carsdotcom
's Best Value of 2021, the Hyundai Venue! #Bestof2021Sweepstakes",,,,,,[],https://twitter.com/glibby261/status/1387854230380187648
OREO Cookie,@Oreo,2021-07-14T14:04:11.000Z,"Replying to 
@Oreo","Want one of our camouflaged packs or maybe even a chance to win $25,000? ",👇 👇,277,129,725,[],https://twitter.com/Oreo/status/1415311162925854722
G. Libby,@glibby261,2021-07-23T18:22:04.000Z,"#ThinsProtectionProgram #Sweepstakes 
  In the freezer1",,,,,,[],https://twitter.com/glibby261/status/1418637553209462788
G. Libby,@glibby261,2021-07-30T18:41:05.000Z,"I just entered the 
@Magnoliabakery
 sweepstakes for a chance to win Banana Pudding for a Year! #magnoliabakery","Win Banana Pudding for a Year!
In honor of our 25th birthday, we're giving ten (10) lucky customers the chance to win free banana pudding for a year! Winners will receive a shipment of one (1) 64 oz. banana pudding bowl at the...
magnoliabakerysweeps.com",,,,,['https://pbs.twimg.com/card_img/1430933527089004548/QusZcf6g?format=jpg&name=small'],https://twitter.com/glibby261/status/1421179054133293056
G. Libby,@glibby261,2021-08-07T18:44:48.000Z,I just entered in the General Tire x Dude Perfect Sweepstakes! Click here to enter:,"General Tire x Dude Perfect Sweepstakes
I just entered in the General Tire x Dude Perfect Sweepstakes! Click here to enter!
generaltiresweeps.com",,,,,[],https://twitter.com/glibby261/status/1424079093532745732
G. Libby,@glibby261,2021-08-08T19:11:15.000Z,I just entered to hopefully win a FREE 7 day golf trip to St. Andrews Golf Links in Scotland.  You should enter too.  GOOD LUCK TO US ALL.,"The St. Andrews Experience Sweepstakes
I just entered for a chance to win a trip to play 7 days of golf at ST. ANDREWS GOLF LINKS in St. Andrews. You should enter too. GOOD LUCK TO US ALL.
woobox.com",,,,,['https://pbs.twimg.com/card_img/1429484964198944773/RLKBXCKi?format=png&name=small'],https://twitter.com/glibby261/status/1424448135401594881
G. Libby,@glibby261,2021-08-03T23:42:14.000Z,"Replying to 
@Lipton",#LiptonTogetherSweepstakes,,,,1,[],https://twitter.com/glibby261/status/1422704391228858369
G. Libby,@glibby261,2021-08-06T22:03:10.000Z,"Replying to 
@Lipton","#LiptonTogetherSweepstakes 
@Lipton",,,,1,[],https://twitter.com/glibby261/status/1423766625304547328
G. Libby,@glibby261,2021-08-03T23:10:52.000Z,,"Win a Trip to Paso Robles Wine Country!
woobox.com",,,,,[],https://twitter.com/glibby261/status/1422696498291122176
G. Libby,@glibby261,2021-08-14T19:01:45.000Z,Back 2 School Rustic Wood Giveaway,"ENTER TO WIN the Ultimate Rustic Wood Giveaway - $729 value!
Back 2 School Rustic Wood Giveaway
rockinwoodusa.com",,,,,[],https://twitter.com/glibby261/status/1426620071707701249
G. Libby,@glibby261,2021-08-22T02:44:00.000Z,Enter to win a luxury glamping experience.,"Enter to win a luxury glamping experience.
Enter to win a luxury glamping experience.
bringabarhome.com",,,,,['https://pbs.twimg.com/card_img/1432766916104445960/f9ZX5Kg1?format=jpg&name=small'],https://twitter.com/glibby261/status/1429273116983791620
G. Libby,@glibby261,2021-08-15T02:13:22.000Z,#5GBuiltRight #Sweepstakes,"Verizon
@Verizon
 · Aug 14
@glibby261 we just unfolded @Timbaland's latest remix: ""#EndlessPossibilities (feat. You)""

RT your custom track for a chance to win a @SamsungMobileUS Galaxy Z Series device on #5GBuiltRight. #Sweepstakes

No pur nec. 18+ Ends 8.14 Rules: https://bit.ly/3s1dM84",,,,,"['https://pbs.twimg.com/profile_images/1410640709946732545/Huv9KFwS_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1426607943974273024/pu/img/7vHXAnFieHLupugT.jpg']",https://twitter.com/glibby261/status/1426728692386988037
G. Libby,@glibby261,2021-08-15T02:13:22.000Z,#5GBuiltRight #Sweepstakes,"Verizon
@Verizon
 · Aug 14
@glibby261 we just unfolded @Timbaland's latest remix: ""#EndlessPossibilities (feat. You)""

RT your custom track for a chance to win a @SamsungMobileUS Galaxy Z Series device on #5GBuiltRight. #Sweepstakes

No pur nec. 18+ Ends 8.14 Rules: https://bit.ly/3s1dM84
1:04
6 views",,,,,['https://pbs.twimg.com/profile_images/1410640709946732545/Huv9KFwS_mini.jpg'],https://twitter.com/glibby261/status/1426728692386988037
