UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
goaliemomjams,@goaliemomjams,2021-01-11T10:53:39.000Z,Do you remember when you joined Twitter? I do! #MyTwitterAnniversary,,,,,,['https://pbs.twimg.com/media/Erch288XUAAGKF1?format=jpg&name=small'],https://twitter.com/goaliemomjams/status/1348583846330200065
goaliemomjams,@goaliemomjams,2021-01-17T07:26:07.000Z,"TAKE THE TIME TO WATCH THIS!  
This guy spells it ALL out.  Definitely worth your time.","Leslie Jones
@Lesdoggg
 · Jan 17
Don’t know who this dude is but he broke that shit DOWN!! Listen especially the ones that need to hear it!!",🦋,,,,"['https://pbs.twimg.com/profile_images/1310439159182491648/GIKmwONn_mini.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1350670862769221634/img/kj70UBTZZy4b9Q4M.jpg']",https://twitter.com/goaliemomjams/status/1350705948491476994
Scott John,@Scott_John,2021-01-07T00:45:34.000Z,Name This Band.,,,1.7K,615,602,['https://pbs.twimg.com/media/ErFwUm_UcAE8ftC?format=jpg&name=small'],https://twitter.com/Scott_John/status/1346981268563480589
goaliemomjams,@goaliemomjams,2021-01-10T05:51:29.000Z,Haven't bathed in weeks & smell like a pirate band.,,,,,,[],https://twitter.com/goaliemomjams/status/1348145418404823046
The Hoarse Whisperer,@TheRealHoarse,2021-01-16T19:56:13.000Z,"I have a bottle of champagne in the fridge that I’ve had for years.

I kept waiting for the right moment to open it.

I’m opening it on Weds when Biden is sworn in.

Who wants to join me for a ?",,🥂,2.7K,1.6K,32.6K,[],https://twitter.com/TheRealHoarse/status/1350532330675384324
goaliemomjams,@goaliemomjams,2021-01-16T20:59:44.000Z,Me too!   I've been saving it for just this occasion!!!  Day-drinking for me!,,,,,,[],https://twitter.com/goaliemomjams/status/1350548315046354946
goaliemomjams,@goaliemomjams,2021-01-11T21:07:23.000Z,"Replying to 
@SkinnerPm","How fabulous!!!!   Congratulations!  You deserve many, many good things!",,,,,[],https://twitter.com/goaliemomjams/status/1348738299981131776
dave lackie,@davelackie,2021-01-16T12:00:01.000Z,"Celebrity makeup artist Lisa Eldridge has developed an ultra-comfortable lip gloss. I'm celebrating by giving away shade ""Go Lightly"" on Twitter. To enter, follow 
@davelackie
 & RT",,,94,2K,1.2K,['https://pbs.twimg.com/media/EqLjP87WMAEFkL0?format=png&name=small'],https://twitter.com/davelackie/status/1350412489050230784
goaliemomjams,@goaliemomjams,2021-01-16T12:59:38.000Z,That shade is gorgeous!,,,,,,[],https://twitter.com/goaliemomjams/status/1350427492704772098
Scott Dworkin,@funder,2021-01-18T19:15:51.000Z,I don’t know who needs to hear this but trump should be forced to catch a cab. He deserves no send off. Nothing.,,,2K,7.2K,59.1K,[],https://twitter.com/funder/status/1351246945092857857
goaliemomjams,@goaliemomjams,2021-01-18T19:36:03.000Z,How about a paddy-wagon?,,,,,,[],https://twitter.com/goaliemomjams/status/1351252027729453057
Senator Rand Paul,@RandPaul,2021-01-25T23:41:53.000Z,I object to this unconstitutional sham of an “impeachment” trial and I will force a vote on whether the Senate can hold a trial of a private citizen.,,,25.2K,28.4K,130.8K,[],https://twitter.com/RandPaul/status/1353850609577959424
goaliemomjams,@goaliemomjams,2021-01-26T19:01:33.000Z,Shame on you.  How un-American.  Un-Patriotic.  You took an oath to uphold the Constitution.  You should be protecting the UNITED States...not any particular individual.,,,,,,[],https://twitter.com/goaliemomjams/status/1354142450634399745
Michael S. Smith II,@MichaelSSmithII,2021-01-13T15:49:21.000Z,"There are members of the United States Congress who are afraid to vote to impeach Trump due to concerns about their families’ safety. 

This is how terrorism works, folks! This is a textbook example of terrorists succeeding with efforts to coerce decision makers in a government.",,,2.2K,27.9K,92.7K,[],https://twitter.com/MichaelSSmithII/status/1349383038543781890
goaliemomjams,@goaliemomjams,2021-01-13T17:35:54.000Z,Yes. To prove the point--they should do 2 votes: a public vote by voice & a secret vote by ballot.,,,,,1,[],https://twitter.com/goaliemomjams/status/1349409851571646473
Amy Siskind,@Amy_Siskind,2021-01-20T20:24:17.000Z,Tonight we will sleep like lambs.,,,156,297,5.8K,[],https://twitter.com/Amy_Siskind/status/1351988944410451969
goaliemomjams,@goaliemomjams,2021-01-20T20:46:52.000Z,Already took a nap.   Best nap ever!!!!!,,,,,,[],https://twitter.com/goaliemomjams/status/1351994625549066240
goaliemomjams,@goaliemomjams,2021-01-10T05:50:34.000Z,"Replying to 
@Scott_John",We have to pay to get dates band.,,,,,[],https://twitter.com/goaliemomjams/status/1348145187567120385
goaliemomjams,@goaliemomjams,2021-01-10T05:54:29.000Z,"@DoYouEvenLIf
 
Twitter finally got Trump's tongue! Meow!",,,,,,[],https://twitter.com/goaliemomjams/status/1348146172020584452
TheSadTruth,@ReportsDaNews,2021-01-11T18:35:47.000Z,"Melania has released a statement about the Capitol siege and she immediately turned it into a pity party.

“I find it shameful that surrounding these tragic events there has been salacious gossip, unwarranted personal attacks and false misleading accusations on me.”

Wow.",,💙,91,64,182,[],https://twitter.com/ReportsDaNews/status/1348700146704519178
