UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Mansour,@ii1__m,2021-01-17T17:23:23.000Z,"Replying to 
@ChampVG",King of the jungle .,👑 🖤 💛,,,,[],https://twitter.com/ii1__m/status/1350856253053038594
Mansour,@ii1__m,2021-01-17T20:08:09.000Z,"Replying to 
@Msdossary7",There is only one king in the jungle .,👑 🖤 💛,,,1,[],https://twitter.com/ii1__m/status/1350897717824860160
اخبار السينما,@NetflixLx,2021-01-18T00:05:52.000Z,هل ستنام على صوت من تحب ، ام ستنام على صوت المكيف ؟,,,99,29,51,[],https://twitter.com/NetflixLx/status/1350957542294384644
Mansour,@ii1__m,2021-01-18T00:17:07.000Z,المكيف = من احب,,,1,,1,['https://pbs.twimg.com/media/Er-TTCMXIAgPPHe?format=jpg&name=small'],https://twitter.com/ii1__m/status/1350960374129045509
سدومي | كود رايز شوب S4,@s_s_75,2021-01-07T16:43:48.000Z,قد دعيتوا دعوة بمزح أو بدون قصد واستجابت الدعوة؟ سواء دعوة حلوة أو شينة,,,234,19,278,[],https://twitter.com/s_s_75/status/1347222416544706567
Mansour,@ii1__m,2021-01-07T17:29:23.000Z,دعيت على واحد يصير عليه حادث و انلقب بالسيارة .,,🙂,,,,[],https://twitter.com/ii1__m/status/1347233884606517249
Mansour,@ii1__m,2021-01-22T16:56:23.000Z,"Replying to 
@MrMrKlNG",ميسي طبعاً,,,,1,[],https://twitter.com/ii1__m/status/1352661401249185793
Mansour,@ii1__m,2021-01-15T18:37:28.000Z,"Replying to 
@y0uxf",هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,,,,,[],https://twitter.com/ii1__m/status/1350150123058323458
TURKI ALALSHIKH,@Turki_alalshikh,2021-01-17T18:15:11.000Z,في الرياض,,🔥 🔥 🔥,211,254,1K,['https://pbs.twimg.com/media/Er9AdX9XEAECtMm?format=jpg&name=small'],https://twitter.com/Turki_alalshikh/status/1350869292632461315
Mansour,@ii1__m,2021-01-17T20:06:16.000Z,نبي سينما في ينبع ياخي كل شيء في الرياض في الرياض في الرياض خير وحنا ما لنا رب ما طلبنا شيء اعجازي,,,,,,[],https://twitter.com/ii1__m/status/1350897245558886400
شاورمر | Shawarmer,@ShawarmerSA,2021-01-17T20:00:14.000Z,"لأن البريوشة أكشخ شاورما عرفتها البشرية! حبينا نشوفها بعدسة المصورين وهي متزيّنه 

اللي تعجبك فوّزها بلايك

شدّو حيلكم، لأن هديتنا للفايز كاميرا يكمّل فيها مسيرته 

#الفنون_الشاورمرية","شاورمر | Shawarmer
@ShawarmerSA
 · Jan 11
كاشخة؟ ورّيني شكلك ",🤤 🍞 ♥ 📸 🍞,14,22,65,['https://pbs.twimg.com/profile_images/1380133743067795459/rSLsjvfe_mini.jpg'],https://twitter.com/ShawarmerSA/status/1350895726751047682
Mansour,@ii1__m,2021-01-17T20:04:47.000Z,اللي ذاقها يعلمنا كيف الطعم يستاهل ولا لا ؟ للحين ما ذقتها,,,,,,[],https://twitter.com/ii1__m/status/1350896870843887618
Abdulaziz Alzamil | عزيز الزامل,@Azoz_Alzamil,2021-01-13T16:52:11.000Z,"أضخم الأفلام القادمة لهذه السنة .. أحفظوها عندكم 
(١)",,☝,37,66,972,"['https://pbs.twimg.com/media/EroHFfKW8AM2GDf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EroHFfPXEAMvjMF?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EroHFfMXIAIywdr?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EroHFfLXAAIWVBm?format=jpg&name=360x360']",https://twitter.com/Azoz_Alzamil/status/1349398853309640705
Mansour,@ii1__m,2021-01-16T02:02:21.000Z,في انتظار توم وجيري على احر من الجمر احسه بيطلع اسطوري ɵ̷̥̥᷄ˬɵ̷̥̥᷅.,,,,,,[],https://twitter.com/ii1__m/status/1350262080075689987
So?,@_soamii,2021-01-12T12:23:19.000Z,هذا ختم كل مراحل الاستشراف,"The following media includes potentially sensitive content. Change settings
View",,545,1K,5.2K,[],https://twitter.com/_soamii/status/1348968800138498049
Mansour,@ii1__m,2021-01-12T18:46:19.000Z,مريض ,,😭 😭 😭 😭,,,1,[],https://twitter.com/ii1__m/status/1349065185064005632
Mansour,@ii1__m,2021-01-12T18:51:39.000Z,"Replying to 
@MilanNews_Ar",☻,,,,,[],https://twitter.com/ii1__m/status/1349066527174254597
Mansour,@ii1__m,2021-01-20T22:38:03.000Z,"Replying to 
@iTheuy",333,,,,,[],https://twitter.com/ii1__m/status/1352022608280215552
Music English,@1MusicEnglish,2021-01-19T13:53:34.000Z,,"0:33
30.6K views",,11,202,1.3K,[],https://twitter.com/1MusicEnglish/status/1351528228914147330
Mansour,@ii1__m,2021-01-19T14:14:48.000Z,الفلم ɵ̷̥̥᷄ˬɵ̷̥̥᷅,,,,,,[],https://twitter.com/ii1__m/status/1351533570830041088
ثيو,@iTheuy,2021-01-07T16:28:10.000Z,تذكرون الشخص اللي سرق منصة المتحدث الرسمي للكونغرس عرضها اليوم بموقع ايباي ووصل سومها الى ٥٦ الف ريال تقريبًا ,,😭 😭 😭 😭,193,360,1.6K,"['https://pbs.twimg.com/media/ErJIEIIXcAg4LtI?format=jpg&name=small', 'https://pbs.twimg.com/media/ErJIEIKXEAQrm8C?format=jpg&name=small']",https://twitter.com/iTheuy/status/1347218482522419200
Mansour,@ii1__m,2021-01-07T17:27:36.000Z,يقولون تعدت ١٤٠ الف ريال,,,,,,[],https://twitter.com/ii1__m/status/1347233437221056512
عبيدالله,@IMrged,2021-01-25T00:21:39.000Z,#هجوم_العمالقه,,,3,4,4,['https://pbs.twimg.com/ext_tw_video_thumb/1353498208849301506/pu/img/olOjNrxMMO4Pd8XM.jpg'],https://twitter.com/IMrged/status/1353498229334224899
Mansour,@ii1__m,2021-01-25T00:23:50.000Z,,,😭 😭 😭 😭 😭 😭 🙂 😭,,,,[],https://twitter.com/ii1__m/status/1353498780914561034
Mansour,@ii1__m,2021-01-16T12:41:16.000Z,"Replying to 
@RRakanS",نبغى سينما في ينبع ,😭 😭,,,,[],https://twitter.com/ii1__m/status/1350422870112022530
