UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Kraken,@isaiahkraken,2021-04-11T15:09:03.000Z,Legit Check: ,,🧾 ✅,13,,4,[],https://twitter.com/isaiahkraken/status/1381263031208796161
Dreamtour,@Dreamtourich,2020-07-09T07:43:52.000Z,Feedback!,,,760,3,85,[],https://twitter.com/Dreamtourich/status/1281131944227540992
Kraken,@isaiahkraken,2021-04-25T14:11:25.000Z,"Legit! no mm, good to go!",,,,,1,[],https://twitter.com/isaiahkraken/status/1386321956245442565
Kraken,@isaiahkraken,2021-04-23T19:36:35.000Z,"Replying to 
@Cart97372172",Smooth transaction went through like with ease!,,,,1,[],https://twitter.com/isaiahkraken/status/1385679009795641345
Popcorn,@popcorneats,2018-09-29T21:41:20.000Z,"If we've done business together, please post a LC on me here ",,,3.4K,16,583,[],https://twitter.com/popcorneats/status/1046152973498245120
Kraken,@isaiahkraken,2021-04-21T02:46:45.000Z,Legit thanks! huge transaction..,,,,,1,[],https://twitter.com/isaiahkraken/status/1384700102229467136
BlackToe,@CookerBlackToe,2020-04-25T17:15:28.000Z,Legit Check ~ Reference List,,,734,,100,[],https://twitter.com/CookerBlackToe/status/1254096700324614145
Kraken,@isaiahkraken,2021-04-19T19:30:32.000Z,Smooth transaction / Stellar purchase 100%,,,,,1,[],https://twitter.com/isaiahkraken/status/1384227937965146113
,@washedJefe,2021-03-08T17:23:20.000Z,legit check: ,,🕸 🧾 ✅,26,,2,[],https://twitter.com/washedJefe/status/1368975634664456193
Kraken,@isaiahkraken,2021-04-11T15:10:20.000Z,"Smooth transaction, Buyers legit",,,,,1,[],https://twitter.com/isaiahkraken/status/1381263353545322496
Kraken,@isaiahkraken,2021-04-14T23:51:47.000Z,"Replying to 
@xAWGExISxMOBx",Massive transaction; hella legit ,✅,,1,,[],https://twitter.com/isaiahkraken/status/1382481742095798273
Kraken,@isaiahkraken,2021-04-23T19:47:06.000Z,"Replying to 
@restocc",Legit MM!,,,,,[],https://twitter.com/isaiahkraken/status/1385681656271425538
Kraken,@isaiahkraken,2021-05-28T18:32:46.000Z,#CashAppFriday $isaiahdawg101  class of 2021!!! #tumade,"Cash App
@CashApp
 · May 28
#CashAppFriday 
0:12
233.9K views",🐝,,,,['https://pbs.twimg.com/profile_images/971494919901712384/xIU67qs9_mini.png'],https://twitter.com/isaiahkraken/status/1398346525651046400
Kraken,@isaiahkraken,2021-05-29T18:02:52.000Z,To the moon,"eStock
@eStockSoftware
 · May 29
Giveaway! 

To enter:
• Follow @eStockSoftware 
• Follow @KageAIO 
• Follow @OminousAIO 
• Follow @soleaio 
• Follow @lgnite 
• RT this post

Prizes:
• 1x key of each

Ends in 24 hours! ",🎁 ⏰,,,,"['https://pbs.twimg.com/profile_images/1356797221660839942/DX99CMbU_mini.jpg', 'https://pbs.twimg.com/media/E2kuRyNWQAMSm8m?format=png&name=small']",https://twitter.com/isaiahkraken/status/1398701391221305350
Kufsi,@Kufsi__,2021-05-27T18:13:25.000Z,"@Lyrabots
 went absolutely insane on that Shadow’s restock, with nearly every user hitting clips 

Comment #LyraMovie and I’ll DM a few of you with keys (Unlimited Entries)",,🎥,1.6K,65,186,[],https://twitter.com/Kufsi__/status/1397979267192037377
Kraken,@isaiahkraken,2021-05-27T18:24:38.000Z,"Bought that recommendation last night <3, looking forward to all your call outs thanks for your time! #LyraMovie",,,,,,[],https://twitter.com/isaiahkraken/status/1397982091573227520
GFNF,@GFNF__,2021-05-29T13:19:09.000Z,"GFNF ONE DOLLAR ISP’s + Residential Plans DEMOLISHED Yeezy Supply today  

All sold AT COST, as a service for GFNF Members 

Stop paying more for less ",,⚡ 🎥 🎥 💪,57,57,319,[],https://twitter.com/GFNF__/status/1398629988652531720
Kraken,@isaiahkraken,2021-05-29T13:19:44.000Z,Choose my email ,,,,,2,[],https://twitter.com/isaiahkraken/status/1398630136744792072
Kraken,@isaiahkraken,2021-05-27T16:05:02.000Z,"Replying to 
@PopBotAIO",What happen </3,,,,,[],https://twitter.com/isaiahkraken/status/1397946961693581313
JS,@ShockedJS,2021-05-28T18:25:53.000Z,"ALWAYS IMPROVING 

Maybe a chance to join soon with these new additions ",,📈 🤔,21,19,53,['https://pbs.twimg.com/media/E2frK72WUAACSGK?format=jpg&name=small'],https://twitter.com/ShockedJS/status/1398344792606752771
Kraken,@isaiahkraken,2021-05-28T18:28:16.000Z,Shocked on top!,,,,,,[],https://twitter.com/isaiahkraken/status/1398345393394515971
Tom,@TomBanyard7,2021-05-28T22:26:00.000Z,"Lets gooo! Weekly key secured!
TYSM to my bot of choice 
@TweetCatcherBot
 
s/o 
@CoreyFisher_FNF
 

And HUGE shoutout to 
@RadarFlips
 and 
@Kufsi__
!",,,8,4,34,['https://pbs.twimg.com/media/E2ght1VX0A4tLng?format=png&name=small'],https://twitter.com/TomBanyard7/status/1398405220749791241
Kraken,@isaiahkraken,2021-05-28T22:27:45.000Z,"@CoreyFisher_FNF
 x 
@TweetCatcherBot
  ON TOP!",,,,,1,[],https://twitter.com/isaiahkraken/status/1398405659658387459
Dashe,@Dashe,2021-05-28T19:00:40.000Z,"HUGE GIVEAWAY - 

Prizes  
 1 x 
@ValorAIO
 Key
 1 x 
@balkobot
 Key
 1 x 
@OminousAIO
 Key
 1 x 
@Dashe
 Key

Rules  
• Follow 
@ValorAIO
 @balkobot
 @OminousAIO
 @Dashe
• Retweet & Reply the bot you'd like. 
• Turn on notifications for all accounts.",,🚨 🎁 💫 🚀 🎮 ❄ 🚨,5.9K,6.2K,4.9K,['https://pbs.twimg.com/media/E2fxNEdWUAMIZ2Z?format=jpg&name=small'],https://twitter.com/Dashe/status/1398353548967038990
Kraken,@isaiahkraken,2021-05-28T19:01:50.000Z,"Ominious I trust 
@Anik_Hett",,,,,,[],https://twitter.com/isaiahkraken/status/1398353839376375810
Flare,@FlareAIO,2021-05-28T19:35:53.000Z,"FlareAIO/Fuze cookout! 

Over 35,000 checkouts with FlareAIO on the past few releases! 

On Fuze almost 3000+ checkouts resulting in $150,000+ profit this past month!

Safe to say we are cooking harder then ever! 

RT + FOLLOW FOR A FLARE/FUZE BUNDLE. ",,🧨 🚀 📈 🎊,1.4K,3.3K,2.6K,['https://pbs.twimg.com/ext_tw_video_thumb/1398362034165719042/pu/img/AgcG6aFhDxdm_3S-.jpg'],https://twitter.com/FlareAIO/status/1398362407970521094
Kraken,@isaiahkraken,2021-05-28T19:36:29.000Z,Bundle to the moon!,,,,,,[],https://twitter.com/isaiahkraken/status/1398362559506305024
Kraken,@isaiahkraken,2021-05-28T18:30:38.000Z,"Replying to 
@CashApp",$isaiahdawg101 class of 2021,,,,,[],https://twitter.com/isaiahkraken/status/1398345987219890181
Kraken,@isaiahkraken,2021-05-29T00:55:25.000Z,"Replying to 
@isaiahkraken
 @jxhn0
 and 
@FounderKaneki","Done 
@jxhn0",,,,,[],https://twitter.com/isaiahkraken/status/1398442821997285378
Kufsi,@Kufsi__,2021-05-28T02:29:04.000Z,"Replying to 
@LicketySpliket",Like this tweet for no reason,,7,2,47,[],https://twitter.com/Kufsi__/status/1398104002064232453
Kraken,@isaiahkraken,2021-05-28T02:29:22.000Z,To the mooon,,,,,,[],https://twitter.com/isaiahkraken/status/1398104078014509056
ShyB0y,@ShyB0y_,2021-05-29T13:46:08.000Z,"Replying to 
@isaiahkraken
 and 
@allenpepega",LOOOOL WHOOPS,,1,,,[],https://twitter.com/ShyB0y_/status/1398636780249833474
Kraken,@isaiahkraken,2021-05-29T13:46:31.000Z,happens to all of us ha,,,1,,1,[],https://twitter.com/isaiahkraken/status/1398636877452759041
Kraken,@isaiahkraken,2021-05-29T13:45:30.000Z,"Replying to 
@ShyB0y_
 and 
@allenpepega",Why are you doxing yourself,,1,,1,[],https://twitter.com/isaiahkraken/status/1398636620765548546
Kraken,@isaiahkraken,2021-05-29T20:13:46.000Z,,"The following media includes potentially sensitive content. Change settings
View",🚀,,,,[],https://twitter.com/isaiahkraken/status/1398734329996402691
Kraken,@isaiahkraken,2021-05-27T21:23:36.000Z,"Replying to 
@jxhn0",#ViperWeeklies,,,,,[],https://twitter.com/isaiahkraken/status/1398027129149820928
