UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Kathy Petosky,@itskathym,2021-01-17T12:35:07.000Z,"Isn’t this yoga mat from 
@AvosFromMexico
 the cutest? Hoping I win it! #GuacShop #GuacFromMexico #Sweepstakes http://bit.ly/3pvsfXm","Avocado Yoga Mat
Isn’t this yoga mat from @AvosFromMexico the cutest? Hoping I win it! #GuacShop #GuacFromMexico #Sweepstakes http://bit.ly/3pvsfXm
avocadosfrommexico.com",,,,,['https://pbs.twimg.com/card_img/1434219785542275074/1cOD1Fkm?format=jpg&name=small'],https://twitter.com/itskathym/status/1350783708211666945
Jimmy Dean,@JimmyDean,2021-01-06T14:28:41.000Z,"Share how a 
@JimmyDean
 breakfast helps you start your day, tagging us and using #JDPlantBasedPatty and #sweepstakes for a chance to try our new Jimmy Dean Plant-Based Patty Croissant sandwich available now 
@SamsClub
. Good luck to ya! Rules: http://jimmydean.dja.com",,,1.1K,370,800,['https://pbs.twimg.com/amplify_video_thumb/1346537477012643840/img/Rz0rvAzLQU1KwO2r.jpg'],https://twitter.com/JimmyDean/status/1346826023334076416
Kathy Petosky,@itskathym,2021-01-09T14:11:14.000Z,Love the Jimmy Dean Bowls to start my day - hearty! #JDPlantBasedPatty #sweepstakes,,,,,,[],https://twitter.com/itskathym/status/1347908794047717378
Kathy Petosky,@itskathym,2021-01-17T12:35:28.000Z,"This adorable avocado blanket from 
@AvosFromMexico
 looks so cozy! Adding to my wish list. #GuacShop #GuacFromMexico #Sweepstakes https://bit.ly/3n2l4UW","Avocado Blanket | Fleece Blanket
This adorable avocado blanket from @AvosFromMexico looks so cozy! Adding to my wish list. #GuacShop #GuacFromMexico #Sweepstakes https://bit.ly/3n2l4UW
avocadosfrommexico.com",,,,,['https://pbs.twimg.com/card_img/1433244429939322880/_hcDoFW1?format=jpg&name=small'],https://twitter.com/itskathym/status/1350783796661116929
Kathy Petosky,@itskathym,2021-01-17T12:35:37.000Z,"These avocado-print headphones from 
@AvosFromMexico
 would be perfect for guacin’ out to my favorite songs. #GuacShop #GuacFromMexico #Sweepstakes","Avocado Headphones | Over Ear Headphones
These avocado-print headphones from @AvosFromMexico would be perfect for guacin’ out to my favorite songs. #GuacShop #GuacFromMexico #Sweepstakes https://bit.ly/3pyLW0C
avocadosfrommexico.com",,,,,['https://pbs.twimg.com/card_img/1433247745494630402/KtvMc0m0?format=jpg&name=small'],https://twitter.com/itskathym/status/1350783836796444674
Kathy Petosky,@itskathym,2021-01-17T12:37:53.000Z,"I just found this recipe at the Guac Bowl Stadium!  Guess I need to make a grocery store run for avocados. 
@AvosFromMexico
 #GuacFood #GuacFromMexico #Sweepstakes","Ultimate Host Guac | Guacamole with Hatch Chiles
I just found this recipe at the Guac Bowl Stadium! Guess I need to make a grocery store run for avocados. @AvosFromMexico #GuacFood #GuacFromMexico #Sweepstakes http://bit.ly/38JDFAk
avocadosfrommexico.com",🏟,,,,['https://pbs.twimg.com/card_img/1433211171612631041/jUUObPNr?format=jpg&name=small'],https://twitter.com/itskathym/status/1350784404898119680
Kathy Petosky,@itskathym,2021-03-18T22:09:37.000Z,"I want to chill at the 
@CheezIt
 Grooves #PeakWhiteCheddar Spring Break. Which break do you need right now? #GroovesBreakEntry Rules@ http://bit.ly/GroovesBreak","0:17
Tweet #ScorchinIsland
Tweet #PeakWhiteCheddar
Tweet #ZestyDudeRanch",,,,,[],https://twitter.com/itskathym/status/1372671559823978498
Kathy Petosky,@itskathym,2021-03-28T13:44:54.000Z,#Sweepstakes #OscarCookMyKicks,,,,,,[],https://twitter.com/itskathym/status/1376168423026216962
Kathy Petosky,@itskathym,2021-03-18T22:09:37.000Z,"I want to chill at the 
@CheezIt
 Grooves #PeakWhiteCheddar Spring Break. Which break do you need right now? #GroovesBreakEntry Rules@ http://bit.ly/GroovesBreak","0:03 / 0:19
Tweet #ScorchinIsland
Tweet #PeakWhiteCheddar
Tweet #ZestyDudeRanch",,,,,[],https://twitter.com/itskathym/status/1372671559823978498
Kathy Petosky,@itskathym,2021-04-11T17:44:56.000Z,"Checkout My Riverbend Home wishlist https://riverbendhome.com/pages/share-wishlist?listID=6b9b5626-ca0c-48d6-8b88-1fa909aab458… via 
@Riverbend_Home","Share Wishlist
Tackle Your Home Design & Renovation Projects. Riverbend Home Shop For Trending Décor, Bathroom & Kitchen Faucets, Lights & Outdoor. Committed to Providing Home Goods That Deliver on Style & Perfor...
riverbendhome.com",,,,,[],https://twitter.com/itskathym/status/1381302260832071683
Kathy Petosky,@itskathym,2021-04-03T15:11:40.000Z,#sweepstakes #mayophobia,,,,,,[],https://twitter.com/itskathym/status/1378364586651422720
Kathy Petosky,@itskathym,2021-06-12T20:30:49.000Z,"Replying to 
@AdvanceAuto
 @Blaney
 and 3 others",My favorite garage memory is helping a loved one rebuild an engine of an old pickup truck. Nothing like the satisfaction of fixing your own vehicle.,,,,,[],https://twitter.com/itskathym/status/1403812052230184966
Michelob ULTRA,@MichelobULTRA,2021-07-19T19:52:13.000Z,"Replying to 
@MichelobULTRA","You'll also score
Airfare  
Transportation  
Hotel  
Team ULTRA gear 
Private events & more!

If you're in, let us know why running brings you joy below!",✈ 🚆 🏨 🎽,100,10,130,[],https://twitter.com/MichelobULTRA/status/1417210690490753031
Kathy Petosky,@itskathym,2021-07-24T17:07:37.000Z,#RunForULTRA Running brings me joy because it keeps my girlish figure (blush).,,,,,,[],https://twitter.com/itskathym/status/1418981205505200143
Kathy Petosky,@itskathym,2021-07-18T16:33:57.000Z,RKINⓇ AlcaPure Zero Installation Purifier Giveaway,"RKINⓇ BUBU Smart Misting System Giveaway
This June, we are giving away a BUBU Smart Misting System - $287.81 value: Perfect for cooling, irrigation, humidifying, dust and pollen reduction. An adjustable misting interval for maximum control....
rkin.com",,,,,['https://pbs.twimg.com/card_img/1429367978122833924/o19S_rpI?format=jpg&name=900x900'],https://twitter.com/itskathym/status/1416798404055810048
Kathy Petosky,@itskathym,2021-07-11T21:46:18.000Z,#LiptonTogetherSweepstakes,,,,,,[],https://twitter.com/itskathym/status/1414340296872235014
Kathy Petosky,@itskathym,2021-07-11T21:35:09.000Z,"#Sweepstakes #BudLightStimmyTix 
@Lions",,,,,,[],https://twitter.com/itskathym/status/1414337491348434959
Kathy Petosky,@itskathym,2021-07-11T21:36:03.000Z,"#Sweepstakes  #BudLightStimmyTix 
@DetroitRedWings",,,,,,[],https://twitter.com/itskathym/status/1414337716616052740
Domino's Pizza,@dominos,2021-08-02T14:00:19.000Z,"Other delivery apps give u surprise FEES. We want to give away $25,000 in surprise FREE Domino’s gift cards! Here’s how to enter:

1. Reply w/ how much you've been charged in surprise FEES from other delivery apps
2. Use hashtags #FreesNotFees #Sweepstakes 
3. Follow 
@dominos
!","0:08
26.3K views",,2.8K,490,1.7K,[],https://twitter.com/dominos/status/1422195559033712641
Kathy Petosky,@itskathym,2021-08-03T22:38:14.000Z,Papa Johns #FreesNotFees #Sweepstakes,,,,,,[],https://twitter.com/itskathym/status/1422688286074626048
DoorDash,@DoorDash,2021-08-23T17:01:00.000Z,"We just dropped a Welcome BackPack to make sure that your favorite scholar has everything they need to succeed  Tell us your most forgotten school supply with #DashToSchool + #Entry for a chance to win one!

NoPurNec. 18+VoidWhereProhib. Rules: https://fooji.info/DoorDash",,📚,7.2K,1.1K,2.3K,['https://pbs.twimg.com/media/E9fUxgPVkAIenx_?format=jpg&name=small'],https://twitter.com/DoorDash/status/1429851174648172546
Kathy Petosky,@itskathym,2021-08-26T23:29:52.000Z,#DashToSchool #Entry My most forgotten school supply is cash for snacks!,,,1,,,[],https://twitter.com/itskathym/status/1431036203403468801
Kathy Petosky,@itskathym,2021-08-01T22:48:38.000Z,"@Lipton
 #LiptonTogetherSweepstakes",,,,,1,[],https://twitter.com/itskathym/status/1421966129786916870
Domino's Pizza,@dominos,2021-08-02T14:00:19.000Z,"Other delivery apps give u surprise FEES. We want to give away $25,000 in surprise FREE Domino’s gift cards! Here’s how to enter:

1. Reply w/ how much you've been charged in surprise FEES from other delivery apps
2. Use hashtags #FreesNotFees #Sweepstakes 
3. Follow 
@dominos
!","26.3K views
0:03 / 0:09",,2.8K,490,1.7K,[],https://twitter.com/dominos/status/1422195559033712641
