UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
victoria,@japankarlas1,2021-01-27T01:01:40.000Z,"Replying to 
@LouisRaphaelAl1",Done!,❤,1,,1,['https://pbs.twimg.com/media/EsszzjyXIAAqaCt?format=jpg&name=small'],https://twitter.com/japankarlas1/status/1354233077359284224
victoria,@japankarlas1,2021-01-28T21:25:08.000Z,"HAPPY BDAY 
@MALUMA
 GOD BLESS U ENJOY UR DAY #PapiJuancho",,,,,,[],https://twitter.com/japankarlas1/status/1354903358327418880
victoria,@japankarlas1,2021-01-27T00:59:48.000Z,"Replying to 
@songforelle",Done!,❤,,,1,['https://pbs.twimg.com/media/EsszYSJXUAwXy-f?format=jpg&name=small'],https://twitter.com/japankarlas1/status/1354232608079704064
victoria,@japankarlas1,2021-01-27T00:59:55.000Z,"Replying to 
@pieceofshawn_",Done!,❤,1,,1,['https://pbs.twimg.com/media/EsszZxBW4AAtwLH?format=jpg&name=small'],https://twitter.com/japankarlas1/status/1354232633996292101
victoria,@japankarlas1,2021-01-27T01:24:38.000Z,I wish Shawn noticed my tweets  who ever noticed ur guys tweets can u help me out pls?,,😔 😊,,,,[],https://twitter.com/japankarlas1/status/1354238856078520326
victoria,@japankarlas1,2021-01-27T01:00:01.000Z,"Replying to 
@bieberfans2020",Done!,❤,1,,,['https://pbs.twimg.com/media/EsszbZBXYAMSrbN?format=jpg&name=small'],https://twitter.com/japankarlas1/status/1354232661519298560
victoria,@japankarlas1,2021-01-24T20:32:41.000Z,"@ShawnMendes
 can u please come back to Twitter I miss and love u sm I want to see ur face again ",,🥺 ❤,,,,[],https://twitter.com/japankarlas1/status/1353440608908619777
Shawn Mendes,@ShawnMendes,2021-01-28T18:59:04.000Z,"Check in with yourself and your loved ones. Mental health matters, and it's time we talk about it. Today is #BellLetsTalk Day. For every retweet of this or post using #BellLetsTalk, Bell will donate 5 cents to Canadian mental health initiatives",,,5.3K,18.3K,61.2K,[],https://twitter.com/ShawnMendes/status/1354866599614947328
victoria,@japankarlas1,2021-01-28T19:08:02.000Z,I LOVE U SHAWN SO MUCH,,,,,1,[],https://twitter.com/japankarlas1/status/1354868857131954184
yomna,@lostinmanic,2021-01-27T17:36:02.000Z,unfollow spree reply with momsey to stay safe,,😽,35,,10,[],https://twitter.com/lostinmanic/status/1354483317610057729
