UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Lonnie The Lobster.,@alip423,2021-02-25T22:11:34.000Z,"My spirit animal, Cosmo Kramer, forever and always","no context seinfeld
@casualseinfeld
 · Feb 25",,1,,1,"['https://pbs.twimg.com/profile_images/1059903406691762176/Hpv_gV-I_mini.jpg', 'https://pbs.twimg.com/media/EvGea83WgAIEgkg?format=jpg&name=small']",https://twitter.com/alip423/status/1365061906826846211
Jason Atlas,@jiatlas,2021-02-26T22:01:05.000Z,"If this is true, why didn't you ever make an entrance like him!? Haha",,,,,,[],https://twitter.com/jiatlas/status/1365421654881546243
Jason Atlas,@jiatlas,2021-02-13T16:52:53.000Z,"Replying to 
@FountainSqrBrew",#supportlocal,,,,,[],https://twitter.com/jiatlas/status/1360633053262053379
Sleepopolis,@sleepopolis,2021-03-11T17:25:10.000Z,"We know this will likely be difficult for folks who like to sleep in on the weekends, but it will be worth it!  What time do you go to sleep and wake up every day!?

Post using #SleepBetterWithSleepopolis and tag us, you'll get 4 entries to win a 
@HelixSleep
 weighted blanket!",,😴,121,47,108,"['https://pbs.twimg.com/media/EwNxD92WgAIEhEA?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EwNxEwpWEAcxhuo?format=jpg&name=360x360']",https://twitter.com/sleepopolis/status/1370063259978625031
Jason Atlas,@jiatlas,2021-03-11T22:08:25.000Z,#sleepbetterwithsleepopolis I go to bed between 12-2am and wake up between 1030-11am. Thanks!,,,,,,[],https://twitter.com/jiatlas/status/1370134544578449411
Sleepopolis,@sleepopolis,2021-03-06T19:42:15.000Z,"What type of mattress do you prefer? Soft, firm, somewhere right in the middle? The right bed should keep your body in neutral alignment! 

Let us know by posting with #SleepBetterWithSleepopolis & tagging us! Do that, & you'll get 4 entries to win 
@HelixSleep
 pillows!",,🛌,83,28,64,['https://pbs.twimg.com/media/Ev0gswtXEAIWIUs?format=jpg&name=small'],https://twitter.com/sleepopolis/status/1368285817731510276
Jason Atlas,@jiatlas,2021-03-08T18:13:10.000Z,#SleepBetterWithSleepopolis I prefer a medium soft bed.,,,,,1,[],https://twitter.com/jiatlas/status/1368988176216432641
Jason Atlas,@jiatlas,2021-03-05T18:31:51.000Z,"Replying to 
@FountainSqrBrew
 and 
@thedistricttap_",#SupportLocal,,,,,[],https://twitter.com/jiatlas/status/1367905715977940999
Jason Atlas,@jiatlas,2021-04-17T16:26:36.000Z,Fresh Sauces,"Fresh Sauces - Read my review
I got the Golden Tumeric Tahini and it was delicious. The pouch and spout makes it easy to use and mess free. I did not need to use a...
socialnature.com",,,,,[],https://twitter.com/jiatlas/status/1383456873022558222
Jason Atlas,@jiatlas,2021-04-01T14:36:19.000Z,"I’m swapping pranks for thanks  All you gotta do is tweet #GiveThanksNotPranks. Each tweet = $5 to 
@DonorsChoose
 from 
@TMobile
.","Donate. It’s on us!
Tweet #GiveThanksNotPranks",👏,,,,['https://pbs.twimg.com/amplify_video_thumb/1377405873136361472/img/g4MyiB9ft7hYAs2G.jpg'],https://twitter.com/jiatlas/status/1377630911097868291
Jason Atlas,@jiatlas,2021-04-01T15:23:21.000Z,"@OriginalFunko
 #FunkoScavengerHunt",,,,,,['https://pbs.twimg.com/media/Ex5ex4gXEAAbaKJ?format=jpg&name=900x900'],https://twitter.com/jiatlas/status/1377642749617377283
Jason Atlas,@jiatlas,2021-04-22T16:08:45.000Z,"Replying to 
@BuschBeer",#BuschDogBrew,,,,,['https://pbs.twimg.com/media/Ezlyjq8WQAQE1rW?format=jpg&name=900x900'],https://twitter.com/jiatlas/status/1385264321098354688
Jason Atlas,@jiatlas,2021-04-19T18:20:30.000Z,"Replying to 
@foundersbrewing",@TheHencilPensel,,,,,[],https://twitter.com/jiatlas/status/1384210314300825601
Jason Atlas,@jiatlas,2021-05-21T05:04:46.000Z,"Replying to 
@steelers
 and 
@budlight","#BudLightStimmyTix + #Sweepstakes + 
@steelers",,,,,[],https://twitter.com/jiatlas/status/1395606469349883904
Stella Artois,@StellaArtois,2021-07-29T18:13:35.000Z,"We’re dropping another round of #TriviArtois. 

COMMENT with the correct answer & we might surprise you. ","0:09
5.1K views",🍻,746,146,489,[],https://twitter.com/StellaArtois/status/1420809746915995655
Jason Atlas,@jiatlas,2021-07-29T21:54:46.000Z,Palace skateboards #TriviArtois,,,,,,[],https://twitter.com/jiatlas/status/1420865409281052675
Rusty Redenbacher,@rustymk2,2021-07-22T00:18:44.000Z,"I am stunned, yo.",,,3,,2,[],https://twitter.com/rustymk2/status/1418002536519409666
Jason Atlas,@jiatlas,2021-07-22T20:04:11.000Z,Cuz you #1 stunna?,,,1,,,[],https://twitter.com/jiatlas/status/1418300864544968705
Jason Atlas,@jiatlas,2021-07-24T15:16:25.000Z,"Replying to 
@StellaArtois",#TakeGoldTasteGolden #sweepstakes,,,,,[],https://twitter.com/jiatlas/status/1418953220324564995
Jason Atlas,@jiatlas,2021-07-01T14:44:17.000Z,"Replying to 
@lootcrate",Laufey,,,,,[],https://twitter.com/jiatlas/status/1410610214508777475
Stella Artois,@StellaArtois,2021-07-29T18:13:35.000Z,"We’re dropping another round of #TriviArtois. 

COMMENT with the correct answer & we might surprise you. ","5.1K views
0:03 / 0:10",🍻,746,146,489,[],https://twitter.com/StellaArtois/status/1420809746915995655
Jason Atlas,@jiatlas,2021-08-25T19:22:22.000Z,"Replying to 
@trilogyev",i hope i win!,,,,,[],https://twitter.com/jiatlas/status/1430611526508060676
