UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Ibotta,@IbottaApp,2021-01-11T17:07:11.000Z," #GIVEAWAY ALERT : For the next 2 weeks, we'll be giving away $100 each day! To enter, 1) follow 
@ibottaapp
 & 2) Tell us one of your favorite ways to use Ibotta using the hashtag #IbottaShareMoreGiveaway. We'll select a new winner each day!    http://bit.ly/39eJp52",,🎉 🎉 😊 ❤,1.6K,377,1K,['https://pbs.twimg.com/media/Erd3W3GW4AcV69G?format=jpg&name=small'],https://twitter.com/IbottaApp/status/1348677850275188736
Lizzy Parra,@jp_lizzy,2021-01-18T19:44:15.000Z,My favorite ways to use Ibotta is to go to my ibotta app save all the great deals that I want  and then I scan my receipt to withdraw my  to my account #IbottaShareMoreGiveaway,,💸 💸 ❤,,,,[],https://twitter.com/jp_lizzy/status/1351254094900584455
LAY/N/GO,@layngo,2021-01-15T16:05:17.000Z,"Enter to win a Cosmo Mini!
1. Follow us
2. Like this post
3. Comment why you want one 
4. Retweet

Insta and FB for more chances!

Ends 1/15  5pm ET. Winners announced 1/18. US residents only. Enter up to 1x /day/platform. Can't have won in past 6 mo.

#layngo  #makeup #giveaway",,,65,75,76,['https://pbs.twimg.com/media/EryPjGEWMAA0dY5?format=jpg&name=small'],https://twitter.com/layngo/status/1350111824096751620
Lizzy Parra,@jp_lizzy,2021-01-15T16:45:11.000Z,Would love one to keep my favorite makeup in a cute stylish bag,,😍,,,,[],https://twitter.com/jp_lizzy/status/1350121864253894656
Alamar Cosmetics,@AlamarCosmetics,2021-01-16T23:17:06.000Z,"SURPRISE #GIVEAWAY!

Two lucky winners will receive our New #DesNUDEas lip gloss collection!

How to enter:
follow 
@AlamarCosmetics
 
like & RT this post
Comment which shade is your favorite?

Good luck! Winners announced on Monday, 1/18.",,😏 🎉 ✨ ✨ ✨ 💋,496,549,665,['https://pbs.twimg.com/media/Er47-IfXIAcYr3X?format=jpg&name=small'],https://twitter.com/AlamarCosmetics/status/1350582881094148098
Lizzy Parra,@jp_lizzy,2021-01-26T04:48:45.000Z,"Replying to 
@peacockTV",,,,,,['https://pbs.twimg.com/tweet_video_thumb/EsoeMChW4AA6tIp.jpg'],https://twitter.com/jp_lizzy/status/1353927836189515777
Lizzy Parra,@jp_lizzy,2021-01-09T02:03:11.000Z,"Replying to 
@CashApp",$lizJP5 #CashAppFriday,,2,1,,[],https://twitter.com/jp_lizzy/status/1347725577806106624
Lizzy Parra,@jp_lizzy,2021-01-15T21:13:09.000Z,"Replying to 
@naturallight",#FINALLY21 #Sweepstakes,,,,,[],https://twitter.com/jp_lizzy/status/1350189303431888896
Lizzy Parra,@jp_lizzy,2021-01-06T23:07:33.000Z,"Replying to 
@CashApp","3,078 $lizJP5",,1,,,[],https://twitter.com/jp_lizzy/status/1346956601081688066
Lizzy Parra,@jp_lizzy,2021-01-18T04:20:23.000Z,"Replying to 
@VastGG","4,000",,,,,[],https://twitter.com/jp_lizzy/status/1351021593523269641
Lizzy Parra,@jp_lizzy,2021-01-02T21:23:12.000Z,"Replying to 
@jam_city",$lizJP5,,,,,[],https://twitter.com/jp_lizzy/status/1345480787701985291
Lizzy Parra,@jp_lizzy,2021-01-06T23:00:05.000Z,"Replying to 
@CashApp",$lizJP5 ,,1,,,[],https://twitter.com/jp_lizzy/status/1346954721307860993
Lizzy Parra,@jp_lizzy,2021-01-26T04:51:49.000Z,"Replying to 
@Tostitos",,💚,,,,[],https://twitter.com/jp_lizzy/status/1353928606133735425
Lizzy Parra,@jp_lizzy,2021-01-20T14:41:48.000Z,"Replying to 
@NYXCosmetics","@FairyMizore
 #Sweepstakes",,,,1,[],https://twitter.com/jp_lizzy/status/1351902756114739202
Lizzy Parra,@jp_lizzy,2021-01-30T02:35:11.000Z,"Replying to 
@LenovoLegion
 and 
@FairyMizore",#LegionAvengers,,,,,[],https://twitter.com/jp_lizzy/status/1355343774046691329
Lizzy Parra,@jp_lizzy,2021-01-12T18:28:14.000Z,"Replying to 
@jam_city",LizJP5 ,,,,,[],https://twitter.com/jp_lizzy/status/1349060637578682368
Lizzy Parra,@jp_lizzy,2021-01-26T04:45:45.000Z,"Replying to 
@layngo",@FairyMizore,,,,2,[],https://twitter.com/jp_lizzy/status/1353927081269276674
