UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
﮼خديجة،رشيد839,@kayjii89,2021-01-30T07:44:21.000Z,Morning,,💜 🔆,,,,['https://pbs.twimg.com/media/Es9su9BXMAEg-TC?format=jpg&name=medium'],https://twitter.com/kayjii89/status/1355421577865736192
﮼خديجة،رشيد839,@kayjii89,2021-01-21T19:06:03.000Z,,,💜,1,1,,['https://pbs.twimg.com/media/EsRydQ1W4AMRRPe?format=jpg&name=small'],https://twitter.com/kayjii89/status/1352331642334019591
﮼خديجة،رشيد839,@kayjii89,2021-01-22T21:52:58.000Z,,,💜,,,1,['https://pbs.twimg.com/media/EsXiQISXUAIlWBC?format=jpg&name=small'],https://twitter.com/kayjii89/status/1352736035009130496
﮼خديجة،رشيد839,@kayjii89,2021-01-30T02:51:38.000Z,,,💜 ♥,1,1,1,['https://pbs.twimg.com/media/Es8pvb4XIAEvc1x?format=jpg&name=small'],https://twitter.com/kayjii89/status/1355347913480806401
﮼خديجة،رشيد839,@kayjii89,2021-01-28T18:02:08.000Z,,,💜 🤣,,,,['https://pbs.twimg.com/media/Es1m9J6W4AEUMbv?format=jpg&name=small'],https://twitter.com/kayjii89/status/1354852272950358017
﮼خديجة،رشيد839,@kayjii89,2021-01-22T00:52:58.000Z,يارب,,💜 💔,,,1,[],https://twitter.com/kayjii89/status/1352418947904266241
﮼خديجة،رشيد839,@kayjii89,2021-01-25T00:07:54.000Z,نايتي,,💜 💗 ✨,,,,[],https://twitter.com/kayjii89/status/1353494769956171776
﮼خديجة،رشيد839,@kayjii89,2021-01-29T10:40:32.000Z,,,💜 😴 😴,,,,[],https://twitter.com/kayjii89/status/1355103529678077955
﮼خديجة،رشيد839,@kayjii89,2021-01-23T15:26:55.000Z,ياشينها والله,,💜,,,,[],https://twitter.com/kayjii89/status/1353001272530579457
﮼خديجة،رشيد839,@kayjii89,2021-01-23T05:39:07.000Z,,"A..F
@peace_1988_
 · Jan 22
ساعات الواحد مايدري شيقول مافي شي يعبر عن الي بداخله ولافي كلمة توصف حجم الي بقلبه وعقله",💜 🕊,,,,['https://pbs.twimg.com/profile_images/1421245696125112323/0Gt1kTHA_mini.jpg'],https://twitter.com/kayjii89/status/1352853347188027392
﮼خديجة،رشيد839,@kayjii89,2021-01-26T04:19:45.000Z,يارب,"د. حمد الحمادي
@HamadAlHammady
 · Jan 26
من يدري؟.. ربما يكون نصيبك اليوم أن تحدث لك مفاجأة رائعة.. تسعد قلبك.. وتجعله ينبض بشدة من الفرح.. ثم تتصل بأول شخص يطرأ على بالك لتبشره..ثم تفكر بما حدث.. وتتخيل لوهلة أنه حلم.. لكنك تنتبه بعد ثوانٍ معدودة أنه واقع.. وأنك بالفعل تعيش حدثك التاريخي السعيد..ثم تقول لنفسك: مبروووك!",💜 💗,,,,['https://pbs.twimg.com/profile_images/1401570683080032256/O_eeojJy_mini.jpg'],https://twitter.com/kayjii89/status/1353920536976498688
﮼خديجة،رشيد839,@kayjii89,2021-01-29T07:50:20.000Z,,"المُصْحَف
@AlMosahf
 · Jan 29
{قَدْ نَعْلَمُ إِنَّهُ لَيَحْزُنُكَ الَّذِي يَقُولُونَ ۖ}",💜 💔,,,,['https://pbs.twimg.com/profile_images/687300462240993281/BjTJb3ez_mini.jpg'],https://twitter.com/kayjii89/status/1355060695394607104
﮼خديجة،رشيد839,@kayjii89,2021-01-26T11:28:02.000Z,سبحان الله يرزق من يشاء,,💜,,,,[],https://twitter.com/kayjii89/status/1354028318367113217
﮼خديجة،رشيد839,@kayjii89,2021-01-26T22:35:31.000Z,يارب,"المُصْحَف
@AlMosahf
 · Jan 26
فَأَتَاهُمُ اللَّهُ مِنْ حَيْثُ لَمْ يَحْتَسِبُوا",💜 ♥,,,1,['https://pbs.twimg.com/profile_images/687300462240993281/BjTJb3ez_mini.jpg'],https://twitter.com/kayjii89/status/1354196297738317825
﮼خديجة،رشيد839,@kayjii89,2021-01-26T10:51:06.000Z,انهم يزدادون جمالا وانبهارا,,💜 🙄,,,,[],https://twitter.com/kayjii89/status/1354019025123233792
﮼خديجة،رشيد839,@kayjii89,2021-01-21T19:13:31.000Z,اي والله ,"𝙰𝙼𝙰𝙻
@rsr1927
 · Jan 21
Replying to @kayjii89
الكلمه الحلوه صدقه",💜 💔 💔 💔 🫀,,1,,['https://pbs.twimg.com/profile_images/1425697030656122882/CWkr3jYZ_mini.jpg'],https://twitter.com/kayjii89/status/1352333521038274561
﮼خديجة،رشيد839,@kayjii89,2021-01-26T23:01:25.000Z,لا والله,"ملكة
@MA1LIKA
 · Jan 26
#معلومات_ملكه
المولودون في شهر ٨ او تاريخ يحمل رقم ٨ يحملون حظ جيد",💜 😭,,,,['https://pbs.twimg.com/profile_images/1406757379883032584/f2xFXI5r_mini.jpg'],https://twitter.com/kayjii89/status/1354202814919155712
﮼خديجة،رشيد839,@kayjii89,2021-01-22T07:31:27.000Z,شلون تعلي بنيان ويروح لناس غربة,,💜 💔,,,,[],https://twitter.com/kayjii89/status/1352519230193807360
﮼خديجة،رشيد839,@kayjii89,2021-01-22T21:26:36.000Z,افرجها يا الله كأن لم يكن  شيئا ...,,💜,1,1,1,[],https://twitter.com/kayjii89/status/1352729400010223616
﮼خديجة،رشيد839,@kayjii89,2021-01-23T17:33:36.000Z,ماحب اصور مو غصب حياتي وانا حره فيها,,💜 😌 🙄,,,,[],https://twitter.com/kayjii89/status/1353033153498279936
﮼خديجة،رشيد839,@kayjii89,2021-01-22T07:10:06.000Z,الله يوفقهم يارب ,"يوسف الدوسري
@onlyyouiii
 · Jan 21
امه كانت حرفياً رافضه لكن اصراره وحبه للبنت خلاها توافق ربي يوفقهم ويسعدهم وعقبال باقي الحبايب
Show this thread",💜 🥰 🐎 🤍 🤍,,,1,['https://pbs.twimg.com/profile_images/1348810278230581248/DGiGYX71_mini.jpg'],https://twitter.com/kayjii89/status/1352513855990210561
﮼خديجة،رشيد839,@kayjii89,2021-01-23T17:35:17.000Z,ربي انت حسبي و وكيلي  اللهم فرج همي ويسر امري,,💜 💔,,,,[],https://twitter.com/kayjii89/status/1353033578620334080
