UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
keem hill,@keem_hill,2021-05-13T01:36:12.000Z,Mfs b weird,,,,,,[],https://twitter.com/keem_hill/status/1392654880360308738
keem hill,@keem_hill,2021-05-11T16:53:37.000Z,I get it now,,,,,,[],https://twitter.com/keem_hill/status/1392160980822642690
keem hill,@keem_hill,2021-05-12T05:55:25.000Z,You Live An You Learn ,,💯,,,,[],https://twitter.com/keem_hill/status/1392357725288472576
keem hill,@keem_hill,2021-05-13T20:36:38.000Z,I Just Dont Fw People ,,💯,,,2,[],https://twitter.com/keem_hill/status/1392941880632094723
keem hill,@keem_hill,2021-05-14T15:56:37.000Z,Everyday,"Evan Turner
@thekidet
 · May 14
I miss Kobe",😩,,,1,['https://pbs.twimg.com/profile_images/1150623522923749376/JXOskKKP_mini.jpg'],https://twitter.com/keem_hill/status/1393233798322601984
keem hill,@keem_hill,2021-05-11T17:26:41.000Z,Easy E,"Kollege Kidd
@KollegeKidd
 · May 10
Name an artist whose death you’ll never get over ",,,,,"['https://pbs.twimg.com/profile_images/1051275766032297986/WQ4g84WN_mini.jpg', 'https://pbs.twimg.com/media/E1C4GU5UYAQeHGc?format=jpg&name=small']",https://twitter.com/keem_hill/status/1392169300207800325
keem hill,@keem_hill,2021-05-10T15:37:33.000Z,Cake ,"The BIGGEST
@RenniRucci
 · May 9
Went to jail and that one held me down, she a real bitch  #freefoo",🤤 ✨ 🦋 🦄 ✨ 🦋 🦄,,,,"['https://pbs.twimg.com/profile_images/1427505751979855872/2bcNIbbZ_mini.jpg', 'https://pbs.twimg.com/media/E09qfoQXEAcVMIM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E09qfoWWUAoJ79F?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E09qfokWQAIAGrV?format=jpg&name=360x360']",https://twitter.com/keem_hill/status/1391779448773505028
keem hill,@keem_hill,2021-05-16T18:01:48.000Z,Who got cashapp I’ll give you the money in person,,,,,1,[],https://twitter.com/keem_hill/status/1393990077869608972
keem hill,@keem_hill,2021-05-12T18:19:51.000Z,weed don’t be hitting the same no more,,,,,,[],https://twitter.com/keem_hill/status/1392545069400473602
keem hill,@keem_hill,2021-05-11T17:37:19.000Z,You gotta drink more water,,,,,,[],https://twitter.com/keem_hill/status/1392171977683738625
lil princess,@samiaamiaa,2021-05-16T05:15:17.000Z,all i want is some cereal right now but its no milk ,,🥺 🥺 🥺 🥺,1,,,[],https://twitter.com/samiaamiaa/status/1393797180146782208
keem hill,@keem_hill,2021-05-16T05:17:12.000Z,Better use water,,,,,,[],https://twitter.com/keem_hill/status/1393797662747529216
ur fav scorpio,@liyahbiaa___,2021-05-12T19:38:14.000Z,drop IG names ,,😙 ⬇ ☺,6,1,1,[],https://twitter.com/liyahbiaa___/status/1392564794322993152
keem hill,@keem_hill,2021-05-12T19:41:46.000Z,fmbhakeem_,,,,,,[],https://twitter.com/keem_hill/status/1392565684169814016
keem hill,@keem_hill,2021-05-13T01:49:13.000Z,"Replying to 
@lil_des3",What episode lol,,,,,[],https://twitter.com/keem_hill/status/1392658156233400326
ur fav scorpio,@liyahbiaa___,2021-05-13T01:31:36.000Z,Leave A Message For The Last Person You Fucked . ,,😙 😭,4,7,2,[],https://twitter.com/liyahbiaa___/status/1392653721268592642
keem hill,@keem_hill,2021-05-13T01:32:43.000Z,You can’t take dick ,,😒,,,,[],https://twitter.com/keem_hill/status/1392654004170207237
ShonChea Renee’,@Shaaay_Young,2021-05-15T16:55:57.000Z,Niggas who ain’t got AIDS wyd? ,,👀,5,1,3,[],https://twitter.com/Shaaay_Young/status/1393611118354984964
keem hill,@keem_hill,2021-05-15T18:34:20.000Z,Listening to music ak bandamont,,,,,,[],https://twitter.com/keem_hill/status/1393635877126131718
keem hill,@keem_hill,2021-05-13T01:53:20.000Z,,"baby girl
@daniellee760
 · May 13
Idgaf who don’t fw me , y’all don’t do nothing for me ",😶 💯 💖 🤧,,,,['https://pbs.twimg.com/profile_images/1422752196463005698/ftzgQzKR_mini.jpg'],https://twitter.com/keem_hill/status/1392659193560240128
keem hill,@keem_hill,2021-05-13T01:31:23.000Z,"Replying to 
@lilAKbabyyy
 and 
@____di25",,🤥,,1,75,[],https://twitter.com/keem_hill/status/1392653666608373762
keem hill,@keem_hill,2021-05-13T02:11:49.000Z,"Replying to 
@SaveWithAsh1",,🥴,,,34,[],https://twitter.com/keem_hill/status/1392663844363935746
keem hill,@keem_hill,2021-05-13T04:08:47.000Z,"Replying to 
@beliedbride",,🤍 🤍 🤍,,,24,[],https://twitter.com/keem_hill/status/1392693280916312065
keem hill,@keem_hill,2021-05-13T01:35:06.000Z,"Replying to 
@iamlonniece",,🦋,,,30,[],https://twitter.com/keem_hill/status/1392654604035317760
keem hill,@keem_hill,2021-05-13T01:54:52.000Z,"Replying to 
@xthuggin_",,🥱,,,47,[],https://twitter.com/keem_hill/status/1392659579985666050
keem hill,@keem_hill,2021-05-13T21:22:23.000Z,"Replying to 
@therealbbymula",,🍯,,,43,[],https://twitter.com/keem_hill/status/1392953392704675843
keem hill,@keem_hill,2021-05-16T03:57:09.000Z,"Replying to 
@_lilbryce",,🔥,,,8,[],https://twitter.com/keem_hill/status/1393777513478987776
keem hill,@keem_hill,2021-05-15T14:40:21.000Z,"Replying to 
@ashakiiii",,🐢 🐢 🐢 🐢 🐢,,,2,[],https://twitter.com/keem_hill/status/1393576994957369344
keem hill,@keem_hill,2021-06-23T02:56:33.000Z,I want a better life ,,💯,,13,7,[],https://twitter.com/keem_hill/status/1407533004092809217
keem hill,@keem_hill,2021-06-25T03:24:36.000Z,Mfs Be WEIRD AF,,,,1,2,[],https://twitter.com/keem_hill/status/1408264837071843329
keem hill,@keem_hill,2021-06-24T03:30:28.000Z,Im Heartless AF Now IDGAF No More ,,💯,,5,6,[],https://twitter.com/keem_hill/status/1407903928465899523
keem hill,@keem_hill,2021-06-24T04:31:29.000Z,I could be up bandz an still play broke ,,💯,,6,5,[],https://twitter.com/keem_hill/status/1407919281036201987
keem hill,@keem_hill,2021-06-09T16:04:30.000Z,Iont even b on here ,,😂,,,1,[],https://twitter.com/keem_hill/status/1402657869435215876
keem hill,@keem_hill,2021-06-28T20:00:56.000Z,Ong its hot af glad i got Ac ,"Moon Chile
@TheePrizee11
 · Jun 28
Yes...I kinda love it though  twitter.com/kayrenee1997/s…",🤣 🌙 ♋ ♋ 🌙 🥴,,1,1,['https://pbs.twimg.com/profile_images/1426732405566627843/xIJ2BE2e_mini.jpg'],https://twitter.com/keem_hill/status/1409602738447605763
