UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Sheikh Mohammed,@klokeo38,2021-03-28T20:26:43.000Z,"Replying to 
@hfc_am1",3,,,,,[],https://twitter.com/klokeo38/status/1376269540762468352
Sheikh Mohammed,@klokeo38,2021-03-11T09:56:22.000Z,"Replying to 
@ANassr11",77,,,,,[],https://twitter.com/klokeo38/status/1369950316343549953
دوري كأس الأمير محمد بن سلمان,@SPL,2021-03-19T16:22:43.000Z,"توقعاتكم لمباريات الجولة 24؟ 

الــرائـد-الاتحاد 
الاتـفاق-الفيصلي 
الـفـتـح-الأهلي 
الشباب-التعاون 
الـهـلال-القادسية 
الـنصـر-الباطن 
أبــهـــا-ضمك 
الـعيـن-الوحدة",,👀 👌 ❓ ❓ ❓ ❓ ❓ ❓ ❓ ❓ ❓ ❓ ❓ ❓ ❓ ❓ ❓ ❓,352,129,320,[],https://twitter.com/SPL/status/1372946646447849474
Sheikh Mohammed,@klokeo38,2021-03-19T17:05:27.000Z,"الاتحاد 2
تعادل
الاهلي
الشباب
الهلال
النصر
أبها
الوحده",,,,,,[],https://twitter.com/klokeo38/status/1372957401591259145
طارق الزهراني / بطل الاستثنائي /62,@mhmad95236811,2021-03-25T00:06:10.000Z,"Replying to 
@ReNgo_Sport",الله يخليهم التحكيم هههههه اتمنى الفيصلي قدها ,💙 💙 😍 🏆 💙 🔥 🔥,1,,1,[],https://twitter.com/mhmad95236811/status/1374875219727384577
Sheikh Mohammed,@klokeo38,2021-03-25T08:49:57.000Z,طاقيه,,,,,,[],https://twitter.com/klokeo38/status/1375007033339023360
Sheikh Mohammed,@klokeo38,2021-03-20T10:10:29.000Z,"Replying to 
@Turki_alharbi44
 @AlNassrFC
 and 
@AlsuwaiketS","استاذ -س. تتذكر السوبر السعودي عندنا طلعنا الخصم 3
بس كيف كان هدفي بهلوني ",😁,,,,[],https://twitter.com/klokeo38/status/1373215361072566276
ابودليم,@Abudlim1,2021-04-20T21:39:36.000Z,ضغط نفسي رهيب سيتجاوزه الكبير قريباً بإذن الله,,,61,173,224,['https://pbs.twimg.com/media/EzcrGXQXEAYYgBl?format=jpg&name=small'],https://twitter.com/Abudlim1/status/1384622804188999684
Sheikh Mohammed,@klokeo38,2021-04-20T21:43:40.000Z,لا نكذب على انفسنا حمدالله انتهى,,,,,,[],https://twitter.com/klokeo38/status/1384623827221614593
سبتمبر,@moh_2222,2021-04-25T10:34:20.000Z,"#ماهو_سر_نجاح_الزواج 
يقولون حتى الي مسويه هذا الجدول 
ما نجح زواجها ",,😂,4,1,5,['https://pbs.twimg.com/media/Ez0Cx9uXsAANaj_?format=jpg&name=small'],https://twitter.com/moh_2222/status/1386267325440135172
Sheikh Mohammed,@klokeo38,2021-04-25T11:00:58.000Z,هههههههه ارح ينجح الا اذا كان قلوبكم نظيفه,,,,,,[],https://twitter.com/klokeo38/status/1386274026956406788
Sheikh Mohammed,@klokeo38,2021-04-24T17:29:52.000Z,"Replying to 
@AzizbagBag",ابو بغلف ترا كل يوم اعلق مافي فايده نصراوي ابا عن جد,,,,,[],https://twitter.com/klokeo38/status/1386009507491422211
متجر نادي النصر,@AlNassrFcStore,2021-04-02T16:00:06.000Z,"أكتب تعليق واذا ما فيه أحد رد عليك،
لك هدية من متجر النصر 

السحب على ٥ فائزين، قوّاكم الله ",,😌 💛 💙 😉,18.3K,1.6K,2K,[],https://twitter.com/AlNassrFcStore/status/1378014386581831683
Sheikh Mohammed,@klokeo38,2021-04-02T16:48:45.000Z,"انا عالمي لن يرد عليا ب كلام فهو منتظر منكم كأس الملك
لكي يقول عالمي",,,1,,,[],https://twitter.com/klokeo38/status/1378026628165611521
عبدالعزيز أحمد بغلف,@AzizbagBag,2021-04-30T16:34:18.000Z,"دخوول سريع ..
--
مين وده اضيفه...
وبعدين احظره..
---",,😂 🌹 😂 🌹,7.4K,4.9K,4.8K,[],https://twitter.com/AzizbagBag/status/1388169851999555593
Sheikh Mohammed,@klokeo38,2021-04-30T17:03:22.000Z,هلا والله,,,,,,[],https://twitter.com/klokeo38/status/1388177168719618050
ابودليم,@Abudlim1,2021-04-28T22:50:01.000Z,احس ان المترجم مضيّع,,,4,1,2,[],https://twitter.com/Abudlim1/status/1387539630694744067
Sheikh Mohammed,@klokeo38,2021-04-21T14:16:23.000Z,"Replying to 
@alsob7an10",16,,,,,[],https://twitter.com/klokeo38/status/1384873653708509185
jojo,@ma33433,2021-04-23T07:23:24.000Z,#جريمه_قتل_صباح_السالم حسبي الله عليك ونعم الوكيل,,,1,,1,[],https://twitter.com/ma33433/status/1385494500764700672
Sheikh Mohammed,@klokeo38,2021-04-23T09:25:02.000Z,حسبي الله ونعم الوكيل ,,😔,,,,[],https://twitter.com/klokeo38/status/1385525107792228353
عبدالعزيز أحمد بغلف,@AzizbagBag,2021-04-23T16:29:48.000Z,"تقبل الله من الجميع
--
إني أرى جوالات طايره
      قد اينعت وحان قطافها وأني لصاحبها.
---
الدوخه وماتفعل بصاحبها 
بعد الإفطار ",,🤲 🤲 😂 😂 😂 🌹 🌹,16.8K,9.5K,6.7K,[],https://twitter.com/AzizbagBag/status/1385632006789341188
Sheikh Mohammed,@klokeo38,2021-04-23T16:32:34.000Z,مفيش فايده ي ابو خلف ,,😔,,,1,[],https://twitter.com/klokeo38/status/1385632701173149697
Hosam,@iihos1,2021-04-22T20:56:58.000Z,"اضحك على قد فلوسك ؟
-ههه",,,1.8K,214,1.9K,[],https://twitter.com/iihos1/status/1385336853923078148
