UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
TUMS,@TUMSOfficial,2021-02-08T03:17:52.000Z,"Huge thank you to everyone who played along during our #TUMSBingoSweepstakes! 

What do you think was the most TUMSWORTHY moment of the game? Let us know using the hashtag! ",,🏈 🔵,698,173,1.1K,['https://pbs.twimg.com/media/EtrF8g0WQAIdR9g?format=jpg&name=small'],https://twitter.com/TUMSOfficial/status/1358616004650274816
Lisa Bloome,@littlepoo65,2021-02-08T03:21:10.000Z,#TUMSBingoSweepstakes The many sacks,,,,,,[],https://twitter.com/littlepoo65/status/1358616838352089092
TUMS,@TUMSOfficial,2021-02-08T03:02:13.000Z,Lots of debate over that one. What do you guys think? Should that count as What Was That Ref? on our #TUMSBingoSweepstakes? Tweet us with the hashtag and let us know.,,,343,84,305,['https://pbs.twimg.com/ext_tw_video_thumb/1358611966332440577/pu/img/CCJOm1BDpH6-qC-3.jpg'],https://twitter.com/TUMSOfficial/status/1358612068593790979
Lisa Bloome,@littlepoo65,2021-02-08T03:04:47.000Z,#TUMSBingoSweepstakes yes it should count,,,,,,[],https://twitter.com/littlepoo65/status/1358612715477094400
TUMS,@TUMSOfficial,2021-02-08T02:25:32.000Z,Last quarter of the big game! Any TUMSWORTHY moments happening at your house? Tweet us with #TUMSBingoSweepstakes for your chance to earn a bonus prize! 50 $100 gift cards up for grabs!,,,967,241,640,[],https://twitter.com/TUMSOfficial/status/1358602835345211398
Lisa Bloome,@littlepoo65,2021-02-08T02:27:29.000Z,#TUMSBingoSweepstakes Almost out of pistachios!,,,,,,[],https://twitter.com/littlepoo65/status/1358603327425159169
Grubhub,@Grubhub,2021-02-08T16:15:00.000Z,"Tell us which restaurant or driver holds the key to your heart with #LoveDelivered, and we'll support restaurant and driver organizations with $1 per tweet (up to $200K). Plus, you’ll get the chance to win 1 of 50 $50 Grubhub gift cards. 

Rules: http://grhb.me/LoveDelivered",,,3.2K,788,2.8K,['https://pbs.twimg.com/ext_tw_video_thumb/1356705163042562051/pu/img/9CditZerotwzRWQq.jpg'],https://twitter.com/Grubhub/status/1358811577676402690
Venmo,@Venmo,2021-02-11T18:59:01.000Z,"#VenmoItForward: RT this post , tag your Valentine, and share what you love most about them.  We might send you both $500.

Must follow 
@Venmo
. No purch nec. Ends 2/18. US only, 18+. Venmo account required. Rules: http://payp.al/venmotw",,🔁 💕,3K,3.2K,2.2K,['https://pbs.twimg.com/media/Et9sBRYVEAMzIvH?format=jpg&name=small'],https://twitter.com/Venmo/status/1359940017045479424
Lisa Bloome,@littlepoo65,2021-02-13T00:01:47.000Z,"@tabchris1
 A sweetheart   inside and out!",,💕 💖,,,,[],https://twitter.com/littlepoo65/status/1360378599161872388
Lisa Bloome,@littlepoo65,2021-02-13T00:05:35.000Z,"Replying to 
@Venmo","@patpalka
 A lovely person  inside and out!",💕,,,,[],https://twitter.com/littlepoo65/status/1360379557015138306
Lisa Bloome,@littlepoo65,2021-02-08T02:43:45.000Z,"Replying to 
@DietzandWatson",#dietznutssack,,,,,[],https://twitter.com/littlepoo65/status/1358607420088541189
Lisa Bloome,@littlepoo65,2021-02-08T02:53:41.000Z,"Replying to 
@DietzandWatson",#DietzNutsSack,,,,,[],https://twitter.com/littlepoo65/status/1358609922431328256
Lisa Bloome,@littlepoo65,2021-02-08T03:07:02.000Z,"Replying to 
@TUMSOfficial",#TUMSBingoSweepstakes,,,,,[],https://twitter.com/littlepoo65/status/1358613281787813897
Lisa Bloome,@littlepoo65,2021-02-08T02:44:13.000Z,"Replying to 
@TUMSOfficial",#TUMSBingoSweepstakes  I do!,,,,,[],https://twitter.com/littlepoo65/status/1358607538867044353
Lisa Bloome,@littlepoo65,2021-02-08T03:13:15.000Z,"Replying to 
@TUMSOfficial",#TUMSBingoSweepstakes yes,,,,,[],https://twitter.com/littlepoo65/status/1358614844681953284
Lisa Bloome,@littlepoo65,2021-02-08T02:58:43.000Z,"Replying to 
@adidasUS","#MahomesZoneSweepstakes 
@adidasUS",,1,,,[],https://twitter.com/littlepoo65/status/1358611186686824448
Lisa Bloome,@littlepoo65,2021-02-08T02:25:30.000Z,"Replying to 
@MichelobULTRA",#JoyWins #Sweepstakes,,,,,[],https://twitter.com/littlepoo65/status/1358602828042936321
Lisa Bloome,@littlepoo65,2021-02-08T04:28:45.000Z,"Replying to 
@budweiserusa",#EyesOnTheClydes #sweepstakes,,,,,[],https://twitter.com/littlepoo65/status/1358633843817910273
Lisa Bloome,@littlepoo65,2021-02-10T02:02:15.000Z,"Replying to 
@TMobile",#TMobileTuesdays #contest,,,,,[],https://twitter.com/littlepoo65/status/1359321752460009473
Lisa Bloome,@littlepoo65,2021-02-23T04:59:38.000Z,"Replying to 
@JoseCuervo",#NationalMargaritaDay #ThanksTodd,,,,,[],https://twitter.com/littlepoo65/status/1364077436212764672
Lisa Bloome,@littlepoo65,2021-02-11T12:05:02.000Z,"Replying to 
@TMobile",#TMobileTuesdays  + #contest,,,,,[],https://twitter.com/littlepoo65/status/1359835834174865413
Lisa Bloome,@littlepoo65,2021-02-23T05:42:28.000Z,"Replying to 
@Klondikebar",#IWouldDoANYTHINGForAKlondikeConeZoneSweepstakes #KlondikeConeZone,,,1,,[],https://twitter.com/littlepoo65/status/1364088213292384256
Lisa Bloome,@littlepoo65,2021-02-08T02:21:28.000Z,"Replying to 
@pepsi
 and 
@theweeknd",#takehomehalftime #Sweepstakes,,,1,,[],https://twitter.com/littlepoo65/status/1358601813075890176
Lisa Bloome,@littlepoo65,2021-02-08T03:17:43.000Z,"Replying to 
@budweiserusa
 and 
@Buccaneers",#EyesOnTheClydes #Sweepstakes,,,,,[],https://twitter.com/littlepoo65/status/1358615969543954434
Lisa Bloome,@littlepoo65,2021-02-08T02:52:55.000Z,"Replying to 
@DietzandWatson
 and 
@SvenRugger",#Dietznutssack,,,,,[],https://twitter.com/littlepoo65/status/1358609726834171908
Lisa Bloome,@littlepoo65,2021-02-10T01:22:56.000Z,"Replying to 
@BuschBeer",#HandOnRV #BuschSweepstakes,,1,,,[],https://twitter.com/littlepoo65/status/1359311856339456004
Lisa Bloome,@littlepoo65,2021-02-14T20:49:18.000Z,"Replying to 
@ZamundaRoyals",#Coming2America #giveaway,,1,,,[],https://twitter.com/littlepoo65/status/1361054933789900811
Lisa Bloome,@littlepoo65,2021-02-08T02:32:36.000Z,"Replying to 
@adidasUS
 and 
@PatrickMahomes","#MahomesZoneSweepstakes 
@adidasUS",,1,,,[],https://twitter.com/littlepoo65/status/1358604616766795779
Lisa Bloome,@littlepoo65,2021-02-18T21:54:03.000Z,"Replying to 
@BuschBeer","#Sweepstakes #BuschSnowDay 
@tabchris1",,,,,[],https://twitter.com/littlepoo65/status/1362520782170169349
Lisa Bloome,@littlepoo65,2021-02-24T11:43:36.000Z,"Replying to 
@Klondikebar",#KlondikeConeZone #IWouldDoANYTHINGForAKlondikeConeZoneSweepstakes,,,1,,[],https://twitter.com/littlepoo65/status/1364541482452008963
Lisa Bloome,@littlepoo65,2021-03-14T02:31:55.000Z,"#DEWLostLureSweepstakes 
@MountainDew
  our favorite vintage lure!",,,,,1,['https://pbs.twimg.com/media/EwaBmL6XIAYamRX?format=jpg&name=small'],https://twitter.com/littlepoo65/status/1370925632448790528
Lisa Bloome,@littlepoo65,2021-03-20T02:58:16.000Z,"Replying to 
@HVRanch",#NationalRanchMonth #sweepstakes Double Dipper!,,,,,['https://pbs.twimg.com/media/Ew5BKjnWEAAG9QZ?format=jpg&name=small'],https://twitter.com/littlepoo65/status/1373106589104758790
Lisa Bloome,@littlepoo65,2021-03-14T18:06:03.000Z,"@MountainDew
 #DEWLostLureSweepstakes  Another fave of ours!",,,,,,['https://pbs.twimg.com/media/EwdXZrQWgAEOH-o?format=jpg&name=small'],https://twitter.com/littlepoo65/status/1371160713138470918
M&M'S,@mmschocolate,2021-03-02T17:14:19.000Z,"#Sweepstakes That’s right, your favorite cookie sandwich just got better with two new flavors! Reply with #MMSSweepstakes & which one you want to try for a chance to win a taste!
•
•
•
No Purch. Nec 50 US/DC 18+. Ends 3/3/2021 11:59 PM EST. Rules: http://bit.ly/3uLoZuw",,,1.6K,413,1.2K,['https://pbs.twimg.com/media/EvfYeDNXAAQP7Vb?format=jpg&name=small'],https://twitter.com/mmschocolate/status/1366799041141608455
Lisa Bloome,@littlepoo65,2021-03-04T15:05:30.000Z,"Replying to 
@Klondikebar",#IWouldDoANYTHINGForAKlondikeConeZoneSweepstakes #KlondikeConeZone,,,1,1,[],https://twitter.com/littlepoo65/status/1367491396823879684
Lisa Bloome,@littlepoo65,2021-03-15T20:06:34.000Z,"@Perrier
 #PerrierEnergize #Sweepstakes",,,,,,[],https://twitter.com/littlepoo65/status/1371553428028149761
Lisa Bloome,@littlepoo65,2021-03-29T01:41:58.000Z,"Replying to 
@oscarmayer",#OscarCookMyKicks #Sweepstakes,,,,,[],https://twitter.com/littlepoo65/status/1376348879302590466
Lisa Bloome,@littlepoo65,2021-03-08T02:46:20.000Z,"Replying to 
@BuschBeer
 and 
@chillnreel",#sweepstakes,,,1,,[],https://twitter.com/littlepoo65/status/1368754931516256260
Lisa Bloome,@littlepoo65,2021-03-23T03:27:44.000Z,"Replying to 
@naturallight","#sweepstakes 
@tabchris1",,,,,[],https://twitter.com/littlepoo65/status/1374201167245410306
Lisa Bloome,@littlepoo65,2021-03-09T18:02:37.000Z,"Replying to 
@FalkenTire
 and 
@GLCollectibles",#FordMustang #Giveaway #contest #FalkenTire #win #prize #swag!,,,1,,[],https://twitter.com/littlepoo65/status/1369347910744301568
Lisa Bloome,@littlepoo65,2021-03-15T11:30:14.000Z,"@MountainDew
 #DEWLostLureSweepstakes  Another vintage favorite",,,,,,['https://pbs.twimg.com/media/EwhGZPzXMAIyqsd?format=jpg&name=900x900'],https://twitter.com/littlepoo65/status/1371423488582561793
Lisa Bloome,@littlepoo65,2021-03-16T03:18:28.000Z,"Replying to 
@HVRanch",#NationalRanchMonth #Sweepstakes,,,,,['https://pbs.twimg.com/media/EwkfbiqW8AUBlJE?format=jpg&name=small'],https://twitter.com/littlepoo65/status/1371662122032193539
Lisa Bloome,@littlepoo65,2021-03-07T12:34:50.000Z,"Replying to 
@FalkenTire",#free #giveaway #contest #FalkenTire #win #prize #swag! #cornhole,,,1,,[],https://twitter.com/littlepoo65/status/1368540643002355719
Lisa Bloome,@littlepoo65,2021-03-04T01:21:38.000Z,"@HVRanch
 #NationalRanchMonth #sweepstakes",,,,,,['https://pbs.twimg.com/media/EvmRm9GXMAIYDx-?format=jpg&name=small'],https://twitter.com/littlepoo65/status/1367284062822531073
Funko,@OriginalFunko,2021-04-26T03:07:05.000Z,"Follow us (
@OriginalFunko
) and comment below with your most recent Funko item for the chance to WIN this Social Media Freddy Funko Pop! #Funko #FunkoPop #FreddyFunko #Funkogiveaway #giveaway",,,2.5K,2.9K,3.1K,"['https://pbs.twimg.com/media/Ez3mARAXoAA10_O?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ez3mAhIWUAMAbGi?format=jpg&name=360x360']",https://twitter.com/OriginalFunko/status/1386517158809767938
Lisa Bloome,@littlepoo65,2021-04-26T22:46:35.000Z,My most recent Funko purchase was Stewart Bloom from The Big Bang Theory.  Now I have the whole set!  Yeah!  #Funko #FunkoPop #FreddyFunko #Funkogiveaway #giveaway,,,,,,[],https://twitter.com/littlepoo65/status/1386813988424622081
Lisa Bloome,@littlepoo65,2021-04-09T02:32:23.000Z,"Replying to 
@Venmo","#VenmoItForward 
@patpalka",,,,,[],https://twitter.com/littlepoo65/status/1380347832511660037
Dairy Queen,@DairyQueen,2021-05-18T15:58:46.000Z,"Enter for a chance to win $5K in BLIZZARD Treats! Retweet this post w/ #DQSweetestSeasonPass + #DQSweepstakes & your favorite 2021 Summer BLIZZARD Treat Menu flavor. 

No Purch. Nec. Ends 5/24/21. 18+, US only (excl. TX). Rules: https://bit.ly/3fhEoMa.","0:13
268.7K views",,3.5K,12.2K,3.4K,[],https://twitter.com/DairyQueen/status/1394683891240296449
Lisa Bloome,@littlepoo65,2021-05-22T11:39:35.000Z,#DQSweetestSeasonPass + #DQSweepstakes DRUMSTICK with peanuts of course!,,,,,,[],https://twitter.com/littlepoo65/status/1396068217353818113
Lisa Bloome,@littlepoo65,2021-05-21T21:57:28.000Z,#sayalohatoflavortown,,,,,,['https://pbs.twimg.com/media/E18YeMlWQAQ2ADZ?format=jpg&name=900x900'],https://twitter.com/littlepoo65/status/1395861325461565443
Lisa Bloome,@littlepoo65,2021-05-20T02:48:22.000Z,"#UltimateHockeyHangout #Sweepstakes 
@pepsi
 @littlecaesars",,,,,,['https://pbs.twimg.com/media/E1zH4FpXsAM38gF?format=jpg&name=900x900'],https://twitter.com/littlepoo65/status/1395209757133266944
Dairy Queen,@DairyQueen,2021-05-18T15:58:46.000Z,"Enter for a chance to win $5K in BLIZZARD Treats! Retweet this post w/ #DQSweetestSeasonPass + #DQSweepstakes & your favorite 2021 Summer BLIZZARD Treat Menu flavor. 

No Purch. Nec. Ends 5/24/21. 18+, US only (excl. TX). Rules: https://bit.ly/3fhEoMa.","268.7K views
0:04 / 0:15",,3.5K,12.2K,3.4K,[],https://twitter.com/DairyQueen/status/1394683891240296449
Lisa Bloome,@littlepoo65,2021-05-21T10:56:03.000Z,"Replying to 
@DairyQueen",#DQSweetestSeasonPass + #DQSweepstakes  DRUMSTICK with peanuts!,,,,,[],https://twitter.com/littlepoo65/status/1395694875593646081
Venmo,@Venmo,2021-06-03T14:00:02.000Z,"#VenmoItForward, summer vacation edition: We're giving out $10,000 today. RT this, drop your Venmo handle & tag a travel buddy. We might send you both $100, $250, or $500.

Must follow 
@Venmo
. No purch nec. Ends 6/3. US only, 18+. Venmo acct req'd. Rules: http://venmo.me/vif",,,10K,8.5K,4.8K,['https://pbs.twimg.com/media/E26NUibVkAYZhm4?format=jpg&name=small'],https://twitter.com/Venmo/status/1400452217295892487
Lisa Bloome,@littlepoo65,2021-06-04T02:44:19.000Z,"#VenmoItForward 
@patpalka
 It's finally vacation time!  Yeah!",,,,,,['https://pbs.twimg.com/media/E3AWzXsXoAIJBOL?format=jpg&name=medium'],https://twitter.com/littlepoo65/status/1400644557767856129
Mastercard,@Mastercard,2021-06-12T13:28:09.000Z,"We’re so close to the moments we’ve been waiting so long for. That's why we’re giving away Priceless reunion trips every day to help people reconnect.

Share what you're looking forward to about your next reunion with #PricelessSurprises & #Sweepstakes  for a chance to win.","No Purch Nec. Open to 50 US/DC, 18+. Ends 7/4. See Rules.
mastercard.us",⬇,1K,470,4.6K,['https://pbs.twimg.com/media/E3rnD8cXoAIx3gj.jpg'],https://twitter.com/Mastercard/status/1403705683359502344
Lisa Bloome,@littlepoo65,2021-06-20T01:18:20.000Z,"I've belonged to a group, with people from all over, for the past 25 years. We are close and try to get together twice a year. It's been about 19 months since we've been able to do so and I really miss them. I would be grateful see everyone again. #PricelessSurprises #Sweepstakes",,,,,,[],https://twitter.com/littlepoo65/status/1406421121814175744
T-Mobile,@TMobile,2021-06-05T00:49:38.000Z,"Make a $5g wish—and it just might come true 
 
#TMobileTuesdays is turning 5 and to celebrate, we’re giving 5 winners $5g each. 
 
Tweet how you’d spend the cash using #Thankiversary #contest to enter for a chance to win. 
 
: https://t-mo.co/TMTrules",,✨ 📲,3.7K,1.5K,2.6K,['https://pbs.twimg.com/media/E3E7jHIUcAQbikf.jpg'],https://twitter.com/TMobile/status/1400978083537063937
Spotify USA,@SpotifyUSA,2021-06-02T13:00:13.000Z,"Got the shot*? Tell us why you’re excited for the safe return of live music using #SafeBeforeShows + #Sweepstakes and you could win tickets to a select independent regional concert venue  

Rules: https://bit.ly/2SzdyaA",,🎫,1.7K,430,1.1K,['https://pbs.twimg.com/media/E24Nk_LXMAUlS9z?format=jpg&name=small'],https://twitter.com/SpotifyUSA/status/1400074776882958340
Lisa Bloome,@littlepoo65,2021-06-04T02:19:31.000Z,#SafeBeforeShows #Sweepstakes. I'm excited to hear live music again....sitting on a blanket on a warm summer night....listening to our favorite bands at a concert venue....gathering with friends and no masks.,,,,,,[],https://twitter.com/littlepoo65/status/1400638313162285059
T-Mobile,@TMobile,2021-06-01T09:00:02.000Z,"We’re drawing 5 winners to celebrate 5 years of #TMobileTuesdays 

Tweet what you’d do with $5g using #Thankiversary #contest and we just might help make your wish come true. Enter now for a chance to win!

: https://t-mo.co/TMTrules",,🥳 📲,47.2K,14.5K,13.4K,['https://pbs.twimg.com/media/E2hBLnmWQAIamEn.jpg'],https://twitter.com/TMobile/status/1399651943644008449
Lisa Bloome,@littlepoo65,2021-06-01T22:40:25.000Z,"#Thankiversary #contest #TMobile #TMobileTuesdays  I would put the $5,000 towards a newer vehicle!",,,,,,[],https://twitter.com/littlepoo65/status/1399858400125722624
Lisa Bloome,@littlepoo65,2021-06-14T03:38:01.000Z,"Replying to 
@eaglerarelife
 and 
@BuffaloTrace",#EagleRareDad #Sweepstakes  My Dad is 88 years old and luckily still very active.  He's worked so hard in a factory for 50 + yrs but never made much money.   He's only left the state 2x for a vacation in all his years of life.   What a wonderful surprise for such a deserving man.,,,,1,[],https://twitter.com/littlepoo65/status/1404281948143558658
Lisa Bloome,@littlepoo65,2021-06-01T12:05:22.000Z,"Replying to 
@kraftmacncheese",#WildSmiles #Sweepstakes,,,,,['https://pbs.twimg.com/media/E2y6cGPX0AU8H55?format=jpg&name=small'],https://twitter.com/littlepoo65/status/1399698584501723142
Lisa Bloome,@littlepoo65,2021-06-02T11:42:16.000Z,"Replying to 
@kraftmacncheese",#WildSmiles #Sweepstakes,,,,,['https://pbs.twimg.com/media/E23-v5aX0AUfcSh?format=jpg&name=small'],https://twitter.com/littlepoo65/status/1400055160861347844
Bojangles,@Bojangles,2021-07-16T17:23:36.000Z,"Woo-wee! We’re burning up. That means…It’s Bo Time! 

Reply with a  GIF for a chance to win one of 5 Bo pickleball sets. #HotBoSummer",,🔥,748,119,435,['https://pbs.twimg.com/media/E6bywbkXMAEj2OK?format=jpg&name=small'],https://twitter.com/Bojangles/status/1416086127237378053
Lisa Bloome,@littlepoo65,2021-07-16T17:32:51.000Z,#HotBoSummer. Super hot here too!,GIF,,,,,['https://pbs.twimg.com/tweet_video_thumb/E6b07-nWYAo77Pb.jpg'],https://twitter.com/littlepoo65/status/1416088451632574472
Lisa Bloome,@littlepoo65,2021-07-21T18:13:45.000Z,#ULTRATinkerDrop #Sweepstakes Would love the 105 bottles of beer! ,,😊 😊 😊,,,,[],https://twitter.com/littlepoo65/status/1417910684973682690
Lisa Bloome,@littlepoo65,2021-07-15T19:44:52.000Z,#HitTheBuds #Sweepstakes Me and the Hubs loving the Buds on a hot summer day!,,,,,,[],https://twitter.com/littlepoo65/status/1415759287834529802
A&W Restaurants,@awrestaurants,2021-07-16T17:30:01.000Z,Time for another #FreeFloatFriday giveaway! FOLLOW us and RETWEET for your chance to win a limited edition Root Beer Float Kit. ,,🎉,193,1.2K,775,['https://pbs.twimg.com/media/E6b0SwKXsAInzNj?format=jpg&name=small'],https://twitter.com/awrestaurants/status/1416087738604994562
Lisa Bloome,@littlepoo65,2021-07-17T01:56:35.000Z,"#FreeFloatFriday I would love to have one of these right now!  It's been a very, long hot day at work.",GIF,,,,,['https://pbs.twimg.com/tweet_video_thumb/E6doO2eWYAAHlWq.jpg'],https://twitter.com/littlepoo65/status/1416215222164000778
Bojangles,@Bojangles,2021-07-14T18:29:26.000Z,"Oof. It’s hot. And that can only mean one thing:  prizes. #HotBoSummer
We've got these cornhole boards (with biscuit bags) and $500 in gift cards up for grabs. Want to win 'em? Tag your cornhole partner in the comments for a chance to win. ",,🔥 🔥 🔥 👇,1.8K,296,1.2K,['https://pbs.twimg.com/media/E6Ruh83XEAYrQ6b?format=jpg&name=small'],https://twitter.com/Bojangles/status/1415377918063218689
Lisa Bloome,@littlepoo65,2021-07-14T18:45:09.000Z,"My best and favorite cornhole partner! 
@patpalka
 #HotBoSummer",,🤩,,,,[],https://twitter.com/littlepoo65/status/1415381870963998725
Funko,@OriginalFunko,2021-07-18T21:00:08.000Z,"Happy National Ice Cream Day ! Follow 
@OriginalFunko
 and comment below with your favorite ice cream flavor for the chance to WIN a 
@HotTopic
 exclusive Mickey Mouse with Popsicle Pop! #Funko #FunkoPop #FunkoGiveaway #nationalicecreamday 
@Disney",,🍦 🍨,2.3K,2.6K,4.1K,"['https://pbs.twimg.com/media/E6m3j-dWEAAUJFe?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E6m3kPWXIAkebPG?format=jpg&name=360x360']",https://twitter.com/OriginalFunko/status/1416865392765587463
Lisa Bloome,@littlepoo65,2021-07-18T22:37:58.000Z,Peanut Butter Swirl!  #Funko #Funkopop #FunkoGiveaway #NationalIceCreamDay,,,,,,[],https://twitter.com/littlepoo65/status/1416890015242723331
