UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
lokicat,@lokiccat,2021-08-13T18:32:47.000Z,"@Millions
 melted but still@fun!!  #GoldOrChocolate",,,,,,['https://pbs.twimg.com/media/E8sPLCbVUAIozfv?format=jpg&name=small'],https://twitter.com/lokiccat/status/1426250397908307968
lokicat,@lokiccat,2021-08-19T22:14:11.000Z,I'm reaching for my Stella bucket hat.,"Tweet #BucketHat
Tweet #BaseballHat",,,,,['https://pbs.twimg.com/ad_img/1428431251367661571/JmojzTYs?format=jpg&name=small'],https://twitter.com/lokiccat/status/1428480440059400192
lokicat,@lokiccat,2021-08-25T15:08:24.000Z,"I just found the new Limited Edition 
@StellaArtois
 and 
@PALACELONDON
 can. #PalaceArtois","Unlock can locations
Tweet #PalaceArtois",,,,,['https://pbs.twimg.com/ad_img/1430198018704302085/6zrWM46m?format=jpg&name=small'],https://twitter.com/lokiccat/status/1430547614039101448
Foot Locker,@footlocker,2021-08-25T17:00:15.000Z,"What are you rocking with the new NB 550s that are dropping soon? Comment with your combo by 11:59 pm EST tonight, and we’ll randomly select 3 people to win a pair before they release!  #FLHomeGame",,,113,23,198,['https://pbs.twimg.com/amplify_video_thumb/1430575718350659588/img/p2--Y0bhtXxRmuSo.jpg'],https://twitter.com/footlocker/status/1430575764659900417
lokicat,@lokiccat,2021-08-27T13:34:31.000Z,Peach,,,,,,[],https://twitter.com/lokiccat/status/1431248765365604352
AT&T Explore,@ATTexplore,2021-08-20T15:04:20.000Z,"Enter for a chance to win this back-to-school tech bundle!
 
Follow 
@ATTexplore
RT or reply to this post by 8/22/21
Tag a friend
 
And include:
http://go.att.com/2021backtoschooldeals…
“3x the tech we love!”
#attexplore and #sweepstakes
 
No purch necessary. Rules: http://bit.ly/backtoschooltechsweeps…",,,1.2K,1K,1K,['https://pbs.twimg.com/amplify_video_thumb/1428734580316585985/img/Cjq1Y6x9gQjeFdjg.jpg'],https://twitter.com/ATTexplore/status/1428734652001529865
lokicat,@lokiccat,2021-08-20T16:06:47.000Z,"http://go.att.com/2021backtoschooldeals……
“3x the tech we love!”
#attexplore and #sweepstakes 
@logicuity","Back to School Phone Deals, Smartwatches, Tablets & More - AT&T
Shop AT&T for great back to school phone deals along with deals on tablets, accessories, and the tech essentials you need for this school year.
att.com",,,,1,['https://pbs.twimg.com/card_img/1433854096436764672/REPJsv1R?format=jpg&name=240x240'],https://twitter.com/lokiccat/status/1428750370616930306
Sticker Mule,@stickermule,2021-08-13T22:46:21.000Z,"$500 to 1 person who tags a “popular” account and tells them, they can have their followers, but they can never have our Vinny!

Also RT if you like Vinny.",,,777,710,727,['https://pbs.twimg.com/media/E8tJJJ_WYAMXj8X?format=jpg&name=small'],https://twitter.com/stickermule/status/1426314209869144070
lokicat,@lokiccat,2021-08-14T02:34:31.000Z,"@MichelobULTRA
 love the beer but no stickers?",,,,,,[],https://twitter.com/lokiccat/status/1426371627189563395
Sticker Mule,@stickermule,2021-08-13T21:53:10.000Z,$500 to 1 person who tags a “fancy pants” person and tells them to follow Sticker Mule!,,,1.3K,747,1.2K,[],https://twitter.com/stickermule/status/1426300823823339522
lokicat,@lokiccat,2021-08-14T02:34:50.000Z,"@LokiKorba
 follow",,,,,,[],https://twitter.com/lokiccat/status/1426371706038349824
Bud Light Gaming,@BudLightGaming,2021-08-28T16:02:50.000Z,"Every time a Nexus explodes during #LCS tweet #DestroyTheNexus #sweepstakes and follow 
@BudLightGaming
 to lower our Nexus health bar for a chance at winning The Ultimate Bud Light Gaming Bundle + exclusive gear and merch.

Not to mention, free beer* for everyone who enters!",,,616,223,473,['https://pbs.twimg.com/media/E948s36WQAU-gi6?format=jpg&name=small'],https://twitter.com/BudLightGaming/status/1431648477524733953
lokicat,@lokiccat,2021-08-28T16:21:28.000Z,tweet #DestroyTheNexus #sweepstakes,,,,,,[],https://twitter.com/lokiccat/status/1431653168853651459
Cash App,@CashApp,2021-08-25T16:27:04.000Z,"Replying to 
@CashApp","Another hot tip from Hot Girl CEO 
@theestallion",,827,331,1.4K,['https://pbs.twimg.com/ext_tw_video_thumb/1430566838010777603/pu/img/R7q4p00MYfw0mh6g.jpg'],https://twitter.com/CashApp/status/1430567411523194884
lokicat,@lokiccat,2021-08-25T23:06:27.000Z,$lokidadrk,,,,,,[],https://twitter.com/lokiccat/status/1430667921320153092
lokicat,@lokiccat,2021-08-19T15:32:39.000Z,#venmome,"Venmo
@Venmo
 · Aug 19
0:09
We’re giving out $20,000 today. RT this with your Venmo handle for a chance to win $250. #VenmoMe

Must follow @Venmo. No purch nec. Ends 8/19. US only, 18+. Venmo acct req’d. Rules: ",,,,,"['https://pbs.twimg.com/media/E9KffCHUcAAzdDv?format=jpg&name=medium', 'https://pbs.twimg.com/profile_images/1330956198456147968/INnnHQyY_mini.png', 'https://pbs.twimg.com/amplify_video_thumb/1428124852133666816/img/SBI_F0rww1PK5W1l?format=jpg&name=120x120']",https://twitter.com/lokiccat/status/1428379392883838982
lokicat,@lokiccat,2021-08-19T15:32:47.000Z,"Replying to 
@Venmo",,,,,,['https://pbs.twimg.com/media/E9Kfg5oVcAUVdcw?format=jpg&name=medium'],https://twitter.com/lokiccat/status/1428379425066782723
lokicat,@lokiccat,2021-08-19T16:18:34.000Z,"Replying to 
@marcuslemonis",#PURPOSE,,,,,[],https://twitter.com/lokiccat/status/1428390947721682945
lokicat,@lokiccat,2021-08-13T18:18:03.000Z,"Replying to 
@StellaArtois",,👻,,,,[],https://twitter.com/lokiccat/status/1426246689740845057
lokicat,@lokiccat,2021-08-14T16:22:49.000Z,"Replying to 
@MichelobULTRA",,❤,,,,[],https://twitter.com/lokiccat/status/1426580074552205313
lokicat,@lokiccat,2021-08-23T02:26:30.000Z,"Replying to 
@AmstelLight",Ben hogan,,,,1,[],https://twitter.com/lokiccat/status/1429631102537273344
lokicat,@lokiccat,2021-08-16T16:59:55.000Z,"@Tubi
 #FreeLikeTubiSweepstakes #Bitefest",,,1,,,[],https://twitter.com/lokiccat/status/1427314189022863371
lokicat,@lokiccat,2021-08-27T18:02:17.000Z,"Replying to 
@CashApp",$pccsd,,,,,[],https://twitter.com/lokiccat/status/1431316148482494467
lokicat,@lokiccat,2021-08-27T17:45:08.000Z,"Replying to 
@ao
 and 
@SamsungMobile",#aowin,,,,,[],https://twitter.com/lokiccat/status/1431311832849924097
lokicat,@lokiccat,2021-08-20T16:00:33.000Z,"@Kohls
 #KohlsFinds #Sweepstakes",,,1,,,[],https://twitter.com/lokiccat/status/1428748800588271622
lokicat,@lokiccat,2021-08-18T00:20:31.000Z,"Replying to 
@MichelobULTRA",Ca,,,,,[],https://twitter.com/lokiccat/status/1427787459413241857
lokicat,@lokiccat,2021-08-27T21:16:15.000Z,"Replying to 
@MichelobULTRA",,☀,,,,[],https://twitter.com/lokiccat/status/1431364963386286083
lokicat,@lokiccat,2021-08-19T20:56:53.000Z,"@SweetLifeonMax
 #SweetLifeOnMax and
#SweetLifeGiveaway",,,2,,,[],https://twitter.com/lokiccat/status/1428460985757569026
