UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
LS Bloom,@BloomUtopia,2021-01-30T00:39:45.000Z,"Replying to 
@Maggarooo",I missed your foldy mouth Ms MaggiePupper!,,1,,1,[],https://twitter.com/BloomUtopia/status/1355314723361746946
mia,@mia11122260,2021-01-30T16:09:11.000Z,How are you doing,,,,,,[],https://twitter.com/mia11122260/status/1355548626001383425
mia,@mia11122260,2021-01-21T11:37:07.000Z,"Replying to 
@Frantastik01
 and 
@IvePetThatDog",Hey I’m mia,,,,,[],https://twitter.com/mia11122260/status/1352218665085788160
mia,@mia11122260,2021-01-27T22:44:23.000Z,"Replying to 
@PAVGOD",Hi,,,,,[],https://twitter.com/mia11122260/status/1354560916986109954
Maggie,@Maggarooo,2021-01-21T22:13:03.000Z,"How about you feed me dinner a few hours early, hmmm?",,🐾 🐾 🐾,211,222,5.3K,['https://pbs.twimg.com/media/EsSdQ2-UwAANvyr?format=jpg&name=small'],https://twitter.com/Maggarooo/status/1352378704970665987
mia,@mia11122260,2021-01-23T17:06:27.000Z,Hi how are you doing,,,,,,[],https://twitter.com/mia11122260/status/1353026320746246144
mia,@mia11122260,2021-08-03T08:50:59.000Z,I’m cool ,,🙂 😍,1,,2,['https://pbs.twimg.com/media/E72qFDpVIAMK9Qd?format=jpg&name=900x900'],https://twitter.com/mia11122260/status/1422480101904551938
mia,@mia11122260,2021-08-03T08:50:41.000Z,Hey guys ,,☹ 🥵 🤩 😘,1,,2,['https://pbs.twimg.com/media/E72qBcJVgAEGWfs?format=jpg&name=900x900'],https://twitter.com/mia11122260/status/1422480025912168449
mia,@mia11122260,2021-08-03T08:51:18.000Z,Lovely ,,😊 😘 💋,,,1,[],https://twitter.com/mia11122260/status/1422480180849696772
mia,@mia11122260,2021-08-03T08:51:30.000Z,Yummy ,,😋,,,1,[],https://twitter.com/mia11122260/status/1422480231814766597
Doug McLeod,@dougmc48_doug,2021-01-16T03:07:20.000Z,Why weren’t Senators there that day?  Did they know something?,,,2,,5,[],https://twitter.com/dougmc48_doug/status/1350278433364959232
mia,@mia11122260,2021-08-07T14:43:34.000Z,Hi good morning,,,,,,[],https://twitter.com/mia11122260/status/1424018385965240323
Jon du Toit,@jondutoit,2021-08-03T03:36:03.000Z,"Replying to 
@jondutoit","Pedants love to rail against the film's lack of historical accuracy

These are the latte sippers who do not understand art and the purpose of cinema

The last reveal, the apocalypse, the unveiling... is a gut punch if you understand our place in SPACE and TIME

HOLY JUDGMENT",,3,4,92,[],https://twitter.com/jondutoit/status/1422400847854678051
