UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Nicole Anderson,@mom2onlygirls,2021-01-28T20:47:55.000Z,Norfolk Swim & Dive is hosting LSW today at 4! #npspanthers,"NPS Activities
Watch NPS Activities Live
youtube.com",,,,,['https://pbs.twimg.com/card_img/1430228053356072965/dvauuSSV?format=jpg&name=240x240'],https://twitter.com/mom2onlygirls/status/1354893991922307079
Nicole Anderson,@mom2onlygirls,2021-01-09T14:01:41.000Z,Panther Swim & Dive team is hosting Lincoln East today in a dual at 10:30. Watch it here! #npspanthers #swimfast,"NPS Activities
Watch NPS Activities Live
youtube.com",,,,2,['https://pbs.twimg.com/card_img/1430228053356072965/dvauuSSV?format=jpg&name=240x240'],https://twitter.com/mom2onlygirls/status/1347906391357485056
Nicole Anderson,@mom2onlygirls,2021-01-04T14:05:36.000Z,"Week # 43 looks a bit different. Still cannot see clients, but I am back in the office.",,,,,,['https://pbs.twimg.com/media/Eq5KqZjXEAAC00V?format=jpg&name=small'],https://twitter.com/mom2onlygirls/status/1346095438580088833
Nebraska Prep Zone,@NEPrepZone,2021-01-30T14:30:00.000Z,"The NSAA executive director told 
@OWHnews
 that he will meet with Lincoln Mayor Leirion Gaylor Baird’s office and the Lincoln-Lancaster County Health Department about expanding capacity for the #nebpreps state basketball tournaments.

More from 
@stuOWH
:","NSAA sticks with 50% capacity recommendation despite governor's easing of COVID restrictions
Though the governor opened extracurricular activities to full capacity, subject to social distancing, the NSAA is staying with its 50% capacity recommendation to schools for the regular season.
omaha.com",,3,3,29,['https://pbs.twimg.com/card_img/1432857988101021696/VMWlHjpn?format=jpg&name=small'],https://twitter.com/NEPrepZone/status/1355523663941005314
Nicole Anderson,@mom2onlygirls,2021-01-30T15:21:56.000Z,What about swim??!!,,,,,,[],https://twitter.com/mom2onlygirls/status/1355536733773946880
Nicole Anderson,@mom2onlygirls,2021-02-13T18:03:47.000Z,The towel has come out of retirement! #pantherswim,,,,,,['https://pbs.twimg.com/media/EuIAxBhXAAEU60C?format=jpg&name=small'],https://twitter.com/mom2onlygirls/status/1360650893616701440
Nicole Anderson,@mom2onlygirls,2021-02-05T23:26:17.000Z,Case Manager https://indeed.com/viewjob?from=appshareios&jk=08518f0599f350f2…,,,,,,[],https://twitter.com/mom2onlygirls/status/1357832952302960640
Nicole Anderson,@mom2onlygirls,2021-02-27T15:12:06.000Z,I am proud to be a Social Worker!,"News Channel Nebraska
@NewsChannelNE
 · Feb 27
As we wrap up February, we enter a month of celebrating the efforts of social workers.

https://northeast.newschannelnebraska.com/story/43418266/annual-march-celebration-focuses-on-social-workers…",,,,2,['https://pbs.twimg.com/profile_images/1224473421872095234/WESyzTp1_mini.jpg'],https://twitter.com/mom2onlygirls/status/1365681119895691264
Nicole Anderson,@mom2onlygirls,2021-02-12T01:26:58.000Z,"My kids got me this awesome mug for my Birthday! 
@Vangsness
 @CrimMinds_CBS
 #49WillBeFine ",,🦑,,,,['https://pbs.twimg.com/media/Et_TCAEXIAIXRO3?format=jpg&name=small'],https://twitter.com/mom2onlygirls/status/1360037648925155331
News Channel Nebraska,@NewsChannelNE,2021-02-27T15:00:00.000Z,"As we wrap up February, we enter a month of celebrating the efforts of social workers.","Annual March celebration focuses on Social Workers
social workers day.
northeast.newschannelnebraska.com",,1,2,4,[],https://twitter.com/NewsChannelNE/status/1365678074965221376
