UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
𝘌𝘭𝘪𝘫𝘢𝘩,@monko607,2021-01-06T23:22:31.000Z,"Replying to 
@Jake32021375",Yep.,,,,,[],https://twitter.com/monko607/status/1346960368778817538
𝘌𝘭𝘪𝘫𝘢𝘩,@monko607,2021-02-23T22:56:51.000Z,"Replying to 
@iamclous",Yep!,,,,,[],https://twitter.com/monko607/status/1364348524251512834
𝘌𝘭𝘪𝘫𝘢𝘩,@monko607,2021-03-07T11:33:53.000Z,"Replying to 
@jennalinds",yikes,,,,,[],https://twitter.com/monko607/status/1368525307146297348
𝘌𝘭𝘪𝘫𝘢𝘩,@monko607,2021-03-07T11:34:53.000Z,"Replying to 
@SHH0V0",k,,,,,[],https://twitter.com/monko607/status/1368525558062211081
LushPuppi,@FleekyMcFleeks,2021-03-01T01:59:54.000Z,"Replying to 
@Teddy_V2_
 and 
@SHH0V0",,💎,2,1,162,['https://pbs.twimg.com/tweet_video_thumb/EvW9l_AXUAMwX2Z.jpg'],https://twitter.com/FleekyMcFleeks/status/1366206529683218433
𝘌𝘭𝘪𝘫𝘢𝘩,@monko607,2021-03-07T11:35:38.000Z,k,,,,,,[],https://twitter.com/monko607/status/1368525744629026817
Jake,@Jake32021375,2021-05-14T02:52:39.000Z,I have to wake up early tomorrow,,❤ ❤ ❤,1,,2,[],https://twitter.com/Jake32021375/status/1393036506063941632
𝘌𝘭𝘪𝘫𝘢𝘩,@monko607,2021-05-14T06:01:43.000Z,Congrats,,,,,,[],https://twitter.com/monko607/status/1393084086957260800
Average Legion supporter,@DemomanTF27,2021-08-20T23:57:21.000Z,"Replying to 
@jotism_
 and 
@TF2Emporium",,,4,25,429,[],https://twitter.com/DemomanTF27/status/1428868791379841031
𝘌𝘭𝘪𝘫𝘢𝘩,@monko607,2021-08-23T12:11:00.000Z,@this_vid,,,1,,,[],https://twitter.com/monko607/status/1429778196803858434
