UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
cyberman rick (parody),@noah14943684,2021-01-02T19:06:07.000Z,Advanced Science joke,,,,1,1,['https://pbs.twimg.com/media/Eqv8RHtXEAcTGB5?format=jpg&name=small'],https://twitter.com/noah14943684/status/1345446289861963776
cyberman rick (parody),@noah14943684,2021-01-12T13:25:43.000Z,KYLE arms SUPER AWESOME HA HA HA!!,GIF,,,,,['https://pbs.twimg.com/tweet_video_thumb/EriOQG0XcAAFgy7.jpg'],https://twitter.com/noah14943684/status/1348984503415549953
cyberman rick (parody),@noah14943684,2021-01-02T18:59:57.000Z,Ill try to be like saiki k #NewYearsResolution,,,1,,1,[],https://twitter.com/noah14943684/status/1345444736774107136
Poseidon,@ActualPoseidon,2021-01-05T09:09:04.000Z,Aphrodite is stuck under my bed!,,,23,4,250,[],https://twitter.com/ActualPoseidon/status/1346383203007930368
cyberman rick (parody),@noah14943684,2021-01-05T23:21:01.000Z,Slay that thot bro #thotslayer,,,,,,[],https://twitter.com/noah14943684/status/1346597602834460675
Kili,@thekilinah,2021-01-06T20:11:56.000Z,This is terrorism,,,17,58,499,[],https://twitter.com/thekilinah/status/1346912403729096706
cyberman rick (parody),@noah14943684,2021-01-07T10:14:06.000Z,I agree,,,,,,[],https://twitter.com/noah14943684/status/1347124344804290566
Uncle Moe’s Family Feedbag Podcast,@TylerTMC,2021-01-05T14:43:39.000Z,"A Danish is missing! Oh my God, Kent! A Danish has gone!",,,1,2,25,['https://pbs.twimg.com/media/Eq-c9yYU0AQAUOo?format=jpg&name=small'],https://twitter.com/TylerTMC/status/1346467403123757063
cyberman rick (parody),@noah14943684,2021-01-12T13:26:12.000Z,Meow,,,,,,[],https://twitter.com/noah14943684/status/1348984625876660224
Sobble/Drizzile/Inteleon,@DailySobble,2021-01-10T13:16:54.000Z,Idk whats cuter. Sobble crying or smiling,,,9,22,110,"['https://pbs.twimg.com/media/ErX5DcKUcAADwzH?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ErX5DwmVEAM_dU7?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ErX5DmUU0AAqRII?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ErX5D7BVgAE4qpa?format=jpg&name=360x360']",https://twitter.com/DailySobble/status/1348257511619497985
cyberman rick (parody),@noah14943684,2021-01-12T13:31:34.000Z,Both!!!,,,,,,[],https://twitter.com/noah14943684/status/1348985977226878983
Cherish,@GIVEMEESPURRS,2021-01-14T21:11:44.000Z,Can’t wait to catch a bunch of fire types in the remake,,,2,1,7,[],https://twitter.com/GIVEMEESPURRS/status/1349826557011914752
cyberman rick (parody),@noah14943684,2021-01-14T21:16:24.000Z,Cool,,,,,,[],https://twitter.com/noah14943684/status/1349827731899490304
Wolfstic318,@wo1fboy318,2021-01-12T00:20:46.000Z,"January 11th, 2021. I have lost a good friend I met on discord. She was the greatest and nicest person I ever met but sadly she kill herself and I... I feel... very sad, I want to cry. May she rest in peace",,,7,3,9,[],https://twitter.com/wo1fboy318/status/1348786965668388874
cyberman rick (parody),@noah14943684,2021-01-12T13:23:46.000Z,Omg how did they die?,,,,,,[],https://twitter.com/noah14943684/status/1348984015185977344
Tape goes to school today (ART RAFFLE),@TapeCassetteGuy,2021-01-06T13:11:38.000Z,"Okay you fricks, I'm asking you again:

In which state in the US you live?

I'll start:
I don't live in US.",,⭐ 📼 📼 ⭐,69,6,76,[],https://twitter.com/TapeCassetteGuy/status/1346806635008827392
cyberman rick (parody),@noah14943684,2021-01-06T17:03:44.000Z,I don’t live in the us,,,,,,[],https://twitter.com/noah14943684/status/1346865043065987073
Tini,@_VictoryVictini,2021-01-08T00:43:31.000Z,Why is she so perfect,,,2,3,13,['https://pbs.twimg.com/media/ErK5cdYXUAARVql?format=jpg&name=small'],https://twitter.com/_VictoryVictini/status/1347343139217006594
cyberman rick (parody),@noah14943684,2021-01-09T11:15:21.000Z,Cool,,,,,,[],https://twitter.com/noah14943684/status/1347864534174887941
Poseidon,@ActualPoseidon,2021-01-09T19:10:33.000Z,Visiting land soon. Want something from Atlantis?,,,61,5,332,[],https://twitter.com/ActualPoseidon/status/1347984120048218112
cyberman rick (parody),@noah14943684,2021-01-09T22:37:45.000Z,Atlantian stuff,,,,,,[],https://twitter.com/noah14943684/status/1348036263530659845
cyberman rick (parody),@noah14943684,2021-01-10T08:51:07.000Z,"Replying to 
@Mewgle",Ak-47 is better,,,,,[],https://twitter.com/noah14943684/status/1348190622528794624
Pokémon,@Pokemon,2021-01-13T14:15:44.000Z,"Replying to 
@Pokemon","Grab your bikes, Trainers: all year long, we’re revisiting the regions that introduced us to the Pokémon we know and love. 

Which region is your favorite?

#Pokemon25",,3.7K,3.4K,10.4K,[],https://twitter.com/Pokemon/status/1349359478655873025
cyberman rick (parody),@noah14943684,2021-01-13T20:33:17.000Z,All of them,,,,,,[],https://twitter.com/noah14943684/status/1349454492220215297
Nothing,@Randomfollowac2,2021-01-05T21:48:39.000Z,"Replying to 
@noah14943684
 @GoldenEspeon
 and 
@henryvargasart","They know that, get wooshed",,1,,,[],https://twitter.com/Randomfollowac2/status/1346574355128606725
