UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Oli cpfc gurks,@olicpfcgurks,2021-02-02T19:12:26.000Z,You don’t save those #WOLARS #wolves #arsenal,GIF,🦅,,,,[],https://twitter.com/olicpfcgurks/status/1356681902728560650
Oli cpfc gurks,@olicpfcgurks,2021-02-02T22:25:25.000Z,What a player don’t get enough credit ,"GazBod
@gazbod
 · Feb 2
Nathanial Clyne appreciation tweet. Cos he was absolutely epic. EPIC!! #CPFC",🦅 😁,,1,5,"['https://pbs.twimg.com/profile_images/968795407156502528/5R22zll__mini.jpg', 'https://pbs.twimg.com/media/EtQRmHJWQAEc7Pe?format=jpg&name=small']",https://twitter.com/olicpfcgurks/status/1356730471137349634
Oli cpfc gurks,@olicpfcgurks,2021-02-02T21:31:59.000Z,Great hope he is back soon #zaha come on you palace ,,🦅 🔴 🔵 🦅,,,,[],https://twitter.com/olicpfcgurks/status/1356717024563650563
Oli cpfc gurks,@olicpfcgurks,2021-02-13T14:11:29.000Z,Best keeper in the league ,,🦅 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂,,,1,[],https://twitter.com/olicpfcgurks/status/1360592434523176963
Oli cpfc gurks,@olicpfcgurks,2021-02-02T20:40:40.000Z,Imagine waking up and being Gaza Cahill ,,🦅 😍,,,,[],https://twitter.com/olicpfcgurks/status/1356704106845515781
Oli cpfc gurks,@olicpfcgurks,2021-02-10T02:18:10.000Z,Read the comments ,"Weetabix
@weetabix
 · Feb 9
Why should bread have all the fun, when there's Weetabix? Serving up @HeinzUK Beanz on bix for breakfast with a twist. #ItHasToBeHeinz #HaveYouHadYourWeetabix",🦅 😂 😂 😂,,,,"['https://pbs.twimg.com/profile_images/1415674915164811268/J2ZX0QX2_mini.jpg', 'https://pbs.twimg.com/media/EtxmaJ7XEAM5tfD?format=jpg&name=small']",https://twitter.com/olicpfcgurks/status/1359325756418048000
Oli cpfc gurks,@olicpfcgurks,2021-02-01T13:57:33.000Z,What a bloke ,"Guaita
@vguaita13
 · Feb 1
Replying to @CPFC
I love You Eagles!!! ",🦅 🥰 🦅 💙 ❤ 🧤 🧤,,,,['https://pbs.twimg.com/profile_images/1305042441997881344/SGUMn9h6_mini.jpg'],https://twitter.com/olicpfcgurks/status/1356240272884162560
Oli cpfc gurks,@olicpfcgurks,2021-02-02T20:36:57.000Z,All so lovely football again,,🦅,,,,[],https://twitter.com/olicpfcgurks/status/1356703173038272513
Oli cpfc gurks,@olicpfcgurks,2021-02-02T20:36:41.000Z,Well in jario you beautyyyyy,,🦅,,,,[],https://twitter.com/olicpfcgurks/status/1356703106071945216
Oli cpfc gurks,@olicpfcgurks,2021-01-31T02:38:20.000Z,"Oviiiiiiiiiii baby  
@Capitals",,🦅 🥰 🥰,,,,['https://pbs.twimg.com/media/EtBwSeBXcAI8xji?format=jpg&name=small'],https://twitter.com/olicpfcgurks/status/1355706955176833025
David,@David_Randle,2021-02-13T16:52:22.000Z,Bottom of the league Wycombe do not beat Huddersfield 3-2 away from home until I put money on the game,,,1,,1,[],https://twitter.com/David_Randle/status/1360632922408124424
Oli cpfc gurks,@olicpfcgurks,2021-02-13T16:53:30.000Z,Same mate ,,🦅 😂 😂,,,,[],https://twitter.com/olicpfcgurks/status/1360633208539348996
Oli cpfc gurks,@olicpfcgurks,2021-02-02T16:25:13.000Z,Rip sir Tom you legend sending thoughts and love to your family you’ve done our country proud ,,🦅,,,,[],https://twitter.com/olicpfcgurks/status/1356639822056685569
Oli cpfc gurks,@olicpfcgurks,2021-02-02T14:53:39.000Z,"Replying to 
@ShirtsFromBcn
 @Robbiebond77
 and 9 others",Lovely might have to get both ,🦅 🤭 😂,,,2,[],https://twitter.com/olicpfcgurks/status/1356616779909447684
Oli cpfc gurks,@olicpfcgurks,2021-02-03T22:11:07.000Z,Brighton beat Liverpool and there 1st thing to do is think about palace losing 7-0 to them how cute ,,🦅 🥴,,,,[],https://twitter.com/olicpfcgurks/status/1357089261045112833
Oli cpfc gurks,@olicpfcgurks,2021-02-04T12:08:39.000Z," ebs lives in their head rent free, both good players but eze is a whole level above him ","westhamonline
@westhamonline5
 · Feb 4
Retweet if he’s better than Ebere Eze",🦅 😂 😂 😂 😂,,,,"['https://pbs.twimg.com/profile_images/1413498611338448896/rOSpuyQM_mini.jpg', 'https://pbs.twimg.com/media/EtXseYIXMAEtNER?format=jpg&name=small']",https://twitter.com/olicpfcgurks/status/1357300029694873602
Oli cpfc gurks,@olicpfcgurks,2021-02-04T20:48:24.000Z,No but for the fact it annoys West Ham yes ,"Benedict
@BenM_CPFC
 · Feb 4
Retweet if he’s better than Said Benrahma
GIF",🦅 😂 😂 😂 😹 😹 😹,1,,1,"['https://pbs.twimg.com/profile_images/1391137324386471937/yhpIvJRL_mini.jpg', 'https://pbs.twimg.com/tweet_video_thumb/EtX-5rLWgAI6fmm.jpg']",https://twitter.com/olicpfcgurks/status/1357430832005316611
Oli cpfc gurks,@olicpfcgurks,2021-02-02T19:17:39.000Z,Why don’t we take 2 youth players to sit on the bench ? Surely we have a cm in the u23s anyway come on you palace ,"Crystal Palace F.C.
@CPFC
 · Feb 2
COME ON YOU PALACE

#CPFC | #NEWCRY",🦅 🔴 🔵 🦅,,,,['https://pbs.twimg.com/profile_images/1431826558776381441/1EOK8RiE_mini.jpg'],https://twitter.com/olicpfcgurks/status/1356683216061620226
David,@David_Randle,2021-02-02T19:24:20.000Z,"Replying to 
@olicpfcgurks",You probably feel this on a game by game basis ,😂,1,,,[],https://twitter.com/David_Randle/status/1356684896861892614
Oli cpfc gurks,@olicpfcgurks,2021-02-02T19:27:39.000Z,Yes mate it is ,,🦅 😂 😂,,,,[],https://twitter.com/olicpfcgurks/status/1356685731700355075
Jacob Culshaw,@jacob_culshaw,2021-02-01T17:40:49.000Z,"Replying to 
@jacob_culshaw","I would just like to confirm that is a Barcelona shirt, not Crystal Palace.",,4,,86,[],https://twitter.com/jacob_culshaw/status/1356296458849447938
Oli cpfc gurks,@olicpfcgurks,2021-02-02T15:29:54.000Z,Don’t lie you secretly love the mighty red n blue ,,🦅 🦅 🔴 🔵,,,,[],https://twitter.com/olicpfcgurks/status/1356625902285844481
TᕼE KITᔕᗷᗩIᗩ,@TheKitsbaia,2021-02-11T13:37:37.000Z," £27 CRYSTAL PALACE   
 
@classicshirts
 have stock of 
@CPFC
 20/21 
@pumafootball
 regular fit  & with 10% off discount SHIRTX code they are now £27* each 

*  at CFS over £50 spent! 

CC: 
@cpfc_kris
 @LeeCPDAFC
 @esexton95
 

https://classicfootballshirts.co.uk/premiership-clubs/crystal-palace.html…",,⚽ 👕 🦅 👕 🦅 🟥 🟦 🟥 🟦 🟥 🟦 🟥 🟦 🟥 🟦 🟥 👕 🆓 🚚,12,5,31,['https://pbs.twimg.com/media/Et8wrQAWgAA8732?format=jpg&name=900x900'],https://twitter.com/TheKitsbaia/status/1359859137442697216
Oli cpfc gurks,@olicpfcgurks,2021-02-11T14:02:14.000Z,@ThatFSG think you should do a review on one of these ,,🦅 😁,1,,1,[],https://twitter.com/olicpfcgurks/status/1359865328810020866
