UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Xiaomi,@Xiaomi,2021-01-29T09:19:45.000Z,"Revolutionizing the current wireless charging methods, #MiAirCharge Technology charges your devices remotely, without cables and charging stands. Let's see it in action! #InnovationForEveryone","0:57
277.3K views",,207,2.4K,5.2K,[],https://twitter.com/Xiaomi/status/1355083199232135170
Optimus Prime,@opti_mus2,2021-01-29T13:13:27.000Z,"I want mi 10 ultra,, how can I buy. In saudi arabia",,,1,,1,[],https://twitter.com/opti_mus2/status/1355142012287283203
Optimus Prime,@opti_mus2,2021-01-29T13:12:15.000Z,"Replying to 
@Xiaomi","I love Xiaomi,, I'm using Note 4 still working very well",,,,1,[],https://twitter.com/opti_mus2/status/1355141707575275520
Optimus Prime,@opti_mus2,2021-01-29T20:38:19.000Z,"Replying to 
@DAILYITTEFAQ","No need Vote,, deleted from before",,,,,[],https://twitter.com/opti_mus2/status/1355253963952676869
Optimus Prime,@opti_mus2,2021-01-12T20:32:26.000Z,"Replying to 
@DhakaTribune","Indian people disagree to take Indian vaccine ,,, and Bangladesh gov. Agree to take should be first ,, Gov t. Will take for testing after that people.",,,,1,[],https://twitter.com/opti_mus2/status/1349091890902282240
Somoy TV,@somoytv,2021-01-12T07:30:49.000Z,পানি না দেওয়ায় নারীর বিশেষ অঙ্গে রড ঢুকিয়ে নির্যাতন,"Somoy Tv News
Click the link for news Description
somoynews.tv",,4,3,27,['https://pbs.twimg.com/card_img/1430995014059012107/2g6jZfyp?format=jpg&name=small'],https://twitter.com/somoytv/status/1348895189880897543
Optimus Prime,@opti_mus2,2021-01-12T20:48:21.000Z,গজব পড়বে,,,,,,[],https://twitter.com/opti_mus2/status/1349095898920472584
BBC News Bangla,@bbcbangla,2021-01-21T16:51:26.000Z,করোনাভাইরাসের টিকা: বাংলাদেশে ট্রায়াল চালাতে চায় ভারত বায়োটেক,"করোনাভাইরাসের টিকা: বাংলাদেশে ট্রায়াল চালাতে চায় ভারত বায়োটেক - BBC News বাংলা
ভারত বায়োটেকের টিকার ট্রায়াল চালানোর অনুমোদন যদি দেয়া হয়, সেটি হবে বাংলাদেশে করোনাভাইরাসের টিকা নিয়ে প্রথম কোন পরীক্ষা।
bbc.com",,64,19,588,['https://pbs.twimg.com/card_img/1431843553475506178/zYzTF9o7?format=jpg&name=small'],https://twitter.com/bbcbangla/status/1352297765422985217
Optimus Prime,@opti_mus2,2021-01-21T20:27:25.000Z,"কারণ মরলে বাংলাদেশের লোক মরুক,",,,,,2,[],https://twitter.com/opti_mus2/status/1352352118368251915
Optimus Prime,@opti_mus2,2021-01-09T08:42:10.000Z,"Replying to 
@somoytv",Chagol,,,,,[],https://twitter.com/opti_mus2/status/1347825984301629440
Rtv,@rtvonline,2021-01-15T13:24:49.000Z,"সৌদি আরব অবস্থানরত ৫৫ হাজার রো’হিঙ্গাকে বাংলাদেশে...
বিস্তারিত নিউজে
#RTV #News #Rtvnews #Rtvonline #Breaking_news #RDC #news_update #Bangladesh","সৌদিতে থাকা রোহিঙ্গারা পাবে বাংলাদেশি পাসপোর্ট: পররাষ্ট্রমন্ত্রী
সৌদি আরব অবস্থানরত ৫৫ হাজার রোহিঙ্গাকে বাংলাদেশে পাঠাতে চায়। তবে বাংলাদেশের পররাষ্ট্রমন্ত্রী বলেছেন, ফেরত পাঠাতে নয়, সৌদি আরব এই রোহিঙ্গাদের ফেরত পাঠাতে নয়, বাংলাদেশি পাসপোর্ট দিতে বলেছে। পরলাষ্ট্র...
rtvonline.com",,12,2,90,['https://pbs.twimg.com/card_img/1432390191101083654/r-6MhG9B?format=jpg&name=small'],https://twitter.com/rtvonline/status/1350071441744510979
Optimus Prime,@opti_mus2,2021-01-16T09:15:32.000Z,দেশ কে বেচে খেয়েছে,,,,,,[],https://twitter.com/opti_mus2/status/1350371093685669889
تطبيق توكلنا,@TawakkalnaApp,2021-02-22T18:05:24.000Z,"Replying to 
@TawakkalnaApp","Signing up on #Tawakkalna requires having a mobile number already linked to Absher. If your mobile number is not linked to Absher, another Absher user can help you verifying it.

Find out how:",,4,14,36,['https://pbs.twimg.com/media/Eu2XVOwWQAcQwrv?format=jpg&name=medium'],https://twitter.com/TawakkalnaApp/status/1363912792512856065
Optimus Prime,@opti_mus2,2021-02-23T16:15:13.000Z,"Can register in this app who have  Huroob"" or Iqama Expired?",,,,,,[],https://twitter.com/opti_mus2/status/1364247451083956230
Optimus Prime,@opti_mus2,2021-02-06T03:44:35.000Z,"Replying to 
@bbcbangla","We are waiting,,,to watch ,,,all evidence,,that Al Jajeera fake।",,,,,[],https://twitter.com/opti_mus2/status/1357897953998946305
Saudi Gazette,@Saudi_Gazette,2021-02-10T05:30:00.000Z,"#VIDEO: Spain’s Foreign Minister Arancha Gonzalez Laya 
@AranchaGlezLaya
 took a tour around #RiyadhMetro, Diriyah and met #Saudi officials during her visit to SaudiArabia on Wednesday. (
@MAECgob
)",,,4,26,109,['https://pbs.twimg.com/amplify_video_thumb/1359231669526540292/img/h5t42nmbQvPmqpT9.jpg'],https://twitter.com/Saudi_Gazette/status/1359374034744483840
Optimus Prime,@opti_mus2,2021-02-10T05:36:29.000Z,Congratulations go ahead,,,,,,[],https://twitter.com/opti_mus2/status/1359375666282651649
Saudi Gazette,@Saudi_Gazette,2021-02-06T02:00:00.000Z,The UN Security Council issued a press statement expressing “deep concern” over the military takeover in Myanmar,"UN Security Council calls for release of Aung San Suu Kyi
The UN Security Council issued a press statement on Thursday expressing â€œdeep concernâ€� over the military takeover in Myanmar, calling for the immediate release of the countryâ€™s elected leader,...
saudigazette.com.sa",,3,9,24,['https://pbs.twimg.com/card_img/1431628508426539010/bsBFNmeM?format=jpg&name=small'],https://twitter.com/Saudi_Gazette/status/1357871636859342848
Min Si Thu,@techbyminsithu,2021-02-05T02:32:46.000Z,"Replying to 
@Xiaomi","We must fight for our future ! That's why, the next generation will feel the light as same as our neighbouring countries.We need our leader back!! I believe our wishes will come true if we are always together in demanding for democracy.
#HearTheVoiceOfMyanmar 
#RespectOurVotes",,2,,,['https://pbs.twimg.com/media/Etbe9yZVEAApKmB?format=jpg&name=small'],https://twitter.com/techbyminsithu/status/1357517493275774977
Optimus Prime,@opti_mus2,2021-02-06T04:17:03.000Z,"Why you need? ,,she is killer,,of lots of enocen people, we want justice,,, suchi is Killer,",,,,,,[],https://twitter.com/opti_mus2/status/1357906124628967425
Optimus Prime,@opti_mus2,2021-02-23T16:19:26.000Z,"Replying to 
@rtvonline","Faltu sob,,",,,,,[],https://twitter.com/opti_mus2/status/1364248510762213376
BBC News Bangla,@bbcbangla,2021-02-20T18:16:12.000Z,"টেলিযোগাযোগ মন্ত্রী মোস্তফা জব্বার আল জাজিরার প্রতিবেদন সরিয়ে নিতে ফেসবুক রাজি হয়েছে বললেও  ওই কোম্পানি বলছে, এনিয়ে তারা আদালতের কোন নির্দেশ পায়নি।","আল জাজিরার প্রতিবেদন সরানোর নির্দেশ পায়নি ফেসবুক - BBC News বাংলা
টেলিযোগাযোগ মন্ত্রী মোস্তফা জব্বার আল জাজিরার প্রতিবেদন সরিয়ে নিতে ফেসবুক রাজি হয়েছে বললেও ঐ সোশাল মিডিয়া কোম্পানি বলছে, এনিয়ে তারা আদালতের কোন নির্দেশ পায়নি।
bbc.com",,22,12,355,['https://pbs.twimg.com/card_img/1432714214355963919/fTEvDe4W?format=jpg&name=small'],https://twitter.com/bbcbangla/status/1363190732144615424
Optimus Prime,@opti_mus2,2021-02-23T16:24:31.000Z,"সরিয়ে নিলে ,,,কি,, হয়ে গেলো, এটার সত্যতা যাচাই করে,,, জনগণের সামনে পেশ করেন।",,,,,,[],https://twitter.com/opti_mus2/status/1364249792046632960
Optimus Prime,@opti_mus2,2021-02-27T18:59:33.000Z,"Replying to 
@ProthomAlo",Faltu,,,,,[],https://twitter.com/opti_mus2/status/1365738358278881282
Optimus Prime,@opti_mus2,2021-02-11T19:29:34.000Z,"Replying to 
@somoytv",Ha ha. Ha,,,,,[],https://twitter.com/opti_mus2/status/1359947708077899780
Optimus Prime,@opti_mus2,2021-02-11T19:24:23.000Z,"Replying to 
@somoytv",Ha... Ha... Ha.... Ha...,,,,,[],https://twitter.com/opti_mus2/status/1359946401317351424
Optimus Prime,@opti_mus2,2021-02-06T03:40:38.000Z,"Replying to 
@somoytv",Why?,,,,,[],https://twitter.com/opti_mus2/status/1357896961198800897
Somoy TV,@somoytv,2021-02-13T04:53:21.000Z,আল জাজিরার অপপ্রচারের নেপথ্যদের খোঁজা হচ্ছে: কাদের https://somoynews.tv/pages/details/263912…,,,5,1,9,[],https://twitter.com/somoytv/status/1360451975158976515
Optimus Prime,@opti_mus2,2021-02-13T09:35:59.000Z,"একটু অপেক্ষা,,,র পালা",,,,,,[],https://twitter.com/opti_mus2/status/1360523102610989058
Optimus Prime,@opti_mus2,2021-02-11T19:28:22.000Z,"Replying to 
@somoytv",Juta peta kora uchit,,,,,[],https://twitter.com/opti_mus2/status/1359947404636749827
Optimus Prime,@opti_mus2,2021-02-13T09:35:36.000Z,"Replying to 
@somoytv","সত্যের জয় হবেই হবে,, Inshallah",,,,,[],https://twitter.com/opti_mus2/status/1360523004518752256
Optimus Prime,@opti_mus2,2021-02-05T14:32:43.000Z,"Replying to 
@somoytv","Proman kore den ,, Al Jajeera,, fake",,,,,[],https://twitter.com/opti_mus2/status/1357698676190232583
Optimus Prime,@opti_mus2,2021-03-06T05:32:47.000Z,"Replying to 
@ProthomAlo",True,,,,,[],https://twitter.com/opti_mus2/status/1368072042508062720
Optimus Prime,@opti_mus2,2021-03-29T11:24:49.000Z,"Replying to 
@DAILYITTEFAQ",Sala cheet,,,,,[],https://twitter.com/opti_mus2/status/1376495557590536194
Optimus Prime,@opti_mus2,2021-03-17T00:24:09.000Z,"Replying to 
@bbcbangla","Stop Modi,,,",,,,,[],https://twitter.com/opti_mus2/status/1371980641223475203
Optimus Prime,@opti_mus2,2021-03-07T08:44:58.000Z,"Replying to 
@rtvonline",Faltu সব,,,,,[],https://twitter.com/opti_mus2/status/1368482795249623042
Optimus Prime,@opti_mus2,2021-03-05T22:10:03.000Z,"Replying to 
@rtvonline",Cheee,,,,,[],https://twitter.com/opti_mus2/status/1367960626266595333
BBC News Bangla,@bbcbangla,2021-03-05T13:54:30.000Z,ডিজিটাল নিরাপত্তা আইন: কার্টুনিস্ট কবির কিশোর ঢাকার পত্রিকায় যে ভয়াবহ নির্যাতনের বর্ণনা দিলেন,"কার্টুনিস্ট কবির কিশোরকে ভয়াবহ নির্যাতনের বর্ণনা - BBC News বাংলা
কার্টুনিস্ট আহমেদ কবির কিশোরকে বিতর্কিত ডিজিটাল নিরাপত্তা আইনে ১০ মাস আটক রাখা হয়েছিল। জামিনে মুক্তি পাওয়ার পর তিনি বর্ণনা করছেন তার ওপর কীভাবে নির্যাতন চালানো হয়।
bbc.com",,15,29,273,['https://pbs.twimg.com/card_img/1431007229709152261/Hsptjjse?format=jpg&name=small'],https://twitter.com/bbcbangla/status/1367835915771645960
